datetime,title,source,link,sentiment_class,sentiment_score
9/28/2005 2:12:00 PM,McCormick Reports Third Quarter Increase in Sales and Profits,PR Newswire,/news/stocks/mccormick-reports-third-quarter-increase-in-sales-and-profits-1029526297,positive,0.9504609704017639
9/28/2005 2:12:00 PM,McCormick Reports Third Quarter Increase in Sales and Profits,PR Newswire,/news/stocks/mccormick-reports-third-quarter-increase-in-sales-and-profits-1029526296,positive,0.9504609704017639
9/30/2016 3:40:22 PM,BRIEF-McCormick reports strong Q3 results (MKC),Reuters,/news/stocks/brief-mccormick-reports-strong-q3-results-mkc-1001429603,positive,0.9366364479064941
10/6/2016 7:20:21 AM,BRIEF-McCormick & Co says voluntary recall notice for taco seasoning mix (MKC),Reuters,/news/stocks/brief-mccormick-&-co-says-voluntary-recall-notice-for-taco-seasoning-mix-mkc-1001439384,neutral,0.6363717317581177
11/29/2016 4:14:07 PM,BRIEF-McCormick announces acquisition of Enrico Giotti SpA (MKC),Reuters,http://www.businessinsider.com/r-brief-mccormick-announces-acquisition-of-enrico-giotti-spa-2016-11,neutral,0.9337298274040222
11/30/2016 12:04:04 AM,BRIEF-McCormick & Co sets quarterly dividend of $0.47 per share (MKC),Reuters,http://www.businessinsider.com/r-brief-mccormick--co-sets-quarterly-dividend-of-047-per-share-2016-11,neutral,0.8863187432289124
11/30/2016 10:26:07 PM,BRIEF-Lawrence Kurzius to succeed Alan Wilson as chairman of board (MKC),Reuters,http://www.businessinsider.com/r-brief-lawrence-kurzius-to-succeed-alan-wilson-as-chairman-of-board-2016-11,neutral,0.9412114024162292
1/25/2017 1:00:12 PM,BRIEF-McCormick Q4 performance led to record 2016 financial results (MKC),Reuters,http://www.businessinsider.com/r-brief-mccormick-q4-performance-led-to-record-2016-financial-results-2017-1,positive,0.934705913066864
3/8/2017 1:30:00 PM,"Research Reports on Processed and Packaged Goods Equities -- Hostess Brands, McCormick, Treehouse Foods, and B&G Foods",PR Newswire,/news/stocks/research-reports-on-processed-and-packaged-goods-equities-hostess-brands-mccormick-treehouse-foods-and-b-g-foods-1001815305,neutral,0.943091869354248
3/13/2017 10:00:00 PM,McCormick & Company's 2017 First Quarter Results Conference Call to be Available on the Web,PR Newswire,/news/stocks/mccormick-company-s-2017-first-quarter-results-conference-call-to-be-available-on-the-web-1001830916,neutral,0.9495773315429688
3/23/2017 1:00:00 PM,McCormick & Company's 2017 Investor Day Presentation to be Available on the Web,PR Newswire,/news/stocks/mccormick-company-s-2017-investor-day-presentation-to-be-available-on-the-web-1001861773,neutral,0.9484056234359741
