datetime,title,source,link,sentiment_class,sentiment_score
10/11/2016 8:20:19 AM,BRIEF-Regency Centers reports minimal damage from hurricane Matthew (REG),Reuters,/news/stocks/brief-regency-centers-reports-minimal-damage-from-hurricane-matthew-reg-1001447701,negative,0.6631441116333008
11/15/2016 7:56:22 AM,"BRIEF-Regency Centers, Equity One to merge in $15.6 bln transaction (EQY, REG)",Reuters,http://www.businessinsider.com/r-brief-regency-centers-equity-one-to-merge-in-156-bln-transaction-2016-11,neutral,0.9099379777908325
11/15/2016 7:56:22 AM,"BRIEF-Regency Centers nearing deal to buy Equity One for about $5 bln- WSJ, citing sources (EQY, REG)",Reuters,http://www.businessinsider.com/r-brief-regency-centers-nearing-deal-to-buy-equity-one-for-about-5-bln--wsj-citing-sources-2016-11,neutral,0.917661190032959
11/15/2016 1:16:20 PM,"Gazit-Globe to post $260 mln gain from Equity One sale (EQY, REG)",Reuters,http://www.businessinsider.com/r-gazit-globe-to-post-260-mln-gain-from-equity-one-sale-2016-11,positive,0.8485466837882996
11/16/2016 8:42:17 AM,"BRIEF-Equity One may be required to pay Regency termination fee of $150 mln (EQY, REG)",Reuters,http://www.businessinsider.com/r-brief-equity-one-may-be-required-to-pay-regency-termination-fee-of-150-mln-2016-11,neutral,0.7838473916053772
12/1/2016 5:24:09 PM,BRIEF-Regency Centers Announces Chimney Rock Development (REG),Reuters,http://www.businessinsider.com/r-brief-regency-centers-announces-chimney-rock-development-2016-12,neutral,0.9503206014633179
1/12/2017 2:50:03 PM,BRIEF-Regency Centers sees FY 2016 earnings per share $1.41 - $1.43 (REG),Reuters,http://www.businessinsider.com/r-brief-regency-centers-sees-fy-2016-earnings-per-share-141---143-2017-1,neutral,0.8846931457519531
2/8/2017 10:28:14 PM,Regency Centers Corp. Q4 Earnings Climb 18%,RTTNews,/news/stocks/regency-centers-corp-q4-earnings-climb-18-1001734980,positive,0.9070554971694946
2/8/2017 10:50:09 PM,BRIEF-Regency Centers Corp reports net income for Q4 of $55.9 million (REG),Reuters,http://www.businessinsider.com/r-brief-regency-centers-corp-reports-net-income-for-q4-of-559-million-2017-2,neutral,0.9255180954933167
2/8/2017 11:22:58 PM,Regency Centers Corp. Updates Outlook - Quick Facts ,RTTNews,/news/stocks/regency-centers-corp-updates-outlook-quick-facts-1001735158,neutral,0.9304324984550476
2/23/2017 11:57:00 PM,"Incyte, CBOE Holdings, Regency Centers Set to Join S&P 500; Others to Join S&P MidCap 400",PR Newswire,/news/stocks/incyte-cboe-holdings-regency-centers-set-to-join-s-p-500-others-to-join-s-p-midcap-400-1001779406,neutral,0.9278321266174316
2/24/2017 9:20:12 PM,"BRIEF-Regency Centers stockholders approve proposed merger with Equity One (REG, EQY)",Reuters,http://www.businessinsider.com/r-brief-regency-centers-stockholders-approve-proposed-merger-with-equity-one-2017-2,neutral,0.8525175452232361
3/2/2017 2:05:00 PM,"Research Reports Initiation on REIT Stocks -- Regency Centers, Retail Opportunity Investments, Tanger Factory Outlet Centers, and Kite Realty",PR Newswire,/news/stocks/research-reports-initiation-on-reit-stocks-regency-centers-retail-opportunity-investments-tanger-factory-outlet-centers-and-kite-realty-1001799052,neutral,0.9423123598098755
3/14/2017 10:06:24 PM,BRIEF-Regency Centers CEO Martin Stein's FY 2016 total compensation was $5.1 mln (REG),Reuters,http://www.businessinsider.com/r-brief-regency-centers-ceo-martin-steins-fy-2016-total-compensation-was-51-mln-2017-3,neutral,0.827975332736969
3/22/2017 5:14:49 PM,BRIEF-Regulus Resources announces agreement with Corescan S.A.C. of Peru (REG),Reuters,http://www.businessinsider.com/r-brief-regulus-resources-announces-agreement-with-corescan-sac-of-peru-2017-3,positive,0.7408968806266785
4/10/2017 4:33:06 PM,BRIEF-Regency Centers says starts development of Pinecrest Place in Miami (REG),Reuters,http://www.businessinsider.com/r-brief-regency-centers-says-starts-development-of-pinecrest-place-in-miami-2017-4,neutral,0.8693015575408936
5/9/2017 10:41:27 PM,Regency Centers Updates 2017 Earnings Guidance - Quick Facts ,RTTNews,/news/stocks/regency-centers-updates-2017-earnings-guidance-quick-facts-1001996134,neutral,0.9260011911392212
5/10/2017 1:48:05 AM,Regency Centers Corp. Q1 Income Advances 45%,RTTNews,/news/stocks/regency-centers-corp-q1-income-advances-45-1001996567,neutral,0.8921945095062256
5/26/2017 12:20:03 AM,"Retail REIT shares rally as fear of e-commerce competition ebbs (SHLD, MAC, GGP, SPG, BK, REG, TCO)",Reuters,http://www.businessinsider.com/r-retail-reit-shares-rally-as-fear-of-e-commerce-competition-ebbs-2017-5,negative,0.8542917966842651
6/8/2017 4:39:00 PM,RealFoundations Guides Successful Merger of Equity One with Regency Centers,PR Newswire,/news/stocks/realfoundations-guides-successful-merger-of-equity-one-with-regency-centers-1002078997,positive,0.6052743792533875
6/14/2017 10:38:05 PM,BRIEF-Regency Centers says entered amendment to forward sale agreement (REG),Reuters,http://www.businessinsider.com/r-brief-regency-centers-says-entered-amendment-to-forward-sale-agreement-2017-6,neutral,0.8438391089439392
6/27/2017 10:42:06 PM,BRIEF-Regency Centers prices $300 mln of senior unsecured notes (REG),Reuters,http://www.businessinsider.com/r-brief-regency-centers-prices-300-mln-of-senior-unsecured-notes-2017-6,neutral,0.936766505241394
7/13/2017 10:18:05 PM,BRIEF-Regency Centers announces redemption of series 7 preferred shares (REG),Reuters,http://www.businessinsider.com/r-brief-regency-centers-announces-redemption-of-series-7-preferred-shares-2017-7,neutral,0.9236888885498047
7/19/2017 3:24:03 PM,BRIEF-Regency Centers reports consent solicitation with respect to 3.75 pct senior notes due 2022 (REG),Reuters,http://www.businessinsider.com/r-brief-regency-centers-reports-consent-solicitation-with-respect-to-375-pct-senior-notes-due-2022-2017-7,neutral,0.8681626915931702
8/3/2017 10:57:06 PM,Regency Centers Corp. Announces 95% Increase In Q2 Bottom Line,RTTNews,/news/stocks/regency-centers-corp-announces-95-increase-in-q2-bottom-line-1002232114,positive,0.9327747821807861
8/3/2017 11:52:03 PM,BRIEF-Regency Centers qtrly ‍NAREIT FFO $0.84 per diluted share​ (REG),Reuters,http://www.businessinsider.com/r-brief-regency-centers-qtrly-nareit-ffo-084-per-diluted-share-2017-8,neutral,0.931811511516571
8/8/2017 12:15:00 PM,"Technical Snapshots for These REIT Stocks -- Macerich, Pennsylvania REIT, Regency Centers, and Retail Properties of America",PR Newswire,/news/stocks/technical-snapshots-for-these-reit-stocks-macerich-pennsylvania-reit-regency-centers-and-retail-properties-of-america-1002239859,neutral,0.9395157098770142
8/31/2017 10:32:12 PM,BRIEF-Regency Centers reports minimal damage from Hurricane Harvey (REG),Reuters,http://www.businessinsider.com/r-brief-regency-centers-reports-minimal-damage-from-hurricane-harvey-2017-8,negative,0.66306072473526
10/24/2017 7:02:05 AM,"INSIGHT-Amazon rivals turn to legal fine print to stem Whole Foods strategy (TGT, AMZN, BBBY, BBY, REG)",Reuters,http://www.businessinsider.com/r-insight-amazon-rivals-turn-to-legal-fine-print-to-stem-whole-foods-strategy-2017-10,neutral,0.8198789358139038
10/24/2017 1:02:13 PM,"RPT-INSIGHT-Amazon rivals turn to legal fine print to stem Whole Foods strategy (TGT, AMZN, BBBY, BBY, REG)",Reuters,http://www.businessinsider.com/r-rpt-insight-amazon-rivals-turn-to-legal-fine-print-to-stem-whole-foods-strategy-2017-10,neutral,0.7184326648712158
11/1/2017 9:31:33 PM,Regency Centers Corp. Profit Advances 92% In Q3,RTTNews,/news/stocks/regency-centers-corp-profit-advances-92-in-q3-1006496820,positive,0.9260051846504211
11/1/2017 10:13:15 PM,Regency Centers Updates Earnings Guidance - Quick Facts ,RTTNews,/news/stocks/regency-centers-updates-earnings-guidance-quick-facts-1006501134,neutral,0.9134653210639954
1/11/2018 2:23:59 PM,Regency Centers Updates FY17 Earnings Guidance; Announces 2018 Guidance ,RTTNews,/news/stocks/regency-centers-updates-fy17-earnings-guidance-announces-2018-guidance-1012916211,neutral,0.8506336808204651
2/8/2018 10:50:16 PM,EARNINGS SUMMARY: Details of Regency Centers Corp. Q4 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-regency-centers-corp-q4-earnings-report-1015153167,neutral,0.9300804138183594
4/30/2018 11:15:22 PM,Regency Centers Corp. Q1 adjusted earnings Beat Estimates,RTTNews,/news/stocks/regency-centers-corp-q1-adjusted-earnings-beat-estimates-1022931943,positive,0.787061870098114
4/30/2018 11:35:10 PM,BRIEF-Regency Centers Reports Qtrly EPS Of $0.31,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/0GeQP6r6Vo4/brief-regency-centers-reports-qtrly-eps-of-0-31-idUSFWN1S71CZ,neutral,0.5508214235305786
5/1/2018 12:03:15 AM,Regency Centers Updates FY18 Guidance - Quick Facts ,RTTNews,/news/stocks/regency-centers-updates-fy18-guidance-quick-facts-1022936092,neutral,0.9393530488014221
