datetime,title,source,link,sentiment_class,sentiment_score
11/11/2016 6:20:30 AM,"Bud Light is more than twice as popular as the closest competitor in America (BUD, TAP)",Business Insider,http://www.businessinsider.com/bud-light-most-popular-beer-in-us-2016-11,neutral,0.5646237134933472
11/17/2016 1:16:18 AM,"Trump victory pushing U.S. fund managers into small-cap shares (AMZN, CVG, SIVB, NP, TAP)",Reuters,http://www.businessinsider.com/r-trump-victory-pushing-us-fund-managers-into-small-cap-shares-2016-11,neutral,0.778318464756012
11/18/2016 2:48:18 AM,BRIEF-Molson Coors appoints Tracey Joubert CFO (TAP),Reuters,http://www.businessinsider.com/r-brief-molson-coors-appoints-tracey-joubert-cfo-2016-11,neutral,0.9125322699546814
11/25/2016 3:14:18 PM,"BRIEF-Molson Coors Brewing says new CFO's monthly base compensation will be $54,166.66 (TAP)",Reuters,http://www.businessinsider.com/r-brief-molson-coors-brewing-says-new-cfos-monthly-base-compensation-will-be-5416666-2016-11,neutral,0.8811523914337158
2/14/2017 2:39:30 PM,Molson Coors Brewing Company Announces 16% Gain In Q4 Earnings,RTTNews,/news/stocks/molson-coors-brewing-company-announces-16-gain-in-q4-earnings-1001748818,positive,0.9213811755180359
2/14/2017 2:54:10 PM,Molson Coors' quarterly sales fall 4.2 percent (TAP),Reuters,http://www.businessinsider.com/r-molson-coors-quarterly-sales-fall-42-percent-2017-2,negative,0.9732822775840759
2/14/2017 2:58:10 PM,BRIEF-Molson Coors reports Q4 underlying net income per share $0.46 (TAP),Reuters,http://www.businessinsider.com/r-brief-molson-coors-reports-q4-underlying-net-income-per-share-046-2017-2,neutral,0.8752215504646301
2/14/2017 3:24:10 PM,UPDATE 1-Molson Coors' quarterly sales miss estimates (TAP),Reuters,http://www.businessinsider.com/r-update-1-molson-coors-quarterly-sales-miss-estimates-2017-2,negative,0.5647938251495361
2/14/2017 3:24:16 PM,Molson Coors Brewing Q4 Adj. Profit Misses Estimates ,RTTNews,/news/stocks/molson-coors-brewing-q4-adj-profit-misses-estimates-1001749158,negative,0.9266400933265686
2/14/2017 6:46:10 PM,BRIEF-Molson Coors says it expects 2017 capex of $750 mln (TAP),Reuters,http://www.businessinsider.com/r-brief-molson-coors-says-it-expects-2017-capex-of-750-mln-2017-2,neutral,0.906816840171814
2/17/2017 12:28:11 AM,"BRIEF-Molson Coors Brewing Company announces regular quarterly dividend (TAP, TPX.)",Reuters,http://www.businessinsider.com/r-brief-molson-coors-brewing-company-announces-regular-quarterly-dividend-2017-2,neutral,0.8566142320632935
2/27/2017 11:18:13 PM,BRIEF-Molson Coors and Canadian Union Of Brewery and General Workers Local 325 have new agreement after union membership ratified 4-year contract (TAP),Reuters,http://www.businessinsider.com/r-brief-molson-coors-and-canadian-union-of-brewery-and-general-workers-local-325-have-new-agreement-after-union-membership-ratified-4-year-contract-2017-2,positive,0.9236540198326111
3/6/2017 2:32:21 PM,BRIEF-Antares Pharma reported a preliminary net loss per share of $0.03 (TAP),Reuters,http://www.businessinsider.com/r-brief-antares-pharma-reported-a-preliminary-net-loss-per-share-of-003-2017-3,negative,0.9389830827713013
3/6/2017 2:38:21 PM,BRIEF-Molson Coors Brewing Co announces proposed offering of United States dollar-denominated senior notes (TAP),Reuters,http://www.businessinsider.com/r-brief-molson-coors-brewing-co-announces-proposed-offering-of-united-states-dollar-denominated-senior-notes-2017-3,neutral,0.7725244164466858
3/6/2017 11:20:23 PM,BRIEF-Molson Coors Brewing Company announces pricing of its offering of U.S. dollar-denominated senior notes (TAP),Reuters,http://www.businessinsider.com/r-brief-molson-coors-brewing-company-announces-pricing-of-its-offering-of-us-dollar-denominated-senior-notes-2017-3,neutral,0.8163765072822571
3/7/2017 10:32:22 AM,BRIEF-Molson Coors announces proposed offering of euro-denominated senior floating rate notes (TAP),Reuters,http://www.businessinsider.com/r-brief-molson-coors-announces-proposed-offering-of-euro-denominated-senior-floating-rate-notes-2017-3,neutral,0.8692049384117126
3/7/2017 2:04:21 PM,"Corporates launch funding frenzy in busiest day of year (TAP, PCLN, TMO)",Reuters,http://www.businessinsider.com/r-corporates-launch-funding-frenzy-in-busiest-day-of-year-2017-3,neutral,0.5323607325553894
3/7/2017 7:26:21 PM,BRIEF-Molson Coors Brewing announces pricing euro-denominated senior notes offering (TAP),Reuters,http://www.businessinsider.com/r-brief-molson-coors-brewing-announces-pricing-euro-denominated-senior-notes-offering-2017-3,neutral,0.8827109932899475
3/20/2017 12:05:00 PM,"Research Reports on Beverages Equities -- Ambev, Anheuser-Busch InBev, Molson Coors Brewing, and Fomento Economico Mexicano",PR Newswire,/news/stocks/research-reports-on-beverages-equities-ambev-anheuser-busch-inbev-molson-coors-brewing-and-fomento-economico-mexicano-1001849498,neutral,0.9231235384941101
4/5/2017 9:56:53 PM,BRIEF-Molson Coors Brewing says CEO Mark Hunter's total compensation for 2016 was $8.9 mln (TAP),Reuters,http://www.businessinsider.com/r-brief-molson-coors-brewing-says-ceo-mark-hunters-total-compensation-for-2016-was-89-mln-2017-4,neutral,0.6881499290466309
4/24/2017 12:05:00 PM,"Research Reports on Beverages Equities -- Ambev, Anheuser-Busch, Molson Coors, and Fomento Economico",PR Newswire,/news/stocks/research-reports-on-beverages-equities-ambev-anheuser-busch-molson-coors-and-fomento-economico-1001941379,neutral,0.9363157153129578
5/3/2017 2:03:57 PM,Molson Coors Brewing Company Reveals 45% Increase In Q1 Profit,RTTNews,/news/stocks/molson-coors-brewing-company-reveals-45-increase-in-q1-profit-1001974318,positive,0.9335024356842041
5/3/2017 2:26:05 PM,"BRIEF-Molson coors reports qtrly EPS $0.93 from continuing operations (TAP, TPX.)",Reuters,http://www.businessinsider.com/r-brief-molson-coors-reports-qtrly-eps-093-from-continuing-operations-2017-5,negative,0.7535046339035034
5/12/2017 11:06:02 PM,"BRIEF-Third Point cuts share stake in Facebook, JPMorgan, ups in Alphabet (AA, CRM, CB, TAP, JPM)",Reuters,http://www.businessinsider.com/r-brief-third-point-cuts-share-stake-in-facebook-jpmorgan-ups-in-alphabet-2017-5,neutral,0.9108262062072754
5/19/2017 12:50:03 AM,"BRIEF-Molson Coors Brewing Co declares regular quarterly dividend (TAP, TPX.)",Reuters,http://www.businessinsider.com/r-brief-molson-coors-brewing-co-declares-regular-quarterly-dividend-2017-5,neutral,0.5997540950775146
6/2/2017 12:15:00 PM,"Technical Reports on Beverages - Brewers Equities -- Ambev, Anheuser-Busch InBev, Molson Coors Brewing, and Fomento Economico Mexicano",PR Newswire,/news/stocks/technical-reports-on-beverages-brewers-equities-ambev-anheuser-busch-inbev-molson-coors-brewing-and-fomento-economico-mexicano-1002062801,neutral,0.9218671917915344
6/6/2017 3:00:00 PM,HEINEKEN and Molson Coors Sign Import Agreement for Sol Beer in the US,PR Newswire,/news/stocks/heineken-and-molson-coors-sign-import-agreement-for-sol-beer-in-the-us-1002070664,positive,0.932853102684021
6/6/2017 3:12:03 PM,"BRIEF-Heineken and Molson Coors sign import agreement for sol beer in the US (TAP, HEIA)",Reuters,http://www.businessinsider.com/r-brief-heineken-and-molson-coors-sign-import-agreement-for-sol-beer-in-the-us-2017-6,positive,0.8963448405265808
6/28/2017 8:34:04 PM,A controversial '90s-era beverage that was pulled from shelves during the Recession is back with a vengeance (TAP),Business Insider,http://www.businessinsider.com/zima-is-back-after-being-pulled-from-shelves-in-2008-2017-6,neutral,0.7609626054763794
7/6/2017 12:16:46 AM,Molson Coors: Swanky New Montreal Brewery On Tap ,RTTNews,/news/stocks/molson-coors-swanky-new-montreal-brewery-on-tap-1002150538,neutral,0.8828418850898743
7/12/2017 3:22:05 PM,"BRIEF-Molson Coors and Hornell Brewing sign licensing deal for Arnold Palmer Spiked Half & Hal (TAP, TPX.)",Reuters,http://www.businessinsider.com/r-brief-molson-coors-and-hornell-brewing-sign-licensing-deal-for-arnold-palmer-spiked-half--hal-2017-7,neutral,0.7328550815582275
7/13/2017 12:38:03 PM,"BRIEF-Molson Coors Brewing Co - entered into a credit agreement by and among company, Molson Canada 2005, others (TAP)",Reuters,http://www.businessinsider.com/r-brief-molson-coors-brewing-co---entered-into-a-credit-agreement-by-and-among-company-molson-canada-2005-others-2017-7,neutral,0.8824167251586914
8/2/2017 1:10:45 PM,Molson Coors Brewing Company Q2 Income Advances 3%,RTTNews,/news/stocks/molson-coors-brewing-company-q2-income-advances-3-1002225871,neutral,0.6097574830055237
8/2/2017 1:37:03 PM,"BRIEF-Molson Coors Q2 earnings per share $1.49 (TAP, TPX.)",Reuters,http://www.businessinsider.com/r-brief-molson-coors-q2-earnings-per-share-149-2017-8,neutral,0.8257237672805786
8/14/2017 11:32:07 PM,"BRIEF-Soros Fund Management dissolves share stake in Chesapeake, Honeywell (CHK, GIS, HON, TAP)",Reuters,http://www.businessinsider.com/r-brief-soros-fund-management-dissolves-share-stake-in-chesapeake-honeywell-2017-8,neutral,0.8310701847076416
9/1/2017 12:05:00 PM,"Pre-Market Technical Recap on Consumer Goods Stocks -- Ambev, Anheuser Busch InBev, Molson Coors Brewing, and Constellation Brands",PR Newswire,/news/stocks/pre-market-technical-recap-on-consumer-goods-stocks-ambev-anheuser-busch-inbev-molson-coors-brewing-and-constellation-brands-1002301531,neutral,0.9445750117301941
9/12/2017 1:43:00 PM,"Moody's: US craft beer sales growth slowing, but will still outperform declining mainstream brews",Moodys,/news/bonds/moody-s-us-craft-beer-sales-growth-slowing-but-will-still-outperform-declining-mainstream-brews-1002361596,positive,0.8702481389045715
10/18/2017 11:07:14 PM,"GRAPHIC-Stocks to watch as NAFTA's future remains in doubt (KSU, CL, AXL, MAG, LNR, MRE, NSC, UNP, CNR, CP, CGI, WERN, SAFM, SAP, TATE, STZ, TAP, SU, CNQ, DE, AGCO, GIL, UFI, BIMBOA, GRUMAB, PE&,...",Reuters,http://www.businessinsider.com/r-graphic-stocks-to-watch-as-naftas-future-remains-in-doubt-2017-10,neutral,0.9159337878227234
11/1/2017 12:08:12 PM,Molson Coors Brewing Company Bottom Line Drops 4% In Q3,RTTNews,/news/stocks/molson-coors-brewing-company-bottom-line-drops-4-in-q3-1006438310,negative,0.9719095826148987
11/1/2017 12:22:12 PM,BRIEF-Molson Coors Brewing Co reports Q3 earnings per share of $1.29‍​ (TAP),Reuters,http://www.businessinsider.com/r-brief-molson-coors-brewing-co-reports-q3-earnings-per-share-of-129-2017-11,neutral,0.7117682695388794
11/9/2017 5:19:47 AM,"Tyson Foods Appoints Molson Coors' Stewart Glendinning As CFO, Effective Feb. 10 ",RTTNews,/news/stocks/tyson-foods-appoints-molson-coors-stewart-glendinning-as-cfo-effective-feb-10-1007376344,neutral,0.8732282519340515
11/23/2017 12:30:00 PM,Silvercorp Announces Share Repurchase Program,PR Newswire,/news/stocks/silvercorp-announces-share-repurchase-program-536052,neutral,0.9049274921417236
11/29/2017 5:25:22 AM,Molson Coors Promotes Sergey Yeskov To Molson Coors Intl CEO ,RTTNews,/news/stocks/molson-coors-promotes-sergey-yeskov-to-molson-coors-intl-ceo-1009875642,neutral,0.9437085390090942
12/1/2017 11:12:06 PM,BRIEF-MillerCoors Purchases Group Annuity Contract to Secure Pension Benefits (TAP),Reuters,http://www.businessinsider.com/r-brief-millercoors-purchases-group-annuity-contract-to-secure-pension-benefits-2017-12,neutral,0.8074517846107483
12/1/2017 11:17:04 PM,"BRIEF-Athene Holding says Under Pension Buyout Agreement With Millercoors, Co's Unit Will Issue Group Annuity Contract To Millercoors​ (TAP)",Reuters,http://www.businessinsider.com/r-brief-athene-holding-says-under-pension-buyout-agreement-with-millercoors-cos-unit-will-issue-group-annuity-contract-to-millercoors-2017-12,positive,0.5766480565071106
12/19/2017 3:57:03 PM,"UPDATE 1-Packaging company Crown Holdings to buy Signode in $3.91 bln deal (CCK, PG, KO, TAP, BN, ULVR)",Reuters,http://www.businessinsider.com/r-update-1-packaging-company-crown-holdings-to-buy-signode-in-391-bln-deal-2017-12,neutral,0.8983657360076904
1/10/2018 6:15:41 PM,Molson Coors Posting Strong Gain After Barclays Initiates At Overweight ,RTTNews,/news/stocks/molson-coors-posting-strong-gain-after-barclays-initiates-at-overweight-1012829616,positive,0.8652383089065552
2/14/2018 1:05:22 PM,Molson Coors Brewing Company Q4 Income Advances,RTTNews,/news/stocks/molson-coors-brewing-company-q4-income-advances-1015758242,neutral,0.8813470005989075
2/14/2018 1:13:56 PM,Molson Coors Lifts Three-year Cost Savings Target To $600 Mln - Quick Facts ,RTTNews,/news/stocks/molson-coors-lifts-three-year-cost-savings-target-to-600-mln-quick-facts-1015759126,positive,0.9410609602928162
5/2/2018 1:30:08 PM,"Molson Coors Brewing Q1 Profit Increases, But Underlying Profit Down ",RTTNews,/news/stocks/molson-coors-brewing-q1-profit-increases-but-underlying-profit-down-1023128955,positive,0.6853021383285522
5/2/2018 1:47:49 PM,Molson Coors Brewing Company Q1 adjusted earnings of $0.48 per share,RTTNews,/news/stocks/molson-coors-brewing-company-q1-adjusted-earnings-of-0-48-per-share-1023130707,neutral,0.6875512599945068
6/18/2018 4:30:06 PM,JetBlue's founder is reportedly raising $100 million to start a new low-cost airline,Business Insider,http://www.businessinsider.com/jetblues-founder-reportedly-raising-100-million-for-low-cost-airline-moxy-2018-6,neutral,0.7202484607696533
6/24/2018 3:06:05 PM,JetBlue’s founder wants to turn a 73-year-old airline and its home in Portugal into the next gateway into Europe,Business Insider,http://www.businessinsider.com/jetblues-founder-david-neeleman-tap-portugual-gateway-to-europe-2018-6,neutral,0.6057254672050476
6/26/2018 2:30:00 PM,Taptica Honored With 13 Recent Industry Award Wins and Finalist Rankings,GlobeNewswire,/news/stocks/taptica-honored-with-13-recent-industry-award-wins-and-finalist-rankings-1027318347,positive,0.8494154810905457
7/31/2018 3:02:53 PM,Molson Coors Brewing Company (MCBC) is about to announce earnings — here's what Wall Street expects,Markets Insider Automation,/news/stocks/molson_coors_brewing_company_(mcbc)-stock-price-q2-earnings-preview-1027416856,neutral,0.9319412112236023
8/1/2018 11:23:53 AM,"Molson Coors Canada, HEXO To Form JV For Cannabis-infused Beverages ",RTTNews,/news/stocks/molson-coors-canada-hexo-to-form-jv-for-cannabis-infused-beverages-1027420306,neutral,0.9013990759849548
8/1/2018 1:17:46 PM,Molson Coors Brewing Company Q2 adjusted earnings Beat Estimates,RTTNews,/news/stocks/molson-coors-brewing-company-q2-adjusted-earnings-beat-estimates-1027420759,negative,0.5534998178482056
8/3/2018 5:01:24 PM,Molson Coors To Launch Marijuana-infused Beverages In Canada ,RTTNews,/news/stocks/molson-coors-to-launch-marijuana-infused-beverages-in-canada-1027430005,neutral,0.6706489324569702
8/6/2018 9:54:04 PM,"MillerCoors is killing the beer it created to win over millennials, just months after introducing the brew (TAP)",Business Insider,https://www.businessinsider.com/millercoors-kills-beer-for-millennials-2018-8,neutral,0.8708035349845886
9/5/2018 5:15:06 PM,MillerCoors is slashing jobs as Coors Light struggles and millennials ditch beer (TAP),Business Insider,https://www.businessinsider.com/millercoors-slashes-jobs-as-coors-light-struggles-2018-9,negative,0.9551270008087158
9/10/2018 10:00:03 PM,JetBlue's founder explains why his new airline bought the $300 million Airbus jet that others don't want,Business Insider,https://www.businessinsider.com/jetblue-founder-david-neeleman-explains-why-tap-ordered-airbus-a330neo-2018-9,neutral,0.9170580506324768
10/30/2018 3:03:29 PM,Molson Coors Brewing Company (MCBC) earnings: here's what Wall Street expects,Markets Insider Automation,/news/stocks/molson_coors_brewing_company_(mcbc)-q3-quarterly-earnings-preview-1027671876,neutral,0.9216119647026062
10/31/2018 12:17:09 PM,Molson Coors Brewing Company Q3 adjusted earnings Beat Estimates,RTTNews,/news/stocks/molson-coors-brewing-company-q3-adjusted-earnings-beat-estimates-1027675579,negative,0.47376981377601624
2/4/2019 2:30:00 PM,Taptica Strengthens Video Advertising Leadership with Acquisition of RhythmOne for 176M USD,GlobeNewswire,/news/stocks/taptica-strengthens-video-advertising-leadership-with-acquisition-of-rhythmone-for-176m-usd-1027920808,positive,0.939879298210144
2/11/2019 3:02:34 PM,Molson Coors Brewing Company (MCBC) earnings: here's what Wall Street expects,Markets Insider Automation,/news/stocks/molson_coors_brewing_company_(mcbc)-quarter-earnings-preview-q4-1027941287,neutral,0.9216119647026062
2/12/2019 1:15:48 PM,Molson Coors Brewing To Restate Financials For 2017 And 2016 - Quick Facts ,RTTNews,/news/stocks/molson-coors-brewing-to-restate-financials-for-2017-and-2016-quick-facts-1027944699,neutral,0.8722673058509827
2/12/2019 1:25:51 PM,Molson Coors Brewing Company Q4 adjusted earnings Beat Estimates,RTTNews,/news/stocks/molson-coors-brewing-company-q4-adjusted-earnings-beat-estimates-1027944721,positive,0.5775617361068726
2/12/2019 1:34:32 PM,Molson Coors Brewing Q4 Profit Drops; Stock Down ,RTTNews,/news/stocks/molson-coors-brewing-q4-profit-drops-stock-down-1027944748,negative,0.9694021344184875
2/12/2019 7:15:06 PM,Beer giant Molson Coors slides after missing on sales and saying it made accounting errors (TAP),Business Insider,https://markets.businessinsider.com/news/stocks/molson-coors-stock-price-slides-on-sales-miss-accounting-errors-2019-2-1027946661,negative,0.9303049445152283
2/13/2019 10:11:00 PM,Molson Coors International LP -- Moody's announces completion of a periodic review of ratings of Molson Coors Brewing Company,Moodys,/news/bonds/molson-coors-international-lp-moody-s-announces-completion-of-a-periodic-review-of-ratings-of-molson-coors-brewing-company-1027950878,neutral,0.8458836674690247
3/22/2019 4:30:09 PM,"MillerCoors is suing the maker of Bud Light over its controversial Super Bowl ads about corn syrup in beer (AB, TAP)",Business Insider,https://www.businessinsider.com/millercoors-sues-bud-light-maker-over-super-bowl-ad-2019-3,negative,0.9148331880569458
4/30/2019 3:02:46 PM,Here's what Wall Street expects from Molson Coors Brewing Company (MCBC)'s earnings,Markets Insider Automation,/news/stocks/molson_coors_brewing_company_(mcbc)-q1-earnings-preview-stock-1028153998,neutral,0.9315807819366455
5/1/2019 1:21:41 PM,Molson Coors Brewing Company Q1 adjusted earnings Miss Estimates,RTTNews,/news/stocks/molson-coors-brewing-company-q1-adjusted-earnings-miss-estimates-1028157401,negative,0.9482609033584595
