Unnamed: 0,datetime,title,source,link
0.0,9/1/2006 12:02:00 AM,Albemarle Divests Thann Facility to International Chemical Investors,PR Newswire,/news/stocks/albemarle-divests-thann-facility-to-international-chemical-investors-1029891928
1.0,11/30/2006 10:12:00 PM,Albemarle Raises Price of FCC Catalysts,PR Newswire,/news/stocks/albemarle-raises-price-of-fcc-catalysts-1020272588
2.0,9/24/2007 2:42:00 PM,Albemarle to Launch New Generation of Fine Precipitated ATH,PR Newswire,/news/stocks/albemarle-to-launch-new-generation-of-fine-precipitated-ath-1028107976
3.0,3/31/2008 10:24:00 PM,"Albemarle Promotes Niomi Krzystowczyk to Division Vice President, Health, Safety and Environment",PR Newswire,/news/stocks/albemarle-promotes-niomi-krzystowczyk-to-division-vice-president-health-safety-and-environment-375860
4.0,10/5/2016 2:10:26 PM,"INSIGHT-Electric car revolution brightens outlook for a medley of metals (ORE, 000831, 600549, ALB, SQM, S)",Reuters,/news/stocks/insight-electric-car-revolution-brightens-outlook-for-a-medley-of-metals-ore-000831-600549-alb-sqm-s-1001437221
5.0,10/5/2016 2:20:23 PM,"RPT-INSIGHT-Electric car revolution brightens outlook for a medley of metals (ORE, 000831, 600549, ALB, SQM, S)",Reuters,/news/stocks/rpt-insight-electric-car-revolution-brightens-outlook-for-a-medley-of-metals-ore-000831-600549-alb-sqm-s-1001437547
6.0,11/8/2016 9:24:18 AM,BRIEF-Albemarle posts Q3 adj. earnings $0.91/shr from continuing operations (ALB),Reuters,http://www.businessinsider.com/r-brief-albemarle-posts-q3-adj-earnings-091/shr-from-continuing-operations-2016-11
7.0,11/8/2016 12:04:20 PM,BRIEF-Albemarle board of directors elects Luke Kissam as chairman (ALB),Reuters,http://www.businessinsider.com/r-brief-albemarle-board-of-directors-elects-luke-kissam-as-chairman-2016-11
8.0,11/30/2016 7:54:06 PM,"BRIEF-Albemarle - Tianqi to acquire 20% indirect ownership interest in Rockwood Lithium GmbH, units (ALB)",Reuters,http://www.businessinsider.com/r-brief-albemarle---tianqi-to-acquire-20-indirect-ownership-interest-in-rockwood-lithium-gmbh-units-2016-11
9.0,12/3/2016 3:16:03 PM,BRIEF-Albemarle price increases for select brominated products (ALB),Reuters,http://www.businessinsider.com/r-brief-albemarle-price-increases-for-select-brominated-products-2016-12
10.0,1/11/2017 3:00:03 AM,BRIEF-Albemarle announces pricing of tender offers (ALB),Reuters,http://www.businessinsider.com/r-brief-albemarle-announces-pricing-of-tender-offers-2017-1
11.0,1/19/2017 3:16:04 PM,"BRIEF-Albemarle says as of Jan. 18, total of EUR 533.3 mln aggregate principal amount of 2021 notes had been validly tendered (ALB)",Reuters,http://www.businessinsider.com/r-brief-albemarle-says-as-of-jan-18-total-of-eur-5333-mln-aggregate-principal-amount-of-2021-notes-had-been-validly-tendered-2017-1
12.0,2/14/2017 4:28:12 PM,Electric cars could spike cobalt prices to their highest levels since the financial crisis,Reuters,http://www.businessinsider.com/r-electric-car-boom-spurs-investor-scramble-for-cobalt-2017-2
13.0,2/23/2017 12:04:12 AM,"BRIEF-Albemarle and Tianqi terminate option for indirect minority interest in Albemarle subsidiary (002466, ALB)",Reuters,http://www.businessinsider.com/r-brief-albemarle-and-tianqi-terminate-option-for-indirect-minority-interest-in-albemarle-subsidiary-2017-2
14.0,2/24/2017 12:55:00 AM,Albemarle raises dividend for 23rd consecutive year,PR Newswire,/news/stocks/albemarle-raises-dividend-for-23rd-consecutive-year-1001779477
15.0,2/24/2017 1:54:12 AM,BRIEF-Albemarle raises dividend for 23rd consecutive year (ALB),Reuters,http://www.businessinsider.com/r-brief-albemarle-raises-dividend-for-23rd-consecutive-year-2017-2
16.0,2/27/2017 6:56:13 PM,"Albemarle's Chilean lithium plant partially closed after storm (ALB, SQM-)",Reuters,http://www.businessinsider.com/r-albemarles-chilean-lithium-plant-partially-closed-after-storm-2017-2
17.0,2/27/2017 11:05:00 PM,Albemarle reports strong 2016 earnings finish and record cash flow from operations,PR Newswire,/news/stocks/albemarle-reports-strong-2016-earnings-finish-and-record-cash-flow-from-operations-1001787699
18.0,2/27/2017 11:36:16 PM,BRIEF-Albemarle Q4 earnings per share $5.30 (ALB),Reuters,http://www.businessinsider.com/r-brief-albemarle-q4-earnings-per-share-530-2017-2
19.0,2/27/2017 11:42:12 PM,Albemarle Issues Outlook - Quick Facts ,RTTNews,/news/stocks/albemarle-issues-outlook-quick-facts-1001787785
20.0,2/28/2017 1:45:00 PM,"Technical Roundup on Specialty Chemicals Stocks -- Chemours, PPG Industries, Green Plains, and Albemarle",PR Newswire,/news/stocks/technical-roundup-on-specialty-chemicals-stocks-chemours-ppg-industries-green-plains-and-albemarle-1001789884
21.0,3/1/2017 4:15:00 PM,FinancialBuzz.com: Lithium Demand Affected by the Increasing Popularity of Electric Vehicles,PR Newswire,/news/stocks/financialbuzz-com-lithium-demand-affected-by-the-increasing-popularity-of-electric-vehicles-1001795491
22.0,3/6/2017 4:26:21 PM,"US STOCKS-Wall St slips on wiretap accusation, geopolitical worries (NFLX, ALB, TSN)",Reuters,http://www.businessinsider.com/r-us-stocks-wall-st-slips-on-wiretap-accusation-geopolitical-worries-2017-3
23.0,3/16/2017 10:30:00 AM,"Albemarle Hosts Investor Day Today in New York City: March 16, 2017",PR Newswire,/news/stocks/albemarle-hosts-investor-day-today-in-new-york-city-march-16-2017-1001841027
24.0,3/16/2017 11:30:43 AM,BRIEF-Albemarle positioned to double lithium concentrate production at Greenbushes facility (ALB),Reuters,http://www.businessinsider.com/r-brief-albemarle-positioned-to-double-lithium-concentrate-production-at-greenbushes-facility-2017-3
25.0,3/17/2017 6:54:48 PM,BRIEF-Albemarle CEO Luther Kissam's FY 2016 total compensation was $8.4 mln (ALB),Reuters,http://www.businessinsider.com/r-brief-albemarle-ceo-luther-kissams-fy-2016-total-compensation-was-84-mln-2017-3
26.0,3/21/2017 2:00:00 PM,The Lithium Market Sees Demand From Consumer Electronics and Automotive Sector,PR Newswire,/news/stocks/the-lithium-market-sees-demand-from-consumer-electronics-and-automotive-sector-1001854007
27.0,3/27/2017 2:00:00 PM,2017 is Set to be an Epic Year for Copper,PR Newswire,/news/stocks/2017-is-set-to-be-an-epic-year-for-copper-1001869738
28.0,3/28/2017 2:30:00 PM,"Lithium Market Soaring, Driven by Battery-powered Electronics, Automotive Industries",PR Newswire,/news/stocks/lithium-market-soaring-driven-by-battery-powered-electronics-automotive-industries-1001873745
29.0,3/30/2017 2:00:00 PM,Why Copper Could be The Top Performing Commodity of 2017,PR Newswire,/news/stocks/why-copper-could-be-the-top-performing-commodity-of-2017-1001881709
30.0,4/5/2017 12:40:00 PM,"Research Reports Coverage on Specialty Chemicals Stocks -- Chemours, Olin, PPG Industries, and Albemarle",PR Newswire,/news/stocks/research-reports-coverage-on-specialty-chemicals-stocks-chemours-olin-ppg-industries-and-albemarle-1001897964
31.0,4/5/2017 11:05:00 PM,"Albemarle Corporation to release first quarter 2017 earnings results on May 3, 2017",PR Newswire,/news/stocks/albemarle-corporation-to-release-first-quarter-2017-earnings-results-on-may-3-2017-1001900436
32.0,4/10/2017 3:00:00 PM,Lithium Market and Electric Vehicles,PR Newswire,/news/stocks/lithium-market-and-electric-vehicles-1001910481
33.0,4/19/2017 11:43:00 PM,Albemarle Corporation to present at Goldman Sachs Basic Materials Conference,PR Newswire,/news/stocks/albemarle-corporation-to-present-at-goldman-sachs-basic-materials-conference-1001932495
34.0,4/26/2017 3:00:00 PM,The Innovation and Growth of the Lithium Market,PR Newswire,/news/stocks/the-innovation-and-growth-of-the-lithium-market-1001951715
35.0,5/1/2017 3:00:00 PM,Lithium and Cobalt Markets Benefit From Demand for Rechargeable Batteries,PR Newswire,/news/stocks/lithium-and-cobalt-markets-benefit-from-demand-for-rechargeable-batteries-1001965719
36.0,5/3/2017 11:51:25 PM,Albemarle Raises Annual Guidance - Quick Facts ,RTTNews,/news/stocks/albemarle-raises-annual-guidance-quick-facts-1001976833
37.0,5/4/2017 12:00:03 AM,BRIEF-Albemarle reports Q1 sales $722.1 million (ALB),Reuters,http://www.businessinsider.com/r-brief-albemarle-reports-q1-sales-7221-million-2017-5
38.0,5/11/2017 11:37:00 PM,Albemarle announces quarterly dividend,PR Newswire,/news/stocks/albemarle-announces-quarterly-dividend-1002006146
39.0,5/18/2017 4:36:03 PM,"SQM says to expand lithium production as demand grows (SQM-, ALB, FMC)",Reuters,http://www.businessinsider.com/r-sqm-says-to-expand-lithium-production-as-demand-grows-2017-5
40.0,5/31/2017 1:55:00 PM,5 Innovative Companies That are Driving the Electric Car Boom,PR Newswire,/news/stocks/5-innovative-companies-that-are-driving-the-electric-car-boom-1002054332
41.0,6/5/2017 3:00:00 PM,The Growth of Lithium and Cobalt Demand From Electric Vehicles,PR Newswire,/news/stocks/the-growth-of-lithium-and-cobalt-demand-from-electric-vehicles-1002067318
42.0,6/7/2017 3:02:00 PM,How Hedge Funds are Undermining the Electric Car Boom,PR Newswire,/news/stocks/how-hedge-funds-are-undermining-the-electric-car-boom-1002074582
43.0,6/12/2017 3:00:00 PM,Lithium Boom 2.0 - The World's Hottest Commodity Just got Hotter,PR Newswire,/news/stocks/lithium-boom-2-0-the-world-s-hottest-commodity-just-got-hotter-1002085674
44.0,6/26/2017 11:05:00 PM,Laurie Brlas elected to Albemarle Corporation board of directors,PR Newswire,/news/stocks/laurie-brlas-elected-to-albemarle-corporation-board-of-directors-1002125324
45.0,6/26/2017 11:22:04 PM,BRIEF-Laurie Brlas gets elected to Albemarle board of directors (ALB),Reuters,http://www.businessinsider.com/r-brief-laurie-brlas-gets-elected-to-albemarle-board-of-directors-2017-6
46.0,6/27/2017 3:00:00 PM,Lithium Market in Demand Thanks to Electric Vehicles,PR Newswire,/news/stocks/lithium-market-in-demand-thanks-to-electric-vehicles-1002127617
47.0,6/27/2017 11:30:00 PM,"Albemarle Corporation to release second quarter 2017 earnings results on August 7, 2017",PR Newswire,/news/stocks/albemarle-corporation-to-release-second-quarter-2017-earnings-results-on-august-7-2017-1001806909
48.0,7/10/2017 9:12:05 PM,"Chile receives 12 bids for value-added lithium projects (ALB, 006400, UMI)",Reuters,http://www.businessinsider.com/r-chile-receives-12-bids-for-value-added-lithium-projects-2017-7
49.0,7/11/2017 3:00:00 PM,Team Velocity Marketing Appointed Tier 3 Agency Of Record For Bentley Motors Inc.,PR Newswire,/news/stocks/team-velocity-marketing-appointed-tier-3-agency-of-record-for-bentley-motors-inc-1001841028
50.0,7/19/2017 4:58:07 PM,"COLUMN-Lithium supply pipeline is filling but will it be enough? Andy Home (VOLV , TSLA, ORE, FMC, ALB, SQM-, GXY, 002460, LAC, KDR)",Reuters,http://www.businessinsider.com/r-column-lithium-supply-pipeline-is-filling-but-will-it-be-enough-andy-home-2017-7
