Unnamed: 0,datetime,title,source,link
0.0,9/6/2013 2:18:43 PM,American Tower to buy Global Tower in $4.8 billion deal,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/3x4Z1H5Za3s/story01.htm
1.0,11/24/2014 1:34:42 PM,"American Tower to buy over 4,800 Bharti Airtel phone masts in Nigeria",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/wU_-c-0cLMw/story01.htm
2.0,10/21/2015 8:17:29 AM,American Tower set to buy control of India's Viom Networks - sources,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/PMpeHBFrv20/story01.htm
3.0,10/21/2015 3:09:01 PM,American Tower to buy controlling stake in India's Viom for $1.2 billion,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/TOnKjAMIzIo/story01.htm
4.0,4/6/2016 12:17:23 PM,American Tower to invest $2 billion more in India - telecoms minister,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/bGFFbe5yOTo/story01.htm
5.0,9/29/2016 9:50:21 AM,BRIEF-American Tower Corp prices senior notes offering (AMT),Reuters,/news/stocks/brief-american-tower-corp-prices-senior-notes-offering-amt-1001425131
6.0,10/24/2016 4:22:19 PM,"3i Infrastructure among ten bidders for Antin's FPS Towers- sources (3IN, AMT)",Reuters,http://www.businessinsider.com/r-3i-infrastructure-among-ten-bidders-for-antins-fps-towers--sources-2016-10
7.0,10/24/2016 5:38:18 PM,"UPDATE 1-3i Infrastructure joins bidders for Antin's FPS Towers - sources (AMT, 3IN)",Reuters,http://www.businessinsider.com/r-update-1-3i-infrastructure-joins-bidders-for-antins-fps-towers---sources-2016-10
8.0,10/27/2016 1:26:21 PM,BRIEF-American Tower Corp and PGGM announce European joint venture (AMT),Reuters,http://www.businessinsider.com/r-brief-american-tower-corp-and-pggm-announce-european-joint-venture-2016-10
9.0,10/27/2016 2:16:18 PM,BRIEF-American Tower Q3 AFFO per share $1.42 (AMT),Reuters,http://www.businessinsider.com/r-brief-american-tower-q3-affo-per-share-142-2016-10
10.0,10/27/2016 2:30:18 PM,BRIEF-American Tower reports Q3 revenue $1.515 billion (AMT),Reuters,http://www.businessinsider.com/r-brief-american-tower-reports-q3-revenue-1515-billion-2016-10
11.0,11/9/2016 11:46:18 PM,BRIEF-American Tower Corp enters into an agreement to acquire a portfolio of urban telecommunications assets in Argentina - SEC filing (AMT),Reuters,http://www.businessinsider.com/r-brief-american-tower-corp-enters-into-an-agreement-to-acquire-a-portfolio-of-urban-telecommunications-assets-in-argentina---sec-filing-2016-11
12.0,12/1/2016 6:32:09 AM,BRIEF-American Tower Corp entered into three separate amendment agreements (AMT),Reuters,http://www.businessinsider.com/r-brief-american-tower-corp-entered-into-three-separate-amendment-agreements-2016-11
13.0,12/19/2016 3:30:03 PM,BRIEF-Antin Infrastructure Partners to sell FPS Towers to American Tower Corp and PGGM (AMT),Reuters,http://www.businessinsider.com/r-brief-antin-infrastructure-partners-to-sell-fps-towers-to-american-tower-corp-and-pggm-2016-12
