Unnamed: 0,datetime,title,source,link
0.0,2/27/2017 1:10:00 PM,Metso Expands on ANSYS Simulation Software to Drive Product Development,PR Newswire,/news/stocks/metso-expands-on-ansys-simulation-software-to-drive-product-development-1001785548
1.0,4/3/2017 12:15:00 PM,"How These Application Software Stocks are Faring? - Five9, Ansys, RealPage, and Trade Desk",PR Newswire,/news/stocks/how-these-application-software-stocks-are-faring-five9-ansys-realpage-and-trade-desk-1001889557
2.0,4/3/2017 1:17:00 PM,ANSYS Taps Matthew Zack to Lead Corporate Business Development,PR Newswire,/news/stocks/ansys-taps-matthew-zack-to-lead-corporate-business-development-1001889806
3.0,4/11/2017 1:10:00 PM,Flying High With ANSYS: ANSYS Achieves Aerospace Milestone,PR Newswire,/news/stocks/flying-high-with-ansys-ansys-achieves-aerospace-milestone-1001913373
4.0,5/2/2017 1:10:00 PM,Pratt & Whitney Standardizes on ANSYS Engineering Simulation,PR Newswire,/news/stocks/pratt-whitney-standardizes-on-ansys-engineering-simulation-1001968901
5.0,5/16/2017 1:10:00 PM,ANSYS 18.1 Expands Pervasive Engineering Simulation,PR Newswire,/news/stocks/ansys-18-1-expands-pervasive-engineering-simulation-1002016464
6.0,6/6/2017 1:10:00 PM,"ANSYS Delivers New Solutions For Reliable And Efficient Automotive, Mobile And HPC Electronic Designs",PR Newswire,/news/stocks/ansys-delivers-new-solutions-for-reliable-and-efficient-automotive-mobile-and-hpc-electronic-designs-1002070097
7.0,6/10/2017 12:16:00 AM,"Hilton Worldwide, Align Technology, ANSYS Set to Join S&P 500; Teradata and Ryder System to Join S&P MidCap 400",PR Newswire,/news/stocks/hilton-worldwide-align-technology-ansys-set-to-join-s-p-500-teradata-and-ryder-system-to-join-s-p-midcap-400-1002083221
8.0,6/20/2017 2:12:00 PM,ANSYS Appoints Janet Lee as General Counsel,PR Newswire,/news/stocks/ansys-appoints-janet-lee-as-general-counsel-1002107417
9.0,6/21/2017 1:09:00 PM,ANSYS And Krono-Safe Deliver Integrated Software Platform For Critical Aerospace Applications,PR Newswire,/news/stocks/ansys-and-krono-safe-deliver-integrated-software-platform-for-critical-aerospace-applications-1002111475
10.0,6/27/2017 1:10:00 PM,Emirates Team New Zealand Flies to the Finish Line of America's Cup Using ANSYS Solutions,PR Newswire,/news/stocks/emirates-team-new-zealand-flies-to-the-finish-line-of-america-s-cup-using-ansys-solutions-1002126892
11.0,7/11/2017 1:30:05 PM,BRIEF-Ansys acquires Computational Engineering International (ANSS),Reuters,http://www.businessinsider.com/r-brief-ansys-acquires-computational-engineering-international-2017-7
12.0,7/25/2017 1:10:00 PM,ANSYS Helps Startup Companies Worldwide Accelerate Product Development,PR Newswire,/news/stocks/ansys-helps-startup-companies-worldwide-accelerate-product-development-1002201507
13.0,8/3/2017 12:02:03 AM,BRIEF-ANSYS announces Q2 earnings per share $0.80 (ANSS),Reuters,http://www.businessinsider.com/r-brief-ansys-announces-q2-earnings-per-share-080-2017-8
14.0,8/22/2017 1:20:00 PM,ANSYS 18.2 Enhances Simulation Speed and Accuracy,PR Newswire,/news/stocks/ansys-18-2-enhances-simulation-speed-and-accuracy-1002274813
