Unnamed: 0,datetime,title,source,link
0.0,1/2/2020 11:23:01 PM,Financial health of Canadian defined benefit pension plans surges to end 2019,GlobeNewswire,/news/stocks/financial-health-of-canadian-defined-benefit-pension-plans-surges-to-end-2019-1028792307
1.0,10/29/2020 3:03:48 PM,Here's what Wall Street expects from Aon's earnings,Markets Insider Automation,/news/stocks/aon_2-stock-price-q3-earnings-preview-1029741869
2.0,1/25/2021 6:45:45 AM,Bill Foley's SPAC Nears $7.3B Deal To Take Alight Solutions Public: Report,Benzinga,/news/stocks/bill-foley-s-spac-nears-7-3b-deal-to-take-alight-solutions-public-report-1029997525
3.0,2/3/2021 3:02:05 PM,What Wall Street expects from Aon's earnings,Markets Insider Automation,/news/stocks/aon_2-q4-quarterly-earnings-preview-1030038645
4.0,2/5/2021 10:23:40 AM,"8 Stocks To Watch For February 5, 2021",Benzinga,/news/stocks/8-stocks-to-watch-for-february-5-2021-1030047675
5.0,2/11/2021 4:09:31 PM,"Benzinga's Top Ratings Upgrades, Downgrades For February 11, 2021",Benzinga,/news/stocks/benzinga-s-top-ratings-upgrades-downgrades-for-february-11-2021-1030073435
6.0,3/24/2021 4:29:02 PM,Expert Ratings for Aon,Benzinga,/news/stocks/expert-ratings-for-aon-1030241927
7.0,4/28/2021 3:02:23 PM,What Wall Street expects from Aon's earnings,Markets Insider Automation,/news/stocks/aon_2-q1-earnings-preview-1030358361
8.0,5/3/2021 3:36:39 PM,Analyst Ratings for Aon,Benzinga,/news/stocks/analyst-ratings-for-aon-1030379139
9.0,5/10/2021 5:26:20 PM,Stocks That Hit 52-Week Highs On Monday,Benzinga,/news/stocks/stocks-that-hit-52-week-highs-on-monday-1030410156
10.0,5/18/2021 6:39:22 PM,"Q1 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios",Benzinga,/news/stocks/q1-13f-roundup-how-buffett-einhorn-ackman-and-others-adjusted-their-portfolios-1030442901
11.0,5/22/2021 7:46:39 PM,"Benzinga's Bulls And Bears Of The Week: Apple, Home Depot, Nio, ViacomCBS And More",Benzinga,/news/stocks/benzinga-s-bulls-and-bears-of-the-week-apple-home-depot-nio-viacomcbs-and-more-1030456897
12.0,6/30/2021 8:57:00 PM,Canadian defined benefit pension plans' financial health continues to improve in Q2 2021: Aon report,PR Newswire,/news/stocks/canadian-defined-benefit-pension-plans-financial-health-continues-to-improve-in-q2-2021-aon-report-1030568852
13.0,7/1/2021 4:00:00 PM,"Transaction insurance products gain prominence amid M&A market rebound, according to Aon and Mergermarket",PR Newswire,/news/stocks/transaction-insurance-products-gain-prominence-amid-m-a-market-rebound-according-to-aon-and-mergermarket-1030572049
14.0,7/6/2021 4:00:00 PM,Introducing The Nicklaus - Jacklin Award Presented By AON,PR Newswire,/news/stocks/introducing-the-nicklaus-jacklin-award-presented-by-aon-1030582305
15.0,7/8/2021 3:30:00 PM,"Uncertainty remains, but insurers begin to reposition for growth: Aon's 2021 Canadian Insurance Market Report",PR Newswire,/news/stocks/uncertainty-remains-but-insurers-begin-to-reposition-for-growth-aon-s-2021-canadian-insurance-market-report-1030590106
16.0,7/9/2021 2:32:00 PM,European Commission Approval a Major Step for Pending Aon and Willis Towers Watson Combination,PR Newswire,/news/stocks/european-commission-approval-a-major-step-for-pending-aon-and-willis-towers-watson-combination-1030592976
17.0,7/9/2021 10:30:00 PM,Aon Announces Second Quarter 2021 Earnings Release and Conference Call,PR Newswire,/news/stocks/aon-announces-second-quarter-2021-earnings-release-and-conference-call-1030594176
18.0,7/12/2021 10:30:00 PM,Aon Declares Quarterly Dividend,PR Newswire,/news/stocks/aon-declares-quarterly-dividend-1030598720
19.0,7/26/2021 6:03:47 PM,48 Stocks Moving In Monday's Mid-Day Session,Benzinga,/news/stocks/48-stocks-moving-in-monday-s-mid-day-session-1030645900
20.0,7/27/2021 11:14:40 AM,74 Biggest Movers From Yesterday,Benzinga,/news/stocks/74-biggest-movers-from-yesterday-1030649081
21.0,7/28/2021 2:30:00 PM,Aon Establishes New Executive Committee to Lead the Firm Forward,PR Newswire,/news/stocks/aon-establishes-new-executive-committee-to-lead-the-firm-forward-1030656409
22.0,7/28/2021 3:02:27 PM,Aon is about to announce earnings — here's what Wall Street expects,Markets Insider Automation,/news/stocks/aon_2-q2-quarterly-earnings-preview-stock-1030656740
23.0,7/28/2021 4:23:04 PM,"Benzinga's Top Ratings Upgrades, Downgrades For July 28, 2021",Benzinga,/news/stocks/benzinga-s-top-ratings-upgrades-downgrades-for-july-28-2021-1030657262
24.0,7/30/2021 12:00:00 PM,Aon Reports Second Quarter 2021 Results,PR Newswire,/news/stocks/aon-reports-second-quarter-2021-results-1030667378
25.0,8/17/2021 4:12:00 PM,PGA TOUR's Matthew Wolff wins the Aon Risk Reward Challenge and $1 million prize,PR Newswire,/news/stocks/pga-tour-s-matthew-wolff-wins-the-aon-risk-reward-challenge-and-1-million-prize-1030738900
26.0,8/17/2021 4:12:00 PM,PGA TOUR's Matthew Wolff wins the Aon Risk Reward Challenge and $1 million prize,PR Newswire,/news/stocks/pga-tour-s-matthew-wolff-wins-the-aon-risk-reward-challenge-and-1-million-prize-1030738907
27.0,8/17/2021 4:34:00 PM,PGA TOUR's Matthew Wolff wins the Aon Risk Reward Challenge and $1 million prize,PR Newswire,/news/stocks/pga-tour-s-matthew-wolff-wins-the-aon-risk-reward-challenge-and-1-million-prize-1030739001
28.0,8/17/2021 6:02:00 PM,PGA TOUR's Matthew Wolff wins the Aon Risk Reward Challenge and $1 million prize,PR Newswire,/news/stocks/pga-tour-s-matthew-wolff-wins-the-aon-risk-reward-challenge-and-1-million-prize-1030739287
29.0,10/4/2021 4:02:09 PM,"Benzinga's Top Ratings Upgrades, Downgrades For October 4, 2021",Benzinga,/news/stocks/benzinga-s-top-ratings-upgrades-downgrades-for-october-4-2021-1030841024
30.0,10/15/2021 6:12:15 PM,Where Aon Stands With Analysts,Benzinga,/news/stocks/where-aon-stands-with-analysts-1030870067
31.0,10/27/2021 3:02:25 PM,What Wall Street expects from Aon's earnings,Markets Insider Automation,/news/stocks/aon_2-q3-quarterly-earnings-preview-stock-1030905455
32.0,11/1/2021 3:37:12 PM,"Benzinga's Top Ratings Upgrades, Downgrades For November 1, 2021",Benzinga,/news/stocks/benzinga-s-top-ratings-upgrades-downgrades-for-november-1-2021-1030922174
33.0,11/1/2021 5:22:13 PM,What 6 Analyst Ratings Have To Say About Aon,Benzinga,/news/stocks/what-6-analyst-ratings-have-to-say-about-aon-1030922517
34.0,11/4/2021 3:20:04 PM,"Benzinga's Top Ratings Upgrades, Downgrades For November 4, 2021",Benzinga,/news/stocks/benzinga-s-top-ratings-upgrades-downgrades-for-november-4-2021-1030937960
35.0,11/4/2021 9:43:03 PM,Analyst Ratings For Aon,Benzinga,/news/stocks/analyst-ratings-for-aon-1030939246
36.0,11/19/2021 4:08:55 PM,"Benzinga's Top Ratings Upgrades, Downgrades For November 19, 2021",Benzinga,/news/stocks/benzinga-s-top-ratings-upgrades-downgrades-for-november-19-2021-1030991825
37.0,1/24/2022 4:04:38 PM,Analyst Ratings For Aon,Benzinga,/news/stocks/analyst-ratings-for-aon-1031123091
38.0,2/3/2022 3:01:13 PM,Aon earnings preview: what to expect,Markets Insider Automation,/news/stocks/aon_2-q4-earnings-preview-stock-1031159024
39.0,4/4/2022 9:14:24 PM,U.S could face $2T loss each year by end of 21st century on climate change: White House,Seeking Alpha,https://seekingalpha.com/news/3820564-us-could-face-2t-loss-each-year-by-end-of-21st-century-on-climate-change-white-house?utm_source=markets.businessinsider.com&utm_medium=referral
40.0,4/14/2022 8:32:56 PM,Aon raises dividend by 10% to $0.56,Seeking Alpha,https://seekingalpha.com/news/3823593-aon-raises-dividend-by-10-to-056?utm_source=markets.businessinsider.com&utm_medium=referral
41.0,4/28/2022 2:55:37 PM,Notable earnings before Friday's open,Seeking Alpha,https://seekingalpha.com/news/3828682-notable-earnings-before-fridays-open?utm_source=markets.businessinsider.com&utm_medium=referral
42.0,4/28/2022 5:32:21 PM,Aon Q1 2022 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/3828788-aon-q1-2022-earnings-preview?utm_source=markets.businessinsider.com&utm_medium=referral
43.0,4/29/2022 10:04:52 AM,"Aon Non-GAAP EPS of $4.83 beats by $0.02, revenue of $3.7B misses by $20M",Seeking Alpha,https://seekingalpha.com/news/3829231-aon-non-gaap-eps-of-4_83-beats-0_02-revenue-of-3_7b-misses-20m?utm_source=markets.businessinsider.com&utm_medium=referral
44.0,4/29/2022 1:28:36 PM,"Aon Q1 earnings reflect operating margin expansion, driven by strong retention",Seeking Alpha,https://seekingalpha.com/news/3829406-aon-q1-earnings-reflect-operating-margin-expansion-driven-by-strong-retention?utm_source=markets.businessinsider.com&utm_medium=referral
45.0,5/2/2022 3:13:36 PM,Arthur J. Gallagher snags Strong Buy rating from Raymond James,Seeking Alpha,https://seekingalpha.com/news/3830103-arthur-j-gallagher-snags-strong-buy-rating-from-raymond-james?utm_source=markets.businessinsider.com&utm_medium=referral
46.0,5/19/2022 10:07:01 AM,Stocks to buy as a recession approaches: UBS screens for high quality,Seeking Alpha,https://seekingalpha.com/news/3840724-stocks-for-recession?utm_source=markets.businessinsider.com&utm_medium=referral
47.0,5/21/2022 2:09:00 PM,"Upstart, Grab, SoFi top week's financial gainers, NuBank, Woori drop",Seeking Alpha,https://seekingalpha.com/news/3841524-upstart-grab-sofi-top-weeks-financial-gainers-nubank-woori-drop?utm_source=markets.businessinsider.com&utm_medium=referral
48.0,6/3/2022 4:08:02 PM,"Benzinga's Top Ratings Upgrades, Downgrades For June 3, 2022",Benzinga,/news/stocks/benzinga-s-top-ratings-upgrades-downgrades-for-june-3-2022-1031508716
49.0,6/9/2022 12:50:47 PM,Cybersecurity firm TCDI to acquire Aon's eDiscovery practice,Seeking Alpha,https://seekingalpha.com/news/3847157-cybersecurity-firm-tcdi-to-acquire-aons-ediscovery-practice?utm_source=businessinsider&utm_medium=referral
50.0,7/5/2022 2:08:35 PM,"Marsh & McLennan acquires CS Insurance Strategies, a minority-owned broker",Seeking Alpha,https://seekingalpha.com/news/3854197-marsh-mclennan-acquires-cs-insurance-strategies-?utm_source=businessinsider&utm_medium=referral
51.0,7/12/2022 4:21:18 PM,"Benzinga's Top Ratings Upgrades, Downgrades For July 12, 2022",Benzinga,/news/stocks/benzinga-s-top-ratings-upgrades-downgrades-for-july-12-2022-1031581648
52.0,7/12/2022 11:24:23 PM,Where Aon Stands With Analysts,Benzinga,/news/stocks/where-aon-stands-with-analysts-1031582535
53.0,7/14/2022 8:32:10 PM,Aon declares $0.56 dividend,Seeking Alpha,https://seekingalpha.com/news/3856999-aon-plc-declares-0_56-dividend?utm_source=businessinsider&utm_medium=referral
54.0,7/28/2022 3:01:13 PM,Aon earnings preview: what Wall Street is expecting,Markets Insider Automation,/news/stocks/aon_2-quarter-earnings-preview-q2-1031625929
55.0,7/28/2022 3:24:06 PM,Notable earnings before Friday's open,Seeking Alpha,https://seekingalpha.com/news/3862494-notable-earnings-before-fridays-open?utm_source=businessinsider&utm_medium=referral
56.0,7/28/2022 4:43:38 PM,Aon Q2 2022 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/3862548-aon-q2-2022-earnings-preview?utm_source=businessinsider&utm_medium=referral
57.0,7/29/2022 10:02:48 AM,"Aon Non-GAAP EPS of $2.63 beats by $0.08, revenue of $2.98B misses by $30M",Seeking Alpha,https://seekingalpha.com/news/3863010-aon-non-gaap-eps-of-2_63-beats-0_08-revenue-of-2_98b-misses-30m?utm_source=businessinsider&utm_medium=referral
58.0,7/29/2022 1:27:47 PM,"Aon Q2 earnings beat strengthened by Reinsurance, Health businesses",Seeking Alpha,https://seekingalpha.com/news/3863198-aon-q2-earnings-beat-strengthened-by-reinsurance-health-businesses?utm_source=businessinsider&utm_medium=referral
59.0,8/9/2022 1:12:59 PM,Aon announces COO transition,Seeking Alpha,https://seekingalpha.com/news/3869792-aon-announces-coo-transition?utm_source=businessinsider&utm_medium=referral
60.0,10/5/2022 8:21:19 PM,This Is the Best Time to Buy These 7 Long-Term Warren Buffett Stocks,InvestorPlace,/news/stocks/this-is-the-best-time-to-buy-these-7-long-term-warren-buffett-stocks-1031785702
61.0,10/14/2022 8:32:25 PM,Aon declares $0.56 dividend,Seeking Alpha,https://seekingalpha.com/news/3891531-aon-plc-declares-0_56-dividend?utm_source=businessinsider&utm_medium=referral
62.0,10/27/2022 3:01:13 PM,Here's what Wall Street expects from Aon's earnings report,Markets Insider Automation,/news/stocks/aon_2-stock-price-quarter-earnings-preview-q3-1031843620
63.0,10/27/2022 3:05:22 PM,Notable earnings before Friday's open,Seeking Alpha,https://seekingalpha.com/news/3896582-notable-earnings-before-fridays-open?utm_source=businessinsider&utm_medium=referral
64.0,10/27/2022 4:08:27 PM,Aon Q3 2022 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/3896622-aon-q3-2022-earnings-preview?utm_source=businessinsider&utm_medium=referral
65.0,10/28/2022 10:03:13 AM,"Aon Non-GAAP EPS of $2.02 beats by $0.03, revenue of $2.7B misses by $110M",Seeking Alpha,https://seekingalpha.com/news/3897089-aon-non-gaap-eps-of-2_02-beats-0_03-revenue-of-2_7b-misses-110m?utm_source=businessinsider&utm_medium=referral
66.0,10/28/2022 1:05:24 PM,"Aon Q3 earnings beat as expenses plummet, free cash flow jumps",Seeking Alpha,https://seekingalpha.com/news/3897242-aon-q3-earnings-beat-as-expenses-plummet-free-cash-flow-jumps?utm_source=businessinsider&utm_medium=referral
67.0,10/28/2022 9:15:14 PM,Aon (AON) Gets a Hold from Wells Fargo,TipRanks,/news/stocks/aon-aon-gets-a-hold-from-wells-fargo-1031849524
68.0,10/31/2022 2:51:19 PM,Aon cut to Underperform at Raymond James due to market neutral shift,Seeking Alpha,https://seekingalpha.com/news/3897799-aon-cut-to-underperform-at-raymond-james-due-to-market-neutral-shift?utm_source=businessinsider&utm_medium=referral
69.0,10/31/2022 3:13:15 PM,"Benzinga's Top Ratings Upgrades, Downgrades For October 31, 2022",Benzinga,/news/stocks/benzinga-s-top-ratings-upgrades-downgrades-for-october-31-2022-1031854074
70.0,11/1/2022 7:04:56 AM,"Analysts Have Conflicting Sentiments on These Financial Companies: Aon (AON), Capital One Financial (COF) and S&P Global (SPGI)",TipRanks,/news/stocks/analysts-have-conflicting-sentiments-on-these-financial-companies-aon-aon-capital-one-financial-cof-and-s-p-global-spgi-1031857093
71.0,11/22/2022 4:35:14 PM,Morgan Stanley Sticks to Their Sell Rating for Aon (AON),TipRanks,/news/stocks/morgan-stanley-sticks-to-their-sell-rating-for-aon-aon-1031931994
72.0,12/5/2022 6:08:02 PM,Analyst Ratings for Aon,Benzinga,/news/stocks/analyst-ratings-for-aon-1031953619
73.0,12/5/2022 10:01:49 PM,Where Aon Stands With Analysts,Benzinga,/news/stocks/where-aon-stands-with-analysts-1031953927
74.0,12/15/2022 4:02:12 PM,"Benzinga's Top Ratings Upgrades, Downgrades For December 15, 2022",Benzinga,/news/stocks/benzinga-s-top-ratings-upgrades-downgrades-for-december-15-2022-1031975087
75.0,12/15/2022 7:35:02 PM,Citi adds 9 insurance stocks to coverage; Arthur J. Gallagher is top pick,Seeking Alpha,https://seekingalpha.com/news/3917744-citi-adds-9-insurance-stocks-to-coverage-arthur-j-gallagher-is-top-pick?utm_source=businessinsider&utm_medium=referral
76.0,1/6/2023 12:10:24 PM,"Analysts Have Conflicting Sentiments on These Financial Companies: Aon (AON), Cboe Global Markets (CBOE) and CME Group (CME)",TipRanks,/news/stocks/analysts-have-conflicting-sentiments-on-these-financial-companies-aon-aon-cboe-global-markets-cboe-and-cme-group-cme-1032004018
77.0,1/10/2023 1:37:08 PM,"Travelers, Aon upgraded, Hartford Financial downgraded at Evercore",Seeking Alpha,https://seekingalpha.com/news/3923307-travelers-aon-upgraded-hartford-financial-downgraded-at-evercore?utm_source=businessinsider&utm_medium=referral
