Unnamed: 0,datetime,title,source,link
0.0,7/25/2005 11:07:00 AM,Franklin Templeton Institutional Forms Dedicated Global Consultant Relations Group,PR Newswire,/news/stocks/franklin-templeton-institutional-forms-dedicated-global-consultant-relations-group-1000137442
1.0,4/13/2006 2:02:00 PM,International Automotive Components Acquires Collins & Aikman Brazil,PR Newswire,/news/stocks/international-automotive-components-acquires-collins-aikman-brazil-1027792226
2.0,9/28/2016 5:40:24 PM,"Moody's maintains Franklin Resources rating despite outflows (BEN, TPINX)",Reuters,/news/stocks/moodys-maintains-franklin-resources-rating-despite-outflows-ben-tpinx-1001424011
3.0,10/26/2016 4:40:19 PM,BRIEF-Franklin Resources Q4 preliminary EPS $0.82 (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources-q4-preliminary-eps-082-2016-10
4.0,11/4/2016 12:02:18 PM,"Access denied and insults; US mutual funds get taste of activist life (N, UTEK, BEN)",Reuters,http://www.businessinsider.com/r-access-denied-and-insults-us-mutual-funds-get-taste-of-activist-life-2016-11
5.0,11/11/2016 12:20:18 AM,BRIEF-Butte Energy Inc announces transfer to Nex Board (BEN),Reuters,http://www.businessinsider.com/r-brief-butte-energy-inc-announces-transfer-to-nex-board-2016-11
6.0,11/23/2016 6:00:18 PM,'You just can't follow the herd anymore',Reuters,http://www.businessinsider.com/r-rpt-access-denied-and-insults-us-mutual-funds-get-taste-of-activist-life-2016-11
7.0,11/29/2016 9:10:04 AM,"UPDATE 1-Australian regulator opposes collective bank bargaining on Apple Pay (WBC, BEN, AAPL, ANZ, CBA, NAB)",Reuters,http://www.businessinsider.com/r-update-1-australian-regulator-opposes-collective-bank-bargaining-on-apple-pay-2016-11
8.0,11/29/2016 10:20:15 AM,"UPDATE 2-Australian regulator opposes collective bank bargaining on Apple Pay (WBC, BEN, AAPL, ANZ, CBA, NAB)",Reuters,http://www.businessinsider.com/r-update-2-australian-regulator-opposes-collective-bank-bargaining-on-apple-pay-2016-11
9.0,12/8/2016 9:16:03 PM,"Actively managed funds thrive amid seismic shift into indexing (FCNTX, BEN, MWTNX, TPINX, DODFX, TRBCX, DBLTX)",Reuters,http://www.businessinsider.com/r-actively-managed-funds-thrive-amid-seismic-shift-into-indexing-2016-12
10.0,12/8/2016 11:40:03 PM,BRIEF-Franklin Resources reports month-end assets under management (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources-reports-month-end-assets-under-management-2016-12
11.0,12/13/2016 10:58:05 PM,BRIEF-Franklin Resources announces quarterly dividend (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources-announces-quarterly-dividend-2016-12
12.0,12/15/2016 3:20:05 PM,BRIEF-Franklin Resources says co-president Vijay Advani to leave (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources-says-co-president-vijay-advani-to-leave-2016-12
13.0,1/10/2017 10:54:06 PM,"BRIEF-Franklin Resources preliminary month-end assets under management by Co's subsidiaries of $720 bln at Dec. 31, 2016 vs. $714.4 bln at Nov 30. 2016 (BEN)",Reuters,http://www.businessinsider.com/r-brief-franklin-resources-preliminary-month-end-assets-under-management-by-cos-subsidiaries-of-720-bln-at-dec-31-2016-vs-7144-bln-at-nov-30-2016-2017-1
14.0,1/27/2017 3:56:06 PM,BRIEF-Franklin Resources Inc reports Q1 earnings per share $0.77 (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources-inc-reports-q1-earnings-per-share-077-2017-1
15.0,2/7/2017 8:50:08 PM,"BRIEF-Franklin Resources reports 5.4 pct passive stake in Mosaic as of Dec. 31, 2016 (BEN, MOS)",Reuters,http://www.businessinsider.com/r-brief-franklin-resources-reports-54-pct-passive-stake-in-mosaic-as-of-dec-31-2016-2017-2
16.0,2/13/2017 1:40:10 AM,"Australian banks narrow focus of Apple Pay collective bargaining request (WBC, BEN, AAPL, CBA, NAB)",Reuters,http://www.businessinsider.com/r-australian-banks-narrow-focus-of-apple-pay-collective-bargaining-request-2017-2
17.0,3/20/2017 10:42:44 AM,"BRIEF-Franklin Templeton reduces stake in Uponor below 5 pct (UNR1V, BEN)",Reuters,http://www.businessinsider.com/r-brief-franklin-templeton-reduces-stake-in-uponor-below-5-pct-2017-3
18.0,3/31/2017 12:46:50 AM,"Investors add $5.6 bln to U.S.-based taxable-bond funds -Lipper (WDR, BLK, TROW, BEN, LM)",Reuters,http://www.businessinsider.com/r-investors-add-56-bln-to-us-based-taxable-bond-funds--lipper-2017-3
19.0,3/31/2017 1:02:48 AM,"Australia to bar banks from bargaining collectively with Apple over payments (AAPL, CBA, BEN, WBC, NAB)",Reuters,http://www.businessinsider.com/r-australia-to-bar-banks-from-bargaining-collectively-with-apple-over-payments-2017-3
20.0,3/31/2017 1:44:50 AM,"BRIEF-ACCC denies authorisation for banks to collectively bargain with Apple, boycott Apple Pay (AAPL, BEN, CBA, NAB, WBC)",Reuters,http://www.businessinsider.com/r-brief-accc-denies-authorisation-for-banks-to-collectively-bargain-with-apple-boycott-apple-pay-2017-3
21.0,3/31/2017 1:56:48 AM,"UPDATE 1-Australia to bar banks from bargaining collectively with Apple over payments (AAPL, CBA, WBC, NAB, BEN)",Reuters,http://www.businessinsider.com/r-update-1-australia-to-bar-banks-from-bargaining-collectively-with-apple-over-payments-2017-3
22.0,3/31/2017 12:10:00 PM,"Technical Reports on Asset Management Stocks -- WisdomTree Investments, Franklin Resources, Prospect Capital, and State Street",PR Newswire,/news/stocks/technical-reports-on-asset-management-stocks-wisdomtree-investments-franklin-resources-prospect-capital-and-state-street-1001885342
23.0,4/4/2017 11:38:51 AM,"BRIEF-Noble Group says Franklin Resources ceases to be a substantial shareholder (N21, BEN)",Reuters,http://www.businessinsider.com/r-brief-noble-group-says-franklin-resources-ceases-to-be-a-substantial-shareholder-2017-4
24.0,4/5/2017 11:42:50 PM,"California pension fund is latest to scrap some active managers (BEN, JPM, ALV, SL.)",Reuters,http://www.businessinsider.com/r-california-pension-fund-is-latest-to-scrap-some-active-managers-2017-4
25.0,4/10/2017 11:33:10 PM,BRIEF-Franklin Resources Inc announces month-end assets under management (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources-inc-announces-month-end-assets-under-management-2017-4
26.0,4/28/2017 2:39:08 PM,Franklin Resources Inc. Reports 17% Rise In Q2 Earnings,RTTNews,/news/stocks/franklin-resources-inc-reports-17-rise-in-q2-earnings-1001961870
27.0,4/28/2017 2:44:06 PM,Franklin Resources Q2 Profit Up 17%; Results Beat View - Quick Facts ,RTTNews,/news/stocks/franklin-resources-q2-profit-up-17-results-beat-view-quick-facts-1001961893
28.0,4/28/2017 3:43:07 PM,BRIEF-FRANKLIN RESOURCES Q2 EARNINGS PER SHARE $0.74 (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources-q2-earnings-per-share-074-2017-4
29.0,5/8/2017 12:35:00 PM,"Research Reports Coverage on Asset Management Stocks -- WisdomTree Investments, Prospect Capital, State Street, and Franklin Resources",PR Newswire,/news/stocks/research-reports-coverage-on-asset-management-stocks-wisdomtree-investments-prospect-capital-state-street-and-franklin-resources-1001988774
30.0,5/8/2017 11:14:03 PM,BRIEF-Franklin Resources announces month-end assets under management (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources-announces-month-end-assets-under-management-2017-5
31.0,5/19/2017 1:18:02 PM,MOVES-Franklin Templeton names Martyn Gilbey UK country head (BEN),Reuters,http://www.businessinsider.com/r-moves-franklin-templeton-names-martyn-gilbey-uk-country-head-2017-5
32.0,6/8/2017 10:42:08 PM,BRIEF-Franklin Resources reports month-end assets under management (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources-reports-month-end-assets-under-management-2017-6
33.0,6/29/2017 12:15:00 PM,"Technical Snapshots for These Asset Management Stocks -- WisdomTree Investments, Affiliated Managers, Athene, and Franklin Resources",PR Newswire,/news/stocks/technical-snapshots-for-these-asset-management-stocks-wisdomtree-investments-affiliated-managers-athene-and-franklin-resources-1002134268
34.0,7/11/2017 11:02:04 PM,BRIEF-Franklin Resources says preliminary month-end AUM by company's subsidiaries $742.9 bln (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources-says-preliminary-month-end-aum-by-companys-subsidiaries-7429-bln-2017-7
35.0,7/28/2017 2:40:01 PM,Franklin Resources Inc. Announces 8% Fall In Q3 Earnings,RTTNews,/news/stocks/franklin-resources-inc-announces-8-fall-in-q3-earnings-1002215037
36.0,7/28/2017 2:54:06 PM,BRIEF-Franklin Resources announces Q3 earnings per share $0.73 (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources-announces-q3-earnings-per-share-073-2017-7
37.0,8/8/2017 10:57:11 PM,"BRIEF-Franklin Resources says preliminary month-end AUM was $752.7 bln at July 31, 2017 (BEN)",Reuters,http://www.businessinsider.com/r-brief-franklin-resources-says-preliminary-month-end-aum-was-7527-bln-at-july-31-2017-2017-8
38.0,8/10/2017 12:35:00 PM,"Asset Management Stock Performance Review -- Athene, Franklin Resources, BlackRock, and Evercore Partners",PR Newswire,/news/stocks/asset-management-stock-performance-review-athene-franklin-resources-blackrock-and-evercore-partners-1002247948
39.0,9/11/2017 10:30:00 PM,"Franklin Resources, Inc. Announces Month-End Assets Under Management",GlobeNewswire,/news/stocks/franklin-resources-inc-announces-month-end-assets-under-management-1002359526
40.0,9/20/2017 5:17:03 PM,MOVES-Franklin Templeton names new ETF portfolio manager (BEN),Reuters,http://www.businessinsider.com/r-moves-franklin-templeton-names-new-etf-portfolio-manager-2017-9
41.0,9/20/2017 9:22:06 PM,BRIEF-Franklin Resources reports 19.9 pct stake in Halcon Resources - SEC filing‍​ (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources-reports-199-pct-stake-in-halcon-resources---sec-filing-2017-9
42.0,9/20/2017 9:52:13 PM,"MOVES-Citigroup, SocGen, BofA Merrill, Hiscox, Franklin Resources (C, GLE, BEN, BAC)",Reuters,http://www.businessinsider.com/r-moves-citigroup-socgen-bofa-merrill-hiscox-franklin-resources-2017-9
43.0,9/21/2017 4:36:00 PM,Intensified by Ice and Ingenuity,PR Newswire,/news/stocks/intensified-by-ice-and-ingenuity-538987
44.0,9/26/2017 1:32:03 PM,MOVES-Franklin Templeton names David Whitehair head of defined contribution (BEN),Reuters,http://www.businessinsider.com/r-moves-franklin-templeton-names-david-whitehair-head-of-defined-contribution-2017-9
45.0,10/2/2017 11:37:03 AM,"MOVES-Franklin Templeton names senior solutions portfolio manager, EMEA (BEN)",Reuters,http://www.businessinsider.com/r-moves-franklin-templeton-names-senior-solutions-portfolio-manager-emea-2017-10
46.0,10/4/2017 8:00:00 AM,Landore Resources Limited - Final Drilling Results BAM East Gold Project Junior Lake Property,PR Newswire,/news/stocks/landore-resources-limited-final-drilling-results-bam-east-gold-project-junior-lake-property-456533
47.0,10/5/2017 10:30:00 PM,"Franklin Resources, Inc. to Announce Fourth Quarter and Fiscal Year Results on October 26, 2017",GlobeNewswire,/news/stocks/franklin-resources-inc-to-announce-fourth-quarter-and-fiscal-year-results-on-october-26-2017-1003107263
48.0,10/9/2017 10:30:00 PM,"Franklin Resources, Inc. Announces Month-End Assets Under Management",GlobeNewswire,/news/stocks/franklin-resources-inc-announces-month-end-assets-under-management-1003564688
49.0,10/9/2017 10:37:21 PM,BRIEF-Franklin Resources- Preliminary month-end AUM of $753.2 bln at Sept 30 2017 (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources--preliminary-month-end-aum-of-7532-bln-at-sept-30-2017-2017-10
50.0,10/20/2017 12:00:00 PM,UrtheCast and e-GEOS collaborate to offer unique optical and SAR products,PR Newswire,/news/stocks/urthecast-and-e-geos-collaborate-to-offer-unique-optical-and-sar-products-510113
51.0,10/25/2017 2:00:00 PM,North Aware Announces Flexible Installment Plans for Its Smart Parka,PR Newswire,/news/stocks/north-aware-announces-flexible-installment-plans-for-its-smart-parka-490802
52.0,10/26/2017 2:30:00 PM,"Franklin Resources, Inc. Announces Preliminary Fourth Quarter and Fiscal Year Results",GlobeNewswire,/news/stocks/franklin-resources-inc-announces-preliminary-fourth-quarter-and-fiscal-year-results-1005701090
53.0,10/26/2017 3:07:07 PM,BRIEF-Franklin Resources Q4 preliminary earnings per share $0.76 (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources-q4-preliminary-earnings-per-share-076-2017-10
54.0,10/26/2017 3:10:12 PM,Franklin Resources Q4 Profit Down 10% - Quick Facts ,RTTNews,/news/stocks/franklin-resources-q4-profit-down-10-quick-facts-1005703957
55.0,10/26/2017 4:12:58 PM,Franklin Resources Inc. Announces 10% Fall In Q4 Earnings,RTTNews,/news/stocks/franklin-resources-inc-announces-10-fall-in-q4-earnings-1005709858
56.0,10/30/2017 4:54:15 PM,Franklin Templeton Introduces First Suite of Passive ETFs16 Single Country and Regional ETFs Will Be Available to US Investors,GlobeNewswire,/news/stocks/franklin-templeton-introduces-first-suite-of-passive-etfs16-single-country-and-regional-etfs-will-be-available-to-us-investors-1006191512
57.0,11/6/2017 9:00:00 PM,"Franklin Templeton Investments Appoints Jed Plafker to Head Global Distribution – Leading Company’s Global Sales, Product Strategy and Marketing Efforts",GlobeNewswire,/news/stocks/franklin-templeton-investments-appoints-jed-plafker-to-head-global-distribution-leading-company-s-global-sales-product-strategy-and-marketing-efforts-1007082516
58.0,11/8/2017 10:30:00 PM,"Franklin Resources, Inc. Announces Month-End Assets Under Management",GlobeNewswire,/news/stocks/franklin-resources-inc-announces-month-end-assets-under-management-1007338965
59.0,11/8/2017 10:47:03 PM,BRIEF-Franklin Resources Inc announces month-end assets under management (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources-inc-announces-month-end-assets-under-management-2017-11
60.0,11/22/2017 11:22:03 AM,MOVES-Franklin Templeton names new head of distribution for France and Benelux (BEN),Reuters,http://www.businessinsider.com/r-moves-franklin-templeton-names-new-head-of-distribution-for-france-and-benelux-2017-11
61.0,12/4/2017 11:45:00 PM,"Butte Energy Inc. announces share transfer, convertible loan and debt purchase and settlement",PR Newswire,/news/stocks/butte-energy-inc-announces-share-transfer-convertible-loan-and-debt-purchase-and-settlement-1010331216
62.0,12/5/2017 12:42:03 PM,MOVES-Franklin Templeton hires head of client investment solutions (BEN),Reuters,http://www.businessinsider.com/r-moves-franklin-templeton-hires-head-of-client-investment-solutions-2017-12
63.0,12/11/2017 4:18:10 PM,Franklin Templeton Introduces New Global Campaign ‘Reach for Better’,GlobeNewswire,/news/stocks/franklin-templeton-introduces-new-global-campaign-reach-for-better-1010953773
64.0,12/11/2017 10:30:00 PM,"Franklin Resources, Inc. Announces Month-End Assets Under Management",GlobeNewswire,/news/stocks/franklin-resources-inc-announces-month-end-assets-under-management-1010988434
65.0,12/11/2017 11:37:04 PM,BRIEF-Franklin Resources Announces Month-End Assets Under Management (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources-announces-month-end-assets-under-management-2017-12
66.0,12/12/2017 10:45:00 PM,"Franklin Resources, Inc. Announces Quarterly Dividend",GlobeNewswire,/news/stocks/franklin-resources-inc-announces-quarterly-dividend-1011139928
67.0,12/14/2017 7:41:55 PM,Franklin Templeton Expands Multi-Asset Solutions Business with Senior Hires,GlobeNewswire,/news/stocks/franklin-templeton-expands-multi-asset-solutions-business-with-senior-hires-1011429298
68.0,12/19/2017 3:32:03 PM,"MOVES-Franklin Templeton promotes Mats Eltoft to distribution head, Nordic region (BEN)",Reuters,http://www.businessinsider.com/r-moves-franklin-templeton-promotes-mats-eltoft-to-distribution-head-nordic-region-2017-12
69.0,1/3/2018 12:27:08 PM,BRIEF-Franklin Resources Says Ceo Gregory Johnson's Total Compensation For 2017 was $9.9 Million (BEN),Reuters,http://www.businessinsider.com/r-brief-franklin-resources-says-ceo-gregory-johnsons-total-compensation-for-2017-was-99-million-2018-1
70.0,1/8/2018 10:30:00 PM,"Franklin Resources, Inc. to Announce First Quarter Results and Impact of U.S. Tax Reform on January 30, 2018",GlobeNewswire,/news/stocks/franklin-resources-inc-to-announce-first-quarter-results-and-impact-of-u-s-tax-reform-on-january-30-2018-1012685206
71.0,1/9/2018 11:15:48 PM,"Franklin Resources, Inc. Announces Month-End Assets Under Management",GlobeNewswire,/news/stocks/franklin-resources-inc-announces-month-end-assets-under-management-1012759859
72.0,1/17/2018 2:30:00 PM,Franklin Templeton Investments Announces Agreement to Acquire Edinburgh Partners,GlobeNewswire,/news/stocks/franklin-templeton-investments-announces-agreement-to-acquire-edinburgh-partners-1013156748
73.0,1/29/2018 2:38:00 PM,Franklin Templeton Investments Canada Rings TSX Opening Bell Today to Announce Three New Franklin LibertyShares® ETF Listings,PR Newswire,/news/stocks/franklin-templeton-investments-canada-rings-tsx-opening-bell-today-to-announce-three-new-franklin-libertyshares-etf-listings-1014442596
74.0,1/29/2018 2:38:00 PM,Franklin Templeton Investments Canada Rings TSX Opening Bell Today to Announce Three New Franklin LibertyShares® ETF Listings,PR Newswire,/news/stocks/franklin-templeton-investments-canada-rings-tsx-opening-bell-today-to-announce-three-new-franklin-libertyshares-etf-listings-1014442595
75.0,1/30/2018 2:30:00 PM,"Franklin Resources, Inc. Announces First Quarter Results, Including Impact of U.S. Tax Reform",GlobeNewswire,/news/stocks/franklin-resources-inc-announces-first-quarter-results-including-impact-of-u-s-tax-reform-1014556304
76.0,1/30/2018 2:36:12 PM,EARNINGS SUMMARY: Details of Franklin Resources Inc. Q1 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-franklin-resources-inc-q1-earnings-report-1014556362
77.0,2/8/2018 2:30:00 PM,Franklin Templeton Adds Four Passive ETFs to Franklin LibertyShares Suite,GlobeNewswire,/news/stocks/franklin-templeton-adds-four-passive-etfs-to-franklin-libertyshares-suite-1015121303
78.0,2/8/2018 10:30:00 PM,"Franklin Resources, Inc. Announces Month-End Assets Under Management",GlobeNewswire,/news/stocks/franklin-resources-inc-announces-month-end-assets-under-management-1015152485
79.0,2/14/2018 11:05:00 PM,"Franklin Resources, Inc. Announces Special Dividend of $3.00 Per Share",GlobeNewswire,/news/stocks/franklin-resources-inc-announces-special-dividend-of-3-00-per-share-1015812634
80.0,2/26/2018 5:07:23 PM,Franklin Templeton Investments Appoints Erika Arevuo As Head Of Institutional Marketing,GlobeNewswire,/news/stocks/franklin-templeton-investments-appoints-erika-arevuo-as-head-of-institutional-marketing-1017191498
81.0,3/8/2018 10:30:00 PM,"Franklin Resources, Inc. Announces Month-End Assets Under Management",GlobeNewswire,/news/stocks/franklin-resources-inc-announces-month-end-assets-under-management-1018454226
82.0,3/20/2018 4:08:04 PM,Franklin Templeton Acquires Data Science Investment Firm Random Forest CapitalMarketplace Lending Expertise to Complement Franklin Templeton Fixed Income Group Capabilities,GlobeNewswire,/news/stocks/franklin-templeton-acquires-data-science-investment-firm-random-forest-capitalmarketplace-lending-expertise-to-complement-franklin-templeton-fixed-income-group-capabilities-1018949802
