Unnamed: 0,datetime,title,source,link
0.0,3/7/2017 1:30:00 PM,"Research Reports Initiation on Tech Stocks -- Nielsen, Leidos, Broadridge Financial Solutions, and ServiceNow",PR Newswire,/news/stocks/research-reports-initiation-on-tech-stocks-nielsen-leidos-broadridge-financial-solutions-and-servicenow-1001810762
1.0,3/9/2017 9:00:00 AM,Broadridge Expands its Global Post-Trade Control Solutions Through Acquisition of Message Automation,PR Newswire,/news/stocks/broadridge-expands-its-global-post-trade-control-solutions-through-acquisition-of-message-automation-1001818564
2.0,3/9/2017 9:16:22 AM,BRIEF-Broadridge buys Message Automation for undisclosed amount (BR),Reuters,http://www.businessinsider.com/r-brief-broadridge-buys-message-automation-for-undisclosed-amount-2017-3
3.0,3/9/2017 2:30:00 PM,"""Say-On-Pay"" Support Strengthens, Shareholder Age Matters",PR Newswire,/news/stocks/say-on-pay-support-strengthens-shareholder-age-matters-1001820021
4.0,4/24/2017 3:00:00 PM,New Survey Finds Consumers Are Willing to Give Up Chocolate or Alcohol for One Month to Stop Receiving Paper Mail,PR Newswire,/news/stocks/new-survey-finds-consumers-are-willing-to-give-up-chocolate-or-alcohol-for-one-month-to-stop-receiving-paper-mail-1001942216
5.0,4/26/2017 3:00:00 PM,Broadridge Appoints Deborah A. Bussière as Global Chief Marketing Officer,PR Newswire,/news/stocks/broadridge-appoints-deborah-a-bussière-as-global-chief-marketing-officer-1001951698
6.0,5/1/2017 11:00:00 PM,Broadridge Appoints Eric Bernstein as President of Investment Management Solutions,PR Newswire,/news/stocks/broadridge-appoints-eric-bernstein-as-president-of-investment-management-solutions-1001966857
7.0,5/2/2017 3:00:00 PM,Bulk of Net New Assets Flow to Major Diversified Firms According to Broadridge Financial Solutions,PR Newswire,/news/stocks/bulk-of-net-new-assets-flow-to-major-diversified-firms-according-to-broadridge-financial-solutions-1001969655
8.0,5/3/2017 3:00:00 PM,Broadridge Sponsors 24th Annual Women's Bond Club Merit Award Dinner Honoring Citi's Suni Harford and Mercado Global's Ruth DeGolia,PR Newswire,/news/stocks/broadridge-sponsors-24th-annual-womens-bond-club-merit-award-dinner-honoring-citis-suni-harford-and-mercado-globals-ruth-degolia-630191
9.0,5/5/2017 2:34:08 AM,BRIEF-Big Rock Brewery Inc Q1 net loss per share $0.13 (BR),Reuters,http://www.businessinsider.com/r-brief-big-rock-brewery-inc-q1-net-loss-per-share-013-2017-5
10.0,5/8/2017 3:30:00 AM,Investor Communications Japan (ICJ) Electronic Voting Platform Surpasses 800 Participating Issuers,PR Newswire,/news/stocks/investor-communications-japan-icj-electronic-voting-platform-surpasses-800-participating-issuers-1001987229
11.0,5/10/2017 1:24:03 PM,BRIEF-Broadridge Q3 adjusted earnings per share $0.69 (BR),Reuters,http://www.businessinsider.com/r-brief-broadridge-q3-adjusted-earnings-per-share-069-2017-5
12.0,5/17/2017 2:00:00 PM,"Jabre Capital Adopts Broadridge's Integrated Order Management, Portfolio Management, and Risk Management Solution",PR Newswire,/news/stocks/jabre-capital-adopts-broadridge-s-integrated-order-management-portfolio-management-and-risk-management-solution-1002020673
13.0,5/17/2017 2:00:00 PM,"Jabre Capital Adopts Broadridge's Integrated Order Management, Portfolio Management, and Risk Management Solution",PR Newswire,/news/stocks/jabre-capital-adopts-broadridge-s-integrated-order-management-portfolio-management-and-risk-management-solution-1002020701
14.0,6/6/2017 12:50:00 PM,"Technical Insights on Tech Stocks -- Nielsen, Syntel, Leidos, and Broadridge Financial Solutions",PR Newswire,/news/stocks/technical-insights-on-tech-stocks-nielsen-syntel-leidos-and-broadridge-financial-solutions-1002069971
15.0,6/7/2017 10:30:00 PM,"Robo-Advisors, Partnerships and Inorganic Intelligence to Drive Future of Wealth Management Industry, According to Broadridge, Aite Report",PR Newswire,/news/stocks/robo-advisors-partnerships-and-inorganic-intelligence-to-drive-future-of-wealth-management-industry-according-to-broadridge-aite-report-1002076122
16.0,6/12/2017 8:00:00 AM,Broadridge Forms Strategic Alliance with Spence Johnson,PR Newswire,/news/stocks/broadridge-forms-strategic-alliance-with-spence-johnson-1002084182
17.0,6/13/2017 8:00:00 AM,Broadridge Adds MSCI ESG Fund Metrics to Further Expand Global Market Intelligence Platform,PR Newswire,/news/stocks/broadridge-adds-msci-esg-fund-metrics-to-further-expand-global-market-intelligence-platform-1002087443
18.0,6/20/2017 1:53:00 PM,Broadridge Launches Trade Reporting Solution for SFTR Regulatory Change,PR Newswire,/news/stocks/broadridge-launches-trade-reporting-solution-for-sftr-regulatory-change-1002107246
19.0,6/20/2017 2:05:00 PM,Broadridge Launches Trade Reporting Solution for SFTR Regulatory Change,PR Newswire,/news/stocks/broadridge-launches-trade-reporting-solution-for-sftr-regulatory-change-1002107399
20.0,6/22/2017 10:30:00 PM,"Broadridge Named ""Service Provider of the Year"" and Charlie Marchesani named ""Ops Business Person of the Year"" at FTF News Technology Innovation Awards",PR Newswire,/news/stocks/broadridge-named-service-provider-of-the-year-and-charlie-marchesani-named-ops-business-person-of-the-year-at-ftf-news-technology-innovation-awards-1002117807
21.0,7/11/2017 2:18:08 PM,BRIEF-Broadridge expands asset management data and analytics offering through acquisition of Spence Johnson (BR),Reuters,http://www.businessinsider.com/r-brief-broadridge-expands-asset-management-data-and-analytics-offering-through-acquisition-of-spence-johnson-2017-7
22.0,7/11/2017 11:22:03 PM,"BRIEF-Big Rock Brewery appoints of new president, CEO (BR)",Reuters,http://www.businessinsider.com/r-brief-big-rock-brewery-appoints-of-new-president-ceo-2017-7
23.0,8/3/2017 10:47:03 PM,BRIEF-Broadridge appoints Tim Gokey president (BR),Reuters,http://www.businessinsider.com/r-brief-broadridge-appoints-tim-gokey-president-2017-8
24.0,8/4/2017 2:17:03 AM,BRIEF-Big Rock Brewery Q2 loss per share $0.03 (BR),Reuters,http://www.businessinsider.com/r-brief-big-rock-brewery-q2-loss-per-share-003-2017-8
25.0,8/16/2017 2:00:00 PM,Whitebox Advisors Chooses Broadridge in Transformative move to Best-in-Suite Technology Platform,PR Newswire,/news/stocks/whitebox-advisors-chooses-broadridge-in-transformative-move-to-best-in-suite-technology-platform-1002261842
