Unnamed: 0,datetime,title,source,link
0.0,4/18/2005 2:17:00 PM,National Oncology Alliance Awards Cardinal Health Preferred Distributi,PR Newswire,/news/stocks/national-oncology-alliance-awards-cardinal-health-preferred-distributi-1030742607
1.0,11/10/2006 3:02:00 PM,Cardinal Health Names Mark Parrish CEO of Healthcare Supply Chain Services,PR Newswire,/news/stocks/cardinal-health-names-mark-parrish-ceo-of-healthcare-supply-chain-services-1028068688
2.0,8/8/2007 5:53:00 PM,Cardinal Health Board Authorizes $2 Billion Share Repurchase; Elects Colleen Arnold as Director,PR Newswire,/news/stocks/cardinal-health-board-authorizes-2-billion-share-repurchase-elects-colleen-arnold-as-director-1029525598
3.0,1/10/2008 1:00:00 PM,Cardinal Health Taps Teva Executive George Barrett to Lead Healthcare Supply Chain Services Sector,PR Newswire,/news/stocks/cardinal-health-taps-teva-executive-george-barrett-to-lead-healthcare-supply-chain-services-sector-1001538145
4.0,2/14/2013 2:14:00 PM,Cardinal Health to buy medical supplier AssuraMed for $2.07 billion,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/GZCDETViEzc/us-cardinalhealth-acquisition-idUSBRE91D0PU20130214
5.0,10/29/2016 1:30:58 AM,"Drug wholesalers are getting slammed after McKesson warned that cost scrutiny is hurting its business (MCK, ABC, CAH)",Business Insider Contributor ,http://www.businessinsider.com/mckesson-warns-about-wholesalers-drug-price-scrutiny-shares-fall-2016-10
6.0,11/23/2016 11:20:22 PM,BRIEF-Navidea Biopharmaceuticals enters asset purchase agreement with Cardinal Health (CAH),Reuters,http://www.businessinsider.com/r-brief-navidea-biopharmaceuticals-enters-asset-purchase-agreement-with-cardinal-health-2016-11
7.0,11/29/2016 8:06:04 PM,"BRIEF-Moody's says largest US drug distributors face pricing pressure as they court independent pharmacies (ABC, CAH, MCK)",Reuters,http://www.businessinsider.com/r-brief-moodys-says-largest-us-drug-distributors-face-pricing-pressure-as-they-court-independent-pharmacies-2016-11
8.0,12/23/2016 3:28:03 PM,Cardinal Health in $10 mln U.S. settlement over painkiller orders (CAH),Reuters,http://www.businessinsider.com/r-cardinal-health-in-10-mln-us-settlement-over-painkiller-orders-2016-12
9.0,12/23/2016 4:10:03 PM,UPDATE 1-Cardinal Health in $10 mln U.S. settlement over painkiller orders (CAH),Reuters,http://www.businessinsider.com/r-update-1-cardinal-health-in-10-mln-us-settlement-over-painkiller-orders-2016-12
10.0,12/23/2016 5:38:03 PM,BRIEF-Cardinal Health Inc says announces civil settlement with DOJ (CAH),Reuters,http://www.businessinsider.com/r-brief-cardinal-health-inc-says-announces-civil-settlement-with-doj-2016-12
11.0,1/9/2017 8:50:05 PM,BRIEF-Cardinal Health reaches settlement with West Virginia (CAH),Reuters,http://www.businessinsider.com/r-brief-cardinal-health-reaches-settlement-with-west-virginia-2017-1
12.0,2/2/2017 11:30:08 PM,Cardinal Health wins $2.25 bln U.S. defense contract -Pentagon (CAH),Reuters,http://www.businessinsider.com/r-cardinal-health-wins-225-bln-us-defense-contract--pentagon-2017-2
13.0,2/7/2017 1:08:30 PM,EARNINGS SUMMARY: Details of Cardinal Health Inc Q2 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-cardinal-health-inc-q2-earnings-report-1001728657
14.0,2/7/2017 1:15:06 PM,Cardinal Health Lowers FY17 Earnings Outlook - Quick Facts ,RTTNews,/news/stocks/cardinal-health-lowers-fy17-earnings-outlook-quick-facts-1001728681
15.0,2/7/2017 1:20:12 PM,Cardinal Health quarterly revenue rises about 5 percent (CAH),Reuters,http://www.businessinsider.com/r-cardinal-health-quarterly-revenue-rises-about-5-percent-2017-2
16.0,2/7/2017 2:00:11 PM,"UPDATE 1-Cardinal Health posts lower-than-expected revenue (CAH, ABC, MCK)",Reuters,http://www.businessinsider.com/r-update-1-cardinal-health-posts-lower-than-expected-revenue-2017-2
17.0,2/7/2017 6:40:11 PM,"UPDATE 3-Cardinal Health profit beats estimates on lower costs (MCK, ABC, CAH)",Reuters,http://www.businessinsider.com/r-update-3-cardinal-health-profit-beats-estimates-on-lower-costs-2017-2
18.0,2/7/2017 8:47:31 PM,Cardinal Health Moves Notably Higher On Upbeat Q2 Earnings ,RTTNews,/news/stocks/cardinal-health-moves-notably-higher-on-upbeat-q2-earnings-1001730662
