Unnamed: 0,datetime,title,source,link
0.0,2/1/2013 9:19:03 PM,Time Warner Cable CEO Britt to step down by year end: report,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/OWa20pDgHfE/us-timewarnercable-idUSBRE91016Z20130201
1.0,3/25/2013 6:16:50 AM,Otelco files for bankruptcy after losing Time Warner Cable contract,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/gt-0hEmjqCg/story01.htm
2.0,4/25/2013 12:10:26 PM,Time Warner Cable revenue rises 7 percent,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/AL1jyz2wiWo/story01.htm
3.0,4/30/2013 12:07:49 AM,Former AOL's CFO Minson returns to Time Warner Cable,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/XXuZjT3tClM/story01.htm
4.0,6/27/2013 8:31:30 PM,"Malone gauges options for Charter, Time Warner Cable deal: report",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/jc2xCjNbMQk/story01.htm
5.0,7/26/2013 1:44:11 AM,Time Warner Cable gets new CEO as industry ponders deals,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/TYPTmagLZO8/story01.htm
6.0,8/1/2013 12:14:31 PM,Time Warner Cable profit rises on demand for high-speed data services,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/R2XT9WZwXi0/story01.htm
7.0,8/5/2013 9:19:31 PM,Time Warner Cable offers proposal to CBS to end blackout,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/ATZsINZBO7Y/story01.htm
8.0,8/6/2013 9:27:51 PM,"CBS chief slams Time Warner Cable, calls offer a ""gesture""",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/sDyeqXlJghY/story01.htm
9.0,8/7/2013 4:15:27 AM,CBS chief dismisses Time Warner Cable offer as empty PR,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/6txdlyeS4kc/story01.htm
10.0,8/8/2013 7:48:32 PM,"CBS, Time Warner Cable trade barbs on Day 7 of blackout",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/_KykGBAJPvQ/story01.htm
