Unnamed: 0,datetime,title,source,link
0.0,4/16/2024 8:02:47 PM,In-Depth Examination Of 4 Analyst Recommendations For Corpay,Benzinga,/news/stocks/in-depth-examination-of-4-analyst-recommendations-for-corpay-1033254675
1.0,4/17/2024 2:40:43 PM,Analysts Have Conflicting Sentiments on These Technology Companies: Telefonaktiebolaget LM Ericsson (ERIC) and Corpay Inc (CPAY),TipRanks,/news/stocks/analysts-have-conflicting-sentiments-on-these-technology-companies-telefonaktiebolaget-lm-ericsson-eric-and-corpay-inc-cpay-1033259188
2.0,4/23/2024 5:48:22 PM,7 Stocks in Fin-tech and Payments Baird analysts like the most,Seeking Alpha,https://seekingalpha.com/news/4092710-7-stocks-in-fin-tech-and-payments-baird-analysts-like-the-most?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
3.0,5/7/2024 12:00:00 PM,3 Must-Own Stocks to Scoop Up if You Have $500 to Invest,InvestorPlace,/news/stocks/3-must-own-stocks-to-scoop-up-if-you-have-500-to-invest-1033338954
4.0,5/7/2024 3:01:13 PM,Here's what Wall Street expects from FleetCor Technologies's earnings,Markets Insider Automation,/news/stocks/fleetcor_technologies_1-q1-quarterly-earnings-preview-stock-1033339625
5.0,5/7/2024 9:35:35 PM,FleetCor Technologies Q1 2024 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/4101516-fleetcor-technologies-q1-2024-earnings-preview?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
6.0,5/8/2024 8:26:25 PM,"FleetCor Technologies Non-GAAP EPS of $4.10 beats by $0.01, revenue of $935.3M misses by $2.71M",Seeking Alpha,https://seekingalpha.com/news/4103014-fleetcor-technologies-non-gaap-eps-of-4_10-beats-0_01-revenue-of-935_3m-misses-2_71m?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
7.0,5/9/2024 2:56:57 AM,"CPAY Stock Earnings: Corpay Meets EPS, Misses Revenue for Q1 2024",InvestorPlace,/news/stocks/cpay-stock-earnings-corpay-for-q1-of-2024-1033351100
8.0,5/9/2024 5:26:12 AM,Corpay Inc (CPAY) Gets a Buy from KBW,TipRanks,/news/stocks/corpay-inc-cpay-gets-a-buy-from-kbw-1033354698
9.0,5/9/2024 7:31:02 AM,"New Buy Rating for Corpay Inc (CPAY), the Technology Giant",TipRanks,/news/stocks/new-buy-rating-for-corpay-inc-cpay-the-technology-giant-1033355113
10.0,5/9/2024 10:53:33 AM,Corpay Inc (CPAY) Gets a Hold from RBC Capital,TipRanks,/news/stocks/corpay-inc-cpay-gets-a-hold-from-rbc-capital-1033356464
11.0,5/10/2024 5:44:43 AM,Continued Buy Rating on Corpay Inc: Anticipated Growth and Strong Fundamentals Despite Modest Revenue Guidance Dip,TipRanks,/news/stocks/continued-buy-rating-on-corpay-inc-anticipated-growth-and-strong-fundamentals-despite-modest-revenue-guidance-dip-1033362062
12.0,5/13/2024 7:46:38 AM,Barclays Keeps Their Buy Rating on Corpay Inc (CPAY),TipRanks,/news/stocks/barclays-keeps-their-buy-rating-on-corpay-inc-cpay-1033370100
13.0,5/13/2024 10:00:53 PM,Navigating 8 Analyst Ratings For Corpay,Benzinga,/news/stocks/navigating-8-analyst-ratings-for-corpay-1033372497
14.0,5/30/2024 10:10:00 AM,7 Underappreciated Stocks With 25% Return Potential in 2024,InvestorPlace,/news/stocks/7-underappreciated-stocks-with-25-return-potential-in-2024-1033435401
15.0,5/31/2024 12:00:00 PM,Unsung Heroes: 3 Blue-Chip Stocks Flying Under the Radar (But Not for Long),InvestorPlace,/news/stocks/unsung-heroes-3-blue-chip-stocks-flying-under-the-radar-but-not-for-long-1033440900
16.0,6/5/2024 11:10:07 AM,Analysts Offer Insights on Technology Companies: Snowflake (SNOW) and Corpay Inc (CPAY),TipRanks,/news/stocks/analysts-offer-insights-on-technology-companies-snowflake-snow-and-corpay-inc-cpay-1033454141
17.0,6/5/2024 5:00:43 PM,Analyst Ratings For Corpay,Benzinga,/news/stocks/analyst-ratings-for-corpay-1033454353
18.0,6/6/2024 10:13:39 AM,Wall Street Analysts Are Bullish on Top Technology Picks,TipRanks,/news/stocks/wall-street-analysts-are-bullish-on-top-technology-picks-1033457580
19.0,6/19/2024 8:24:11 PM,"Corpay buys cross-border payments firm GPS, reiterates Q2 outlook",Seeking Alpha,https://seekingalpha.com/news/4117301-corpay-buys-cross-border-payments-firm-gps-reiterates-q2-outlook?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
20.0,6/20/2024 3:43:33 AM,Corpay To Acquire Cross-Border Payments Company 'GPS Capital Markets' ,RTTNews,/news/stocks/corpay-to-acquire-cross-border-payments-company-gps-capital-markets-1033491247
21.0,6/20/2024 5:25:09 AM,KBW Reaffirms Their Buy Rating on Corpay Inc (CPAY),TipRanks,/news/stocks/kbw-reaffirms-their-buy-rating-on-corpay-inc-cpay-1033492064
22.0,6/20/2024 12:45:37 PM,Buy Rating Affirmed for Corpay Inc. on Strategic Acquisitions and Robust Financial Forecasts,TipRanks,/news/stocks/buy-rating-affirmed-for-corpay-inc-on-strategic-acquisitions-and-robust-financial-forecasts-1033493687
23.0,6/21/2024 8:35:40 AM,Barclays Reaffirms Their Buy Rating on Corpay Inc (CPAY),TipRanks,/news/stocks/barclays-reaffirms-their-buy-rating-on-corpay-inc-cpay-1033495685
24.0,6/21/2024 10:01:12 AM,"Analysts’ Opinions Are Mixed on These Technology Stocks: Pure Storage (PSTG), 8X8 (EGHT) and Corpay Inc (CPAY)",TipRanks,/news/stocks/analysts-opinions-are-mixed-on-these-technology-stocks-pure-storage-pstg-8x8-eght-and-corpay-inc-cpay-1033495984
25.0,6/21/2024 10:40:26 AM,"Analysts Have Conflicting Sentiments on These Technology Companies: BlackBerry (BB), Corpay Inc (CPAY) and Kaltura (KLTR)",TipRanks,/news/stocks/analysts-have-conflicting-sentiments-on-these-technology-companies-blackberry-bb-corpay-inc-cpay-and-kaltura-kltr-1033496090
26.0,6/21/2024 12:50:19 PM,Wall Street Analysts Are Bullish on Top Technology Picks,TipRanks,/news/stocks/wall-street-analysts-are-bullish-on-top-technology-picks-1033496776
27.0,6/21/2024 6:00:25 PM,Expert Ratings For Corpay,Benzinga,/news/stocks/expert-ratings-for-corpay-1033496826
28.0,6/24/2024 6:20:33 AM,"Analysts Offer Insights on Technology Companies: Corpay Inc (CPAY), Intuit (INTU) and Adobe (ADBE)",TipRanks,/news/stocks/analysts-offer-insights-on-technology-companies-corpay-inc-cpay-intuit-intu-and-adobe-adbe-1033499193
29.0,7/9/2024 12:15:00 PM,3 Bargain Bin Stocks with Millionaire-Maker Potential,InvestorPlace,/news/stocks/3-bargain-bin-stocks-with-millionaire-maker-potential-1033539210
30.0,7/12/2024 5:59:16 PM,Reasons to Retain Corpay Stock in Your Portfolio,Benzinga,/news/stocks/reasons-to-retain-corpay-stock-in-your-portfolio-1033551233
31.0,7/15/2024 5:36:16 AM,Corpay Inc: Poised for Growth with Strong Q4 Outlook and Resilient Market Position – Buy Rating Affirmed,TipRanks,/news/stocks/corpay-inc-poised-for-growth-with-strong-q4-outlook-and-resilient-market-position-–-buy-rating-affirmed-1033554512
32.0,7/17/2024 4:21:49 PM,Corpay Inc (CPAY): New Buy Recommendation for This Technology Giant,TipRanks,/news/stocks/corpay-inc-cpay-new-buy-recommendation-for-this-technology-giant-1033565530
33.0,7/18/2024 12:16:07 PM,"New Buy Rating for Corpay Inc (CPAY), the Technology Giant",TipRanks,/news/stocks/new-buy-rating-for-corpay-inc-cpay-the-technology-giant-1033569464
34.0,7/23/2024 12:46:32 PM,Morgan Stanley Remains a Hold on Corpay Inc (CPAY),TipRanks,/news/stocks/morgan-stanley-remains-a-hold-on-corpay-inc-cpay-1033583659
35.0,7/25/2024 3:00:00 PM,3 Stocks to Buy to Ride Atlanta’s Impressive Growth ,InvestorPlace,/news/stocks/3-stocks-to-buy-to-ride-atlantas-impressive-growth-1033595579
36.0,8/6/2024 3:01:13 PM,FleetCor Technologies earnings preview: what Wall Street is expecting,Markets Insider Automation,/news/stocks/fleetcor_technologies_1-stock-quarter-earnings-preview-q2-1033645203
37.0,8/7/2024 8:26:09 PM,FleetCor Technologies beats Q2 EPS estimates,Seeking Alpha,https://seekingalpha.com/news/4136532-fleetcor-technologies-beats-q2-eps-estimates?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
38.0,8/7/2024 10:33:23 PM,"Corpay Inc. Q2 Profit Increases, Beats Estimates ",RTTNews,/news/stocks/corpay-inc-q2-profit-increases-beats-estimates-1033655406
39.0,8/8/2024 12:56:19 AM,"CPAY Stock Earnings: Corpay Beats EPS, Beats Revenue for Q2 2024",InvestorPlace,/news/stocks/cpay-stock-earnings-corpay-for-q2-of-2024-1033656019
40.0,8/8/2024 5:25:54 AM,Corpay Inc (CPAY) Gets a Buy from KBW,TipRanks,/news/stocks/corpay-inc-cpay-gets-a-buy-from-kbw-1033659300
41.0,8/8/2024 10:48:01 AM,Maintaining Hold on Corpay Inc.: A Balancing Act of Stability and Uncertainty,TipRanks,/news/stocks/maintaining-hold-on-corpay-inc-a-balancing-act-of-stability-and-uncertainty-1033660935
42.0,8/8/2024 11:06:54 AM,Corpay Inc: Strong Q2 Performance and Robust Corporate Payments Segment Fuel Buy Rating Despite Lodging Softness and Revised Guidance,TipRanks,/news/stocks/corpay-inc-strong-q2-performance-and-robust-corporate-payments-segment-fuel-buy-rating-despite-lodging-softness-and-revised-guidance-1033661312
43.0,8/8/2024 11:58:52 AM,RBC Capital Sticks to Its Hold Rating for Corpay Inc (CPAY),TipRanks,/news/stocks/rbc-capital-sticks-to-its-hold-rating-for-corpay-inc-cpay-1033661653
44.0,8/8/2024 12:25:25 PM,Barclays Gives a Buy Rating to Corpay Inc (CPAY),TipRanks,/news/stocks/barclays-gives-a-buy-rating-to-corpay-inc-cpay-1033661707
45.0,8/8/2024 12:34:01 PM,Buy Rating Affirmed: Corpay Inc’s Strong Performance and Growth Prospects Signal Attractive Investment Opportunity,TipRanks,/news/stocks/buy-rating-affirmed-corpay-inc-s-strong-performance-and-growth-prospects-signal-attractive-investment-opportunity-1033661837
46.0,8/8/2024 1:48:03 PM,Corpay Inc.: Poised for Strong Organic Growth and Strategic Synergies into 2025,TipRanks,/news/stocks/corpay-inc-poised-for-strong-organic-growth-and-strategic-synergies-into-2025-1033662351
47.0,8/8/2024 2:08:32 PM,Morgan Stanley Remains a Hold on Corpay Inc (CPAY),TipRanks,/news/stocks/morgan-stanley-remains-a-hold-on-corpay-inc-cpay-1033662521
48.0,8/9/2024 11:03:15 AM,Corpay Inc.: Strong Buy Rating Affirmed Amidst Robust Financials and Promising Growth Outlook,TipRanks,/news/stocks/corpay-inc-strong-buy-rating-affirmed-amidst-robust-financials-and-promising-growth-outlook-1033669594
49.0,8/9/2024 11:04:41 AM,"Analysts’ Opinions Are Mixed on These Technology Stocks: Amdocs (DOX), Bumble (BMBL) and Corpay Inc (CPAY)",TipRanks,/news/stocks/analysts-opinions-are-mixed-on-these-technology-stocks-amdocs-dox-bumble-bmbl-and-corpay-inc-cpay-1033669589
50.0,8/9/2024 3:13:36 PM,Analysts Offer Insights on Technology Companies: Corpay Inc (CPAY) and Global Business Travel Group (GBTG),TipRanks,/news/stocks/analysts-offer-insights-on-technology-companies-corpay-inc-cpay-and-global-business-travel-group-gbtg-1033670888
51.0,8/12/2024 7:51:32 AM,Corpay Inc (CPAY) Receives a Buy from Barclays,TipRanks,/news/stocks/corpay-inc-cpay-receives-a-buy-from-barclays-1033676429
52.0,8/20/2024 11:40:40 AM,"Analysts Are Bullish on These Technology Stocks: Corpay Inc (CPAY), Nvidia (NVDA)",TipRanks,/news/stocks/analysts-are-bullish-on-these-technology-stocks-corpay-inc-cpay-nvidia-nvda-1033707976
53.0,8/21/2024 12:06:25 PM,Corpay Inc (CPAY): New Buy Recommendation for This Technology Giant,TipRanks,/news/stocks/corpay-inc-cpay-new-buy-recommendation-for-this-technology-giant-1033711704
54.0,8/23/2024 6:41:21 PM,The 10 most actionable policies if Harris wins this November - Jefferies,Seeking Alpha,https://seekingalpha.com/news/4143477-the-10-most-actionable-policies-if-harris-wins-this-november-jefferies?utm_source=businessinsider&utm_medium=referral&feed_item_type=news
