Unnamed: 0,datetime,title,source,link
0.0,10/27/2016 11:16:20 PM,BRIEF-Camden Property Trust announces Q3 2016 operating results (CPT),Reuters,http://www.businessinsider.com/r-brief-camden-property-trust-announces-q3-2016-operating-results-2016-10
1.0,2/7/2017 10:58:39 PM,Camden Property Trust Q4 Profit Drops 2%,RTTNews,/news/stocks/camden-property-trust-q4-profit-drops-2-1001730988
2.0,2/7/2017 11:19:44 PM,Camden Property Trust Issues Earnings Guidance - Quick Facts ,RTTNews,/news/stocks/camden-property-trust-issues-earnings-guidance-quick-facts-1001731044
3.0,3/21/2017 12:45:00 PM,"How These REIT Stocks are Faring? -- Capstead, American Campus, Camden, and EdR",PR Newswire,/news/stocks/how-these-reit-stocks-are-faring-capstead-american-campus-camden-and-edr-1001853475
4.0,5/4/2017 11:33:24 PM,Camden Property Trust Reveals 10% Decline In Q1 Bottom Line,RTTNews,/news/stocks/camden-property-trust-reveals-10-decline-in-q1-bottom-line-1001981767
5.0,5/5/2017 1:00:05 AM,BRIEF-Camden Property Trust qtrly earnings per share $0.39 (CPT),Reuters,http://www.businessinsider.com/r-brief-camden-property-trust-qtrly-earnings-per-share-039-2017-5
6.0,5/12/2017 1:10:00 PM,"Research Reports Coverage on REIT Stocks -- Camden Property Trust, Independence Realty Trust, ARMOUR Residential REIT, and EdR",PR Newswire,/news/stocks/research-reports-coverage-on-reit-stocks-camden-property-trust-independence-realty-trust-armour-residential-reit-and-edr-1002007915
7.0,5/15/2017 6:40:05 PM,"BRIEF-Camden Property Trust files for potential mixed shelf offfering, size not disclosed (CPT)",Reuters,http://www.businessinsider.com/r-brief-camden-property-trust-files-for-potential-mixed-shelf-offfering-size-not-disclosed-2017-5
8.0,6/27/2017 1:05:00 PM,"Stock Performance Review on REIT Industry -- AvalonBay Communities, Capstead Mortgage, Camden Property Trust, and EdR",PR Newswire,/news/stocks/stock-performance-review-on-reit-industry-avalonbay-communities-capstead-mortgage-camden-property-trust-and-edr-1002126890
9.0,7/27/2017 11:25:11 PM,Camden Property Trust Q2 Earnings Decline 1%,RTTNews,/news/stocks/camden-property-trust-q2-earnings-decline-1-1002212695
10.0,8/9/2017 12:30:00 PM,"Today's Research Report Coverage on REIT Stocks -- AvalonBay Communities, Capstead Mortgage, Camden Property Trust, and EdR",PR Newswire,/news/stocks/today-s-research-report-coverage-on-reit-stocks-avalonbay-communities-capstead-mortgage-camden-property-trust-and-edr-1002243809
11.0,8/28/2017 6:12:09 PM,BRIEF-Camden Property Trust provides update on impact from Hurricane Harvey (CPT),Reuters,http://www.businessinsider.com/r-brief-camden-property-trust-provides-update-on-impact-from-hurricane-harvey-2017-8
12.0,9/5/2017 11:07:15 PM,BRIEF-Camden Property Q3 to incur $2.5-$3 mln in costs due to Hurricane Harvey​ (CPT),Reuters,http://www.businessinsider.com/r-brief-camden-property-q3-to-incur-25-3-mln-in-costs-due-to-hurricane-harvey-2017-9
13.0,9/12/2017 6:02:26 AM,Camden Property Trust Prices Public Offering Of 4.75 Mln Shares For $445.3 Mln ,RTTNews,/news/stocks/camden-property-trust-prices-public-offering-of-4-75-mln-shares-for-445-3-mln-1002359946
14.0,9/18/2017 10:32:07 PM,BRIEF-Camden Property Trust provides update on projected expenses related to Hurricane Irma (CPT),Reuters,http://www.businessinsider.com/r-brief-camden-property-trust-provides-update-on-projected-expenses-related-to-hurricane-irma-2017-9
15.0,9/26/2017 2:00:00 PM,Veritas Announces 2017 Americas Partner Award Winners,PR Newswire,/news/stocks/veritas-announces-2017-americas-partner-award-winners-510873
16.0,10/26/2017 10:53:19 PM,EARNINGS SUMMARY: Details of Camden Property Trust Q3 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-camden-property-trust-q3-earnings-report-1005747969
17.0,10/26/2017 11:41:53 PM,Camden Lowers 2017 Earnings Guidance - Quick Facts ,RTTNews,/news/stocks/camden-lowers-2017-earnings-guidance-quick-facts-1005752784
