Unnamed: 0,datetime,title,source,link
0.0,9/28/2016 6:00:22 AM,BRIEF-Cintas sees FY 2017 revenue $5.16 bln to $5.225 bln (CTAS),Reuters,/news/stocks/brief-cintas-sees-fy-2017-revenue-$5-16-bln-to-$5-225-bln-ctas-1001422153
1.0,9/30/2016 1:50:23 AM,"BRIEF-G&K Services, Cintas received request for additional information from FTC on Sept. 29 - SEC Filing (CTAS)",Reuters,/news/stocks/brief-g&k-services-cintas-received-request-for-additional-information-from-ftc-on-sept-29-sec-filing-ctas-1001428033
2.0,9/30/2016 3:10:24 AM,BRIEF- Each of Cintas and G&K Services received a request for additional information from FTC (CTAS),Reuters,/news/stocks/brief-each-of-cintas-and-g&k-services-received-a-request-for-additional-information-from-ftc-ctas-1001428045
3.0,10/18/2016 6:00:22 PM,BRIEF-Cintas Corp approves $1.33 per share annual dividend (CTAS),Reuters,/news/stocks/brief-cintas-corp-approves-$1-33-per-share-annual-dividend-ctas-1001462809
4.0,11/15/2016 11:36:21 PM,BRIEF-G&K Services shareholders approve merger with Cintas (CTAS),Reuters,http://www.businessinsider.com/r-brief-gk-services-shareholders-approve-merger-with-cintas-2016-11
5.0,12/22/2016 10:50:03 PM,BRIEF-Cintas Q2 revenue $1.3 billion (CTAS),Reuters,http://www.businessinsider.com/r-brief-cintas-q2-revenue-13-billion-2016-12
6.0,3/17/2017 2:12:22 PM,Cintas Says All Regulatory Consents For G&K Services Acquisition Received ,RTTNews,/news/stocks/cintas-says-all-regulatory-consents-for-g-k-services-acquisition-received-1001846080
7.0,3/17/2017 2:24:45 PM,BRIEF-Cintas Corp announces regulatory approval for the acquisition of G&K Services (CTAS),Reuters,http://www.businessinsider.com/r-brief-cintas-corp-announces-regulatory-approval-for-the-acquisition-of-gk-services-2017-3
8.0,3/20/2017 11:36:00 PM,OraSure Technologies and John B. Sanfilippo & Son Set to Join S&P SmallCap 600,PR Newswire,/news/stocks/orasure-technologies-and-john-b-sanfilippo-son-set-to-join-s-p-smallcap-600-1001851843
9.0,3/21/2017 10:34:47 PM,"BRIEF-Cintas Corp on march 21, 2017, G&K Services, entered into an amended, restated note purchase agreement (CTAS)",Reuters,http://www.businessinsider.com/r-brief-cintas-corp-on-march-21-2017-gk-services-entered-into-an-amended-restated-note-purchase-agreement-2017-3
10.0,3/21/2017 11:44:47 PM,BRIEF-Cintas Corp says G&K Services enters amended and restated note purchase agreement (CTAS),Reuters,http://www.businessinsider.com/r-brief-cintas-corp-says-gk-services-enters-amended-and-restated-note-purchase-agreement-2017-3
11.0,3/22/2017 9:21:39 PM,Cintas Corporation Announces 1% Rise In Q3 Profit,RTTNews,/news/stocks/cintas-corporation-announces-1-rise-in-q3-profit-1001859642
12.0,3/29/2017 1:05:00 PM,"Research Reports Initiation on Business Services Stocks -- TransUnion, Verisk Analytics, Cintas, and Alliance Data Systems",PR Newswire,/news/stocks/research-reports-initiation-on-business-services-stocks-transunion-verisk-analytics-cintas-and-alliance-data-systems-1001877301
13.0,5/10/2017 12:10:00 PM,"Research Reports Initiation on Business Services Stocks -- Verisk Analytics, Cintas, Alliance Data Systems, and ABM Industries",PR Newswire,/news/stocks/research-reports-initiation-on-business-services-stocks-verisk-analytics-cintas-alliance-data-systems-and-abm-industries-1001998368
14.0,6/13/2017 1:05:00 PM,"Business Services Stocks on Investors' Radar -- Advisory Board, Altisource Portfolio Solutions, MAXIMUS, and Cintas",PR Newswire,/news/stocks/business-services-stocks-on-investors-radar-advisory-board-altisource-portfolio-solutions-maximus-and-cintas-1002088453
15.0,7/20/2017 10:24:03 PM,BRIEF-Cintas reports Q4 revenue $1.53 billion (CTAS),Reuters,http://www.businessinsider.com/r-brief-cintas-reports-q4-revenue-153-billion-2017-7
16.0,7/20/2017 10:31:20 PM,Cintas Corporation Q4 Income Falls 36%,RTTNews,/news/stocks/cintas-corporation-q4-income-falls-36-1002192883
17.0,7/20/2017 10:45:05 PM,Cintas Issues FY18 Guidance - Quick Facts ,RTTNews,/news/stocks/cintas-issues-fy18-guidance-quick-facts-1002192932
18.0,8/21/2017 12:30:00 PM,"Today's Research Report Coverage on Business Services Stocks -- FleetCor Technologies, ServiceMaster Global, Cintas, and WEX Inc.",PR Newswire,/news/stocks/today-s-research-report-coverage-on-business-services-stocks-fleetcor-technologies-servicemaster-global-cintas-and-wex-inc-1002271724
