Unnamed: 0,datetime,title,source,link
0.0,6/6/2019 5:00:26 PM,Why and Where Dow Inc. Stock Is a Bearish Short,InvestorPlace,/news/stocks/dow-inc-why-and-where-dow-stock-is-a-bearish-short-1028262334
1.0,6/10/2019 3:35:52 PM,Dow Inc. Stock Is The Best Bet of the Post-Split Bunch,InvestorPlace,/news/stocks/dow-inc-stock-is-the-best-bet-of-the-bunch-1028268238
2.0,6/11/2019 3:06:51 PM,"With or Without DuPont, DOW Stock Is Almost Too Complicated",InvestorPlace,/news/stocks/with-or-without-dupont-dow-stock-is-almost-too-complicated-1028272007
3.0,6/17/2019 10:40:07 AM,"If You Can Get a Handle on the Business, Dow Stock Is Worth Owning",InvestorPlace,/news/stocks/dow-stock-is-worth-owning-1028285912
4.0,6/17/2019 6:58:20 PM,The 5 Worst Dow Jones Stocks So Far in 2019,InvestorPlace,/news/stocks/the-5-worst-dow-jones-stocks-so-far-in-2019-1028285881
5.0,6/19/2019 6:41:17 PM,Has DOW Stock Reached an Attractive Entry Point?,InvestorPlace,/news/stocks/has-dow-stock-reached-an-attractive-entry-point-1028293590
6.0,6/20/2019 1:10:32 PM,Dow Stock Is Just Too Bumpy to Consider Buying Right Now,InvestorPlace,/news/stocks/dow-stock-too-bumpy-1028296971
7.0,6/20/2019 6:20:55 PM,The 7 Best Dow Jones Stocks to Buy for the Rest of 2019,InvestorPlace,/news/stocks/7-best-dow-jones-stocks-to-buy-rest-2019-1028296952
8.0,6/25/2019 1:43:02 PM,Dow Stock Should Be Cheap – But Not This Cheap,InvestorPlace,/news/stocks/dow-inc-stock-dow-stock-cheap-this-cheap-1028307953
9.0,6/26/2019 2:58:45 PM,Corteva Board Authorizes Share Repurchase Program; Initiates Quarterly Dividend ,RTTNews,/news/stocks/corteva-board-authorizes-share-repurchase-program-initiates-quarterly-dividend-1028309833
10.0,7/1/2019 1:06:57 PM,"Dow Stock Is a Misjudged, Undervalued Dividend Play Worth a Shot",InvestorPlace,/news/stocks/dow-stock-is-a-misjudged-undervalued-dividend-play-worth-a-shot-1028323086
11.0,7/11/2019 4:07:36 PM,10 Stocks to Buy for Less Than Book,InvestorPlace,/news/stocks/10-stocks-to-buy-for-less-than-book-1028347988
12.0,7/19/2019 9:22:19 AM,Investors Can Clean Up On The Dividend With Dow Stock,InvestorPlace,/news/stocks/investors-clean-dividend-dow-stock-1028369048
13.0,7/23/2019 2:36:25 PM,Buy Dow Stock for the Dividend as the Breakup Dust Settles,InvestorPlace,/news/stocks/buy-dow-stock-breakup-dust-settles-1028378764
14.0,8/1/2019 12:40:59 PM,Corteva profit slumps on DowDuPont split up costs,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/vJwqhUqz8bc/corteva-profit-slumps-on-dowdupont-split-up-costs-idUSL4N24X2ZX
15.0,8/1/2019 2:22:34 PM,"UPDATE 1-Corteva profit beats on higher volumes, prices outside North America",Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/9Zh3UZAaySI/update-1-corteva-profit-beats-on-higher-volumes-prices-outside-north-america-idUSL4N24X3DK
16.0,8/1/2019 5:19:57 PM,UPDATE 2-Corteva shares rise as profit beats on international markets,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/t8pkWBgG7Fs/update-2-corteva-shares-rise-as-profit-beats-on-international-markets-idUSL4N24X3DK
17.0,8/15/2019 3:26:29 PM,Corteva forecasts higher revenue growth for 2020 and beyond,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/sZayCte1Xx0/corteva-forecasts-higher-revenue-growth-for-2020-and-beyond-idUSL4N25B2VK
18.0,8/15/2019 3:32:44 PM,REFILE-Corteva forecasts higher revenue growth for 2020 and beyond,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/u4BWTFtZPKc/refile-corteva-forecasts-higher-revenue-growth-for-2020-and-beyond-idUSL4N25B2VK
19.0,8/21/2019 4:44:05 PM,Dow Stock a Downer Until Tariff Talk Subsides,InvestorPlace,/news/stocks/dow-stock-has-been-stymied-by-the-trade-war-its-shares-are-slumping-1028464929
20.0,8/22/2019 7:06:27 PM,Dow Stock Is Cheap for Too Many Reasons,InvestorPlace,/news/stocks/dow-stock-cheap-many-reasons-1028468416
21.0,10/31/2019 11:11:25 AM,Corteva posts smaller loss as North America volumes rise,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/JCFRQzPx2j4/corteva-posts-smaller-loss-as-north-america-volumes-rise-idUSKBN1XA18N
22.0,10/31/2019 11:53:22 AM,"UPDATE 1-Corteva posts smaller-than-expected loss, North America seed volumes rise",Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/BTjK94MaEgU/update-1-corteva-posts-smaller-than-expected-loss-north-america-seed-volumes-rise-idUSL3N27G3GM
