Unnamed: 0,datetime,title,source,link
0.0,9/28/2016 7:20:24 PM,BRIEF-Digital Realty settled portion of forward sale agreements by issuing 12 million shares to forward counterparties for about $1.1 billion (DLR),Reuters,/news/stocks/brief-digital-realty-settled-portion-of-forward-sale-agreements-by-issuing-12-million-shares-to-forward-counterparties-for-about-$1-1-billion-dlr-1001424156
1.0,10/11/2016 12:40:21 PM,"Silver Lake explores sale of Vantage Data Centers -sources (INTC, EQIX, DLR)",Reuters,/news/stocks/silver-lake-explores-sale-of-vantage-data-centers-sources-intc-eqix-dlr-1001447862
2.0,10/27/2016 11:06:30 PM,BRIEF-Digital Realty names Daniel Papes SVP of global sales and marketing (DLR),Reuters,http://www.businessinsider.com/r-brief-digital-realty-names-daniel-papes-svp-of-global-sales-and-marketing-2016-10
3.0,10/27/2016 11:40:18 PM,BRIEF-Digital Realty Q3 FFO per share $1.31 (DLR),Reuters,http://www.businessinsider.com/r-brief-digital-realty-q3-ffo-per-share-131-2016-10
4.0,11/10/2016 12:16:18 PM,BRIEF-Digital Realty declares quarterly cash dividends for common and preferred stock (DLR),Reuters,http://www.businessinsider.com/r-brief-digital-realty-declares-quarterly-cash-dividends-for-common-and-preferred-stock-2016-11
5.0,1/3/2017 10:16:05 PM,BRIEF-Digital Realty provides initial 2017 outlook (DLR),Reuters,http://www.businessinsider.com/r-brief-digital-realty-provides-initial-2017-outlook-2017-1
6.0,2/16/2017 10:05:41 PM,Digital Realty Trust Inc. Reports 13% Advance In Q4 Earnings,RTTNews,/news/stocks/digital-realty-trust-inc-reports-13-advance-in-q4-earnings-1001759184
7.0,2/16/2017 10:36:10 PM,BRIEF-Digital Realty Q4 FFO per share $1.58 (DLR),Reuters,http://www.businessinsider.com/r-brief-digital-realty-q4-ffo-per-share-158-2017-2
8.0,2/23/2017 1:40:00 PM,"Technical Reports on REIT Equities -- New York REIT, Digital Realty Trust, Liberty Property Trust, and DuPont Fabros Technology",PR Newswire,/news/stocks/technical-reports-on-reit-equities-new-york-reit-digital-realty-trust-liberty-property-trust-and-dupont-fabros-technology-1001776868
9.0,2/28/2017 12:16:00 AM,Digital Realty to Present at Upcoming Investor Conferences,PR Newswire,/news/stocks/digital-realty-to-present-at-upcoming-investor-conferences-1001787833
10.0,3/1/2017 10:01:00 PM,Digital Realty Increases Quarterly Cash Dividend for Common Stock by 5.7% to $0.93 per Share,PR Newswire,/news/stocks/digital-realty-increases-quarterly-cash-dividend-for-common-stock-by-5-7-to-0-93-per-share-1001796601
11.0,3/6/2017 10:05:00 PM,Digital Realty Announces Redemption of 6.625% Series F Preferred Stock,PR Newswire,/news/stocks/digital-realty-announces-redemption-of-6-625percent-series-f-preferred-stock-453017
12.0,3/6/2017 10:38:21 PM,BRIEF-Digital Realty announces redemption of 6.625 pct series F preferred stock (DLR),Reuters,http://www.businessinsider.com/r-brief-digital-realty-announces-redemption-of-6625-pct-series-f-preferred-stock-2017-3
13.0,3/15/2017 9:05:00 PM,Digital Realty Expands Atlanta Connected Campus,PR Newswire,/news/stocks/digital-realty-expands-atlanta-connected-campus-1001839445
14.0,4/3/2017 10:05:00 PM,Digital Realty Schedules First Quarter 2017 Earnings Release and Conference Call,PR Newswire,/news/stocks/digital-realty-schedules-first-quarter-2017-earnings-release-and-conference-call-1001891950
15.0,4/4/2017 12:15:00 PM,"REIT Stocks Under Scanner -- New York REIT, Hudson Pacific, Digital Realty, and Corporate Office",PR Newswire,/news/stocks/reit-stocks-under-scanner-new-york-reit-hudson-pacific-digital-realty-and-corporate-office-1001893669
16.0,4/27/2017 10:01:00 PM,Digital Realty to Appoint Mary Hogan Preusse to Board of Directors,PR Newswire,/news/stocks/digital-realty-to-appoint-mary-hogan-preusse-to-board-of-directors-1001958717
17.0,4/27/2017 10:41:11 PM,BRIEF-Digital Realty to appoint Mary Hogan Preusse to board (DLR),Reuters,http://www.businessinsider.com/r-brief-digital-realty-to-appoint-mary-hogan-preusse-to-board-2017-4
18.0,4/27/2017 10:41:11 PM,BRIEF-Digital Realty Trust Q1 Core FFO per share $1.52 (DLR),Reuters,http://www.businessinsider.com/r-brief-digital-realty-trust-q1-core-ffo-per-share-152-2017-4
19.0,4/27/2017 11:41:22 PM,Digital Realty Raises 2017 Core FFO Per Share Outlook - Quick Facts ,RTTNews,/news/stocks/digital-realty-raises-2017-core-ffo-per-share-outlook-quick-facts-1001959156
20.0,4/28/2017 12:32:22 AM,Digital Realty Trust Inc. Reveals 16% Advance In Q1 Earnings,RTTNews,/news/stocks/digital-realty-trust-inc-reveals-16-advance-in-q1-earnings-1001959260
21.0,4/29/2017 12:51:09 AM,"Shaw Communications explores selling ViaWest-sources (SJR., CJR., TD, VZ, CTL, T, BCE, RCI., T, EQIX, DLR)",Reuters,http://www.businessinsider.com/r-shaw-communications-explores-selling-viawest-sources-2017-4
22.0,5/9/2017 3:15:00 AM,Digital Realty Declares Quarterly Cash Dividends for Common and Preferred Stock,PR Newswire,/news/stocks/digital-realty-declares-quarterly-cash-dividends-for-common-and-preferred-stock-1001991714
23.0,5/10/2017 3:32:00 AM,Digital Realty Appoints Laurence A. Chapman As Chairman Of The Board Of Directors,PR Newswire,/news/stocks/digital-realty-appoints-laurence-a-chapman-as-chairman-of-the-board-of-directors-1001996658
24.0,5/10/2017 3:41:55 AM,Digital Realty Names Laurence Chapman Chairman - Quick Facts ,RTTNews,/news/stocks/digital-realty-names-laurence-chapman-chairman-quick-facts-1001996660
25.0,5/16/2017 1:00:00 PM,"How These REIT Stocks are Faring? -- Digital Realty Trust, Government Properties Income Trust, Mack-Cali Realty, and Equity Commonwealth",PR Newswire,/news/stocks/how-these-reit-stocks-are-faring-digital-realty-trust-government-properties-income-trust-mack-cali-realty-and-equity-commonwealth-1002016427
26.0,6/9/2017 12:00:00 PM,Digital Realty To Merge With DuPont Fabros,PR Newswire,/news/stocks/digital-realty-to-merge-with-dupont-fabros-1002081363
27.0,6/9/2017 12:15:39 PM,Digital Realty To Merge With DuPont Fabros In $7.6 Bln All-stock Deal ,RTTNews,/news/stocks/digital-realty-to-merge-with-dupont-fabros-in-7-6-bln-all-stock-deal-1002081437
28.0,6/9/2017 12:38:03 PM,"BRIEF-Dupont Fabros to pay $150 mln termination fee to Digital Realty in case of deal termination (DFT, DLR)",Reuters,http://www.businessinsider.com/r-brief-dupont-fabros-to-pay-150-mln-termination-fee-to-digital-realty-in-case-of-deal-termination-2017-6
29.0,6/9/2017 12:38:04 PM,"Data center company Digital Realty to buy DuPont Fabros in $7.6 bln deal (DLR, DFT)",Reuters,http://www.businessinsider.com/r-data-center-company-digital-realty-to-buy-dupont-fabros-in-76-bln-deal-2017-6
30.0,6/9/2017 12:38:04 PM,"BRIEF-Digital Realty to merge with Dupont Fabros (DFT, DLR)",Reuters,http://www.businessinsider.com/r-brief-digital-realty-to-merge-with-dupont-fabros-2017-6
31.0,6/9/2017 12:50:05 PM,"BRIEF-Dupont Fabros says implied value for Digital Realty deal is $64.32/share (DFT, DLR)",Reuters,http://www.businessinsider.com/r-brief-dupont-fabros-says-implied-value-for-digital-realty-deal-is-6432-share-2017-6
32.0,6/9/2017 1:32:05 PM,"US STOCKS-Futures flat as impact from UK election seen as limited (UKX, ENDP, NVDA, DFT, DLR)",Reuters,http://www.businessinsider.com/r-us-stocks-futures-flat-as-impact-from-uk-election-seen-as-limited-2017-6
33.0,6/9/2017 2:41:00 PM,"DuPont Fabros (DFT) Alert: J&W Investigates Proposed Sale of DuPont Fabros Technology, Inc.; Are Shareholders Getting a Fair Deal?",PR Newswire,/news/stocks/dupont-fabros-dft-alert-j-w-investigates-proposed-sale-of-dupont-fabros-technology-inc-are-shareholders-getting-a-fair-deal-1002081959
34.0,6/9/2017 2:48:03 PM,"US STOCKS-Wall St set to open higher as UK election impact limited (UKX, ENDP, NVDA, DFT, DLR)",Reuters,http://www.businessinsider.com/r-us-stocks-wall-st-set-to-open-higher-as-uk-election-impact-limited-2017-6
35.0,6/9/2017 3:58:05 PM,"US STOCKS-Wall St higher as investors shrug off UK election impact (UKX, GS, ENDP, NVDA, DFT, DLR)",Reuters,http://www.businessinsider.com/r-us-stocks-wall-st-higher-as-investors-shrug-off-uk-election-impact-2017-6
36.0,6/9/2017 5:10:05 PM,"US STOCKS-Bank stocks drive Wall St to all-time highs (GS, JPM, BAC, NVDA, DFT, DLR)",Reuters,http://www.businessinsider.com/r-us-stocks-bank-stocks-drive-wall-st-to-all-time-highs-2017-6
37.0,6/12/2017 9:44:00 PM,"DUPONT FABROS INVESTOR ALERT BY THE FORMER ATTORNEY GENERAL OF LOUISIANA: Kahn Swick & Foti, LLC Investigates Adequacy of Price and Process in Proposed Sale of DuPont Fabros Technology, Inc.",PR Newswire,/news/stocks/dupont-fabros-investor-alert-by-the-former-attorney-general-of-louisiana-kahn-swick-foti-llc-investigates-adequacy-of-price-and-process-in-proposed-sale-of-dupont-fabros-technology-inc-1002086810
38.0,6/26/2017 3:44:05 PM,Top U.S. court to review scope of Dodd-Frank whistleblower protections (DLR),Reuters,http://www.businessinsider.com/r-top-us-court-to-review-scope-of-dodd-frank-whistleblower-protections-2017-6
39.0,6/26/2017 3:52:03 PM,UPDATE 1-Top U.S. court to review scope of Dodd-Frank whistleblower protections (DLR),Reuters,http://www.businessinsider.com/r-update-1-top-us-court-to-review-scope-of-dodd-frank-whistleblower-protections-2017-6
40.0,6/29/2017 11:37:00 PM,Digital Realty Joint Venture Completes $135 Million Secured Debt Refinancing,PR Newswire,/news/stocks/digital-realty-joint-venture-completes-135-million-secured-debt-refinancing-1002136829
41.0,6/30/2017 3:00:00 PM,Digital Realty Schedules Second Quarter 2017 Earnings Release and Conference Call,PR Newswire,/news/stocks/digital-realty-schedules-second-quarter-2017-earnings-release-and-conference-call-1002138841
42.0,7/6/2017 10:30:06 PM,"BRIEF-INAP strategically expands with Digital Realty in Greater Phoenix (INAP, DLR)",Reuters,http://www.businessinsider.com/r-brief-inap-strategically-expands-with-digital-realty-in-greater-phoenix-2017-7
43.0,7/11/2017 11:44:03 PM,"BRIEF-Digital realty names Sherri Liebo as senior vice president, marketing (DLR)",Reuters,http://www.businessinsider.com/r-brief-digital-realty-names-sherri-liebo-as-senior-vice-president-marketing-2017-7
44.0,7/12/2017 7:38:12 PM,BRIEF-Digital Realty announces pricing of pounds sterling-denominated Guaranteed Notes (DLR),Reuters,http://www.businessinsider.com/r-brief-digital-realty-announces-pricing-of-pounds-sterling-denominated-guaranteed-notes-2017-7
45.0,7/27/2017 3:07:00 PM,Efficient Forms Announces Strategic Equity Partnership With AltaLink Capital,PR Newswire,/news/stocks/efficient-forms-announces-strategic-equity-partnership-with-altalink-capital-525820
46.0,7/27/2017 10:14:04 PM,BRIEF-Digital Realty Q2 core FFO per share $1.54 (DLR),Reuters,http://www.businessinsider.com/r-brief-digital-realty-q2-core-ffo-per-share-154-2017-7
47.0,7/27/2017 10:43:05 PM,Digital Realty Trust Inc. Announces 19% Gain In Q2 Bottom Line,RTTNews,/news/stocks/digital-realty-trust-inc-announces-19-gain-in-q2-bottom-line-1002212529
48.0,8/1/2017 12:15:00 PM,"Daily Technical Summary Reports on REIT Stocks -- Camping World, Digital Realty Trust, Equity Commonwealth, and Hudson Pacific Properties",PR Newswire,/news/stocks/daily-technical-summary-reports-on-reit-stocks-camping-world-digital-realty-trust-equity-commonwealth-and-hudson-pacific-properties-1002221705
49.0,8/2/2017 2:51:00 PM,Digital Realty Commences Offering of Senior Notes and Preferred Stock,PR Newswire,/news/stocks/digital-realty-commences-offering-of-senior-notes-and-preferred-stock-1002226417
50.0,8/2/2017 3:27:06 PM,"BRIEF-Digital Realty Trust commences offering of senior notes and preferred stock (DLR, DFT)",Reuters,http://www.businessinsider.com/r-brief-digital-realty-trust-commences-offering-of-senior-notes-and-preferred-stock-2017-8
51.0,8/3/2017 1:41:00 AM,Digital Realty Announces Pricing of Senior Notes and Preferred Stock Offerings,PR Newswire,/news/stocks/digital-realty-announces-pricing-of-senior-notes-and-preferred-stock-offerings-1002228323
52.0,8/8/2017 1:49:00 AM,Digital Realty Declares Quarterly Cash Dividends for Common and Preferred Stock,PR Newswire,/news/stocks/digital-realty-declares-quarterly-cash-dividends-for-common-and-preferred-stock-1002238596
53.0,8/11/2017 3:00:00 PM,Digital Realty Announces Management Transition,PR Newswire,/news/stocks/digital-realty-announces-management-transition-1002252047
54.0,8/21/2017 9:01:00 AM,Epson Partners with Loftware to Offer New Solution that Meets Growing Demand for Color Label Printing Across Global Supply Chains,PR Newswire,/news/stocks/epson-partners-with-loftware-to-offer-new-solution-that-meets-growing-demand-for-color-label-printing-across-global-supply-chains-590401
55.0,8/30/2017 1:50:00 AM,Digital Realty Offers its Support to the Community of Houston in the Wake of Hurricane Harvey,PR Newswire,/news/stocks/digital-realty-offers-its-support-to-the-community-of-houston-in-the-wake-of-hurricane-harvey-1002293044
56.0,8/31/2017 3:14:00 AM,"Digital Realty Announces Tender Offer and Consent Solicitation for 5.875% Senior Notes due 2021 issued by DuPont Fabros Technology, L.P.",PR Newswire,/news/stocks/digital-realty-announces-tender-offer-and-consent-solicitation-for-5-875-senior-notes-due-2021-issued-by-dupont-fabros-technology-l-p-1002296493
57.0,8/31/2017 3:32:03 AM,BRIEF-Digital Realty reports tender offer and consent solicitation for 5.875 pct senior notes (DLR),Reuters,http://www.businessinsider.com/r-brief-digital-realty-reports-tender-offer-and-consent-solicitation-for-5875-pct-senior-notes-2017-8
58.0,8/31/2017 2:00:00 PM,Digital Realty to Present at Investor Conferences in September 2017,PR Newswire,/news/stocks/digital-realty-to-present-at-investor-conferences-in-september-2017-624030
59.0,9/8/2017 2:00:00 AM,Digital Realty Continues Its Australia Expansion With Data Centre Development In Western Sydney,PR Newswire,/news/stocks/digital-realty-continues-its-australia-expansion-with-data-centre-development-in-western-sydney-1002351859
