Unnamed: 0,datetime,title,source,link
0.0,7/28/2014 12:17:44 PM,Dollar Tree to buy Family Dollar,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/P8Ceajszo6I/story01.htm
1.0,7/28/2014 1:23:56 PM,Dollar Tree to buy Family Dollar for $8.5 bln,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/B72uLt2ISeE/story01.htm
2.0,8/21/2014 1:53:40 PM,Dollar tree profit falls 2.6 percent,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/DiHzpF57iKE/story01.htm
3.0,11/20/2014 1:55:05 PM,Dollar Tree quarterly same-store sales grow most since 2011,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/xt4swJSc7uk/story01.htm
4.0,12/19/2014 5:36:53 PM,Family Dollar to delay shareholder vote on Dollar Tree deal: CNBC,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/shp_6Si5Hhg/story01.htm
5.0,12/23/2014 5:13:46 PM,Family Dollar adjourns shareholder meeting on Dollar Tree deal,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/q1cnrEJzELU/story01.htm
6.0,1/12/2015 12:27:47 PM,Dollar Tree expects to divest less than 300 stores to buy Family Dollar,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/vQNYmrY2nK8/story01.htm
7.0,1/14/2015 4:24:24 PM,"ISS changes stance, backs Family Dollar-Dollar Tree deal",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/6VtxUUCcpfo/story01.htm
8.0,1/22/2015 3:37:38 PM,Family Dollar shareholders approve Dollar Tree deal,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/z_j-k8lqSxI/story01.htm
9.0,2/4/2015 12:07:16 AM,Dollar Tree may shed more stores to buy Family Dollar,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/1rDbUet9FH0/story01.htm
10.0,5/29/2015 10:54:48 PM,Dollar Tree to sell 330 Family Dollar stores to Sycamore Partners,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/euX8qCr42ws/story01.htm
11.0,7/2/2015 10:07:37 PM,"Dollar Tree, Family Dollar to sell stores to settle FTC claims",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/lRAfQrR6fvE/story01.htm
12.0,9/1/2015 6:18:22 PM,Dollar Tree sales miss as Family Dollar acquisition drags,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/cgTGMrPRG4Y/story01.htm
13.0,11/24/2015 1:42:49 PM,Dollar Tree quarterly profit drops 38.4 percent,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/nbr8lv6vtOQ/story01.htm
