Unnamed: 0,datetime,title,source,link
0.0,9/15/2005 6:37:00 PM,"Devon Names Terry Shyer Vice President, Planning and Evaluation",PR Newswire,/news/stocks/devon-names-terry-shyer-vice-president-planning-and-evaluation-1028173303
1.0,8/29/2007 6:00:00 PM,Devon Energy Elects David A. Hager to Board of Directors,PR Newswire,/news/stocks/devon-energy-elects-david-a-hager-to-board-of-directors-1005110239
2.0,11/19/2013 8:55:09 PM,Devon Energy near $6 billion deal for GeoSouthern Energy: source,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/wrjXMog8AI8/story01.htm
3.0,2/18/2015 2:04:55 AM,"Soros bet on Devon Energy, Transocean ahead of oil price rise",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/jVMtl_l9pUM/story01.htm
4.0,10/7/2016 12:40:27 AM,BRIEF-Devon Energy says completes sale of Access Pipeline (DVN),Reuters,/news/stocks/brief-devon-energy-says-completes-sale-of-access-pipeline-dvn-1001442116
5.0,10/11/2016 12:00:24 PM,BRIEF-Sanchez Energy appoints Howard Thill as CFO (DVN),Reuters,/news/stocks/brief-sanchez-energy-appoints-howard-thill-as-cfo-dvn-1001447819
6.0,10/18/2016 1:10:21 PM,"Double Eagle Energy, a Texas unicorn, preps for a rare oil IPO (CPE, DVN, CHK, KKR)",Reuters,/news/stocks/double-eagle-energy-a-texas-unicorn-preps-for-a-rare-oil-ipo-cpe-dvn-chk-kkr-1001461315
7.0,10/18/2016 2:40:23 PM,"RPT-Double Eagle Energy, a Texas unicorn, preps for a rare oil IPO (CPE, DVN, CHK, KKR)",Reuters,/news/stocks/rpt-double-eagle-energy-a-texas-unicorn-preps-for-a-rare-oil-ipo-cpe-dvn-chk-kkr-1001462349
8.0,11/10/2016 11:50:18 PM,"BRIEF-Third Point ups stake in Alphabet & Facebook, cuts in Charter (ATVI, GD, WMB, DVN, DHR, CHTR)",Reuters,http://www.businessinsider.com/r-brief-third-point-ups-stake-in-alphabet--facebook-cuts-in-charter-2016-11
9.0,11/30/2016 5:00:37 PM,"Oil stocks are going nuts over reports of an OPEC deal to cut output (MRO, CVX, HAL, NFX, HES, DVN)",Business Insider,http://www.businessinsider.com/oil-stocks-rally-after-opec-deal-reports-2016-11
10.0,11/30/2016 6:26:06 PM,BRIEF-Devon Energy declares quarterly cash dividend of $0.06/share (DVN),Reuters,http://www.businessinsider.com/r-brief-devon-energy-declares-quarterly-cash-dividend-of-006/share-2016-11
11.0,12/1/2016 4:08:52 AM,"Oil stocks are going nuts over reports of an OPEC deal to cut output (MRO, CVX, HAL, NFX, HES, DVN)",Business Insider,http://markets.businessinsider.com/news/stocks/Oil-stocks-are-going-nuts-over-reports-of-an-OPEC-deal-to-cut-output-MRO-CVX-HAL-NFX-HES-DVN-1001562863
12.0,12/5/2016 1:42:03 PM,"INSIGHT-Trump advisors aim to privatize oil-rich Indian reservations (OXY, BP., DVN, ETP)",Reuters,http://www.businessinsider.com/r-insight-trump-advisors-aim-to-privatize-oil-rich-indian-reservations-2016-12
13.0,12/6/2016 6:28:07 AM,BRIEF-Devon Energy announces tender offers for up to $1 billion (DVN),Reuters,http://www.businessinsider.com/r-brief-devon-energy-announces-tender-offers-for-up-to-1-billion-2016-12
14.0,12/6/2016 11:26:05 PM,BRIEF-Devon Energy announces resource expansion in the Delaware Basin (DVN),Reuters,http://www.businessinsider.com/r-brief-devon-energy-announces-resource-expansion-in-the-delaware-basin-2016-12
15.0,12/28/2016 9:26:05 PM,Senators ask Trump EPA chief pick to disclose energy industry ties,Reuters,http://www.businessinsider.com/r-senators-ask-trump-epa-chief-pick-to-disclose-energy-industry-ties-2016-12
16.0,12/28/2016 11:56:06 PM,UPDATE 1-Senators ask Trump EPA chief pick to disclose energy industry ties (DVN),Reuters,http://www.businessinsider.com/r-update-1-senators-ask-trump-epa-chief-pick-to-disclose-energy-industry-ties-2016-12
17.0,2/10/2017 11:58:09 PM,"Wall St Week Ahead-Energy stocks look for catalyst out of doldrums (MRO, DVN)",Reuters,http://www.businessinsider.com/r-wall-st-week-ahead-energy-stocks-look-for-catalyst-out-of-doldrums-2017-2
18.0,2/12/2017 9:04:10 PM,"RPT-Wall St Week Ahead-Energy stocks look for catalyst out of doldrums (MRO, DVN)",Reuters,http://www.businessinsider.com/r-rpt-wall-st-week-ahead-energy-stocks-look-for-catalyst-out-of-doldrums-2017-2
19.0,2/14/2017 10:20:12 PM,Devon Energy posts Q4 profit vs. year-ago loss (DVN),Reuters,http://www.businessinsider.com/r-devon-energy-posts-q4-profit-vs-year-ago-loss-2017-2
20.0,2/14/2017 10:29:30 PM,EARNINGS SUMMARY: Details of Devon Energy Corp. Q4 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-devon-energy-corp-q4-earnings-report-1001750615
21.0,2/14/2017 10:30:10 PM,"BRIEF-Devon Energy Corp reported oil production averaged 244,000 barrels per day in Q4 of 2016 (DVN)",Reuters,http://www.businessinsider.com/r-brief-devon-energy-corp-reported-oil-production-averaged-244000-barrels-per-day-in-q4-of-2016-2017-2
22.0,2/14/2017 11:56:03 PM,Devon Energy Exceeds Its Q4 Production Expectations - Quick Facts ,RTTNews,/news/stocks/devon-energy-exceeds-its-q4-production-expectations-quick-facts-1001750840
23.0,2/15/2017 12:06:10 AM,UPDATE 1-Devon Energy beats profit estimates as cost cuts pay off (DVN),Reuters,http://www.businessinsider.com/r-update-1-devon-energy-beats-profit-estimates-as-cost-cuts-pay-off-2017-2
24.0,2/22/2017 6:50:12 PM,Oklahoma releases emails between new EPA head and energy firms,Reuters,http://www.businessinsider.com/r-oklahoma-releases-emails-between-new-epa-head-and-energy-firms-2017-2
25.0,2/22/2017 8:26:12 PM,"UPDATE 1-Emails show ties between new EPA head, energy firms-watchdog (DVN)",Reuters,http://www.businessinsider.com/r-update-1-emails-show-ties-between-new-epa-head-energy-firms-watchdog-2017-2
26.0,4/6/2017 11:01:00 PM,"U.S. energy stock options traders grow upbeat (DVN, HAL, ETFC, SLB)",Reuters,http://www.businessinsider.com/r-us-energy-stock-options-traders-grow-upbeat-2017-4
27.0,4/7/2017 1:58:53 PM,"CORRECTED-US STOCKS-Futures recover from a drop after U.S. missile strike on Syria (XOM, CHK, APA, DVN, MRK, WMT)",Reuters,http://www.businessinsider.com/r-corrected-us-stocks-futures-recover-from-a-drop-after-us-missile-strike-on-syria-2017-4
28.0,4/10/2017 12:00:00 PM,"Independent Oil & Gas Stocks Under Review -- Range Resources, Enterprise Products, Devon, and Sanchez",PR Newswire,/news/stocks/independent-oil-gas-stocks-under-review-range-resources-enterprise-products-devon-and-sanchez-1001909686
29.0,4/19/2017 11:15:04 PM,BRIEF-Devon Energy promotes Jeff Ritenour to CFO (DVN),Reuters,http://www.businessinsider.com/r-brief-devon-energy-promotes-jeff-ritenour-to-cfo-2017-4
30.0,4/20/2017 8:45:06 PM,"BP mulls sale of stakes in Canadian oil sands assets -sources (BP., HSE, DVN, CVE, CVX, COP, RDSA)",Reuters,http://www.businessinsider.com/r-bp-mulls-sale-of-stakes-in-canadian-oil-sands-assets--sources-2017-4
31.0,4/20/2017 9:05:06 PM,"UPDATE 1-BP mulls sale of stakes in Canadian oil sands assets -sources (BP., HSE, DVN, COP, RDSA, CVX, CVE)",Reuters,http://www.businessinsider.com/r-update-1-bp-mulls-sale-of-stakes-in-canadian-oil-sands-assets--sources-2017-4
32.0,4/20/2017 11:35:04 PM,"BRIEF-Devon Energy says CFO Ritenour's base salary of $575,000 (DVN)",Reuters,http://www.businessinsider.com/r-brief-devon-energy-says-cfo-ritenours-base-salary-of-575000-2017-4
33.0,4/26/2017 12:35:09 PM,BRIEF-Devon Energy says CEO David Hager's total compensation in 2016 was $8.8 million (DVN),Reuters,http://www.businessinsider.com/r-brief-devon-energy-says-ceo-david-hagers-total-compensation-in-2016-was-88-million-2017-4
34.0,5/2/2017 10:28:05 PM,Devon Energy plans to divest $1 bln in non-core assets (DVN),Reuters,http://www.businessinsider.com/r-devon-energy-plans-to-divest-1-bln-in-non-core-assets-2017-5
35.0,5/2/2017 10:46:02 PM,BRIEF-Devon Energy announces $1 billion divestiture plan (DVN),Reuters,http://www.businessinsider.com/r-brief-devon-energy-announces-1-billion-divestiture-plan-2017-5
36.0,5/2/2017 10:58:03 PM,"BRIEF-Devon Energy reports qtrly total revenues $3,547 million (DVN)",Reuters,http://www.businessinsider.com/r-brief-devon-energy-reports-qtrly-total-revenues-3547-million-2017-5
37.0,5/2/2017 11:13:39 PM,Devon Energy To Divest Approx. $1 Bln Of Upstream Assets - Quick Facts ,RTTNews,/news/stocks/devon-energy-to-divest-approx-1-bln-of-upstream-assets-quick-facts-1001971595
38.0,5/2/2017 11:30:05 PM,UPDATE 1-Devon Energy plans to divest $1 bln assets; profit beats (DVN),Reuters,http://www.businessinsider.com/r-update-1-devon-energy-plans-to-divest-1-bln-assets-profit-beats-2017-5
39.0,5/3/2017 6:36:05 PM,BRIEF-Devon CEO says well-positioned to deliver on 2017 and 2018 growth targets - conf call (DVN),Reuters,http://www.businessinsider.com/r-brief-devon-ceo-says-well-positioned-to-deliver-on-2017-and-2018-growth-targets---conf-call-2017-5
40.0,5/4/2017 3:34:03 PM,BRIEF-Meritage Midstream subsidiary acquires Devon Energy’S midstream assets (DVN),Reuters,http://www.businessinsider.com/r-brief-meritage-midstream-subsidiary-acquires-devon-energys-midstream-assets-2017-5
41.0,5/10/2017 5:36:05 PM,"UPDATE 2-Bid to revoke Obama-era methane rules fails in U.S. Senate (DVN, WLL, EOG)",Reuters,http://www.businessinsider.com/r-update-2-bid-to-revoke-obama-era-methane-rules-fails-in-us-senate-2017-5
42.0,6/1/2017 12:52:03 AM,"Exxon vote shows Wall St diverging from Trump on climate change (XOM, BLK, NTRS, OXY, PPL, DVN, HES)",Reuters,http://www.businessinsider.com/r-exxon-vote-shows-wall-st-diverging-from-trump-on-climate-change-2017-5
43.0,6/1/2017 1:04:03 PM,"RPT-Exxon vote shows Wall St diverging from Trump on climate change (XOM, BLK, NTRS, OXY, PPL, DVN, HES)",Reuters,http://www.businessinsider.com/r-rpt-exxon-vote-shows-wall-st-diverging-from-trump-on-climate-change-2017-6
44.0,6/1/2017 10:34:06 PM,"Investors expect to meet with Exxon on climate-impact report (XOM, DVN, HES, DUK, MRO, SO)",Reuters,http://www.businessinsider.com/r-investors-expect-to-meet-with-exxon-on-climate-impact-report-2017-6
45.0,6/19/2017 8:24:06 AM,"INSIGHT-Innovators toil to revive Canada oil sands as majors exit (SU, IMO, XOM, RDSA, STL, CVE, NBL, DVN, GE, CNQ, HAL)",Reuters,http://www.businessinsider.com/r-insight-innovators-toil-to-revive-canada-oil-sands-as-majors-exit-2017-6
46.0,6/20/2017 1:10:05 PM,"RPT-INSIGHT-Innovators toil to revive Canada oil sands as majors exit (SU, IMO, XOM, RDSA, STL, CVE, NBL, DVN, GE, CNQ, HAL)",Reuters,http://www.businessinsider.com/r-rpt-insight-innovators-toil-to-revive-canada-oil-sands-as-majors-exit-2017-6
47.0,6/26/2017 12:00:00 PM,"Technical Research on Oil & Gas Equities -- ConocoPhillips, Callon Petroleum, Crescent Point Energy, and Devon Energy",PR Newswire,/news/stocks/technical-research-on-oil-gas-equities-conocophillips-callon-petroleum-crescent-point-energy-and-devon-energy-1002122973
48.0,6/26/2017 2:00:00 PM,Lilis Energy Names James Linville President,PR Newswire,/news/stocks/lilis-energy-names-james-linville-president-1002123495
49.0,6/27/2017 7:28:04 AM,"INSIGHT-In disaster's wake, BP doubles down on deepwater despite surging shale (XOM, CVX, RDSA, FCX, DVN, APC)",Reuters,http://www.businessinsider.com/r-insight-in-disasters-wake-bp-doubles-down-on-deepwater-despite-surging-shale-2017-6
