Unnamed: 0,datetime,title,source,link
0.0,6/30/2015 6:01:22 PM,Emerson Electric to spin off network power business,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Ru8CP49rfXQ/story01.htm
1.0,7/22/2016 8:24:36 PM,Exclusive: Emerson Electric in bid for Pentair's valves business - sources,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/u5ydx23vk8c/us-pentair-m-a-emersonelectric-idUSKCN10223I
2.0,8/2/2016 1:38:46 PM,Emerson Electric to sell businesses for $5.2 billion,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/bmR6nYXj4-0/us-emerson-electric-divestiture-idUSKCN10D0ZR
3.0,10/3/2016 6:50:23 PM,BRIEF-Emerson announces agreement to acquire UK-based Permasense (EMR),Reuters,/news/stocks/brief-emerson-announces-agreement-to-acquire-uk-based-permasense-emr-1001433292
4.0,11/8/2016 6:20:20 PM,BRIEF-Emerson to acquire blending & transfer systems business of FMC Technologies (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-to-acquire-blending--transfer-systems-business-of-fmc-technologies-2016-11
5.0,11/10/2016 10:00:17 PM,"EU mergers and takeovers (Nov 10) (8058, 6594, EMR, 6701, NDA , FR)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-nov-10-2016-11
6.0,12/1/2016 1:46:05 PM,"EU mergers and takeovers (Dec 1) (6594, EMR, 6701, FR)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-dec-1-2016-12
7.0,12/6/2016 1:42:09 PM,"EU mergers and takeovers (Dec 6) (CS, NDA , EMR, 6594)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-dec-6-2016-12
8.0,12/9/2016 7:16:03 PM,BRIEF-Emerson electric's CEO D. N. Farr's fy 2016 total compensation $13.3 mln (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-electrics-ceo-d-n-farrs-fy-2016-total-compensation-133-mln-2016-12
9.0,12/14/2016 1:28:03 PM,"BRIEF-CCI approves acquisition of Emerson's motors, drives & electric power generation biz by Nidec Corp (6594, EMR)",Reuters,http://www.businessinsider.com/r-brief-cci-approves-acquisition-of-emersons-motors-drives--electric-power-generation-biz-by-nidec-corp-2016-12
10.0,1/6/2017 12:50:07 PM,"EU mergers and takeovers (Jan 6) (EMR, PNR, 5110)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-jan-6-2017-1
11.0,1/19/2017 1:26:04 PM,"BRIEF-Emerson Electric says underlying orders were flat, excluding unfavorable currency translation, for trailing three-month period (EMR)",Reuters,http://www.businessinsider.com/r-brief-emerson-electric-says-underlying-orders-were-flat-excluding-unfavorable-currency-translation-for-trailing-three-month-period-2017-1
12.0,1/31/2017 2:58:07 AM,BRIEF-Emerson Electric provides update on sale of Leroy-Somer and control techniques to Nidec Corp (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-electric-provides-update-on-sale-of-leroy-somer-and-control-techniques-to-nidec-corp-2017-1
13.0,2/7/2017 1:04:08 PM,BRIEF-Emerson Electric posts qtrly adj. earnings $0.48 (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-electric-posts-qtrly-adj-earnings-048-2017-2
14.0,2/7/2017 1:04:12 PM,Emerson Electric Co. Earnings Drop 17% In Q1,RTTNews,/news/stocks/emerson-electric-co-earnings-drop-17-in-q1-1001728623
15.0,2/7/2017 1:11:35 PM,Emerson Electric Q1 Profit Down; But Raises FY EPS View ,RTTNews,/news/stocks/emerson-electric-q1-profit-down-but-raises-fy-eps-view-1001728684
16.0,2/7/2017 1:38:09 PM,"UPDATE 1-Emerson Electric beats profit estimates, raises forecast (EMR)",Reuters,http://www.businessinsider.com/r-update-1-emerson-electric-beats-profit-estimates-raises-forecast-2017-2
17.0,2/7/2017 8:20:11 PM,BRIEF-EMERSON ELECTRIC SETS REGULAR QUARTERLY CASH DIVIDEND OF $0.48/SHR (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-electric-sets-regular-quarterly-cash-dividend-of-048-shr-2017-2
18.0,2/7/2017 9:24:11 PM,"BRIEF-Emerson Electric expects 2017 operating cash flow from cont ops to be about $2.5 bln - Conf Call (EMR, PNR)",Reuters,http://www.businessinsider.com/r-brief-emerson-electric-expects-2017-operating-cash-flow-from-cont-ops-to-be-about-25-bln---conf-call-2017-2
19.0,2/8/2017 5:36:13 PM,"EU mergers and takeovers (Feb 8) (DOW, DD, BX, 4188, MPI, EMR, PNR)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-feb-8-2017-2
20.0,3/7/2017 2:05:00 PM,"Research Reports Initiation on Electrical Equipment Stocks -- Emerson Electric, A. O. Smith, Ballard Power Systems, and Atkore",PR Newswire,/news/stocks/research-reports-initiation-on-electrical-equipment-stocks-emerson-electric-a-o-smith-ballard-power-systems-and-atkore-1001811073
21.0,3/13/2017 7:26:25 PM,Platinum Equity raises new $6.5 bln global buyout fund (EMR),Reuters,http://www.businessinsider.com/r-platinum-equity-raises-new-65-bln-global-buyout-fund-2017-3
22.0,3/14/2017 11:58:26 AM,BRIEF-Emerson Electric says February trailing three-month automation solutions orders were flat (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-electric-says-february-trailing-three-month-automation-solutions-orders-were-flat-2017-3
23.0,3/24/2017 5:26:07 AM,Emerson Opens Additive Manufacturing Center In Singapore ,RTTNews,/news/stocks/emerson-opens-additive-manufacturing-center-in-singapore-1001864342
24.0,4/4/2017 11:58:49 AM,"UPDATE 2-ABB buys B&R to help it challenge Siemens in industrial automation (SIE, ROK, EMR, GE, PG)",Reuters,http://www.businessinsider.com/r-update-2-abb-buys-br-to-help-it-challenge-siemens-in-industrial-automation-2017-4
25.0,4/19/2017 1:05:00 PM,"Research Reports Coverage on Industrial Goods Stocks -- Emerson Electric, A. O. Smith, Ballard Power, and General Cable",PR Newswire,/news/stocks/research-reports-coverage-on-industrial-goods-stocks-emerson-electric-a-o-smith-ballard-power-and-general-cable-1001930178
26.0,4/28/2017 9:55:13 PM,"U.S. FTC approves Emerson Electric's acquisition of Pentair with conditions (EMR, PNR, CR)",Reuters,http://www.businessinsider.com/r-us-ftc-approves-emerson-electrics-acquisition-of-pentair-with-conditions-2017-4
27.0,4/28/2017 10:17:07 PM,BRIEF-Emerson completes Pentair Valves & Controls acquisition (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-completes-pentair-valves--controls-acquisition-2017-4
28.0,5/1/2017 1:32:11 PM,"BRIEF-Crane Co buys Westlock Controls from Emerson for $40 mln (CR, 025980, EMR, MSN)",Reuters,http://www.businessinsider.com/r-brief-crane-co-buys-westlock-controls-from-emerson-for-40-mln-2017-5
29.0,5/2/2017 12:56:05 PM,Emerson Electric profit rises 2.4 pct (EMR),Reuters,http://www.businessinsider.com/r-emerson-electric-profit-rises-24-pct-2017-5
30.0,5/2/2017 1:15:33 PM,Emerson Electric Co. Earnings Climb 2% In Q2,RTTNews,/news/stocks/emerson-electric-co-earnings-climb-2-in-q2-1001968925
31.0,5/2/2017 1:42:07 PM,BRIEF-Emerson Electric Q2 EPS $0.58 from continuing operations (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-electric-q2-eps-058-from-continuing-operations-2017-5
32.0,5/2/2017 1:50:05 PM,BRIEF-Emerson Electric says full-year net sales are now expected to be approximately flat (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-electric-says-full-year-net-sales-are-now-expected-to-be-approximately-flat-2017-5
33.0,5/9/2017 3:50:05 PM,"UPDATE 2-Pentair to spin off its electrical business (PNR, EMR)",Reuters,http://www.businessinsider.com/r-update-2-pentair-to-spin-off-its-electrical-business-2017-5
34.0,5/10/2017 6:00:00 PM,"ClosetMaid® Launches KidSpace™, a New Line of Juvenile Storage Furniture",PR Newswire,/news/stocks/closetmaid-launches-kidspace-a-new-line-of-juvenile-storage-furniture-1002000249
35.0,5/11/2017 2:00:00 PM,Emerson Adopts Oracle HCM Cloud Suite to Unify its Global Workforce,PR Newswire,/news/stocks/emerson-adopts-oracle-hcm-cloud-suite-to-unify-its-global-workforce-1002004033
36.0,5/24/2017 7:26:05 PM,"BRIEF-Emerson Electric sees 2018 consolidated sales growth of about 9 to 10 pct (EMR, PNR)",Reuters,http://www.businessinsider.com/r-brief-emerson-electric-sees-2018-consolidated-sales-growth-of-about-9-to-10-pct-2017-5
37.0,6/1/2017 12:25:00 PM,"How These Electrical Equipment Stocks are Faring? -- Emerson Electric, Ballard Power Systems, Atkore, and Babcock & Wilcox Enterprises",PR Newswire,/news/stocks/how-these-electrical-equipment-stocks-are-faring-emerson-electric-ballard-power-systems-atkore-and-babcock-wilcox-enterprises-1002058281
38.0,6/1/2017 2:25:00 PM,Rising Demand for Comprehensive Smart Technology Solutions Resulting in Newest Smart Cities Development Contracts,PR Newswire,/news/stocks/rising-demand-for-comprehensive-smart-technology-solutions-resulting-in-newest-smart-cities-development-contracts-1002059017
39.0,6/1/2017 2:25:00 PM,Rising Demand for Comprehensive Smart Technology Solutions Resulting in Newest Smart Cities Development Contracts,PR Newswire,/news/stocks/rising-demand-for-comprehensive-smart-technology-solutions-resulting-in-newest-smart-cities-development-contracts-1002059015
40.0,6/22/2017 1:00:06 PM,BRIEF-Emerson Electric Co trailing three-month orders increased 8 pct as of May 2017 - SEC Filing (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-electric-co-trailing-three-month-orders-increased-8-pct-as-of-may-2017---sec-filing-2017-6
41.0,7/12/2017 3:12:03 PM,BRIEF-Angkor signs definitive earn-in agreement with Renaissance Minerals (EMR),Reuters,http://www.businessinsider.com/r-brief-angkor-signs-definitive-earn-in-agreement-with-renaissance-minerals-2017-7
42.0,7/13/2017 4:06:05 PM,"Tale of two factories: hope, anguish ahead of Trump's steel tariff call (X, 7282, 7203, 7267, F, EMR, 6594, AKS, NUE)",Reuters,http://www.businessinsider.com/r-tale-of-two-factories-hope-anguish-ahead-of-trumps-steel-tariff-call-2017-7
43.0,7/13/2017 6:48:06 PM,BRIEF-Emerson to launch $100 million renovation project for facilities in Ohio (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-to-launch-100-million-renovation-project-for-facilities-in-ohio-2017-7
44.0,7/17/2017 7:44:03 PM,BRIEF-Emerson awarded $20 mln contract to modernize controls at San Francisco's largest wastewater plant (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-awarded-20-mln-contract-to-modernize-controls-at-san-franciscos-largest-wastewater-plant-2017-7
45.0,7/18/2017 2:52:03 PM,"BRIEF-Nevada Sunrise signs LOI with Emgold Mining for Golden Arrow Project (NEV, EMR)",Reuters,http://www.businessinsider.com/r-brief-nevada-sunrise-signs-loi-with-emgold-mining-for-golden-arrow-project-2017-7
46.0,7/20/2017 1:26:05 PM,BRIEF-Emerson Electric Co -  ‍Emerson trailing qtrly order jumps 8 pct (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-electric-co----emerson-trailing-qtrly-order-jumps-8-pct-2017-7
