Unnamed: 0,datetime,title,source,link
0.0,5/10/2017 12:50:00 PM,"Technical Roundup on Semiconductor Stocks -- Cree, Enphase Energy, ASML Holding, and Ambarella",PR Newswire,/news/stocks/technical-roundup-on-semiconductor-stocks-cree-enphase-energy-asml-holding-and-ambarella-1001998538
1.0,6/2/2017 2:04:00 PM,"SHAREHOLDER ALERT: Purcell Julie & Lefkowitz LLP Is Investigating Enphase Energy, Inc. for Potential Breaches Of Fiduciary Duty By Its Board of Directors",PR Newswire,/news/stocks/shareholder-alert-purcell-julie-lefkowitz-llp-is-investigating-enphase-energy-inc-for-potential-breaches-of-fiduciary-duty-by-its-board-of-directors-1002063280
2.0,6/20/2017 12:15:00 PM,"Pre-Market Technical Pulse on Semiconductor Stocks -- Enphase Energy, Ambarella, ASML Holding, and Brooks Automation",PR Newswire,/news/stocks/pre-market-technical-pulse-on-semiconductor-stocks-enphase-energy-ambarella-asml-holding-and-brooks-automation-1002106770
3.0,8/8/2017 12:25:00 PM,"Pre-Market Technical Pulse on Semiconductor Stocks -- Teradyne, Camtek, Enphase Energy, and Advanced Semiconductor Engineering",PR Newswire,/news/stocks/pre-market-technical-pulse-on-semiconductor-stocks-teradyne-camtek-enphase-energy-and-advanced-semiconductor-engineering-1002239878
4.0,10/4/2017 3:00:00 PM,Enphase Named Top Residential PV Monitoring Vendor in North America,GlobeNewswire,/news/stocks/enphase-named-top-residential-pv-monitoring-vendor-in-north-america-1002996843
5.0,10/24/2017 3:00:00 PM,"Enphase Energy Announces Conference Call to Review Third Quarter 2017 Financial Results, Tuesday, November 7, 2017 at 4:30 p.m. Eastern Time",GlobeNewswire,/news/stocks/enphase-energy-announces-conference-call-to-review-third-quarter-2017-financial-results-tuesday-november-7-2017-at-4-30-p-m-eastern-time-1005448381
6.0,11/7/2017 10:05:00 PM,Enphase Energy Reports Financial Results for the Third Quarter of 2017,GlobeNewswire,/news/stocks/enphase-energy-reports-financial-results-for-the-third-quarter-of-2017-1007201729
7.0,12/4/2017 4:30:00 AM,Enphase Energy Opens its First R&D Center in India,GlobeNewswire,/news/stocks/enphase-energy-opens-its-first-r-d-center-in-india-1010316367
8.0,12/5/2017 3:00:00 PM,"Enphase Energy Appoints New Chief Commercial OfficerIndustry veteran David Ranhoff to lead global sales, marketing and customer support",GlobeNewswire,/news/stocks/enphase-energy-appoints-new-chief-commercial-officerindustry-veteran-david-ranhoff-to-lead-global-sales-marketing-and-customer-support-1010351929
9.0,12/14/2017 3:00:00 PM,Enphase Energy Launches IQ Combiner+™ for Even Simpler Residential Solar Installations,GlobeNewswire,/news/stocks/enphase-energy-launches-iq-combiner-for-even-simpler-residential-solar-installations-1011396775
10.0,1/25/2018 3:00:00 PM,Enphase Energy Delivers Seventh-Generation IQ Microinverters,GlobeNewswire,/news/stocks/enphase-energy-delivers-seventh-generation-iq-microinverters-1013996838
11.0,2/2/2018 3:00:00 PM,"Enphase Energy Announces Conference Call to Review Fourth Quarter and Full Year 2017 Financial Results, Tuesday, February 27, 2018 at 4:30 p.m. Eastern Time",GlobeNewswire,/news/stocks/enphase-energy-announces-conference-call-to-review-fourth-quarter-and-full-year-2017-financial-results-tuesday-february-27-2018-at-4-30-p-m-eastern-time-1014911572
12.0,2/5/2018 2:00:00 PM,Enphase Energy Announces $20 Million Private Equity Offering,GlobeNewswire,/news/stocks/enphase-energy-announces-20-million-private-equity-offering-1014967313
13.0,2/12/2018 3:07:00 PM,Panasonic and Enphase Energy Announce Strategic Partnership for High Efficiency AC Modules,PR Newswire,/news/stocks/panasonic-and-enphase-energy-announce-strategic-partnership-for-high-efficiency-ac-modules-1015516599
14.0,2/27/2018 10:05:00 PM,Enphase Energy Reports Strong Gross Margin Expansion in the Fourth Quarter of 2017 ,GlobeNewswire,/news/stocks/enphase-energy-reports-strong-gross-margin-expansion-in-the-fourth-quarter-of-2017-1017344334
15.0,3/6/2018 3:00:00 PM,Enphase Energy to Participate at Upcoming ROTH Investor Conference,GlobeNewswire,/news/stocks/enphase-energy-to-participate-at-upcoming-roth-investor-conference-1018134212
16.0,3/19/2018 2:00:00 PM,Enphase Energized™ AC Modules Reach Over 180 Solar Installers,GlobeNewswire,/news/stocks/enphase-energized-ac-modules-reach-over-180-solar-installers-1018917452
17.0,4/3/2018 12:13:24 AM,BRIEF-Enphase Energy Files Prospectus Relating To Disposition Of Up To 9.5 Mln Shares Of Stock,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/twkgZmQ7K34/brief-enphase-energy-files-prospectus-relating-to-disposition-of-up-to-9-5-mln-shares-of-stock-idUSFWN1RF0L2
18.0,4/9/2018 3:00:00 PM,Enphase Energy Delivers Seventh-Generation IQ Microinverters to the United Kingdom,GlobeNewswire,/news/stocks/enphase-energy-delivers-seventh-generation-iq-microinverters-to-the-united-kingdom-1020952174
19.0,4/12/2018 3:00:00 PM,Enphase Energy and GRID Alternatives Renew Collaboration for 2018,GlobeNewswire,/news/stocks/enphase-energy-and-grid-alternatives-renew-collaboration-for-2018-1021295252
20.0,4/16/2018 3:00:00 PM,Enphase Energy Announces IQ Microinverters Across India,GlobeNewswire,/news/stocks/enphase-energy-announces-iq-microinverters-across-india-1021398652
21.0,4/16/2018 3:05:34 PM,BRIEF-Enphase Energy Announces IQ Microinverters Across India,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/C4OY1t92r-0/brief-enphase-energy-announces-iq-microinverters-across-india-idUSFWN1RT0N1
22.0,4/18/2018 3:00:00 PM,"Enphase Energy Announces Conference Call to Review First Quarter 2018 Financial Results, Tuesday, May 1, 2018 at 4:30 p.m. Eastern Time",GlobeNewswire,/news/stocks/enphase-energy-announces-conference-call-to-review-first-quarter-2018-financial-results-tuesday-may-1-2018-at-4-30-p-m-eastern-time-1021498479
23.0,4/23/2018 3:00:00 PM,Enphase Energy and Solaria Corporation Announce High-Performance AC Modules,GlobeNewswire,/news/stocks/enphase-energy-and-solaria-corporation-announce-high-performance-ac-modules-1021997967
24.0,5/1/2018 10:05:00 PM,Enphase Energy Reports Continued Gross Margin Expansion in the First Quarter of 2018,GlobeNewswire,/news/stocks/enphase-energy-reports-continued-gross-margin-expansion-in-the-first-quarter-of-2018-1023052706
25.0,5/1/2018 10:05:00 PM,Enphase Energy Announces Chief Financial Officer Resignation,GlobeNewswire,/news/stocks/enphase-energy-announces-chief-financial-officer-resignation-1023049943
