Unnamed: 0,datetime,title,source,link
0.0,3/3/2017 1:45:00 PM,"Technical Roundup on IT Services Stocks -- Ciber, CDW Corp., Helios and Matheson Analytics, and EPAM Systems",PR Newswire,/news/stocks/technical-roundup-on-it-services-stocks-ciber-cdw-corp-helios-and-matheson-analytics-and-epam-systems-1001802746
1.0,5/10/2017 1:10:00 PM,"Research Reports Coverage on IT Services Stocks -- 21Vianet, Atlassian, Wipro, and EPAM Systems",PR Newswire,/news/stocks/research-reports-coverage-on-it-services-stocks-21vianet-atlassian-wipro-and-epam-systems-1001998673
2.0,6/22/2017 12:55:00 PM,"Technical Insights on IT Services Stocks -- Unisys, Atlassian, 21Vianet, and EPAM Systems",PR Newswire,/news/stocks/technical-insights-on-it-services-stocks-unisys-atlassian-21vianet-and-epam-systems-1002115524
3.0,9/20/2017 4:30:00 PM,Digital Triage Tool webPOISONCONTROL® Launches Comprehensive Upgrade to Help More People With Poison ExposuresNational Capital Poison Center’s first-of-its-kind app developed by EPAM makes it easy...,GlobeNewswire,/news/stocks/digital-triage-tool-webpoisoncontrol-launches-comprehensive-upgrade-to-help-more-people-with-poison-exposuresnational-capital-poison-center-s-first-of-its-kind-app-developed-by-epam-makes-it-easy-1002387826
4.0,10/3/2017 10:05:00 PM,EPAM Announces Date for Third Quarter 2017 Earnings Release and Conference Call,GlobeNewswire,/news/stocks/epam-announces-date-for-third-quarter-2017-earnings-release-and-conference-call-1002957476
5.0,10/17/2017 6:01:00 AM,"New Era Launches Direct-to-Consumer eCommerce Site Built by EPAM and Powered with SAP HybrisNew Site Expands Headwear and Apparel Offering with Immersive, Omnichannel Experience",GlobeNewswire,/news/stocks/new-era-launches-direct-to-consumer-ecommerce-site-built-by-epam-and-powered-with-sap-hybrisnew-site-expands-headwear-and-apparel-offering-with-immersive-omnichannel-experience-1004570016
6.0,10/26/2017 9:00:00 AM,EPAM Helps Neptune Exceed Growth ExpectationsIndustry-Defining Progress Supported Through Strong Technology Partnership,GlobeNewswire,/news/stocks/epam-helps-neptune-exceed-growth-expectationsindustry-defining-progress-supported-through-strong-technology-partnership-1005673016
7.0,11/2/2017 11:00:00 AM,EPAM Reports Results for Third Quarter 2017,GlobeNewswire,/news/stocks/epam-reports-results-for-third-quarter-2017-1006576344
8.0,11/14/2017 6:00:00 PM,"EPAM Expands Five-Year Product Development Relationship With Kronos®, Joins Workforce Dimensions™ Technology Partner ProgramThe company will leverage its digital platform engineering experience to...",GlobeNewswire,/news/stocks/epam-expands-five-year-product-development-relationship-with-kronos-joins-workforce-dimensions-technology-partner-programthe-company-will-leverage-its-digital-platform-engineering-experience-to-1008016185
9.0,12/5/2017 4:00:00 PM,EPAM Develops Automotive-Optimized Cloud Computing Reference Solution for Renesas Electronics’ Connected Cockpit VehicleEPAM’s Software-First View Enables Transformative Business Models for...,GlobeNewswire,/news/stocks/epam-develops-automotive-optimized-cloud-computing-reference-solution-for-renesas-electronics-connected-cockpit-vehicleepam-s-software-first-view-enables-transformative-business-models-for-1010354226
10.0,12/21/2017 1:00:00 PM,UBS and EPAM Win Best Use of IT Private Banking/Wealth Management for SmartWealth App at Banking Technology Awards  ,GlobeNewswire,/news/stocks/ubs-and-epam-win-best-use-of-it-private-banking-wealth-management-for-smartwealth-app-at-banking-technology-awards-1011737905
11.0,1/5/2018 4:00:00 PM,EPAM and HERE Technologies Partner to Accelerate IOT Tracking SolutionsCollaboration Helps Power Connected Business Models with Location-Aware IoT Solutions,GlobeNewswire,/news/stocks/epam-and-here-technologies-partner-to-accelerate-iot-tracking-solutionscollaboration-helps-power-connected-business-models-with-location-aware-iot-solutions-1012524878
12.0,1/8/2018 10:05:00 PM,EPAM Announces Date for Fourth Quarter and Full Year 2017 Earnings Release and Conference Call,GlobeNewswire,/news/stocks/epam-announces-date-for-fourth-quarter-and-full-year-2017-earnings-release-and-conference-call-1012683896
13.0,1/11/2018 3:00:00 PM,EPAM and Black Box Create In-Store Dynamic Advertising Solution Using Instant Facial RecognitionFocus on Personalization Delivers Targeted Ads to Consumers While They Shop,GlobeNewswire,/news/stocks/epam-and-black-box-create-in-store-dynamic-advertising-solution-using-instant-facial-recognitionfocus-on-personalization-delivers-targeted-ads-to-consumers-while-they-shop-1012919489
14.0,2/1/2018 4:24:21 PM,Nine EPAM Experts Named Sitecore® Most Valuable ProfessionalsElite Distinction Awarded for Exceptional Contributions to the Sitecore Ecosystem,GlobeNewswire,/news/stocks/nine-epam-experts-named-sitecore-most-valuable-professionalselite-distinction-awarded-for-exceptional-contributions-to-the-sitecore-ecosystem-1014808151
15.0,2/12/2018 1:00:00 PM,EPAM Recognized Among Top Global Tech Companies Leading in Open Source Contributions,GlobeNewswire,/news/stocks/epam-recognized-among-top-global-tech-companies-leading-in-open-source-contributions-1015506180
16.0,2/16/2018 12:00:00 PM,EPAM Reports Results for Fourth Quarter and Full Year 2017,GlobeNewswire,/news/stocks/epam-reports-results-for-fourth-quarter-and-full-year-2017-1016008614
17.0,2/28/2018 3:00:00 PM,EPAM’s Digital Healthcare Team to Showcase Patient Engagement and Data Usability Solutions at HIMSS 2018,GlobeNewswire,/news/stocks/epam-s-digital-healthcare-team-to-showcase-patient-engagement-and-data-usability-solutions-at-himss-2018-1017439249
18.0,3/15/2018 4:00:00 PM,"EPAM Acquires Continuum, Expanding Global Innovation, Design and Physical Product Development Capabilities",GlobeNewswire,/news/stocks/epam-acquires-continuum-expanding-global-innovation-design-and-physical-product-development-capabilities-1018771989
19.0,3/26/2018 8:04:39 PM,EPAM Showcases Solutions at Adobe Summit That Accelerate Time to Market and Drive Revenue,GlobeNewswire,/news/stocks/epam-showcases-solutions-at-adobe-summit-that-accelerate-time-to-market-and-drive-revenue-1019480901
20.0,4/9/2018 10:05:00 PM,EPAM Announces Date for First Quarter 2018 Earnings Release and Conference Call,GlobeNewswire,/news/stocks/epam-announces-date-for-first-quarter-2018-earnings-release-and-conference-call-1020981222
21.0,4/30/2018 5:50:02 PM,"EPAM Launches InfoNgen™ 7.0, Using Machine Learning to Dramatically Improve Actionable InsightsInfoNgen Enables Companies to Gain Actionable Insights through Access to an Expanded Universe of...",GlobeNewswire,/news/stocks/epam-launches-infongen-7-0-using-machine-learning-to-dramatically-improve-actionable-insightsinfongen-enables-companies-to-gain-actionable-insights-through-access-to-an-expanded-universe-of-1022905932
