Unnamed: 0,datetime,title,source,link
0.0,10/27/2016 11:26:21 PM,BRIEF-Erie Indemnity reports Q3 2016 results (ERIE),Reuters,http://www.businessinsider.com/r-brief-erie-indemnity-reports-q3-2016-results-2016-10
1.0,11/15/2016 6:48:20 AM,"BRIEF-Erie Indemnity entered into credit agreement with PNC Bank, National Association on Nov. 7 (ERIE)",Reuters,http://www.businessinsider.com/r-brief-erie-indemnity-entered-into-credit-agreement-with-pnc-bank-national-association-on-nov-7-2016-11
2.0,12/7/2016 11:36:07 PM,BRIEF-Erie Indemnity increases regular quarterly cash dividend (ERIE),Reuters,http://www.businessinsider.com/r-brief-erie-indemnity-increases-regular-quarterly-cash-dividend-2016-12
3.0,2/23/2017 10:10:00 PM,Erie Indemnity Reports Full Year and Fourth Quarter 2016 Results,PR Newswire,/news/stocks/erie-indemnity-reports-full-year-and-fourth-quarter-2016-results-1001778988
4.0,2/23/2017 10:22:28 PM,Erie Indemnity Co Earnings Climb 52% In Q4,RTTNews,/news/stocks/erie-indemnity-co-earnings-climb-52-in-q4-1001779060
5.0,2/23/2017 11:06:12 PM,BRIEF-Erie Indemnity reports Q4 earnings per share $0.87 (ERIE),Reuters,http://www.businessinsider.com/r-brief-erie-indemnity-reports-q4-earnings-per-share-087-2017-2
6.0,3/27/2017 4:56:00 PM,National survey from Erie Insurance finds majority think self-driving cars will eliminate distracted driving,PR Newswire,/news/stocks/national-survey-from-erie-insurance-finds-majority-think-self-driving-cars-will-eliminate-distracted-driving-1001870623
7.0,4/12/2017 2:30:00 PM,Erie Indemnity to host first quarter 2017 conference call and webcast,PR Newswire,/news/stocks/erie-indemnity-to-host-first-quarter-2017-conference-call-and-webcast-1001917375
8.0,4/26/2017 9:30:00 PM,Erie Indemnity Company Reports Election of Directors,PR Newswire,/news/stocks/erie-indemnity-company-reports-election-of-directors-1001953265
9.0,5/1/2017 10:15:00 PM,Erie Indemnity Reports First Quarter 2017 Results,PR Newswire,/news/stocks/erie-indemnity-reports-first-quarter-2017-results-1001966693
10.0,5/1/2017 10:57:50 PM,Erie Indemnity Co Earnings Advance 3% In Q1,RTTNews,/news/stocks/erie-indemnity-co-earnings-advance-3-in-q1-1001966847
11.0,5/3/2017 4:35:00 PM,Los Angeles Area Williams Syndrome Association to Pay Special Tribute at This Year's Annual Walk,PR Newswire,/news/stocks/los-angeles-area-williams-syndrome-association-to-pay-special-tribute-at-this-years-annual-walk-635833
