Unnamed: 0,datetime,title,source,link
0.0,2/22/2017 3:26:12 PM,BRIEF-Eaton increases dividend by five percent (ETN),Reuters,http://www.businessinsider.com/r-brief-eaton-increases-dividend-by-five-percent-2017-2
1.0,3/20/2017 1:05:00 PM,"Research Reports Initiation on Machinery Stocks -- Eaton, AMETEK, Ingersoll-Rand, and 3M",PR Newswire,/news/stocks/research-reports-initiation-on-machinery-stocks-eaton-ametek-ingersoll-rand-and-3m-1001849835
2.0,4/10/2017 4:25:08 PM,"BRIEF-Eaton, Cummins announce joint venture (CMI, ETN)",Reuters,http://www.businessinsider.com/r-brief-eaton-cummins-announce-joint-venture-2017-4
3.0,5/2/2017 12:36:24 PM,Eaton Corp. Announces 7% Gain In Q1 Earnings,RTTNews,/news/stocks/eaton-corp-announces-7-gain-in-q1-earnings-1001968693
4.0,5/2/2017 12:44:07 PM,Eaton Lifts 2017 Profit View ,RTTNews,/news/stocks/eaton-lifts-2017-profit-view-1001968709
5.0,5/2/2017 12:50:00 PM,"Machinery Stocks Under Scanner -- Eaton, 3M, Ingersoll-Rand, and AMETEK",PR Newswire,/news/stocks/machinery-stocks-under-scanner-eaton-3m-ingersoll-rand-and-ametek-1001968742
6.0,6/12/2017 1:10:00 PM,"Stock Performance Review on Machinery Industry -- Eaton, Ingersoll-Rand, 3M, and Rockwell Automation",PR Newswire,/news/stocks/stock-performance-review-on-machinery-industry-eaton-ingersoll-rand-3m-and-rockwell-automation-1002085104
7.0,6/13/2017 3:18:05 PM,"EU mergers and takeovers (June 13) (PCLN, CMI, ETN, NK, 9984, 2317, RDSA, 521, C14, BX, MQG, FIG, 9101, 9104, 9107, FTI, LIN, RHI, MAGG3, UG, GM, BNP, GLE, DG, DUFN, GS, WRT1V, HLDX, 6501, 7267,...",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-june-13-2017-6
8.0,6/17/2017 1:30:05 AM,"EU mergers and takeovers (June 17) (RDSA, 521, C14, 9984, 2317, MQG, SEV, GE, 8001, 7911, NK, BX, FIG, 9101, 9104, 9107, FTI, LIN, RHI, MAGG3, UG, GM, BNP, GLE, DG, DUFN, GS, WRT1V, HLDX, 6501,...",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-june-17-2017-6
9.0,6/22/2017 5:52:03 PM,"EU mergers and takeovers (June 22) (BX, NK, FTI, LIN, 9984, FIG, GS, SDA1V, 9101, 9104, 9107, RHI, MAGG3, UG, GM, BNP, GLE, DG, DUFN, WRT1V, HLDX, 6501, 7267, SAZ, SAN, EDF, CBK, DD, FMC, CMI, ETN,...",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-june-22-2017-6
10.0,6/29/2017 6:08:05 PM,"EU mergers and takeovers (June 29) (9101, 9104, 9107, RHI, MAGG3, DE, QCOM, NXPI, UG, GM, BNP, GLE, DG, DUFN, GS, WRT1V, HLDX, 6501, 7267, SAZ, SAN, EDF, CBK, DD, FMC, CMI, ETN, 8001, 7911, PCLN,...",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-june-29-2017-6
11.0,7/4/2017 6:32:14 PM,"EU mergers and takeovers (July 4) (SAN, GS, MC, UG, GM, DG, DUFN, EDF, DD, FMC, CMI, ETN, 8001, 7911, PCLN, SEV, GE, BX, SDA1V, HLDX, VOLV , BP., CNA, DE, HWRI, MCO, 2160, BAYN, MON, QCOM, NXPI)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-july-4-2017-7
12.0,7/5/2017 6:56:05 PM,"EU mergers and takeovers (July 5) (UG, GM, DG, DUFN, EDF, DD, FMC, CMI, ETN, 8001, 7911, PCLN, SEV, GE, BX, SDA1V, HLDX, VOLV , BP., GS, CNA, DE, HWRI, MCO, 2160, MC, BAYN, MON, QCOM, NXPI)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-july-5-2017-7
13.0,7/7/2017 4:48:03 PM,"EU mergers and takeovers (July 7) (CMI, ETN, FMC, DD, 8001, 7911, PCLN, SEV, GE, BX, SDA1V, HLDX, VOLV , BP., GS, CNA, DE, HWRI, MCO, 2160, MC, BAYN, MON, QCOM, NXPI, VPK)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-july-7-2017-7
14.0,7/24/2017 12:05:00 PM,"Technical Insights on Machinery Stocks -- Dover, Eaton, Ingersoll Rand, and 3M",PR Newswire,/news/stocks/technical-insights-on-machinery-stocks-dover-eaton-ingersoll-rand-and-3m-1002197935
15.0,8/1/2017 12:38:30 PM,Eaton Corp. Q2 Earnings Climb 5%,RTTNews,/news/stocks/eaton-corp-q2-earnings-climb-5-1002221776
16.0,8/29/2017 1:10:00 PM,"Stock Performance Review on Machinery Industry -- Dover, Eaton, Gardner Denver, and Ingersoll Rand",PR Newswire,/news/stocks/stock-performance-review-on-machinery-industry-dover-eaton-gardner-denver-and-ingersoll-rand-1002291012
17.0,9/15/2017 5:42:08 PM,BRIEF-Eaton Corp updates on notes offering (ETN),Reuters,http://www.businessinsider.com/r-brief-eaton-corp-updates-on-notes-offering-2017-9
18.0,9/20/2017 9:37:16 PM,BRIEF-Eaton wins dismissal of shareholder lawsuit alleging securities fraud--US judge (ETN),Reuters,http://www.businessinsider.com/r-brief-eaton-wins-dismissal-of-shareholder-lawsuit-alleging-securities-fraud--us-judge-2017-9
19.0,10/10/2017 11:17:09 PM,BRIEF-Eaton Corporation sees negative impact in Q3 from hurricanes (ETN),Reuters,http://www.businessinsider.com/r-brief-eaton-corporation-sees-negative-impact-in-q3-from-hurricanes-2017-10
20.0,10/31/2017 11:35:36 AM,Eaton Corp. Earnings Advance 166% In Q3,RTTNews,/news/stocks/eaton-corp-earnings-advance-166-in-q3-1006289944
21.0,10/31/2017 11:45:57 AM,Eaton Corp. Updates Earnings Outlook; Affirms Midpoint Of Guidance - Quick Facts ,RTTNews,/news/stocks/eaton-corp-updates-earnings-outlook-affirms-midpoint-of-guidance-quick-facts-1006290914
22.0,12/29/2017 12:07:03 AM,BRIEF-Eaton Provides Guidance On The Impact Of Newly-Signed U.S. Tax Legislation (ETN),Reuters,http://www.businessinsider.com/r-brief-eaton-provides-guidance-on-the-impact-of-newly-signed-us-tax-legislation-2017-12
23.0,2/1/2018 12:38:56 PM,Eaton Corp. Reports Rise In Q4 Profit,RTTNews,/news/stocks/eaton-corp-reports-rise-in-q4-profit-1014788664
24.0,2/1/2018 12:47:31 PM,"Eaton Sees Q1 Earnings Above View, Higher Results In FY18 - Quick Facts ",RTTNews,/news/stocks/eaton-sees-q1-earnings-above-view-higher-results-in-fy18-quick-facts-1014789409
25.0,5/1/2018 12:38:46 PM,Eaton Corp. Reports Increase In Q1 Bottom Line,RTTNews,/news/stocks/eaton-corp-reports-increase-in-q1-bottom-line-1022998526
