Unnamed: 0,datetime,title,source,link
0.0,8/6/2018 3:03:19 PM,Evergy is about to announce its earnings — here's what to expect,Markets Insider Automation,/news/stocks/evergy-q2-quarterly-earnings-preview-stock-1027434203
1.0,11/5/2018 3:02:36 PM,Evergy earnings preview: what Wall Street is expecting,Markets Insider Automation,/news/stocks/evergy-stock-q3-earnings-preview-1027691517
2.0,2/19/2019 3:01:47 PM,Evergy is about to announce its earnings — here's what to expect,Markets Insider Automation,/news/stocks/evergy-quarter-earnings-preview-q4-1027964179
3.0,5/6/2019 3:02:38 PM,Here's what Wall Street expects from Evergy's earnings,Markets Insider Automation,/news/stocks/evergy-quarter-earnings-preview-q1-1028171576
4.0,8/5/2019 3:03:10 PM,Here's what Wall Street expects from Evergy's earnings report,Markets Insider Automation,/news/stocks/evergy-q2-quarterly-earnings-preview-1028417337
5.0,1/21/2020 4:47:23 PM,Elliott sends letter to Evergy pushing for improved performance or merger,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/sje06SeGE4Q/elliott-sends-letter-to-evergy-pushing-for-improved-performance-or-merger-idUSL1N29Q0LL
6.0,1/21/2020 11:30:28 PM,UPDATE 1-Midwest utility Evergy stands by business plan as Elliott challenges,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/IuSJJsc_kl8/update-1-midwest-utility-evergy-stands-by-business-plan-as-elliott-challenges-idUSL1N29Q0TH
7.0,2/18/2020 10:48:31 PM,Exclusive: U.S. utility Evergy close to board deal with Elliott - sources,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/CMDcYJ5pX9U/exclusive-u-s-utility-evergy-close-to-board-deal-with-elliott-sources-idINKBN20C2J1
8.0,2/18/2020 10:58:12 PM,Evergy nears board deal with Elliott - Reuters,Seeking Alpha,https://seekingalpha.com/news/3543058-evergy-nears-board-deal-elliott-reuters?utm_source=markets.businessinsider.com&utm_medium=referral
9.0,3/1/2020 3:01:19 PM,Evergy is about to announce its earnings — here's what to expect,Markets Insider Automation,/news/stocks/evergy-stock-quarter-earnings-preview-q4-1028953001
10.0,3/1/2020 10:30:10 PM,Notable earnings before Monday's open,Seeking Alpha,https://seekingalpha.com/news/3547241-notable-earnings-mondays-open?utm_source=markets.businessinsider.com&utm_medium=referral
