Unnamed: 0,datetime,title,source,link
0.0,11/17/2006 3:07:00 PM,RealNetworks' RealArcade Announces SCRABBLE Man vs. Machine Challenge; Unveils RealArcade Online Version of Classic Board Game,PR Newswire,/news/stocks/realnetworks-realarcade-announces-scrabble-man-vs-machine-challenge-unveils-realarcade-online-version-of-classic-board-game-1028319299
1.0,11/1/2007 5:07:00 PM,"/C O R R E C T I O N -- McDonald's USA, LLC/",PR Newswire,/news/stocks/c-o-r-r-e-c-t-i-o-n-mcdonald-s-usa-llc-1027413529
2.0,7/22/2013 12:47:52 PM,Hasbro quarterly profit and sales miss analyst estimates,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/UACnTq26-mQ/story01.htm
3.0,10/21/2013 12:59:37 PM,Hasbro profit tops analysts' estimates,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/0Rycsv6ptVw/story01.htm
4.0,4/21/2014 7:01:44 PM,Hasbro rides My Little Pony to stronger profit,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/5Oogxxqxnjw/story01.htm
5.0,9/25/2014 4:05:24 PM,"Exclusive: P&G, Hasbro in crosshairs of Mexico's taxman - sources",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/LKueF3KvNko/story01.htm
6.0,11/13/2014 12:15:28 PM,Hasbro in talks to buy DreamWorks Animation: NYT,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/IbEVrNSuczs/story01.htm
7.0,2/4/2015 9:38:54 PM,Exclusive: Hasbro pays Mexico tax authorities $65 million in settlement after probe,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/o6rPxtOXR44/story01.htm
8.0,2/9/2015 2:32:14 PM,Hasbro reports lower-than-expected holiday quarter sales,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/EMSaYI4eRr0/story01.htm
9.0,10/19/2015 1:09:13 PM,Hasbro profit beats on higher sales of toys for boys,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/CLzMdQUTsOc/story01.htm
10.0,2/4/2016 8:15:13 PM,"Toymakers Mattel, Hasbro held talks on possible merger: Bloomberg",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/YSylOKmnuOM/story01.htm
11.0,2/25/2016 12:56:19 PM,Ponies and princesses: Hasbro launches charm offensive for girls,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/l-CDpxCGtEQ/story01.htm
12.0,4/18/2016 1:00:59 PM,"Disney princesses, Star Wars propel Hasbro results",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/AxBpxSmkwVw/us-hasbro-results-idUSKCN0XF163
13.0,7/18/2016 4:08:58 PM,Hasbro beats estimates on strong demand for Disney Princess dolls,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/oRej_gaSgk0/us-hasbro-results-idUSKCN0ZY13L
14.0,7/25/2016 8:53:50 PM,Star Wars may propel U.S. toy industry to best year since '99: NPD,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Fmu_5qP-Hqs/us-toys-sales-npd-idUSKCN105258
15.0,10/17/2016 1:22:54 PM,"Hasbro revenue, profit beat as Disney Princess dolls dazzle",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/LR9HbWGqg9w/us-hasbro-results-idUSKBN12H12X
16.0,10/18/2016 1:10:21 PM,"UK Stocks-Factors to watch on Oct 18 (BHP, BLT, RBS, SL., CS, PHNX, LAD, HAS, BWY, BRBY, ASC, PSON)",Reuters,/news/stocks/uk-stocks-factors-to-watch-on-oct-18-bhp-blt-rbs-sl-cs-phnx-lad-has-bwy-brby-asc-pson-1001461419
17.0,10/18/2016 1:20:22 PM,"UPDATE 1-UK Stocks-Factors to watch on Oct 18 (BHP, BLT, RBS, SL., CS, PHNX, LAD, HAS, BWY, BRBY, ASC, PSON, RY4B, WMH)",Reuters,/news/stocks/update-1-uk-stocks-factors-to-watch-on-oct-18-bhp-blt-rbs-sl-cs-phnx-lad-has-bwy-brby-asc-pson-ry4b-wmh-1001461529
18.0,1/12/2017 9:48:03 AM,"UPDATE 1-UK Stocks-Factors to watch on Jan 12 (ASC, SGP, ABF, BP., MKS, TSCO, LSE, PMO, DB1, DEB, JUP, HAS, MTC, DNLM)",Reuters,http://www.businessinsider.com/r-update-1-uk-stocks-factors-to-watch-on-jan-12-2017-1
