Unnamed: 0,datetime,title,source,link
0.0,1/25/2013 1:33:52 PM,Honeywell profit tops Wall Street view on margin boost,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/KI7R3s6YB0E/us-honeywell-results-idUSBRE90O0I420130125
1.0,2/5/2013 1:38:00 AM,Honeywell signs contract to supply avionics systems to Brazil's Embraer,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Q8GP1OvW28Q/us-honeywell-contract-idUSBRE91401A20130205
2.0,2/6/2013 8:43:52 PM,Honeywell CEO argues sequester may be best bet to cut spending,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/ymNScGqRenE/us-honeywell-cote-idUSBRE91514U20130206
3.0,2/25/2013 9:24:12 PM,Exclusive: Honeywell to test some F-35 parts after smoke incident - Pentagon,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/KAeGfnM_cIc/us-lockheed-fighter-honeywell-idUSBRE91O11V20130225
4.0,4/19/2013 4:24:46 PM,Higher margins boost Honeywell profit in slow economy,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/90avz36sAO4/story01.htm
5.0,7/15/2013 8:10:57 PM,Honeywell says participating in Boeing 787 fire investigation,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/SVPNV9zeMLs/story01.htm
6.0,7/15/2013 8:13:06 PM,Honeywell transmitter eyed possible cause of 787 fire,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/4eF5m8-IYGI/story01.htm
7.0,7/16/2013 2:32:51 AM,Battery in Honeywell locator eyed in 787 fire probe: source,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/LbkF6JEYGdg/story01.htm
8.0,7/16/2013 6:20:37 AM,Battery in Honeywell locator eyed in Dreamliner fire - source,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/xWY_ca-MtHE/story01.htm
9.0,7/16/2013 2:20:01 PM,Honeywell asked to join UK Dreamliner fire probe: AAIB,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/RQtEcy-vQsg/story01.htm
10.0,7/16/2013 3:14:25 PM,UK Dreamliner fire probe confirms looking at Honeywell part,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/4dUWaHuXGYQ/story01.htm
11.0,7/17/2013 9:37:28 PM,Honeywell says would remove 787s' beacons if asked,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/xGhyz42Hlm8/story01.htm
12.0,7/18/2013 7:39:30 PM,Honeywell backs UK recommendation on 787 emergency beacons,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/w99G7_cRi84/story01.htm
13.0,7/19/2013 1:23:45 PM,"Honeywell reports higher-than-expected profit, helped by margins",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/5VXhtqy4yzg/story01.htm
