Unnamed: 0,datetime,title,source,link
0.0,2/15/2006 8:07:00 AM,Mobile Industry Leaders Launch COMET Consortium to Pioneer COnverged MEssaging Technologies,PR Newswire,/news/stocks/mobile-industry-leaders-launch-comet-consortium-to-pioneer-converged-messaging-technologies-1021777153
1.0,6/14/2011 12:56:18 AM,"HP shakes up managers, aims at China, India",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/1xvZdyXQJhA/idINIndia-57676520110613
2.0,6/14/2011 10:30:49 AM,"IndiGo to fly to Dubai, Bangkok, S'pore from Sept",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/b28tr-iQBH4/idINIndia-57685420110614
3.0,6/21/2011 11:16:22 AM,IndiGo set to confirm $16 bln Airbus order,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/BQAVjYEd5sg/idINIndia-57818820110621
4.0,6/21/2011 5:29:37 PM,Airbus finalises record order from IndiGo - source,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/NfItuPXeal8/idINIndia-57829020110621
5.0,6/22/2011 2:47:16 PM,IndiGo firms up record Airbus order,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/4KN9iUvF_sg/idINIndia-57851420110622
6.0,6/23/2011 12:04:53 PM,AirAsia's $18.2 bln deal eclipses IndiGo order,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/kH8pYrhCMgc/idINIndia-57863920110623
7.0,8/17/2011 1:25:50 AM,"Dell slashes 2012 sales forecast, bodes ill for HP",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/DlJCHFFKC3w/idINIndia-58818520110816
8.0,8/18/2011 6:52:32 PM,HP close to buying Autonomy for $10 bn - report,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/sjPXI7P8XDg/idINIndia-58855920110818
9.0,8/19/2011 4:05:55 AM,"HP may drop PCs, to buy Autonomy for $11.7 bln",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/0bPX8Glsj_g/idINIndia-58855920110819
10.0,8/30/2011 12:38:55 AM,HP says prefers to spin off PC unit,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/Y3zXUtTNZLk/idINIndia-59038420110829
11.0,8/30/2011 11:48:15 AM,HP executive says PC business to remain world No.1,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/KBOcpXdBF48/idINIndia-59047120110830
12.0,9/16/2011 7:05:30 AM,HP execs misled before Aug stock crash - lawsuit,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/4rMJjUb4P5s/idINIndia-59376320110916
13.0,9/22/2011 2:14:51 AM,"HP may oust CEO, hire eBay veteran - source",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/xlC8XWEKnYQ/idINIndia-59474220110922
14.0,9/22/2011 7:21:51 PM,"HP close to naming Whitman CEO, firing Apotheker",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/M2Scm8Yb1Ts/idINIndia-59495720110922
15.0,9/22/2011 10:46:30 PM,"HP named Whitman CEO, Apotheker out",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/DqddAWPe-SE/idINIndia-59498020110922
16.0,11/19/2011 9:16:08 AM,"Kingfisher slips to 3rd spot, IndiGo gains",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/kPdKPsXRRCU/idINIndia-60617020111119
