Unnamed: 0,datetime,title,source,link
0.0,10/12/2016 1:30:26 AM,BRIEF-International Flavors & Fragrances appoints Richard O'Leary executive vice president & CFO (IFF),Reuters,/news/stocks/brief-international-flavors-&-fragrances-appoints-richard-oleary-executive-vice-president-&-cfo-iff-1001450431
1.0,11/8/2016 12:16:17 AM,BRIEF-International Flavors & Fragrances sees FY 2016 sales up 4.0 - 5.0 pct (IFF),Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-sees-fy-2016-sales-up-40---50-pct-2016-11
2.0,12/6/2016 3:00:03 AM,BRIEF-International Flavors & Fragrances says amended and restated co's existing amended and restated credit agreement with Citibank (IFF),Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-says-amended-and-restated-cos-existing-amended-and-restated-credit-agreement-with-citibank-2016-12
3.0,2/15/2017 10:51:02 PM,International Flavors And Fragrances Inc Earnings Climb 16% In Q4,RTTNews,/news/stocks/international-flavors-and-fragrances-inc-earnings-climb-16-in-q4-1001755026
4.0,2/15/2017 11:06:11 PM,BRIEF-International Flavors & Fragrances posts qtrly earnings $1.00/shr (IFF),Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-posts-qtrly-earnings-100-shr-2017-2
5.0,3/17/2017 12:50:00 PM,"Specialty Chemicals Stocks Under Scanner -- Delta Technology, International Flavors & Fragrances, Kronos Worldwide, and Senomyx",PR Newswire,/news/stocks/specialty-chemicals-stocks-under-scanner-delta-technology-international-flavors-fragrances-kronos-worldwide-and-senomyx-1001845658
6.0,3/20/2017 10:00:46 PM,BRIEF-International Flavors & Fragrances CEO Andreas Fibig's FY 2016 total compensation was $6.2 mln vs $6.2 mln in FY 2015 (IFF),Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-ceo-andreas-fibigs-fy-2016-total-compensation-was-62-mln-vs-62-mln-in-fy-2015-2017-3
7.0,4/27/2017 1:10:00 PM,"How These Specialty Chemicals Stocks are Faring? -- TerraVia, International Flavors & Fragrances, PolyOne, and Kronos Worldwide",PR Newswire,/news/stocks/how-these-specialty-chemicals-stocks-are-faring-terravia-international-flavors-fragrances-polyone-and-kronos-worldwide-1001956222
8.0,5/8/2017 10:06:03 PM,"BRIEF-International Flavors & Fragrances says Winder Investment PTE reports open market purchase of 40,000 shares of co's common stock (IFF)",Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-says-winder-investment-pte-reports-open-market-purchase-of-40000-shares-of-cos-common-stock-2017-5
9.0,5/8/2017 10:21:19 PM,International Flavors And Fragrances Inc Earnings Advance 4% In Q1,RTTNews,/news/stocks/international-flavors-and-fragrances-inc-earnings-advance-4-in-q1-1001991165
10.0,5/8/2017 11:40:05 PM,BRIEF-INTERNATIONAL FLAVORS & FRAGRANCES QTRLY EARNINGS PER SHARE DILUTED $1.45 (IFF),Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-qtrly-earnings-per-share-diluted-145-2017-5
11.0,5/15/2017 9:26:05 PM,BRIEF-International Flavors & Fragrances prices $500 mln senior notes due 2047 (IFF),Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-prices-500-mln-senior-notes-due-2047-2017-5
12.0,5/30/2017 5:06:07 PM,"Spanish fragrance maker Iberchem attracts private equity bids -sources (SY1, IFF)",Reuters,http://www.businessinsider.com/r-spanish-fragrance-maker-iberchem-attracts-private-equity-bids--sources-2017-5
13.0,6/2/2017 12:40:00 PM,"Specialty Chemicals Stocks Under Scanner -- Kraton, RPM Intl., TerraVia, and International Flavors & Fragrances",PR Newswire,/news/stocks/specialty-chemicals-stocks-under-scanner-kraton-rpm-intl-terravia-and-international-flavors-fragrances-1002062880
14.0,6/23/2017 3:28:03 PM,BRIEF-International Flavors & Fragrances expects to record pre-tax charge of nearly $1 mln in Q2 of 2017 - SEC Filing (IFF),Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-expects-to-record-pre-tax-charge-of-nearly-1-mln-in-q2-of-2017---sec-filing-2017-6
15.0,6/23/2017 3:39:00 PM,ZoomEssence® Settles Trade Secret Lawsuit For $56 Million,PR Newswire,/news/stocks/zoomessence-settles-trade-secret-lawsuit-for-56-million-1002119954
16.0,6/23/2017 4:08:06 PM,"BRIEF-IFF, ZoomEssence announce settlement of lawsuit (IFF)",Reuters,http://www.businessinsider.com/r-brief-iff-zoomessence-announce-settlement-of-lawsuit-2017-6
17.0,6/26/2017 6:28:18 PM,BRIEF-IFF LAUNCHES TASTEPOINT BY IFF TO SERVE MID-TIER CUSTOMERS IN NORTH AMERICA (IFF),Reuters,http://www.businessinsider.com/r-brief-iff-launches-tastepoint-by-iff-to-serve-mid-tier-customers-in-north-america-2017-6
18.0,8/1/2017 11:02:05 PM,BRIEF-IFF elects Stephen Williamson to board of directors (IFF),Reuters,http://www.businessinsider.com/r-brief-iff-elects-stephen-williamson-to-board-of-directors-2017-8
19.0,8/8/2017 10:17:36 PM,International Flavors And Fragrances Inc Q2 Income Climbs 1%,RTTNews,/news/stocks/international-flavors-and-fragrances-inc-q2-income-climbs-1-1002242024
20.0,8/8/2017 10:47:03 PM,BRIEF-IFF reports Q2 ‍earnings per share $1.38​ (IFF),Reuters,http://www.businessinsider.com/r-brief-iff-reports-q2-earnings-per-share-138-2017-8
21.0,8/10/2017 12:45:00 PM,"Pre-Market Technical Pulse on Specialty Chemicals Stocks -- Cabot, GCP Applied Technologies, W.R. Grace, and International Flavors & Fragrances",PR Newswire,/news/stocks/pre-market-technical-pulse-on-specialty-chemicals-stocks-cabot-gcp-applied-technologies-w-r-grace-and-international-flavors-fragrances-1002247982
22.0,11/1/2017 11:17:21 PM,BRIEF-IFF announces $300 million share repurchase authorization (IFF),Reuters,http://www.businessinsider.com/r-brief-iff-announces-300-million-share-repurchase-authorization-2017-11
