Unnamed: 0,datetime,title,source,link
0.0,4/25/2018 2:19:23 PM,BRIEF-Dr Pepper Snapple Group Q1 Earnings Per Share $0.88,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/4-v3wRGsKUg/brief-dr-pepper-snapple-group-q1-earnings-per-share-0-88-idUSFWN1S2137
1.0,8/6/2018 3:03:19 PM,Dr Pepper Snapple Group earnings preview: what Wall Street is expecting,Markets Insider Automation,/news/stocks/dr_pepper_snapple_group_1-stock-price-quarter-earnings-preview-q2-1027434351
2.0,9/27/2018 2:40:43 PM,Keurig Dr Pepper To Acquire CORE Nutrition - Quick Facts ,RTTNews,/news/stocks/keurig-dr-pepper-to-acquire-core-nutrition-quick-facts-1027570871
3.0,11/5/2018 3:02:36 PM,Here's what Wall Street expects from Dr Pepper Snapple Group's earnings report,Markets Insider Automation,/news/stocks/dr_pepper_snapple_group_1-quarter-earnings-preview-q3-1027691528
4.0,2/26/2019 3:02:00 PM,Here's what Wall Street expects from Dr Pepper Snapple Group's earnings,Markets Insider Automation,/news/stocks/dr_pepper_snapple_group_1-stock-q4-earnings-preview-1027985010
5.0,5/7/2019 3:03:15 PM,Dr Pepper Snapple Group is about to announce its earnings — here's what Wall Street expects,Markets Insider Automation,/news/stocks/dr_pepper_snapple-quarter-earnings-preview-q1-1028176944
6.0,6/17/2019 2:57:12 PM,NBEV Stock Is More Than Just CBD — But It’s Still Not Enough,InvestorPlace,/news/stocks/nbev-stock-is-more-than-just-cbd-but-its-still-not-enough-1028285896
7.0,6/21/2019 11:40:50 AM,ACB Stock Is a Buy Because Aurora Cannabis Won’t Get Left in the Dust,InvestorPlace,/news/stocks/acb-stock-left-in-the-dust-1028299552
8.0,6/24/2019 10:31:35 PM,Keurig Dr Pepper Recalls Peñafiel Water Due To Excessive Arsenic Level ,RTTNews,/news/stocks/keurig-dr-pepper-recalls-peñafiel-water-due-to-excessive-arsenic-level-1028303383
9.0,7/22/2019 12:16:51 PM,3 Reasons to Hold Coca-Cola Stock Through Earnings,InvestorPlace,/news/stocks/3-reasons-to-hold-coca-cola-stock-through-earnings-1028374351
10.0,8/6/2019 3:03:04 PM,Here's what Wall Street expects from Dr Pepper Snapple Group's earnings report,Markets Insider Automation,/news/stocks/dr_pepper_snapple-stock-quarter-earnings-preview-q2-1028422206
11.0,8/13/2019 4:54:59 PM,Keurig Dr Pepper CEO: Recyclable K-Cups Coming in 2020,InvestorPlace,/news/stocks/recyclable-k-cups-coming-in-2020-1028443992
12.0,2/26/2020 3:02:11 PM,Dr Pepper Snapple Group earnings: here's what Wall Street expects,Markets Insider Automation,/news/stocks/dr_pepper_snapple-quarter-earnings-preview-q4-1028941309
13.0,2/27/2020 1:16:35 PM,Keurig Dr Pepper Inc. Q4 adjusted earnings Inline With Estimates,RTTNews,/news/stocks/keurig-dr-pepper-inc-q4-adjusted-earnings-inline-with-estimates-1028945212
14.0,2/27/2020 2:07:50 PM,Keurig Dr Pepper Inks Long-term Deal With Nestle USA For Starbucks K-Cup Pods ,RTTNews,/news/stocks/keurig-dr-pepper-inks-long-term-deal-with-nestle-usa-for-starbucks-k-cup-pods-1028945421
15.0,2/28/2020 5:41:52 PM,Analysts positive on Keurig Dr Pepper after earnings,Seeking Alpha,https://seekingalpha.com/news/3547135-analysts-positive-on-keurig-dr-pepper-after-earnings?utm_source=markets.businessinsider.com&utm_medium=referral
16.0,3/9/2020 2:22:27 PM,Beverage stocks slide on demand worries,Seeking Alpha,https://seekingalpha.com/news/3549759-beverage-stocks-slide-on-demand-worries?utm_source=markets.businessinsider.com&utm_medium=referral
17.0,3/19/2020 2:12:04 PM,Keurig Dr Pepper Affirms FY20 Outlook - Quick Facts ,RTTNews,/news/stocks/keurig-dr-pepper-affirms-fy20-outlook-quick-facts-1029013034
18.0,3/23/2020 1:22:41 PM,Is Everything Going Back to Normal for Luckin Coffee Stock?,InvestorPlace,/news/stocks/is-everything-going-back-to-normal-for-luckin-coffee-stock-1029023354
19.0,4/26/2020 3:01:22 PM,What Wall Street expects from Dr Pepper Snapple Group's earnings,Markets Insider Automation,/news/stocks/dr_pepper_snapple-stock-price-q1-earnings-preview-1029129931
20.0,4/26/2020 9:35:33 PM,Notable earnings after Monday's close,Seeking Alpha,https://seekingalpha.com/news/3564431-notable-earnings-after-mondays-close?utm_source=markets.businessinsider.com&utm_medium=referral
21.0,4/26/2020 9:35:42 PM,Keurig Dr Pepper Q1 2020 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/3564448-keurig-dr-pepper-q1-2020-earnings-preview?utm_source=markets.businessinsider.com&utm_medium=referral
22.0,4/27/2020 8:12:46 PM,"Keurig Dr Pepper EPS beats by $0.02, beats on revenue",Seeking Alpha,https://seekingalpha.com/news/3564877-keurig-dr-pepper-eps-beats-0_02-beats-on-revenue?utm_source=markets.businessinsider.com&utm_medium=referral
23.0,4/27/2020 10:20:17 PM,Keurig Dr Pepper Inc. Q1 adjusted earnings Beat Estimates,RTTNews,/news/stocks/keurig-dr-pepper-inc-q1-adjusted-earnings-beat-estimates-1029134626
24.0,5/16/2020 10:41:05 AM,"Soros Fund adds TransDigm, cuts Mondelez, boost stakes in PTON",Seeking Alpha,https://seekingalpha.com/news/3575334-soros-fund-adds-transdigm-cuts-mondelez-boost-stakes-in-pton?utm_source=markets.businessinsider.com&utm_medium=referral
25.0,5/18/2020 3:16:53 PM,JDE Peet's expected to list shares,Seeking Alpha,https://seekingalpha.com/news/3575607-jde-peets-expected-to-list-shares?utm_source=markets.businessinsider.com&utm_medium=referral
26.0,5/21/2020 2:51:43 PM,Keurig Dr Pepper Prices Secondary Stock Offering At $27.25 Per Share ,RTTNews,/news/stocks/keurig-dr-pepper-prices-secondary-stock-offering-at-27-25-per-share-1029223459
27.0,6/11/2020 2:50:08 PM,Keurig Dr Pepper Reports Equity Distribution By Maple Holdings - Quick Facts ,RTTNews,/news/stocks/keurig-dr-pepper-reports-equity-distribution-by-maple-holdings-quick-facts-1029300652
28.0,6/19/2020 1:42:17 PM,10 Cash-Rich Stocks to Buy for Peace of Mind,InvestorPlace,/news/stocks/10-cash-stocks-buy-peace-mind-cash-rich-stocks-1029325913
29.0,6/19/2020 2:58:00 PM,The Peet’s Coffee IPO Shows That Coffee Is Still Hot ,InvestorPlace,/news/stocks/the-peets-coffee-ipo-shows-that-coffee-is-still-hot-1029326336
30.0,6/25/2020 3:06:35 PM,10 Consumer Stocks to Buy to Ride the Post-Covid-19 Wave,InvestorPlace,/news/stocks/10-consumer-stocks-to-buy-to-ride-the-post-covid-19-wave-1029343265
31.0,7/29/2020 3:03:02 PM,Here's what Wall Street expects from Dr Pepper Snapple Group's earnings report,Markets Insider Automation,/news/stocks/dr_pepper_snapple-q2-quarterly-earnings-preview-1029445685
32.0,7/30/2020 12:48:33 PM,Keurig Dr Pepper Inc. Q2 adjusted earnings Beat Estimates,RTTNews,/news/stocks/keurig-dr-pepper-inc-q2-adjusted-earnings-beat-estimates-1029450087
33.0,7/30/2020 1:52:29 PM,Keurig Dr Pepper Reaffirms FY20 Outlook - Quick Facts ,RTTNews,/news/stocks/keurig-dr-pepper-reaffirms-fy20-outlook-quick-facts-1029450477
34.0,8/26/2020 5:12:49 PM,10 S&P 500 Stocks to Buy for Growth and Value,InvestorPlace,/news/stocks/10-sp-500-stocks-to-buy-for-growth-and-value-1029537355
35.0,9/8/2020 2:39:38 PM,Keurig Dr Pepper Announces Equity Distribution By Top Shareholder - Quick Facts ,RTTNews,/news/stocks/keurig-dr-pepper-announces-equity-distribution-by-top-shareholder-quick-facts-1029569417
36.0,9/8/2020 6:49:19 PM,KDP Stock News: Keurig Dr Pepper to Leave NYSE for Nasdaq,InvestorPlace,/news/stocks/kdp-stock-news-keurig-dr-pepper-heading-to-nasdaq-1029571600
37.0,10/27/2020 5:31:06 PM,10 Consumer Stocks for a Reliable Portfolio,InvestorPlace,/news/stocks/10-consumer-stocks-to-buy-for-a-reliable-portfolio-1029729062
38.0,10/28/2020 3:04:57 PM,Dr Pepper Snapple Group earnings preview: what Wall Street is expecting,Markets Insider Automation,/news/stocks/dr_pepper_snapple-stock-price-q3-earnings-preview-1029734930
39.0,10/28/2020 3:33:23 PM,Notable earnings before Thursday's open,Seeking Alpha,https://seekingalpha.com/news/3627321-notable-earnings-thursdays-open?utm_source=markets.businessinsider.com&utm_medium=referral
40.0,10/28/2020 4:05:24 PM,Keurig Dr Pepper Q3 2020 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/3627337-keurig-dr-pepper-q3-2020-earnings-preview?utm_source=markets.businessinsider.com&utm_medium=referral
41.0,10/29/2020 10:50:12 AM,"Keurig Dr Pepper EPS beats by $0.02, beats on revenue",Seeking Alpha,https://seekingalpha.com/news/3628050-keurig-dr-pepper-eps-beats-0_02-beats-on-revenue?utm_source=markets.businessinsider.com&utm_medium=referral
42.0,10/29/2020 11:01:54 AM,Keurig Dr Pepper posts market share gains across its portfolio,Seeking Alpha,https://seekingalpha.com/news/3628071-keurig-dr-pepper-posts-market-share-gains-across-portfolio?utm_source=markets.businessinsider.com&utm_medium=referral
43.0,10/29/2020 2:54:42 PM,Keurig Dr Pepper Expects FY20 Results At Higher End Of Guidance - Quick Facts ,RTTNews,/news/stocks/keurig-dr-pepper-expects-fy20-results-at-higher-end-of-guidance-quick-facts-1029741551
44.0,10/29/2020 5:09:27 PM,Keurig Dr Pepper called one of the best EPS growth stories in beverages,Seeking Alpha,https://seekingalpha.com/news/3628461-keurig-dr-pepper-called-one-of-best-eps-growth-stories-in-beverages?utm_source=markets.businessinsider.com&utm_medium=referral
45.0,11/6/2020 8:30:45 PM,Seeking Alpha Catalyst Watch,Seeking Alpha,https://seekingalpha.com/news/3633287-seeking-alpha-catalyst-watch?utm_source=markets.businessinsider.com&utm_medium=referral
46.0,11/17/2020 1:55:03 PM,"MDLZ's Stake In Keurig Dr Pepper Down To 8.4%, With Continuation Of Two KDP Board Seats ",RTTNews,/news/stocks/mdlz-s-stake-in-keurig-dr-pepper-down-to-8-4-with-continuation-of-two-kdp-board-seats-1029810516
47.0,11/17/2020 2:46:01 PM,Keurig Dr Pepper prices $1.71B secondary offering,Seeking Alpha,https://seekingalpha.com/news/3637113-keurig-dr-pepper-prices-1_71b-secondary-offering?utm_source=markets.businessinsider.com&utm_medium=referral
48.0,11/17/2020 5:13:22 PM,BofA a dip buyer of Keurig Dr Pepper,Seeking Alpha,https://seekingalpha.com/news/3637176-bofa-dip-buyer-of-keurig-dr-pepper?utm_source=markets.businessinsider.com&utm_medium=referral
49.0,11/24/2020 3:12:55 PM,Keurig Dr Pepper Secures Rights For Its Key Brands In East Texas And Northern Louisiana ,RTTNews,/news/stocks/keurig-dr-pepper-secures-rights-for-its-key-brands-in-east-texas-and-northern-louisiana-1029834488
50.0,11/24/2020 4:12:58 PM,10 Best Stocks to Buy for Investors Under 30,InvestorPlace,/news/stocks/10-best-stocks-to-buy-for-investors-under-30-1029835392
51.0,11/24/2020 7:15:38 PM,At-home beverage demand stays strong in latest Nielsen update,Seeking Alpha,https://seekingalpha.com/news/3639176-home-beverage-demand-stays-strong-in-latest-nielsen-update?utm_source=markets.businessinsider.com&utm_medium=referral
52.0,12/4/2020 3:29:10 PM,Beyond Meat Stock Bull Vs. Bear: 3 Things to Know Before Investing,InvestorPlace,/news/stocks/beyond-meat-stock-bull-vs-bear-3-things-to-know-before-investing-1029865906
53.0,12/7/2020 9:18:44 PM,Keurig Dr Pepper declares $0.15 dividend,Seeking Alpha,https://seekingalpha.com/news/3642267-keurig-dr-pepper-declares-0_15-dividend?utm_source=markets.businessinsider.com&utm_medium=referral
54.0,12/18/2020 8:42:01 PM,Stocks That Hit 52-Week Highs On Friday,Benzinga,/news/stocks/stocks-that-hit-52-week-highs-on-friday-1029909493
