Unnamed: 0,datetime,title,source,link
0.0,10/25/2005 4:07:00 PM,Webcast Alert: Lyondell Chemical Company Announces Third-Quarter 2005 Teleconference Schedule,PR Newswire,/news/stocks/webcast-alert-lyondell-chemical-company-announces-third-quarter-2005-teleconference-schedule-1028653545
1.0,4/6/2006 4:32:00 PM,Lyondell-Citgo Houston Refinery Offered for Sale,PR Newswire,/news/stocks/lyondell-citgo-houston-refinery-offered-for-sale-1010441706
2.0,4/24/2006 10:32:00 PM,Lyondell and CITGO Sign Morgan Stanley for Refinery Sale,PR Newswire,/news/stocks/lyondell-and-citgo-sign-morgan-stanley-for-refinery-sale-1007623594
3.0,10/21/2016 11:30:20 PM,"Lyondell's Houston refinery draws bids from Aramco, Valero, Suncor -sources (VLO, LYB, SU)",Reuters,http://www.businessinsider.com/r-lyondells-houston-refinery-draws-bids-from-aramco-valero-suncor--sources-2016-10
4.0,10/24/2016 11:54:20 AM,Saudi Aramco denies bidding for Lyondell's Houston refinery (LYB),Reuters,http://www.businessinsider.com/r-saudi-aramco-denies-bidding-for-lyondells-houston-refinery-2016-10
5.0,11/17/2016 7:30:19 PM,Polish Basell Orlen declares force majeure on some products (LYB),Reuters,http://www.businessinsider.com/r-polish-basell-orlen-declares-force-majeure-on-some-products-2016-11
6.0,12/16/2016 10:20:03 PM,Houston refinery worker's death due to natural causes -official (LYB),Reuters,http://www.businessinsider.com/r-houston-refinery-workers-death-due-to-natural-causes--official-2016-12
7.0,1/19/2017 1:02:04 PM,BRIEF-LyondellBasell Industries says Corpus Christi complex expansion complete (LYB),Reuters,http://www.businessinsider.com/r-brief-lyondellbasell-industries-says-corpus-christi-complex-expansion-complete-2017-1
8.0,2/3/2017 10:10:07 PM,"UPDATE 1-Lyondell, buyers differed on value of Houston refinery -CEO (VLO, LYB, SU)",Reuters,http://www.businessinsider.com/r-update-1-lyondell-buyers-differed-on-value-of-houston-refinery--ceo-2017-2
9.0,2/17/2017 1:18:11 PM,BRIEF-LyondellBasell board authorizes interim dividend of $0.85/shr (LYB),Reuters,http://www.businessinsider.com/r-brief-lyondellbasell-board-authorizes-interim-dividend-of-085-shr-2017-2
10.0,2/22/2017 12:36:12 AM,BRIEF-Lyondellbasell prices public offering of guaranteed notes (LYB),Reuters,http://www.businessinsider.com/r-brief-lyondellbasell-prices-public-offering-of-guaranteed-notes-2017-2
11.0,3/10/2017 3:00:00 PM,LyondellBasell Honored by Junior Achievement with US President's Volunteer Service Award,PR Newswire,/news/stocks/lyondellbasell-honored-by-junior-achievement-with-us-president-s-volunteer-service-award-1001824297
12.0,3/16/2017 3:20:49 AM,BRIEF-Fire on crude unit cooling tower at Lyondell Houston refinery -sources (LYB),Reuters,http://www.businessinsider.com/r-brief-fire-on-crude-unit-cooling-tower-at-lyondell-houston-refinery--sources-2017-3
13.0,3/16/2017 3:56:42 AM,CORRECTED-BRIEF-Fire on cooling tower at Lyondell Houston refinery -sources (LYB),Reuters,http://www.businessinsider.com/r-corrected-brief-fire-on-cooling-tower-at-lyondell-houston-refinery--sources-2017-3
14.0,3/24/2017 12:40:00 PM,"Research Reports Coverage on Specialty Chemicals Stocks -- LyondellBasell, Amyris, Axalta Coating, and Platform Specialty",PR Newswire,/news/stocks/research-reports-coverage-on-specialty-chemicals-stocks-lyondellbasell-amyris-axalta-coating-and-platform-specialty-1001865549
15.0,3/27/2017 7:00:49 PM,BRIEF-Lyondellbasell Industries NV CEO Bob Patel's fy 2016 total compensation was $12.64 mln (LYB),Reuters,http://www.businessinsider.com/r-brief-lyondellbasell-industries-nv-ceo-bob-patels-fy-2016-total-compensation-was-1264-mln-2017-3
16.0,3/29/2017 7:04:00 PM,"LyondellBasell to Host Investor Day 2017 on April 5, 2017",PR Newswire,/news/stocks/lyondellbasell-to-host-investor-day-2017-on-april-5-2017-1001879104
17.0,4/3/2017 3:55:00 PM,LyondellBasell Joins the Astros Foundation Community Leaders Program,PR Newswire,/news/stocks/lyondellbasell-joins-the-astros-foundation-community-leaders-program-1001890785
18.0,4/6/2017 11:16:56 PM,BRIEF-Lyondellbasell says CEO's compensation was $12.6 mln in 2016 (LYB),Reuters,http://www.businessinsider.com/r-brief-lyondellbasell-says-ceos-compensation-was-126-mln-in-2016-2017-4
19.0,4/14/2017 5:30:00 PM,"LyondellBasell to Discuss First-Quarter Results on Friday, April 28, 2017",PR Newswire,/news/stocks/lyondellbasell-to-discuss-first-quarter-results-on-friday-april-28-2017-1001922789
20.0,4/28/2017 12:45:00 PM,LyondellBasell Reports First-Quarter 2017 Earnings,PR Newswire,/news/stocks/lyondellbasell-reports-first-quarter-2017-earnings-1001961262
21.0,5/3/2017 4:03:00 PM,LyondellBasell Among Top Donors to United Way of Greater Houston Campaign for 2016,PR Newswire,/news/stocks/lyondellbasell-among-top-donors-to-united-way-of-greater-houston-campaign-for-2016-1001975105
22.0,5/10/2017 12:40:00 PM,"Technical Reports on Basic Materials Equities -- LyondellBasell Industries, Amyris, Platform Specialty Products, and Ternium",PR Newswire,/news/stocks/technical-reports-on-basic-materials-equities-lyondellbasell-industries-amyris-platform-specialty-products-and-ternium-1001998487
23.0,5/15/2017 11:01:00 PM,LyondellBasell Begins Construction of Hyperzone PE Plant at its La Porte Complex,PR Newswire,/news/stocks/lyondellbasell-begins-construction-of-hyperzone-pe-plant-at-its-la-porte-complex-1002014547
24.0,5/15/2017 11:22:05 PM,BRIEF-Lyondellbasell begins construction of Hyperzone PE plant at its La Porte Complex (LYB),Reuters,http://www.businessinsider.com/r-brief-lyondellbasell-begins-construction-of-hyperzone-pe-plant-at-its-la-porte-complex-2017-5
25.0,5/16/2017 9:13:00 PM,LyondellBasell to Address Barclays Americas Select Franchise Conference 2017,PR Newswire,/news/stocks/lyondellbasell-to-address-barclays-americas-select-franchise-conference-2017-1002018542
26.0,6/14/2017 8:56:04 AM,"INSIGHT-Secret rebates send European plastics benchmark above true cost (BAS, LIN, REP, LYB, FP, RDSA, XOM, BP., DOW)",Reuters,http://www.businessinsider.com/r-insight-secret-rebates-send-european-plastics-benchmark-above-true-cost-2017-6
27.0,6/23/2017 12:30:00 PM,"Breakfast Technical Briefing on Specialty Chemicals Stocks -- Amyris, LyondellBasell Industries, Platform Specialty Products, and Axalta Coating Systems",PR Newswire,/news/stocks/breakfast-technical-briefing-on-specialty-chemicals-stocks-amyris-lyondellbasell-industries-platform-specialty-products-and-axalta-coating-systems-1002119151
28.0,7/3/2017 6:59:00 PM,LyondellBasell to Provide Specialized Training to Cologne Firefighters,PR Newswire,/news/stocks/lyondellbasell-to-provide-specialized-training-to-cologne-firefighters-1002144308
29.0,7/28/2017 1:06:03 PM,BRIEF-LyondellBasell reports second quarter 2017 earnings (LYB),Reuters,http://www.businessinsider.com/r-brief-lyondellbasell-reports-second-quarter-2017-earnings-2017-7
30.0,8/3/2017 8:11:00 PM,LyondellBasell to Address Jefferies Industrials Conference,PR Newswire,/news/stocks/lyondellbasell-to-address-jefferies-industrials-conference-1002231612
31.0,8/23/2017 12:45:00 PM,LyondellBasell Board Authorizes Quarterly Dividend,PR Newswire,/news/stocks/lyondellbasell-board-authorizes-quarterly-dividend-1002278141
32.0,8/29/2017 7:16:00 PM,"LyondellBasell Donates $200,000 to the American Red Cross Texas Gulf Coast Region for Hurricane Relief",PR Newswire,/news/stocks/lyondellbasell-donates-200-000-to-the-american-red-cross-texas-gulf-coast-region-for-hurricane-relief-1002292476
33.0,8/30/2017 8:37:00 PM,LyondellBasell Supports Tropical Storm Relief Efforts in Lake Charles with Food Donation,PR Newswire,/news/stocks/lyondellbasell-supports-tropical-storm-relief-efforts-in-lake-charles-with-food-donation-1002295931
34.0,9/2/2017 3:00:00 PM,LyondellBasell's Houston Refinery Donates Food to Families in Crisis in Wake of Hurricane Harvey,PR Newswire,/news/stocks/lyondellbasell-s-houston-refinery-donates-food-to-families-in-crisis-in-wake-of-hurricane-harvey-1002303628
35.0,9/3/2017 7:42:00 PM,LyondellBasell Provides Needed Equipment to Hurricane Harvey Emergency Responders and Recovery Teams,PR Newswire,/news/stocks/lyondellbasell-provides-needed-equipment-to-hurricane-harvey-emergency-responders-and-recovery-teams-632753
36.0,9/11/2017 12:45:00 PM,"Pre-Market Technical Pulse on Specialty Chemicals Stocks -- Axalta Coating Systems, LyondellBasell Industries, Platform Specialty Products, and Westlake Chemical",PR Newswire,/news/stocks/pre-market-technical-pulse-on-specialty-chemicals-stocks-axalta-coating-systems-lyondellbasell-industries-platform-specialty-products-and-westlake-chemical-1002357635
37.0,9/12/2017 12:24:00 AM,LyondellBasell Celebrates 18th Annual Global Care Day,PR Newswire,/news/stocks/lyondellbasell-celebrates-18th-annual-global-care-day-1001998897
38.0,9/21/2017 7:01:00 AM,"LyondellBasell Begins Production at New PP Compounding Plant in Dalian, China",PR Newswire,/news/stocks/lyondellbasell-begins-production-at-new-pp-compounding-plant-in-dalian-china-1002392471
39.0,9/21/2017 7:05:00 PM,"LyondellBasell receives European Innovation Award from Plastics Europe for a smart polymer with ""self-healing"" properties",PR Newswire,/news/stocks/lyondellbasell-receives-european-innovation-award-from-plastics-europe-for-a-smart-polymer-with-self-healing-properties-1002402633
40.0,9/21/2017 7:24:00 PM,"LyondellBasell receives European Innovation Award from Plastics Europe for a smart polymer with ""self-healing"" properties",PR Newswire,/news/stocks/lyondellbasell-receives-european-innovation-award-from-plastics-europe-for-a-smart-polymer-with-self-healing-properties-1002402968
41.0,9/27/2017 1:00:00 PM,LyondellBasell Introduces New Brand Identity,PR Newswire,/news/stocks/lyondellbasell-introduces-new-brand-identity-1002637518
42.0,10/13/2017 1:45:00 PM,"LyondellBasell to Discuss Third-Quarter Results on Friday, October 27, 2017",PR Newswire,/news/stocks/lyondellbasell-to-discuss-third-quarter-results-on-friday-october-27-2017-1004124765
