Unnamed: 0,datetime,title,source,link
0.0,1/25/2017 3:26:05 PM,BRIEF-NVR Inc announces fourth quarter and full year results (NVR),Reuters,http://www.businessinsider.com/r-brief-nvr-inc-announces-fourth-quarter-and-full-year-results-2017-1
1.0,2/15/2017 8:18:10 PM,BRIEF-NVR INC ANNOUNCES $300 MLN SHARE REPURCHASE (NVR),Reuters,http://www.businessinsider.com/r-brief-nvr-inc-announces-300-mln-share-repurchase-2017-2
2.0,4/20/2017 3:00:00 PM,"NVR, Inc. Announces First Quarter Results",PR Newswire,/news/stocks/nvr-inc-announces-first-quarter-results-1001934814
3.0,4/20/2017 3:07:54 PM,NVR  Inc. Reports 58% Rise In Q1 Earnings,RTTNews,/news/stocks/nvr-inc-reports-58-rise-in-q1-earnings-1001934874
4.0,4/20/2017 3:15:09 PM,BRIEF-NVR announces Q1 revenue of $1.277 billion (NVR),Reuters,http://www.businessinsider.com/r-brief-nvr-announces-q1-revenue-of-1277-billion-2017-4
5.0,6/28/2017 8:12:05 PM,"U.S. housing stocks may rally as millennials age -Smead (AMZN, TSLA, NVR, LEN, HD, JWN, SBUX, WFM, SHLD)",Reuters,http://www.businessinsider.com/r-us-housing-stocks-may-rally-as-millennials-age--smead-2017-6
6.0,7/14/2017 8:32:05 PM,"Wall St Weekahead-Housing stocks may not be on terra firma (DHI, PHM, NVR)",Reuters,http://www.businessinsider.com/r-wall-st-weekahead-housing-stocks-may-not-be-on-terra-firma-2017-7
7.0,7/21/2017 3:02:58 PM,NVR  Inc. Bottom Line Advances 61% In Q2,RTTNews,/news/stocks/nvr-inc-bottom-line-advances-61-in-q2-1002195277
8.0,7/21/2017 3:28:03 PM,BRIEF-NVR Inc announces second quarter results (NVR),Reuters,http://www.businessinsider.com/r-brief-nvr-inc-announces-second-quarter-results-2017-7
9.0,10/19/2017 3:00:00 PM,"NVR, Inc. Announces Third Quarter Results",PR Newswire,/news/stocks/nvr-inc-announces-third-quarter-results-1004905287
10.0,10/19/2017 3:15:57 PM,NVR  Inc. Announces 38% Increase In Q3 Bottom Line,RTTNews,/news/stocks/nvr-inc-announces-38-increase-in-q3-bottom-line-1004906319
11.0,10/19/2017 3:17:25 PM,NVR Q3 Profit Increases ,RTTNews,/news/stocks/nvr-q3-profit-increases-1004906317
12.0,10/19/2017 3:22:09 PM,BRIEF-NVR INC Q3 EARNINGS PER SHARE $38.02 (NVR),Reuters,http://www.businessinsider.com/r-brief-nvr-inc-q3-earnings-per-share-3802-2017-10
13.0,12/12/2017 10:31:00 PM,"NVR, Inc. Announces Share Repurchase",PR Newswire,/news/stocks/nvr-inc-announces-share-repurchase-1011137668
14.0,1/25/2018 3:00:00 PM,"NVR, Inc. Announces Fourth Quarter and Full Year Results",PR Newswire,/news/stocks/nvr-inc-announces-fourth-quarter-and-full-year-results-1013996764
15.0,1/25/2018 3:09:34 PM,NVR  Inc. Reports Decline In Q4 Earnings,RTTNews,/news/stocks/nvr-inc-reports-decline-in-q4-earnings-1013996866
16.0,2/14/2018 8:00:00 PM,"NVR, Inc. Announces Share Repurchase",PR Newswire,/news/stocks/nvr-inc-announces-share-repurchase-1015796825
17.0,4/17/2018 2:45:00 PM,New Partnership a Win for All Teachers,PR Newswire,/news/stocks/new-partnership-a-win-for-all-teachers-584087
18.0,4/19/2018 3:00:00 PM,"NVR, Inc. Announces First Quarter Results",PR Newswire,/news/stocks/nvr-inc-announces-first-quarter-results-1021579847
19.0,4/19/2018 3:06:56 PM,BRIEF-NVR Inc Reports Q1 Earnings Per Share Of $39.34,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/OcvRKMBZM2M/brief-nvr-inc-reports-q1-earnings-per-share-of-39-34-idUSASC09WIB
20.0,4/19/2018 3:08:01 PM,NVR  Inc. Profit Advances In Q1,RTTNews,/news/stocks/nvr-inc-profit-advances-in-q1-1021579949
21.0,7/20/2018 3:03:42 PM,NVR  Inc. Earnings Climb In Q2,RTTNews,/news/stocks/nvr-inc-earnings-climb-in-q2-1027385903
22.0,10/19/2018 6:34:00 PM,Wells Fargo Commercial Mortgage Trt 2016-C36 -- Moody's affirms seven classes of WFCM 2016-C36,Moodys,/news/bonds/wells-fargo-commercial-mortgage-trt-2016-c36-moody-s-affirms-seven-classes-of-wfcm-2016-c36-1027634695
23.0,10/19/2018 6:37:00 PM,Wells Fargo Commercial Mortgage Trust 2016-C36 -- Moody's affirms seven classes of WFCM 2016-C36,Moodys,/news/bonds/wells-fargo-commercial-mortgage-trust-2016-c36-moody-s-affirms-seven-classes-of-wfcm-2016-c36-1027634709
24.0,10/19/2018 6:40:00 PM,Wells Fargo Commercial Mortgage Trust 2016-C36 -- Moody's affirms seven classes of WFCM 2016-C36,Moodys,/news/bonds/wells-fargo-commercial-mortgage-trust-2016-c36-moody-s-affirms-seven-classes-of-wfcm-2016-c36-1027634710
25.0,1/24/2019 10:35:00 PM,NVR Inc. -- Moody's affirms Baa2 rating of NVR,Moodys,/news/bonds/nvr-inc-moody-s-affirms-baa2-rating-of-nvr-1027894851
26.0,1/25/2019 3:10:14 PM,NVR  Inc. Profit Climbs In Q4,RTTNews,/news/stocks/nvr-inc-profit-climbs-in-q4-1027896721
27.0,1/28/2019 7:51:00 PM,NVR Inc. -- Moody's affirms Baa2 rating of NVR,Moodys,/news/bonds/nvr-inc-moody-s-affirms-baa2-rating-of-nvr-1027901921
28.0,4/22/2019 3:06:46 PM,NVR  Inc. Bottom Line Advances In Q1,RTTNews,/news/stocks/nvr-inc-bottom-line-advances-in-q1-1028126594
29.0,7/19/2019 3:04:44 PM,NVR  Inc. Q2 Income Advances,RTTNews,/news/stocks/nvr-inc-q2-income-advances-1028367864
30.0,9/23/2019 6:23:33 PM,5 Red Hot Housing Stocks Sprinting to Decade Highs,InvestorPlace,/news/stocks/5-red-hot-housing-stocks-sprinting-to-decade-highs-1028546638
31.0,10/18/2019 3:42:30 PM,NVR Q3 Profit Rises ,RTTNews,/news/stocks/nvr-q3-profit-rises-1028611141
32.0,11/1/2019 3:24:00 PM,NVR Inc. -- Moody's announces completion of a periodic review of ratings of NVR Inc.,Moodys,/news/bonds/nvr-inc-moody-s-announces-completion-of-a-periodic-review-of-ratings-of-nvr-inc-1028651869
33.0,1/22/2020 11:02:00 PM,NVR Inc. -- Moody's upgrades NVR's senior unsecured rating to Baa1; outlook stable,Moodys,/news/bonds/nvr-inc-moody-s-upgrades-nvr-s-senior-unsecured-rating-to-baa1-outlook-stable-1028837611
34.0,2/12/2020 8:35:52 PM,NVR adopts $300M stock buyback program,Seeking Alpha,https://seekingalpha.com/news/3541279-nvr-adopts-300m-stock-buyback-program?utm_source=markets.businessinsider.com&utm_medium=referral
35.0,2/19/2020 4:27:04 PM,"Homebuilders on the rise after housing start beat, TRI Pointe Q4",Seeking Alpha,https://seekingalpha.com/news/3543313-homebuilders-on-rise-after-housing-start-beat-tri-pointe-q4?utm_source=markets.businessinsider.com&utm_medium=referral
36.0,3/10/2020 11:54:49 PM,BofA lists M&A candidates after valuation reset,Seeking Alpha,https://seekingalpha.com/news/3550394-bofa-lists-m-candidates-after-valuation-reset?utm_source=markets.businessinsider.com&utm_medium=referral
37.0,4/23/2020 3:09:25 PM,NVR  Inc. Q1 Earnings Drop,RTTNews,/news/stocks/nvr-inc-q1-earnings-drop-1029122964
38.0,4/23/2020 3:18:17 PM,NVR Says COVID-19 Pandemic Has Significant Impact On Business - Quick Facts ,RTTNews,/news/stocks/nvr-says-covid-19-pandemic-has-significant-impact-on-business-quick-facts-1029122998
39.0,4/28/2020 1:50:03 PM,Homebuilders move up after D.R. Horton sees rise in weekly sales,Seeking Alpha,https://seekingalpha.com/news/3565299-homebuilders-move-up-after-d-r-horton-sees-rise-in-weekly-sales?utm_source=markets.businessinsider.com&utm_medium=referral
40.0,4/30/2020 5:48:00 PM,NVR Inc. -- Moody's assigns a Baa1 rating to NVR's proposed senior unsecured notes,Moodys,/news/bonds/nvr-inc-moody-s-assigns-a-baa1-rating-to-nvr-s-proposed-senior-unsecured-notes-1029151351
41.0,5/12/2020 5:52:06 PM,Demographics Is Both a Blessing and a Curse for NVR,InvestorPlace,/news/stocks/demographics-is-both-a-blessing-and-a-curse-for-nvr-stock-1029193863
42.0,5/15/2020 11:45:39 AM,NVR Stock Is a Lot More Affordable Than It Used to Be,InvestorPlace,/news/stocks/nvr-stock-more-affordable-than-it-used-to-be-1029206216
43.0,5/26/2020 2:10:54 PM,New home sales beat by a mile in April,Seeking Alpha,https://seekingalpha.com/news/3577534-new-home-sales-beat-mile-in-april?utm_source=markets.businessinsider.com&utm_medium=referral
44.0,6/15/2020 9:30:45 PM,Homebuilders gain in AH after Lennar's Q2 shines,Seeking Alpha,https://seekingalpha.com/news/3583245-homebuilders-gain-in-ah-after-lennars-q2-shines?utm_source=markets.businessinsider.com&utm_medium=referral
45.0,7/22/2020 3:11:17 PM,NVR  Inc. Earnings Retreat In Q2,RTTNews,/news/stocks/nvr-inc-earnings-retreat-in-q2-1029420477
46.0,7/22/2020 3:20:37 PM,Knight-Swift Transportation Q2 Profit Tops Estimates; Revenue Down 14.6% ,RTTNews,/news/stocks/knight-swift-transportation-q2-profit-tops-estimates-revenue-down-14-6-1029420511
47.0,9/3/2020 8:47:00 PM,NVR Inc. -- Moody's says NVR's add-on to 2030 notes does not affect ratings,Moodys,/news/bonds/nvr-inc-moody-s-says-nvr-s-add-on-to-2030-notes-does-not-affect-ratings-1029561575
48.0,9/28/2020 11:22:00 PM,NVR Inc. -- Moody's announces completion of a periodic review of ratings of NVR Inc.,Moodys,/news/bonds/nvr-inc-moody-s-announces-completion-of-a-periodic-review-of-ratings-of-nvr-inc-1029628359
49.0,10/5/2020 11:19:16 PM,"Oppenheimer big-stock update gets bullish on homebuilders, IPO names",Seeking Alpha,https://seekingalpha.com/news/3619983-oppenheimer-big-stock-update-gets-bullish-on-homebuilders-ipo-names?utm_source=markets.businessinsider.com&utm_medium=referral
