Unnamed: 0,datetime,title,source,link
0.0,2/1/2017 12:48:22 PM,ONEOK To Buy Remaining Stake In ONEOK Partners In $17.2 Bln Deal - Quick Facts ,RTTNews,/news/stocks/oneok-to-buy-remaining-stake-in-oneok-partners-in-17-2-bln-deal-quick-facts-1001712654
1.0,2/1/2017 1:00:07 PM,"Pipeline company Oneok to buy rest of Oneok Partners for $9.3 bln (OKE, OKS)",Reuters,http://www.businessinsider.com/r-pipeline-company-oneok-to-buy-rest-of-oneok-partners-for-93-bln-2017-2
2.0,2/1/2017 1:08:07 PM,"BRIEF-Oneok sees 2017 maintenance capital expense of $140 mln to $160 mln (OKE, OKS)",Reuters,http://www.businessinsider.com/r-brief-oneok-sees-2017-maintenance-capital-expense-of-140-mln-to-160-mln-2017-2
3.0,2/1/2017 1:08:07 PM,"BRIEF-Oneok to buy rest of Oneok Partners for $9.3 bln (OKE, OKS)",Reuters,http://www.businessinsider.com/r-brief-oneok-to-buy-rest-of-oneok-partners-for-93-bln-2017-2
4.0,2/1/2017 11:56:07 PM,"BRIEF-Oneok says oneok partners must pay termination fee of up to $300 mln (OKE, OKS)",Reuters,http://www.businessinsider.com/r-brief-oneok-says-oneok-partners-must-pay-termination-fee-of-up-to-300-mln-2017-2
5.0,2/23/2017 10:15:00 PM,ONEOK Schedules 2017 Annual Meeting of Shareholders; Sets Record Date,PR Newswire,/news/stocks/oneok-schedules-2017-annual-meeting-of-shareholders-sets-record-date-1001779028
6.0,2/27/2017 10:15:00 PM,ONEOK Partners Announces Higher Fourth-quarter and Full-year 2016 Financial Results,PR Newswire,/news/stocks/oneok-partners-announces-higher-fourth-quarter-and-full-year-2016-financial-results-1001787508
7.0,2/27/2017 10:20:00 PM,ONEOK Announces Higher Fourth-quarter and Full-year 2016 Financial Results,PR Newswire,/news/stocks/oneok-announces-higher-fourth-quarter-and-full-year-2016-financial-results-1001787522
8.0,2/27/2017 10:29:27 PM,ONEOK Inc. Q4 Profit Climbs 255%,RTTNews,/news/stocks/oneok-inc-q4-profit-climbs-255-1001787548
9.0,2/27/2017 10:36:07 PM,ONEOK Inc. Q4 Profit Rises 255%,RTTNews,/news/stocks/oneok-inc-q4-profit-rises-255-1001787590
10.0,2/27/2017 10:50:13 PM,"BRIEF-Oneok Inc qtrly EPS $0.43 (OKE, OKS)",Reuters,http://www.businessinsider.com/r-brief-oneok-inc-qtrly-eps-043-2017-2
11.0,2/27/2017 11:06:13 PM,"BRIEF-Oneok Partners announces fourth-quarter results (OKS, OKE)",Reuters,http://www.businessinsider.com/r-brief-oneok-partners-announces-fourth-quarter-results-2017-2
12.0,2/28/2017 2:10:00 PM,"Research Reports Coverage on Gas Utilities Stocks -- ONEOK, Clean Energy Fuels, Avangrid, and WGL Holdings",PR Newswire,/news/stocks/research-reports-coverage-on-gas-utilities-stocks-oneok-clean-energy-fuels-avangrid-and-wgl-holdings-1001790054
13.0,3/7/2017 10:15:00 PM,ONEOK and ONEOK Partners Announce Organizational Changes,PR Newswire,/news/stocks/oneok-and-oneok-partners-announce-organizational-changes-1001813143
14.0,4/4/2017 12:35:00 PM,"Technical Reports on Gas Utilities Equities -- ONEOK, Clean Energy Fuels, Avangrid, and WGL Holdings",PR Newswire,/news/stocks/technical-reports-on-gas-utilities-equities-oneok-clean-energy-fuels-avangrid-and-wgl-holdings-1001893745
15.0,4/4/2017 1:17:00 PM,At Home Kicks Off Habitat For Humanity Partnership With 'Home Is The Key' Campaign,PR Newswire,/news/stocks/at-home-kicks-off-habitat-for-humanity-partnership-with-home-is-the-key-campaign-530566
16.0,4/17/2017 10:15:00 PM,ONEOK and ONEOK Partners First-quarter 2017 Conference Call and Webcast Scheduled,PR Newswire,/news/stocks/oneok-and-oneok-partners-first-quarter-2017-conference-call-and-webcast-scheduled-1001924729
17.0,4/18/2017 10:15:00 PM,ONEOK Announces New $2.5 Billion Revolving Credit Facility,PR Newswire,/news/stocks/oneok-announces-new-2-5-billion-revolving-credit-facility-1001928474
18.0,4/18/2017 10:49:06 PM,BRIEF-Oneok reports new $2.5 bln revolving credit facility (OKE),Reuters,http://www.businessinsider.com/r-brief-oneok-reports-new-25-bln-revolving-credit-facility-2017-4
19.0,4/20/2017 10:15:00 PM,ONEOK Partners Declares Quarterly Distribution,PR Newswire,/news/stocks/oneok-partners-declares-quarterly-distribution-1001936182
20.0,4/20/2017 10:20:00 PM,ONEOK Declares Quarterly Dividend,PR Newswire,/news/stocks/oneok-declares-quarterly-dividend-1001936212
21.0,4/20/2017 10:45:06 PM,"BRIEF-ONEOK declares quarterly dividend of 61.5 cents per share (OKE, OKS)",Reuters,http://www.businessinsider.com/r-brief-oneok-declares-quarterly-dividend-of-615-cents-per-share-2017-4
22.0,5/2/2017 10:15:00 PM,ONEOK Partners Announces Higher First-quarter 2017 Financial Results,PR Newswire,/news/stocks/oneok-partners-announces-higher-first-quarter-2017-financial-results-1001971373
23.0,5/2/2017 10:20:00 PM,ONEOK Announces Higher First-quarter 2017 Financial Results,PR Newswire,/news/stocks/oneok-announces-higher-first-quarter-2017-financial-results-1001971394
24.0,5/2/2017 10:58:42 PM,ONEOK Inc. Q1 Profit Climbs 5%,RTTNews,/news/stocks/oneok-inc-q1-profit-climbs-5-1001971534
25.0,5/2/2017 11:56:07 PM,BRIEF-Kevin Mccarthy resigns as a director of ONEOK (OKE),Reuters,http://www.businessinsider.com/r-brief-kevin-mccarthy-resigns-as-a-director-of-oneok-2017-5
26.0,5/8/2017 10:15:00 PM,ONEOK and ONEOK Partners Announce Upcoming Investor Conferences,PR Newswire,/news/stocks/oneok-and-oneok-partners-announce-upcoming-investor-conferences-651692
27.0,5/9/2017 10:15:00 PM,ONEOK and ONEOK Partners Announce Meeting and Record Dates for Merger Transaction Special Meetings,PR Newswire,/news/stocks/oneok-and-oneok-partners-announce-meeting-and-record-dates-for-merger-transaction-special-meetings-1001996032
28.0,5/16/2017 10:15:00 PM,ONEOK and ONEOK Partners Announce Upcoming Investor Conferences,PR Newswire,/news/stocks/oneok-and-oneok-partners-announce-upcoming-investor-conferences-1002018673
29.0,6/12/2017 10:15:00 PM,ONEOK Redeems $87 Million in Outstanding Senior Notes,PR Newswire,/news/stocks/oneok-redeems-87-million-in-outstanding-senior-notes-1002086879
30.0,6/12/2017 10:30:04 PM,"BRIEF-ONEOK redeems $87 million in outstanding senior notes (OKE, OKS)",Reuters,http://www.businessinsider.com/r-brief-oneok-redeems-87-million-in-outstanding-senior-notes-2017-6
31.0,6/19/2017 12:30:00 PM,ONEOK to Expand Infrastructure to Serve STACK Growth,PR Newswire,/news/stocks/oneok-to-expand-infrastructure-to-serve-stack-growth-1002102944
32.0,6/22/2017 11:52:00 PM,Proxy Advisory Firms Recommend Approval of ONEOK's and ONEOK Partners' Proposed Merger Transaction,PR Newswire,/news/stocks/proxy-advisory-firms-recommend-approval-of-oneok-s-and-oneok-partners-proposed-merger-transaction-1002117996
33.0,6/23/2017 12:16:06 AM,"BRIEF-ISS, Glass Lewis & Co recommend ONEOK shareholders to vote in favor of proposed merger transaction (OKE, OKS)",Reuters,http://www.businessinsider.com/r-brief-iss-glass-lewis--co-recommend-oneok-shareholders-to-vote-in-favor-of-proposed-merger-transaction-2017-6
34.0,6/30/2017 10:15:00 PM,ONEOK Announces Closing of Merger Transaction,PR Newswire,/news/stocks/oneok-announces-closing-of-merger-transaction-1002140128
35.0,7/6/2017 11:32:07 PM,BRIEF-Oneok files for potential mixed shelf offering (OKE),Reuters,http://www.businessinsider.com/r-brief-oneok-files-for-potential-mixed-shelf-offering-2017-7
36.0,7/10/2017 3:28:03 PM,BRIEF-ONEOK files preliminary prospectus supplement related to potential two-part notes offering (OKE),Reuters,http://www.businessinsider.com/r-brief-oneok-files-preliminary-prospectus-supplement-related-to-potential-two-part-notes-offering-2017-7
37.0,7/10/2017 10:38:05 PM,BRIEF-Oneok announces $1.2 billion notes offering (OKE),Reuters,http://www.businessinsider.com/r-brief-oneok-announces-12-billion-notes-offering-2017-7
38.0,7/19/2017 11:18:06 PM,BRIEF-Oneok enters into equity distribution agreement (OKE),Reuters,http://www.businessinsider.com/r-brief-oneok-enters-into-equity-distribution-agreement-2017-7
39.0,7/26/2017 10:58:08 PM,BRIEF-Oneok announces 21 percent quarterly dividend increase (OKE),Reuters,http://www.businessinsider.com/r-brief-oneok-announces-21-percent-quarterly-dividend-increase-2017-7
40.0,7/31/2017 10:32:03 PM,BRIEF-Oneok announces expansion of Canadian Valley natural gas processing facility (OKE),Reuters,http://www.businessinsider.com/r-brief-oneok-announces-expansion-of-canadian-valley-natural-gas-processing-facility-2017-7
41.0,8/1/2017 10:18:00 PM,ONEOK Announces Second-quarter 2017 Financial Results,PR Newswire,/news/stocks/oneok-announces-second-quarter-2017-financial-results-1002223902
42.0,8/1/2017 10:34:01 PM,ONEOK Inc. Q2 Earnings Decline 2%,RTTNews,/news/stocks/oneok-inc-q2-earnings-decline-2-1002223945
43.0,8/1/2017 11:02:06 PM,BRIEF-Oneok qtrly earnings per share $ 0.33 (OKE),Reuters,http://www.businessinsider.com/r-brief-oneok-qtrly-earnings-per-share--033-2017-8
44.0,8/1/2017 11:18:56 PM,ONEOK Updates 2017 Guidance To Reflect Merger Transaction - Quick Facts ,RTTNews,/news/stocks/oneok-updates-2017-guidance-to-reflect-merger-transaction-quick-facts-1002224133
45.0,8/8/2017 10:15:00 PM,ONEOK to Participate in the Tuohy Brothers Annual Energy Conference,PR Newswire,/news/stocks/oneok-to-participate-in-the-tuohy-brothers-annual-energy-conference-1002242037
46.0,8/16/2017 10:15:00 PM,ONEOK to Participate in Citi Midstream Infrastructure Conference,PR Newswire,/news/stocks/oneok-to-participate-in-citi-midstream-infrastructure-conference-581064
47.0,8/24/2017 12:00:00 PM,"Technical Research on Gas Utilities Equities -- ONEOK, Clean Energy Fuels, CenterPoint Energy, and National Grid",PR Newswire,/news/stocks/technical-research-on-gas-utilities-equities-oneok-clean-energy-fuels-centerpoint-energy-and-national-grid-1002281534
48.0,8/30/2017 10:45:00 PM,ONEOK Reports Status of Operations Following Hurricane Harvey,PR Newswire,/news/stocks/oneok-reports-status-of-operations-following-hurricane-harvey-1002296183
49.0,8/30/2017 11:02:10 PM,BRIEF-Oneok reports status of operations following hurricane Harvey (OKE),Reuters,http://www.businessinsider.com/r-brief-oneok-reports-status-of-operations-following-hurricane-harvey-2017-8
50.0,8/31/2017 10:15:00 PM,ONEOK to Participate in the Barclays CEO Energy Conference,PR Newswire,/news/stocks/oneok-to-participate-in-the-barclays-ceo-energy-conference-1002300040
51.0,9/8/2017 5:09:00 PM,Local Entrepreneur Brings Dickey's Barbecue Pit to Mabank,PR Newswire,/news/stocks/local-entrepreneur-brings-dickey-s-barbecue-pit-to-mabank-1001653127
