Unnamed: 0,datetime,title,source,link
0.0,5/24/2005 11:37:00 PM,Parker Hannifin übernimmt Vermögenswerte von Vertriebsunternehmen in den Niederlanden,PR Newswire,/news/stocks/parker-hannifin-uebernimmt-vermoegenswerte-von-vertriebsunternehmen-in-den-niederlanden-1028311081
1.0,10/25/2006 3:02:00 PM,Parker Appoints Three to New Positions of Senior Vice President; Two New Officers,PR Newswire,/news/stocks/parker-appoints-three-to-new-positions-of-senior-vice-president-two-new-officers-1028414961
2.0,10/21/2016 4:30:20 PM,BRIEF-Parker Q1 adjusted EPS $1.61 (PH),Reuters,http://www.businessinsider.com/r-brief-parker-q1-adjusted-eps-161-2016-10
3.0,11/21/2016 8:28:19 PM,BRIEF-Parker-hannifin Corp's CFO to take temporary medical leave of absence (PH),Reuters,http://www.businessinsider.com/r-brief-parker-hannifin-corps-cfo-to-take-temporary-medical-leave-of-absence-2016-11
4.0,12/1/2016 2:18:08 PM,"Engineering company Parker-Hannifin to buy Clarcor (PH, CLC)",Reuters,http://www.businessinsider.com/r-engineering-company-parker-hannifin-to-buy-clarcor-2016-12
5.0,12/1/2016 2:52:15 PM,BRIEF-Parker to acquire filtration company Clarcor in a strategic portfolio transaction (PH),Reuters,http://www.businessinsider.com/r-brief-parker-to-acquire-filtration-company-clarcor-in-a-strategic-portfolio-transaction-2016-12
6.0,12/1/2016 2:56:08 PM,"BRIEF-Clarcor inc says in case of termination of merger with parker, Clarcor must pay Parker termination fee (CLC, PH)",Reuters,http://www.businessinsider.com/r-brief-clarcor-inc-says-in-case-of-termination-of-merger-with-parker-clarcor-must-pay-parker-termination-fee-2016-12
7.0,12/2/2016 2:22:07 AM,BRIEF-Parker-Hannifin files for potential mixed shelf (PH),Reuters,http://www.businessinsider.com/r-brief-parker-hannifin-files-for-potential-mixed-shelf-2016-12
8.0,1/26/2017 11:30:05 PM,BRIEF-PARKER-HANNIFIN INCREASES QUARTERLY CASH DIVIDEND 5 pct TO 66 CENTS PER SHARE (PH),Reuters,http://www.businessinsider.com/r-brief-parker-hannifin-increases-quarterly-cash-dividend-5-pct-to-66-cents-per-share-2017-1
9.0,2/1/2017 7:36:12 PM,BRIEF-PARKER ACQUIRES HELAC CORPORATION (PH),Reuters,http://www.businessinsider.com/r-brief-parker-acquires-helac-corporation-2017-2
10.0,2/2/2017 1:34:36 PM,Parker Hannifin Corp. Q2 Income Rises 32%,RTTNews,/news/stocks/parker-hannifin-corp-q2-income-rises-32-1001717545
11.0,2/2/2017 1:52:56 PM,Parker Hannifin Increases 2017 Earnings Guidance - Quick Facts ,RTTNews,/news/stocks/parker-hannifin-increases-2017-earnings-guidance-quick-facts-1001717672
12.0,2/2/2017 2:14:12 PM,BRIEF-Parker-Hannifin reports Q2 earnings per share $1.78 (PH),Reuters,http://www.businessinsider.com/r-brief-parker-hannifin-reports-q2-earnings-per-share-178-2017-2
13.0,2/8/2017 12:34:09 PM,BRIEF-Parker-Hannifin plans to offer up to $2.5 bln of senior notes in private transactions (PH),Reuters,http://www.businessinsider.com/r-brief-parker-hannifin-plans-to-offer-up-to-25-bln-of-senior-notes-in-private-transactions-2017-2
14.0,2/22/2017 12:28:12 AM,BRIEF-Parker-Hannifin says priced a private offering of $700.0 million in aggregate principal amount of senior notes due 2027 (PH),Reuters,http://www.businessinsider.com/r-brief-parker-hannifin-says-priced-a-private-offering-of-7000-million-in-aggregate-principal-amount-of-senior-notes-due-2027-2017-2
15.0,2/23/2017 11:57:00 PM,"Incyte, CBOE Holdings, Regency Centers Set to Join S&P 500; Others to Join S&P MidCap 400",PR Newswire,/news/stocks/incyte-cboe-holdings-regency-centers-set-to-join-s-p-500-others-to-join-s-p-midcap-400-1001779406
16.0,3/28/2017 1:15:00 PM,"Research Reports Coverage on Industrial Equipment Stocks -- Mueller Water Products, Pentair, Parker-Hannifin, and Cemtrex",PR Newswire,/news/stocks/research-reports-coverage-on-industrial-equipment-stocks-mueller-water-products-pentair-parker-hannifin-and-cemtrex-1001873366
17.0,4/10/2017 4:19:08 PM,BRIEF-Parker-Hannifin names Catherine A. Suever CFO (PH),Reuters,http://www.businessinsider.com/r-brief-parker-hannifin-names-catherine-a-suever-cfo-2017-4
18.0,4/10/2017 4:43:57 PM,Parker Hannifin CFO Jon Marten To Retire ,RTTNews,/news/stocks/parker-hannifin-cfo-jon-marten-to-retire-1001910927
19.0,4/26/2017 4:33:05 PM,"GOLDMAN SACHS: Here's how to make a killing this earnings season (GRUB, PH, FEYE, PXD, OLED)",Business Insider,http://www.businessinsider.com/heres-how-to-still-make-a-killing-this-earnings-season-2017-4
20.0,4/27/2017 1:36:49 PM,EARNINGS SUMMARY: Details of Parker Hannifin Corp. Q3 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-parker-hannifin-corp-q3-earnings-report-1001956380
21.0,5/3/2017 1:00:00 PM,"How These Industrial Equipment Stocks are Faring? -- Mueller Water Products, Pentair, Parker-Hannifin, and Cemtrex",PR Newswire,/news/stocks/how-these-industrial-equipment-stocks-are-faring-mueller-water-products-pentair-parker-hannifin-and-cemtrex-1001973884
22.0,5/5/2017 1:34:02 AM,"C919 jet set for maiden flight, in test of China's aviation ambitions (BA, 600115, GE, SAF, HON, UTX, COL, PH)",Reuters,http://www.businessinsider.com/r-c919-jet-set-for-maiden-flight-in-test-of-chinas-aviation-ambitions-2017-5
23.0,5/5/2017 9:36:05 AM,"UPDATE 1-C919 jet takes off on maiden flight, to test China's aviation ambitions (BA, 600115, GE, SAF, HON, UTX, COL, PH)",Reuters,http://www.businessinsider.com/r-update-1-c919-jet-takes-off-on-maiden-flight-to-test-chinas-aviation-ambitions-2017-5
24.0,6/14/2017 12:55:00 PM,"Stocks Under Scanner in the Equipment & Components Space -- Mueller Water Products, Parker-Hannifin, Pentair, and Cemtrex",PR Newswire,/news/stocks/stocks-under-scanner-in-the-equipment-components-space-mueller-water-products-parker-hannifin-pentair-and-cemtrex-1002092152
