Unnamed: 0,datetime,title,source,link
0.0,1/31/2005 5:07:00 PM,Sunrise Senior Living Opens First German Community,PR Newswire,/news/stocks/sunrise-senior-living-opens-first-german-community-1009720465
1.0,10/7/2016 12:40:24 PM,"BRIEF-United Techn to reduce pension liabilities by $1.77 bln (PRU, UTX)",Reuters,/news/stocks/brief-united-techn-to-reduce-pension-liabilities-by-$1-77-bln-pru-utx-1001442288
2.0,10/19/2016 12:40:20 AM,BRIEF-Prudential Financial provides update on assets under management (PRU),Reuters,/news/stocks/brief-prudential-financial-provides-update-on-assets-under-management-pru-1001463735
3.0,10/24/2016 11:54:19 AM,"U.S. government, MetLife set for rematch over 'too big to fail' (MET, AIG, PRU)",Reuters,http://www.businessinsider.com/r-us-government-metlife-set-for-rematch-over-too-big-to-fail-2016-10
4.0,10/24/2016 1:08:24 PM,"RPT-U.S. government, MetLife set for rematch over 'too big to fail' (MET, AIG, PRU)",Reuters,http://www.businessinsider.com/r-rpt-us-government-metlife-set-for-rematch-over-too-big-to-fail-2016-10
5.0,11/10/2016 7:00:22 PM,"Britain rethinks property fund rules after Brexit investor panic (AV., PRU, SL., HGG, ADN)",Reuters,http://www.businessinsider.com/r-britain-rethinks-property-fund-rules-after-brexit-investor-panic-2016-11
6.0,11/15/2016 5:46:20 PM,MOVES-Eastspring Investments names new chief investment officer (PRU),Reuters,http://www.businessinsider.com/r-moves-eastspring-investments-names-new-chief-investment-officer-2016-11
7.0,11/15/2016 7:36:18 PM,"Prudential's fund arms to use BlackRock's Aladdin platform (BLK, PRU)",Reuters,http://www.businessinsider.com/r-prudentials-fund-arms-to-use-blackrocks-aladdin-platform-2016-11
8.0,11/16/2016 12:54:20 PM,"UK Stocks-Factors to watch on Nov 16 (HSBA, BLT, BP., GLEN, PRU, RIO, ANTO, BHP, RIO)",Reuters,http://www.businessinsider.com/r-uk-stocks-factors-to-watch-on-nov-16-2016-11
9.0,11/16/2016 1:12:18 PM,"UPDATE 1-UK Stocks-Factors to watch on Nov 16 (HSBA, BLT, BP., GLEN, PRU, RIO, ANTO, BHP, RIO, MRW, AMZN, RR., BDEV, FENR, IAP)",Reuters,http://www.businessinsider.com/r-update-1-uk-stocks-factors-to-watch-on-nov-16-2016-11
10.0,11/16/2016 2:18:17 PM,"UPDATE 2-Asia drives Prudential's new business profit, raises dividend (PRU)",Reuters,http://www.businessinsider.com/r-update-2-asia-drives-prudentials-new-business-profit-raises-dividend-2016-11
11.0,11/16/2016 3:20:18 PM,BRIEF-Prudential says to benefit from changes to U.S. rules on investment advice (PRU),Reuters,http://www.businessinsider.com/r-brief-prudential-says-to-benefit-from-changes-to-us-rules-on-investment-advice-2016-11
12.0,11/16/2016 9:34:18 PM,"BRIEF-Prudential CEO still interested in ""bolt-on"" U.S. acquisitions (PRU)",Reuters,http://www.businessinsider.com/r-brief-prudential-ceo-still-interested-in-bolt-on-us-acquisitions-2016-11
13.0,11/21/2016 1:46:18 PM,"UPDATE 1-Citi and JPMorgan top list of globally systemic banks (HSBA, C, JPM, BAC, DBK, 601398, BARC, BNP, WFC, MS, PRU, MET, ALV, CS, AIG, AGN, AV.)",Reuters,http://www.businessinsider.com/r-update-1-citi-and-jpmorgan-top-list-of-globally-systemic-banks-2016-11
