Unnamed: 0,datetime,title,source,link
0.0,10/5/2016 2:20:23 PM,"AccorHotels looks to online, luxury to boost earnings (600754, IHG, AC, RF, EXPE, PCLN)",Reuters,/news/stocks/accorhotels-looks-to-online-luxury-to-boost-earnings-600754-ihg-ac-rf-expe-pcln-1001437439
1.0,10/5/2016 10:20:21 PM,"UPDATE 1-AccorHotels looks to online, luxury to boost earnings (AC, RF, 600754, IHG)",Reuters,/news/stocks/update-1-accorhotels-looks-to-online-luxury-to-boost-earnings-ac-rf-600754-ihg-1001439015
2.0,10/17/2016 8:40:24 PM,BRIEF-Regions Bank acquires two businesses from First Sterling Financial (RF),Reuters,/news/stocks/brief-regions-bank-acquires-two-businesses-from-first-sterling-financial-rf-1001460210
3.0,10/18/2016 2:30:22 PM,BRIEF-Regions Financial Q3 earnings per share $0.24 (RF),Reuters,/news/stocks/brief-regions-financial-q3-earnings-per-share-$0-24-rf-1001462299
4.0,11/8/2016 6:26:21 PM,BRIEF-Regions Financial appoints Samuel Di Piazza Jr. and James Prokopanko to the board (RF),Reuters,http://www.businessinsider.com/r-brief-regions-financial-appoints-samuel-di-piazza-jr-and-james-prokopanko-to-the-board-2016-11
5.0,12/6/2016 7:12:05 AM,BRIEF-Regions Financial Corp sees 2017 net charge offs 35-50 Bps (RF),Reuters,http://www.businessinsider.com/r-brief-regions-financial-corp-sees-2017-net-charge-offs-35-50-bps-2016-12
6.0,12/14/2016 11:16:04 PM,BRIEF-Regions Bank increases prime lending rate (RF),Reuters,http://www.businessinsider.com/r-brief-regions-bank-increases-prime-lending-rate-2016-12
7.0,1/5/2017 11:34:04 PM,BRIEF-Regions Financial Corp appoints Jose Suquet to board (RF),Reuters,http://www.businessinsider.com/r-brief-regions-financial-corp-appoints-jose-suquet-to-board-2017-1
8.0,1/10/2017 11:38:07 PM,BRIEF-Regions Financial notifies beneficiaries about employee benefit plans (RF),Reuters,http://www.businessinsider.com/r-brief-regions-financial-notifies-beneficiaries-about-employee-benefit-plans-2017-1
9.0,1/20/2017 12:16:07 PM,BRIEF-Regions Financial Q4 EPS $0.23 (RF),Reuters,http://www.businessinsider.com/r-brief-regions-financial-q4-eps-023-2017-1
10.0,1/20/2017 12:40:12 PM,BRIEF-Regions Financial Q4 earnings per share $0.23 (RF),Reuters,http://www.businessinsider.com/r-brief-regions-financial-q4-earnings-per-share-023-2017-1
11.0,2/3/2017 3:28:14 PM,Britain's workers are getting poorer and it's only going to get worse,Business Insider,http://uk.businessinsider.com/resolution-foundation-income-growth-in-britain-2017-2
12.0,2/28/2017 3:31:00 PM,"Stock Option covered-call reports for Apple, 21st Century Fox, Horizon Pharma, Regions Financial Corporation and Verizon Communications",PR Newswire,/news/stocks/stock-option-covered-call-reports-for-apple-21st-century-fox-horizon-pharma-regions-financial-corporation-and-verizon-communications-1001790709
13.0,3/13/2017 1:22:05 PM,"RBC: Fed rate hikes will benefit these banks the most (BAC, CMA, CFG, RF, JPM)",Business Insider,http://markets.businessinsider.com/news/stocks/banks-that-will-gain-the-most-from-rising-rates-2017-3-1001824472
14.0,3/24/2017 2:10:46 PM,"Fed gives Northern Trust 'living will' extension along with four foreign banks (NTRS, AXP, BBT, COF, CMA, DFS, FITB, HBAN, 507948, MTB, RF, STI, PNC, USB, ZION)",Reuters,http://www.businessinsider.com/r-fed-gives-northern-trust-living-will-extension-along-with-four-foreign-banks-2017-3
15.0,3/24/2017 3:50:46 PM,"UPDATE 1-Fed gives four foreign banks 'living will' extension, faults Northern Trust (NTRS, BARC, DBK, AXP, BBT, COF, CMA, DFS, FITB, HBAN, KEY, MTB, RF, STI, PNC, USB, ZION)",Reuters,http://www.businessinsider.com/r-update-1-fed-gives-four-foreign-banks-living-will-extension-faults-northern-trust-2017-3
16.0,3/30/2017 12:05:00 PM,"Research Reports on Banking Equities -- Regions Financial, BB&T, First Horizon National, and F.N.B. Corp.",PR Newswire,/news/stocks/research-reports-on-banking-equities-regions-financial-bb-t-first-horizon-national-and-f-n-b-corp-1001881170
17.0,4/3/2017 3:31:00 PM,"Covered call options reports for ConocoPhillips, Fiat Chrysler Auto, General Electric, Regions Financial Corporation, and Exxon Mobil, include trade ideas that offer returns of 20% or more!",PR Newswire,/news/stocks/covered-call-options-reports-for-conocophillips-fiat-chrysler-auto-general-electric-regions-financial-corporation-and-exxon-mobil-include-trade-ideas-that-offer-returns-of-20-or-more-1001890673
18.0,4/13/2017 7:43:01 AM,"'Trump Trade' winners switch into battered retail, biotech shares (NKE, WFT, WLL, RF, AAPL, TSLA, PLI)",Reuters,http://www.businessinsider.com/r-trump-trade-winners-switch-into-battered-retail-biotech-shares-2017-4
19.0,4/13/2017 1:05:18 PM,"RPT-'Trump Trade' winners switch into battered retail, biotech shares (NKE, WFT, WLL, RF, AAPL, TSLA, PLI)",Reuters,http://www.businessinsider.com/r-rpt-trump-trade-winners-switch-into-battered-retail-biotech-shares-2017-4
20.0,4/18/2017 12:10:06 PM,Regions Financial Corp. Q1 Earnings Climb 11%,RTTNews,/news/stocks/regions-financial-corp-q1-earnings-climb-11-1001926109
21.0,4/18/2017 12:25:05 PM,BRIEF-Regions reports Q1 2017 earnings from continuing operations of $278 mln (RF),Reuters,http://www.businessinsider.com/r-brief-regions-reports-q1-2017-earnings-from-continuing-operations-of-278-mln-2017-4
22.0,4/18/2017 12:25:05 PM,BRIEF-Regions Financial says qtrly provision for loan losses was $70 mln vs $113 mln last year (RF),Reuters,http://www.businessinsider.com/r-brief-regions-financial-says-qtrly-provision-for-loan-losses-was-70-mln-vs-113-mln-last-year-2017-4
23.0,4/27/2017 8:03:08 PM,"Steven Cohen, SAC must again face Fairfax short-selling lawsuit (RJF, RF, FFH)",Reuters,http://www.businessinsider.com/r-steven-cohen-sac-must-again-face-fairfax-short-selling-lawsuit-2017-4
24.0,5/12/2017 12:15:00 PM,"Banking Stocks Under Scanner -- Regions Financial, BB&T, F.N.B. Corp., and First Horizon National",PR Newswire,/news/stocks/banking-stocks-under-scanner-regions-financial-bb-t-f-n-b-corp-and-first-horizon-national-1002007710
25.0,5/15/2017 6:06:07 PM,"EU mergers and takeovers (May 15) (2354, GS, RF, JLL, NK, JNJ, EDF, AREVA, VIV, TIT, GE, BHI, SAF, 600115, 8058, ANA, RTO, QCOM, NXPI, 600626, RHI, MAGG3)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-may-15-2017-5
26.0,5/18/2017 5:10:09 PM,"EU mergers and takeovers (May 18) (JNJ, IJ, EDF, AREVA, VIV, TIT, GE, BHI, SAF, 600115, 8058, ANA, RTO, QCOM, NXPI, 600626, RHI, MAGG3, GS, RF, JLL, NK)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-may-18-2017-5
27.0,5/19/2017 8:36:03 PM,"EU mergers and takeovers (May 19) (SAF, 600115, EDF, 8058, 521, C14, BX, AREVA, VIV, TIT, GE, BHI, ANA, RTO, QCOM, NXPI, 600626, JNJ, IJ, RHI, MAGG3, GS, RF, JLL, NK)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-may-19-2017-5
