Unnamed: 0,datetime,title,source,link
0.0,4/10/2007 8:15:00 PM,Thermo Fisher Scientific Announces Paul Meister to Retire from the Board of Directors,PR Newswire,/news/stocks/thermo-fisher-scientific-announces-paul-meister-to-retire-from-the-board-of-directors-1000352098
1.0,2/7/2008 7:55:00 PM,Smart Genetics Announces Plans to Launch a New Alzheimer's Risk Assessment Service,PR Newswire,/news/stocks/smart-genetics-announces-plans-to-launch-a-new-alzheimers-risk-assessment-service-1000448426
2.0,10/24/2016 11:54:40 AM,Time Out's CEO says its $1.9 million YPlan acquisition is all about selling happiness (TMO),Business Insider,http://www.businessinsider.com/time-out-ceo-julio-bruno-on-yplan-acquisition-2016-10
3.0,10/27/2016 12:56:20 PM,"Thermo Fisher raises 2016 revenue, earnings forecasts (TMO)",Reuters,http://www.businessinsider.com/r-thermo-fisher-raises-2016-revenue-earnings-forecasts-2016-10
4.0,10/27/2016 10:20:20 PM,BRIEF-Bank of America declares quarterly dividend of $0.075/share (BAC),Reuters,http://www.businessinsider.com/r-brief-bank-of-america-declares-quarterly-dividend-of-0075/share-2016-10
5.0,11/10/2016 11:40:25 PM,BRIEF-Thermo Fisher Scientific declares quarterly dividend (TMO),Reuters,http://www.businessinsider.com/r-brief-thermo-fisher-scientific-declares-quarterly-dividend-2016-11
6.0,11/14/2016 12:14:18 PM,Thermo Fisher shares could rise 30 pct over the next 2 years -Barron's (TMO),Reuters,http://www.businessinsider.com/r-thermo-fisher-shares-could-rise-30-pct-over-the-next-2-years--barrons-2016-11
7.0,12/8/2016 5:10:05 PM,"BRIEF-Singulex, Thermo Fisher enter into license, supply agreement (TMO)",Reuters,http://www.businessinsider.com/r-brief-singulex-thermo-fisher-enter-into-license-supply-agreement-2016-12
8.0,1/31/2017 1:16:07 PM,BRIEF-Thermo Fisher Scientific posts Q4 earnings per share $1.59 (TMO),Reuters,http://www.businessinsider.com/r-brief-thermo-fisher-scientific-posts-q4-earnings-per-share-159-2017-1
9.0,1/31/2017 4:16:07 PM,BRIEF-Thermo Fisher Scientific sees FY'17 adj EPS bewteen $9.06 - $9.24 - Conf call (TMO),Reuters,http://www.businessinsider.com/r-brief-thermo-fisher-scientific-sees-fy17-adj-eps-bewteen-906---924---conf-call-2017-1
10.0,2/13/2017 3:23:59 PM,Thermo Fisher Gets U.S. Regulatory Approval For Acquisition Of Finesse ,RTTNews,/news/stocks/thermo-fisher-gets-u-s-regulatory-approval-for-acquisition-of-finesse-1001745112
11.0,2/13/2017 3:54:10 PM,BRIEF-Thermo Fisher Scientific receives early termination of Hart-Scott-Rodino waiting period for acquisition of Finesse Solutions (TMO),Reuters,http://www.businessinsider.com/r-brief-thermo-fisher-scientific-receives-early-termination-of-hart-scott-rodino-waiting-period-for-acquisition-of-finesse-solutions-2017-2
12.0,2/20/2017 4:02:13 PM,BRIEF-Asuragen enters into collaboration deal with Thermo Fisher (TMO),Reuters,http://www.businessinsider.com/r-brief-asuragen-enters-into-collaboration-deal-with-thermo-fisher-2017-2
13.0,2/22/2017 5:02:12 PM,"UPDATE 1-Thermo Fisher did not infringe genetic-testing patent, U.S. top court says (TMO)",Reuters,http://www.businessinsider.com/r-update-1-thermo-fisher-did-not-infringe-genetic-testing-patent-us-top-court-says-2017-2
14.0,2/22/2017 5:48:12 PM,"Thermo Fisher did not infringe genetic-testing patent, U.S. top court says",Reuters,http://www.businessinsider.com/r-thermo-fisher-did-not-infringe-genetic-testing-patent-us-top-court-says-2017-2
15.0,2/22/2017 10:20:14 PM,BRIEF-Achaogen Inc says strategic milestone achieved in TDM Assay development (TMO),Reuters,http://www.businessinsider.com/r-brief-achaogen-inc-says-strategic-milestone-achieved-in-tdm-assay-development-2017-2
