Unnamed: 0,datetime,title,source,link
0.0,4/25/2005 4:12:00 PM,Texas Instruments Highlights Power-over-Ethernet and Wi-Fi Expertise a,PR Newswire,/news/stocks/texas-instruments-highlights-power-over-ethernet-and-wi-fi-expertise-a-1029686634
1.0,6/1/2005 2:22:00 PM,"National Semiconductor Introduces Energy-Efficient, Integrated AC-DC PWM Controller For Power Systems",PR Newswire,/news/stocks/national-semiconductor-introduces-energy-efficient-integrated-ac-dc-pwm-controller-for-power-systems-1028865263
2.0,7/26/2005 3:42:00 PM,"MORNING UPDATE: Mankus-Lavelle Group issues alerts for TXN, ALTR, NFLX, AV, and HGSI",PR Newswire,/news/stocks/morning-update-mankus-lavelle-group-issues-alerts-for-txn-altr-nflx-av-and-hgsi-1027576418
3.0,9/12/2005 5:27:00 PM,A Greener Tomorrow: TI Digital Signal Controller Helps Australia's Monash University Team Win Future Energy Challenge,PR Newswire,/news/stocks/a-greener-tomorrow-ti-digital-signal-controller-helps-australia-s-monash-university-team-win-future-energy-challenge-1027468478
4.0,11/17/2005 2:07:00 PM,National Semiconductor to Announce Results December 8 for Second-Quarter Fiscal 2006,PR Newswire,/news/stocks/national-semiconductor-to-announce-results-december-8-for-second-quarter-fiscal-2006-1029700553
5.0,3/6/2006 3:07:00 PM,TI Authorized Software Providers Offer Expertise for Digital Media Equipment Design across the Globe,PR Newswire,/news/stocks/ti-authorized-software-providers-offer-expertise-for-digital-media-equipment-design-across-the-globe-1027819593
6.0,4/5/2006 3:12:00 PM,Live from Las Vegas: TI's Hollywood(TM) Mobile Digital TV Solution is First DVB-H Single Chip Demonstrated on Modeo Network,PR Newswire,/news/stocks/live-from-las-vegas-ti-s-hollywood-tm-mobile-digital-tv-solution-is-first-dvb-h-single-chip-demonstrated-on-modeo-network-1029286054
7.0,5/1/2006 5:27:00 PM,Texas Instruments and 'NUMB3RS' Unveil Winners of Texas Instruments 'Use 'NUMB3RS' Every Day for a Hollywood Get-Away' Sweepstakes,PR Newswire,/news/stocks/texas-instruments-and-numb3rs-unveil-winners-of-texas-instruments-use-numb3rs-every-day-for-a-hollywood-get-away-sweepstakes-740445
8.0,9/8/2006 3:02:00 PM,"Chicago High School Math Teacher Makes Hollywood Debut, Films Walk-On Role on CBS Show 'NUMB3RS'",PR Newswire,/news/stocks/chicago-high-school-math-teacher-makes-hollywood-debut-films-walk-on-role-on-cbs-show-numb3rs-1000085801
9.0,10/16/2006 3:07:00 PM,TI and Mistral Software Develop Virtual CD Changer Reference Design for Next- Generation A/V Products,PR Newswire,/news/stocks/ti-and-mistral-software-develop-virtual-cd-changer-reference-design-for-next-generation-a-v-products-1027765434
10.0,12/7/2006 2:07:00 PM,DLP Cinema(R) Enables Midwest Premiere of Charlotte's Web in Full Digital Projection,PR Newswire,/news/stocks/dlp-cinema-r-enables-midwest-premiere-of-charlotte-s-web-in-full-digital-projection-1027430655
11.0,1/19/2007 2:02:00 PM,Texas Instruments Wireless Manager Gilles Delfassy to Retire,PR Newswire,/news/stocks/texas-instruments-wireless-manager-gilles-delfassy-to-retire-1022312193
12.0,4/25/2007 12:00:00 PM,"National Semiconductor Unveils the Industry's Lowest Power, High-Speed Comparator Family With Sub-Nanosecond Propagation Delay",PR Newswire,/news/stocks/national-semiconductor-unveils-the-industry-s-lowest-power-high-speed-comparator-family-with-sub-nanosecond-propagation-delay-1028716389
13.0,1/10/2008 4:00:00 PM,"TI's Sameer Pendharkar Accepts Prestigious Award from The Academy of Medicine, Engineering and Science of Texas",PR Newswire,/news/stocks/ti-s-sameer-pendharkar-accepts-prestigious-award-from-the-academy-of-medicine-engineering-and-science-of-texas-1028848302
14.0,4/29/2008 1:00:00 PM,Routeware Launches RFID Verification Solution for the Waste Industry,PR Newswire,/news/stocks/routeware-launches-rfid-verification-solution-for-the-waste-industry-1030582412
15.0,6/3/2008 12:00:00 PM,Hundreds of innovative ideas submitted in TI's Vision for Voice contest bring new VoIP technology ideas to light,PR Newswire,/news/stocks/hundreds-of-innovative-ideas-submitted-in-tis-vision-for-voice-contest-bring-new-voip-technology-ideas-to-light-1000976191
16.0,1/8/2016 9:29:07 PM,"Texas Instruments, Analog Devices drop potential Maxim bid: Bloomberg",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/BYGE1pQazBo/story01.htm
17.0,10/27/2016 1:08:25 PM,"10 things you need to know before the opening bell (SPY, SPX, QQQ, DIA, TSLA, BWLD, DB, TXN)",Business Insider,http://www.businessinsider.com/opening-bell-october-27-2016-2016-10
18.0,3/1/2017 2:00:00 PM,TI empowers design engineers at APEC 2017,PR Newswire,/news/stocks/ti-empowers-design-engineers-at-apec-2017-1001794553
19.0,3/8/2017 1:00:00 PM,TI introduces industry's first 4-20mA DAC with integrated buck/boost converter that operates off of a single-supply,PR Newswire,/news/stocks/ti-introduces-industry-s-first-4-20ma-dac-with-integrated-buck-boost-converter-that-operates-off-of-a-single-supply-1001815162
20.0,3/15/2017 1:00:00 PM,Accelerate product expansion and maximize software investment with the new SimpleLink™ MCU platform,PR Newswire,/news/stocks/accelerate-product-expansion-and-maximize-software-investment-with-the-new-simplelink-mcu-platform-1001837288
21.0,3/20/2017 1:00:00 PM,Industry's first multiphase bidirectional current controller from TI,PR Newswire,/news/stocks/industry-s-first-multiphase-bidirectional-current-controller-from-ti-1001849721
22.0,3/22/2017 1:00:00 PM,"Reinforced isolator with integrated power offers industry's highest efficiency, lowest emissions",PR Newswire,/news/stocks/reinforced-isolator-with-integrated-power-offers-industry-s-highest-efficiency-lowest-emissions-1001857613
23.0,3/27/2017 4:32:00 PM,TI gives engineers the power to innovate industrial systems,PR Newswire,/news/stocks/ti-gives-engineers-the-power-to-innovate-industrial-systems-1001870543
24.0,3/30/2017 5:00:00 PM,Texas Instruments to webcast its annual meeting of stockholders,PR Newswire,/news/stocks/texas-instruments-to-webcast-its-annual-meeting-of-stockholders-1001882767
25.0,4/3/2017 12:30:00 PM,"Semiconductor Stocks Under Scanner -- Texas Instruments, Microchip Technology, Broadcom, and NXP Semiconductors",PR Newswire,/news/stocks/semiconductor-stocks-under-scanner-texas-instruments-microchip-technology-broadcom-and-nxp-semiconductors-1001889591
