Unnamed: 0,datetime,title,source,link
0.0,10/25/2016 10:12:21 PM,BRIEF-W.R. Berkley Q3 earnings per share $1.72 (WRB),Reuters,http://www.businessinsider.com/r-brief-wr-berkley-q3-earnings-per-share-172-2016-10
1.0,11/4/2016 9:20:18 PM,BRIEF-W. R. Berkley Corporation declares special dividend of 50 cents (WRB),Reuters,http://www.businessinsider.com/r-brief-w-r-berkley-corporation-declares-special-dividend-of-50-cents-2016-11
2.0,12/8/2016 11:36:05 PM,BRIEF-W. R. Berkley Corporation names Miklos Kallo president of Berkley Regional Specialty (WRB),Reuters,http://www.businessinsider.com/r-brief-w-r-berkley-corporation-names-miklos-kallo-president-of-berkley-regional-specialty-2016-12
3.0,1/31/2017 10:24:07 PM,BRIEF-W. R. Berkley Q4 earnings per share $1.20 (WRB),Reuters,http://www.businessinsider.com/r-brief-w-r-berkley-q4-earnings-per-share-120-2017-1
4.0,4/24/2017 10:23:08 PM,BRIEF-W. R. Berkley reports Q1 earnings per share $0.96 (WRB),Reuters,http://www.businessinsider.com/r-brief-w-r-berkley-reports-q1-earnings-per-share-096-2017-4
5.0,6/7/2017 3:42:05 PM,BRIEF-W. R. Berkley announces formantion of two independent operating units (WRB),Reuters,http://www.businessinsider.com/r-brief-w-r-berkley-announces-formantion-of-two-independent-operating-units-2017-6
6.0,6/12/2017 9:46:04 PM,BRIEF-W. R. Berkley forms Berkley International Fianzas México and Berkley International Seguros México (WRB),Reuters,http://www.businessinsider.com/r-brief-w-r-berkley-forms-berkley-international-fianzas-mxico-and-berkley-international-seguros-mxico-2017-6
7.0,7/4/2017 11:38:04 AM,Norway's sovereign wealth fund buys stake in Washington property for $191 mln (WRB),Reuters,http://www.businessinsider.com/r-norways-sovereign-wealth-fund-buys-stake-in-washington-property-for-191-mln-2017-7
8.0,7/6/2017 3:32:08 PM,BRIEF-W. R. Berkley Corporation announces sale of real estate investment (WRB),Reuters,http://www.businessinsider.com/r-brief-w-r-berkley-corporation-announces-sale-of-real-estate-investment-2017-7
9.0,7/25/2017 10:14:09 PM,BRIEF-W. R. Berkley reports Q2 earnings per share $0.85 (WRB),Reuters,http://www.businessinsider.com/r-brief-w-r-berkley-reports-q2-earnings-per-share-085-2017-7
