,datetime,title,source,link,sentiment_class,sentiment_score
0,10/9/2007 1:00:00 PM,"Banpil Announces Compatible Interconnect Library for Agilent's Advanced Design System EDA Software, Becomes Agilent Component Vendor Partner",PR Newswire,/news/stocks/banpil-announces-compatible-interconnect-library-for-agilent-s-advanced-design-system-eda-software-becomes-agilent-component-vendor-partner-1029204717,negative,0.7167817950248718
1,9/29/2016 1:20:26 PM,"BRIEF-Agilent Technologies, Burning Rock sign agreement on molecular diagnostics (A)",Reuters,/news/stocks/brief-agilent-technologies-burning-rock-sign-agreement-on-molecular-diagnostics-a-1001425734,negative,0.8277997374534607
2,11/15/2016 11:36:21 PM,BRIEF-Agilent Technologies reports fourth-quarter 2016 results (A),Reuters,http://www.businessinsider.com/r-brief-agilent-technologies-reports-fourth-quarter-2016-results-2016-11,positive,0.8575952053070068
3,11/18/2016 5:08:18 AM,BRIEF-Agilent Technologies increases cash dividend to 13.2 cents per share (A),Reuters,http://www.businessinsider.com/r-brief-agilent-technologies-increases-cash-dividend-to-132-cents-per-share-2016-11,negative,0.8854237198829651
4,2/2/2017 10:46:07 PM,BRIEF-Agilent Technologies' CEO Michael Mcmullen 2016 total compensation was $8.9 mln vs. $7.2 mln in 2015 - SEC Filing (A),Reuters,http://www.businessinsider.com/r-brief-agilent-technologies-ceo-michael-mcmullen-2016-total-compensation-was-89-mln-vs-72-mln-in-2015---sec-filing-2017-2,neutral,0.8873374462127686
5,2/14/2017 10:19:15 PM,Agilent Technologies Reveals 12% Increase In Q1 Earnings,RTTNews,/news/stocks/agilent-technologies-reveals-12-increase-in-q1-earnings-1001750570,negative,0.9476850032806396
6,3/1/2017 3:25:00 PM,FinancialBuzz.com Innovation in the Sample Preparation Market,PR Newswire,/news/stocks/financialbuzz-com-innovation-in-the-sample-preparation-market-1001795174,positive,0.8679515719413757
7,3/15/2017 9:26:42 PM,BRIEF-Agilent Technologies announces board changes (A),Reuters,http://www.businessinsider.com/r-brief-agilent-technologies-announces-board-changes-2017-3,positive,0.9236733317375183
8,3/16/2017 11:40:47 AM,"European shares rise to 15-month high as reflation rally resumes (AAL, VED, ANTO, FRES, BLT, RRS, SAN, LHA, G, RNO, UKX, BHP, A)",Reuters,http://www.businessinsider.com/r-european-shares-rise-to-15-month-high-as-reflation-rally-resumes-2017-3,negative,0.83918297290802
9,3/16/2017 7:08:45 PM,"European shares end at 15-month high after Fed, Dutch vote (AAL, VED, ANTO, FRES, BLT, RRS, BPE, SAN, LHA, G, RNO, UKX, BHP, A)",Reuters,http://www.businessinsider.com/r-european-shares-end-at-15-month-high-after-fed-dutch-vote-2017-3,positive,0.8089094161987305
10,3/21/2017 4:28:47 PM,BRIEF-Agilent Technologies introduces a new target enrichment solution for next-generation DNA sequencing (A),Reuters,http://www.businessinsider.com/r-brief-agilent-technologies-introduces-a-new-target-enrichment-solution-for-next-generation-dna-sequencing-2017-3,positive,0.5472888946533203
11,4/17/2017 12:15:00 PM,"Research Reports Initiation on Medical Laboratories Stocks -- Agilent, Thermo Fisher, Quintiles, and PAREXEL",PR Newswire,/news/stocks/research-reports-initiation-on-medical-laboratories-stocks-agilent-thermo-fisher-quintiles-and-parexel-1001923712,positive,0.92946857213974
