,datetime,title,source,link,sentiment_class,sentiment_score
0,10/25/2016 11:12:18 AM,BRIEF-RIB and Autodesk achieve a breakthrough partnership (ADSK),Reuters,http://www.businessinsider.com/r-brief-rib-and-autodesk-achieve-a-breakthrough-partnership-2016-10,negative,0.9444606900215149
1,11/29/2016 11:24:46 PM,BRIEF-Autodesk reports Q3 GAAP loss per share $0.64 (ADSK),Reuters,http://www.businessinsider.com/r-brief-autodesk-reports-q3-gaap-loss-per-share-064-2016-11,neutral,0.9698716402053833
2,1/19/2017 11:36:04 PM,BRIEF-Autodesk says discussing amendments to financial covenants in credit agreement with lenders (ADSK),Reuters,http://www.businessinsider.com/r-brief-autodesk-says-discussing-amendments-to-financial-covenants-in-credit-agreement-with-lenders-2017-1,positive,0.8732748031616211
3,2/7/2017 3:14:31 PM,Autodesk CEO Carl Bass To Resign; Reiterates Non-GAAP Business Outlook ,RTTNews,/news/stocks/autodesk-ceo-carl-bass-to-resign-reiterates-non-gaap-business-outlook-1001729521,neutral,0.8570032119750977
4,2/7/2017 3:26:08 PM,"BRIEF-Autodesk says CEO to step down, announces board changes (ADSK)",Reuters,http://www.businessinsider.com/r-brief-autodesk-says-ceo-to-step-down-announces-board-changes-2017-2,positive,0.6939386129379272
5,2/7/2017 4:32:08 PM,"Autodesk CEO, two investor-nominated directors to step down (ADSK)",Reuters,http://www.businessinsider.com/r-autodesk-ceo-two-investor-nominated-directors-to-step-down-2017-2,positive,0.6053265333175659
6,2/7/2017 5:04:08 PM,"UPDATE 1-Autodesk to name new CEO, extend deal with activist (ADSK)",Reuters,http://www.businessinsider.com/r-update-1-autodesk-to-name-new-ceo-extend-deal-with-activist-2017-2,positive,0.7330808043479919
7,2/7/2017 6:40:11 PM,BRIEF-Sachem Head Capital says agreed to certain standstill restrictions with Autodesk (ADSK),Reuters,http://www.businessinsider.com/r-brief-sachem-head-capital-says-agreed-to-certain-standstill-restrictions-with-autodesk-2017-2,negative,0.8351324200630188
8,2/7/2017 11:15:50 PM,"A day after calling Trump 'somewhere between a dictator and a small business owner,' the CEO of an $18 billion company steps down (ADSK)",Business Insider,http://www.businessinsider.com/autodesk-ceo-carl-bass-steps-down-trump-2017-2,neutral,0.8278028964996338
9,2/14/2017 10:00:17 PM,"Sachem Head's Ferguson to exit Autodesk board, fund gains -letter (AGN, VRX, PFE, ADSK)",Reuters,http://www.businessinsider.com/r-sachem-heads-ferguson-to-exit-autodesk-board-fund-gains--letter-2017-2,positive,0.9403475522994995
10,2/23/2017 3:00:00 PM,Autodesk Wins are Twofold this Awards Season,PR Newswire,/news/stocks/autodesk-wins-are-twofold-this-awards-season-1001777455,positive,0.8761982321739197
11,3/2/2017 10:01:00 PM,Autodesk Reports Strong Fourth Quarter Results,PR Newswire,/news/stocks/autodesk-reports-strong-fourth-quarter-results-1001800866,negative,0.9489256143569946
12,3/2/2017 10:07:25 PM,EARNINGS SUMMARY: Details of Autodesk  Inc. Q4 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-autodesk-inc-q4-earnings-report-1001800884,positive,0.9229956269264221
13,3/2/2017 11:11:42 PM,Autodesk Issues FY18 Outlook - Quick Facts ,RTTNews,/news/stocks/autodesk-issues-fy18-outlook-quick-facts-1001801115,positive,0.9201703667640686
14,3/21/2017 12:00:00 PM,"Technical and System Software Stocks Under Review -- Infosys, Autodesk, Mentor, and Vmware",PR Newswire,/news/stocks/technical-and-system-software-stocks-under-review-infosys-autodesk-mentor-and-vmware-1001853239,positive,0.7758756875991821
15,4/28/2017 11:01:10 PM,"BRIEF-Autodesk says co, Citibank, Bank of America entered into amendment to credit agreement (ADSK)",Reuters,http://www.businessinsider.com/r-brief-autodesk-says-co-citibank-bank-of-america-entered-into-amendment-to-credit-agreement-2017-4,negative,0.6551578044891357
16,5/9/2017 12:05:00 PM,"Research Reports on Technical & System Software Equities -- Infosys, Autodesk, and Vmware",PR Newswire,/news/stocks/research-reports-on-technical-system-software-equities-infosys-autodesk-and-vmware-1001993338,positive,0.944905161857605
17,5/18/2017 1:34:03 PM,BRIEF-Autodesk files for potential debt shelf (ADSK),Reuters,http://www.businessinsider.com/r-brief-autodesk-files-for-potential-debt-shelf-2017-5,positive,0.8694813847541809
18,5/18/2017 10:10:35 PM,EARNINGS SUMMARY: Details of Autodesk  Inc. Q1 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-autodesk-inc-q1-earnings-report-1002026977,positive,0.9218761920928955
19,5/19/2017 1:44:10 PM,"US STOCKS-Futures rise as Trump slump eases (DE, ADSK, LL)",Reuters,http://www.businessinsider.com/r-us-stocks-futures-rise-as-trump-slump-eases-2017-5,negative,0.862041175365448
20,5/19/2017 3:06:02 PM,"US STOCKS-Wall St set to open higher as Trump slump eases (DE, CPB, WMT, ADSK)",Reuters,http://www.businessinsider.com/r-us-stocks-wall-st-set-to-open-higher-as-trump-slump-eases-2017-5,negative,0.9263299703598022
21,5/19/2017 5:28:05 PM,"US STOCKS-Wall St gains as Trump rout eases (AAPL, DE, CAT, CPB, WMT, ADSK)",Reuters,http://www.businessinsider.com/r-us-stocks-wall-st-gains-as-trump-rout-eases-2017-5,negative,0.8390306234359741
22,5/19/2017 6:16:06 PM,"US STOCKS-Strong earnings lift investor spirits after Trump slump (ADSK, DE, CAT, WMT)",Reuters,http://www.businessinsider.com/r-us-stocks-strong-earnings-lift-investor-spirits-after-trump-slump-2017-5,negative,0.9382388591766357
23,5/19/2017 7:54:06 PM,"US STOCKS-Strong earnings lift investor spirits after Trump slump (ADSK, DE, CAT, WMT)",Reuters,http://www.businessinsider.com/r-us-stocks-strong-earnings-lift-investor-spirits-after-trump-slump-2017-5,negative,0.9382388591766357
24,5/19/2017 9:48:02 PM,"US STOCKS-Strong earnings lift investors' spirits after Trump slump (ADSK, DE, CAT, GE, WMT)",Reuters,http://www.businessinsider.com/r-us-stocks-strong-earnings-lift-investors-spirits-after-trump-slump-2017-5,negative,0.941105842590332
