,datetime,title,source,link,sentiment_class,sentiment_score
0,7/24/2013 11:13:54 PM,Akamai earnings beat estimates as more people watch video online,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/V0tCdzcg318/story01.htm,negative,0.9467288255691528
1,9/20/2013 8:53:52 PM,SEC charges former Akamai executive whose tips went to Rajaratnam,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/GzuEcv8DGX0/story01.htm,neutral,0.7573850750923157
2,9/21/2013 12:24:15 AM,US SEC charges former Akamai exec whose tips went to Rajaratnam,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/GHbgJIBC5Eo/story01.htm,neutral,0.6801557540893555
3,4/26/2016 11:13:42 PM,Akamai revenue rises on demand for cloud security,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/F4m_Wkv_5YI/akamai-results-idINKCN0XN2LT,negative,0.9249703884124756
4,6/7/2016 8:48:39 PM,"Akamai, Nortek forfeit profits to avoid charges for bribes in China: SEC",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/yW-9F7Y4RBM/us-sec-corruption-idUSKCN0YT27F,positive,0.7052380442619324
5,9/28/2016 3:10:26 PM,BRIEF-Akamai acquires data processing provider Concord Systems (AKAM),Reuters,/news/stocks/brief-akamai-acquires-data-processing-provider-concord-systems-akam-1001423494,positive,0.928683340549469
6,10/4/2016 2:40:22 PM,BRIEF-Akamai acquires Soha Systems (AKAM),Reuters,/news/stocks/brief-akamai-acquires-soha-systems-akam-1001435205,positive,0.9430614709854126
7,10/25/2016 10:08:35 PM,BRIEF-Akamai Q3 non-GAAP earnings per share $0.68 (AKAM),Reuters,http://www.businessinsider.com/r-brief-akamai-q3-non-gaap-earnings-per-share-068-2016-10,positive,0.7458638548851013
8,10/25/2016 10:22:29 PM,Akamai revenue rises nearly 6 pct on demand for cloud security services (AKAM),Reuters,http://www.businessinsider.com/r-akamai-revenue-rises-nearly-6-pct-on-demand-for-cloud-security-services-2016-10,negative,0.9479033350944519
9,12/19/2016 1:00:07 PM,BRIEF-Akamai buys Cyberfend in an all cash transaction (AKAM),Reuters,http://www.businessinsider.com/r-brief-akamai-buys-cyberfend-in-an-all-cash-transaction-2016-12,positive,0.9135720729827881
10,2/7/2017 10:09:04 PM,EARNINGS SUMMARY: Details of Akamai Technologies Inc Q4 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-akamai-technologies-inc-q4-earnings-report-1001730811,positive,0.9245277047157288
11,2/28/2017 12:30:00 PM,Akamai Adds Intelligent Performance Automation and Mobile App Optimization Capabilities to Ion,PR Newswire,/news/stocks/akamai-adds-intelligent-performance-automation-and-mobile-app-optimization-capabilities-to-ion-1001789400,positive,0.6220905780792236
12,3/8/2017 12:30:00 PM,"Global Average Connection Speed Increases 26 Percent Year over Year, According to Akamai's 'Fourth Quarter, 2016 State of the Internet Report'",PR Newswire,/news/stocks/global-average-connection-speed-increases-26-percent-year-over-year-according-to-akamai-s-fourth-quarter-2016-state-of-the-internet-report-1001815067,negative,0.9475139379501343
13,3/10/2017 10:10:22 PM,U.S. extends leniency program for companies that disclose bribery,Reuters,http://www.businessinsider.com/r-us-extends-leniency-program-for-companies-that-disclose-bribery-2017-3,positive,0.7370864152908325
14,3/13/2017 4:11:00 PM,Akamai Rescheduling 2017 Investor Summit For March 30,PR Newswire,/news/stocks/akamai-rescheduling-2017-investor-summit-for-march-30-1001829901,positive,0.685985267162323
15,3/15/2017 2:38:26 AM,"Washington Post software deal a double win for Bezos (AMZN, AKAM)",Reuters,http://www.businessinsider.com/r-washington-post-software-deal-a-double-win-for-bezos-2017-3,negative,0.5215242505073547
16,3/21/2017 11:30:00 AM,Akamai Aims to Improve OTT Experiences with Introduction of Media Acceleration Capabilities,PR Newswire,/news/stocks/akamai-aims-to-improve-ott-experiences-with-introduction-of-media-acceleration-capabilities-1001853129,negative,0.8942850232124329
17,3/21/2017 5:12:49 PM,"UPDATE 1-Google and sister company to offer cyber security to election groups (AKAM, VRSN, FFIV, AMZN, RDWR, NSR)",Reuters,http://www.businessinsider.com/r-update-1-google-and-sister-company-to-offer-cyber-security-to-election-groups-2017-3,negative,0.6320170164108276
18,3/29/2017 10:01:00 PM,Akamai Agrees To Acquire SOASTA,PR Newswire,/news/stocks/akamai-agrees-to-acquire-soasta-1001879454,positive,0.8609846830368042
19,3/29/2017 10:14:47 PM,BRIEF-Akamai agrees to acquire SOASTA (AKAM),Reuters,http://www.businessinsider.com/r-brief-akamai-agrees-to-acquire-soasta-2017-3,positive,0.6685238480567932
20,3/31/2017 12:40:00 PM,"Research Reports Initiation on Internet Information Providers Stocks -- Yandex, Baidu, Akamai Technologies, and Zillow",PR Newswire,/news/stocks/research-reports-initiation-on-internet-information-providers-stocks-yandex-baidu-akamai-technologies-and-zillow-1001885472,positive,0.9451550245285034
21,4/3/2017 3:44:49 PM,BRIEF-Akamai CEO F. Thomson Leighton's 2016 total compensation was $6.3 mln (AKAM),Reuters,http://www.businessinsider.com/r-brief-akamai-ceo-f-thomson-leightons-2016-total-compensation-was-63-mln-2017-4,positive,0.8289791941642761
22,4/7/2017 12:30:00 PM,Akamai Completes Acquisition Of SOASTA,PR Newswire,/news/stocks/akamai-completes-acquisition-of-soasta-1001906111,positive,0.8504769802093506
23,4/12/2017 12:30:00 PM,Akamai Security Intelligence Response Team Identifies New Reflection Attack Method,PR Newswire,/news/stocks/akamai-security-intelligence-response-team-identifies-new-reflection-attack-method-1001916862,positive,0.8550993800163269
24,4/12/2017 1:30:00 PM,"Akamai To Hold First Quarter 2017 Investor Conference Call On Tuesday, May 2nd At 4:30 pm ET",PR Newswire,/news/stocks/akamai-to-hold-first-quarter-2017-investor-conference-call-on-tuesday-may-2nd-at-4-30-pm-et-1001917102,positive,0.946941614151001
25,4/19/2017 12:30:00 PM,Akamai Online Retail Performance Report: Milliseconds Are Critical,PR Newswire,/news/stocks/akamai-online-retail-performance-report-milliseconds-are-critical-1001929993,positive,0.6544517874717712
26,4/20/2017 12:30:00 PM,Akamai to Focus on 'Audience of You' at 2017 NAB Show,PR Newswire,/news/stocks/akamai-to-focus-on-audience-of-you-at-2017-nab-show-1001933980,positive,0.9290810823440552
27,4/21/2017 6:01:04 PM,"German industry warns against underinvestment in fibre telecom links (DTE, VOD, LBTYA, UTDI, BT., AKAM, CSCO)",Reuters,http://www.businessinsider.com/r-german-industry-warns-against-underinvestment-in-fibre-telecom-links-2017-4,positive,0.453294575214386
28,4/24/2017 9:01:06 AM,"RPT-German industry warns against underinvestment in fibre telecom links (DTE, VOD, LBTYA, UTDI, BT., AKAM, CSCO)",Reuters,http://www.businessinsider.com/r-rpt-german-industry-warns-against-underinvestment-in-fibre-telecom-links-2017-4,neutral,0.5117024779319763
29,4/25/2017 2:56:00 PM,Akamai Bridges Gap Between Live Streaming and Broadcast Television,PR Newswire,/news/stocks/akamai-bridges-gap-between-live-streaming-and-broadcast-television-1001946557,positive,0.7431802153587341
30,5/2/2017 10:01:00 PM,Akamai Reports First Quarter 2017 Financial Results,PR Newswire,/news/stocks/akamai-reports-first-quarter-2017-financial-results-1001971294,positive,0.8112054467201233
31,5/2/2017 10:16:09 PM,Akamai posts 7.3 percent rise in quarterly revenue (AKAM),Reuters,http://www.businessinsider.com/r-akamai-posts-73-percent-rise-in-quarterly-revenue-2017-5,negative,0.9543716311454773
32,5/2/2017 10:36:05 PM,BRIEF-Akamai reports Q1 revenue $609 million (AKAM),Reuters,http://www.businessinsider.com/r-brief-akamai-reports-q1-revenue-609-million-2017-5,positive,0.9227356314659119
