datetime,title,source,link,sentiment_class,sentiment_score
9/1/2006 12:02:00 AM,Albemarle Divests Thann Facility to International Chemical Investors,PR Newswire,/news/stocks/albemarle-divests-thann-facility-to-international-chemical-investors-1029891928,neutral,0.9347932934761047
11/30/2006 10:12:00 PM,Albemarle Raises Price of FCC Catalysts,PR Newswire,/news/stocks/albemarle-raises-price-of-fcc-catalysts-1020272588,positive,0.5097781419754028
9/24/2007 2:42:00 PM,Albemarle to Launch New Generation of Fine Precipitated ATH,PR Newswire,/news/stocks/albemarle-to-launch-new-generation-of-fine-precipitated-ath-1028107976,neutral,0.49613770842552185
3/31/2008 10:24:00 PM,"Albemarle Promotes Niomi Krzystowczyk to Division Vice President, Health, Safety and Environment",PR Newswire,/news/stocks/albemarle-promotes-niomi-krzystowczyk-to-division-vice-president-health-safety-and-environment-375860,neutral,0.9005176424980164
10/5/2016 2:10:26 PM,"INSIGHT-Electric car revolution brightens outlook for a medley of metals (ORE, 000831, 600549, ALB, SQM, S)",Reuters,/news/stocks/insight-electric-car-revolution-brightens-outlook-for-a-medley-of-metals-ore-000831-600549-alb-sqm-s-1001437221,positive,0.8534332513809204
10/5/2016 2:20:23 PM,"RPT-INSIGHT-Electric car revolution brightens outlook for a medley of metals (ORE, 000831, 600549, ALB, SQM, S)",Reuters,/news/stocks/rpt-insight-electric-car-revolution-brightens-outlook-for-a-medley-of-metals-ore-000831-600549-alb-sqm-s-1001437547,positive,0.862798273563385
11/8/2016 9:24:18 AM,BRIEF-Albemarle posts Q3 adj. earnings $0.91/shr from continuing operations (ALB),Reuters,http://www.businessinsider.com/r-brief-albemarle-posts-q3-adj-earnings-091/shr-from-continuing-operations-2016-11,positive,0.6471750140190125
11/8/2016 12:04:20 PM,BRIEF-Albemarle board of directors elects Luke Kissam as chairman (ALB),Reuters,http://www.businessinsider.com/r-brief-albemarle-board-of-directors-elects-luke-kissam-as-chairman-2016-11,neutral,0.9379467964172363
11/30/2016 7:54:06 PM,"BRIEF-Albemarle - Tianqi to acquire 20% indirect ownership interest in Rockwood Lithium GmbH, units (ALB)",Reuters,http://www.businessinsider.com/r-brief-albemarle---tianqi-to-acquire-20-indirect-ownership-interest-in-rockwood-lithium-gmbh-units-2016-11,neutral,0.909050703048706
12/3/2016 3:16:03 PM,BRIEF-Albemarle price increases for select brominated products (ALB),Reuters,http://www.businessinsider.com/r-brief-albemarle-price-increases-for-select-brominated-products-2016-12,positive,0.7470746040344238
1/11/2017 3:00:03 AM,BRIEF-Albemarle announces pricing of tender offers (ALB),Reuters,http://www.businessinsider.com/r-brief-albemarle-announces-pricing-of-tender-offers-2017-1,neutral,0.9212345480918884
1/19/2017 3:16:04 PM,"BRIEF-Albemarle says as of Jan. 18, total of EUR 533.3 mln aggregate principal amount of 2021 notes had been validly tendered (ALB)",Reuters,http://www.businessinsider.com/r-brief-albemarle-says-as-of-jan-18-total-of-eur-5333-mln-aggregate-principal-amount-of-2021-notes-had-been-validly-tendered-2017-1,neutral,0.9336886405944824
2/14/2017 4:28:12 PM,Electric cars could spike cobalt prices to their highest levels since the financial crisis,Reuters,http://www.businessinsider.com/r-electric-car-boom-spurs-investor-scramble-for-cobalt-2017-2,positive,0.6275227069854736
2/23/2017 12:04:12 AM,"BRIEF-Albemarle and Tianqi terminate option for indirect minority interest in Albemarle subsidiary (002466, ALB)",Reuters,http://www.businessinsider.com/r-brief-albemarle-and-tianqi-terminate-option-for-indirect-minority-interest-in-albemarle-subsidiary-2017-2,neutral,0.9257187843322754
2/24/2017 12:55:00 AM,Albemarle raises dividend for 23rd consecutive year,PR Newswire,/news/stocks/albemarle-raises-dividend-for-23rd-consecutive-year-1001779477,positive,0.7341354489326477
2/24/2017 1:54:12 AM,BRIEF-Albemarle raises dividend for 23rd consecutive year (ALB),Reuters,http://www.businessinsider.com/r-brief-albemarle-raises-dividend-for-23rd-consecutive-year-2017-2,positive,0.8115965723991394
2/27/2017 6:56:13 PM,"Albemarle's Chilean lithium plant partially closed after storm (ALB, SQM-)",Reuters,http://www.businessinsider.com/r-albemarles-chilean-lithium-plant-partially-closed-after-storm-2017-2,negative,0.9106734991073608
2/27/2017 11:05:00 PM,Albemarle reports strong 2016 earnings finish and record cash flow from operations,PR Newswire,/news/stocks/albemarle-reports-strong-2016-earnings-finish-and-record-cash-flow-from-operations-1001787699,positive,0.9535395503044128
2/27/2017 11:36:16 PM,BRIEF-Albemarle Q4 earnings per share $5.30 (ALB),Reuters,http://www.businessinsider.com/r-brief-albemarle-q4-earnings-per-share-530-2017-2,neutral,0.7873592972755432
