,datetime,title,source,link,sentiment_class,sentiment_score
0,6/13/2013 11:14:32 PM,"Exclusive: TPG, J.C. Flowers, Resolution bid for Allstate unit - sources",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/HatcYdFtmb0/story01.htm,positive,0.9398537278175354
1,10/30/2013 9:20:12 PM,Allstate profit falls 57 percent after life insurance sale,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/pJ-DL2Mb0u8/story01.htm,neutral,0.9670148491859436
2,4/9/2014 2:47:43 AM,"Allstate, BofA agree to end toxic mortgage lawsuit",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/6JYu81mOb1E/story01.htm,negative,0.7674800753593445
3,10/29/2014 10:24:10 PM,Allstate profit beats estimates as premiums rise,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/v4TrFfFEIu4/story01.htm,negative,0.9381881952285767
4,9/27/2016 12:10:21 PM,BRIEF-Allstate enters into a new accelerated share repurchase agreement (ALL),Reuters,/news/stocks/brief-allstate-enters-into-a-new-accelerated-share-repurchase-agreement-all-1001419608,negative,0.5804749131202698
5,10/3/2016 3:00:22 PM,"BRIEF-IGT reaches cross-licensing agreement with Aristocrat (ALL, IGT)",Reuters,/news/stocks/brief-igt-reaches-cross-licensing-agreement-with-aristocrat-all-igt-1001432902,negative,0.9253984093666077
6,10/20/2016 6:12:22 PM,BRIEF-Allstate continues use of drones after hurricane Matthew (ALL),Reuters,http://www.businessinsider.com/r-brief-allstate-continues-use-of-drones-after-hurricane-matthew-2016-10,positive,0.9046064019203186
7,10/24/2016 11:54:20 AM,"In insurance Big Data could lower rates for optimistic tweeters (MFC, DSY, G, ALL)",Reuters,http://www.businessinsider.com/r-in-insurance-big-data-could-lower-rates-for-optimistic-tweeters-2016-10,neutral,0.7662942409515381
8,11/17/2016 3:30:19 PM,BRIEF-Allstate estimated catastrophe losses for month of October of $199 mln (ALL),Reuters,http://www.businessinsider.com/r-brief-allstate-estimated-catastrophe-losses-for-month-of-october-of-199-mln-2016-11,neutral,0.804145336151123
9,11/29/2016 12:20:07 AM,Insurer Allstate to buy SquareTrade for $1.4 bln (ALL),Reuters,http://www.businessinsider.com/r-insurer-allstate-to-buy-squaretrade-for-14-bln-2016-11,positive,0.9386007189750671
10,11/29/2016 12:26:03 AM,BRIEF-Allstate says to buy SquareTrade Holding for 1.4 bln (ALL),Reuters,http://www.businessinsider.com/r-brief-allstate-says-to-buy-squaretrade-holding-for-14-bln-2016-11,positive,0.926027774810791
11,11/29/2016 1:10:04 AM,BRIEF-Allstate expands consumer protection offerings with acquisition of rapidly growing SquareTrade (ALL),Reuters,http://www.businessinsider.com/r-brief-allstate-expands-consumer-protection-offerings-with-acquisition-of-rapidly-growing-squaretrade-2016-11,negative,0.8965136408805847
12,11/29/2016 8:12:18 PM,Allstate is buying a fintech company for $1.4 billion (ALL),Reuters,http://www.businessinsider.com/r-update-1-insurer-allstate-to-buy-squaretrade-for-14-bln-2016-11,positive,0.9314247965812683
13,12/6/2016 10:56:03 PM,BRIEF-Allstate names John Dugenske as chief investment officer (ALL),Reuters,http://www.businessinsider.com/r-brief-allstate-names-john-dugenske-as-chief-investment-officer-2016-12,positive,0.944769561290741
14,1/3/2017 9:40:06 AM,"BRIEF-Allstate seeking 1,105 new sales professionals in 2017 (ALL)",Reuters,http://www.businessinsider.com/r-brief-allstate-seeking-1105-new-sales-professionals-in-2017-2017-1,positive,0.9097649455070496
15,2/1/2017 1:48:07 PM,BRIEF-Allstate Foundation awards $1.2 mln to expand welfare programs (ALL),Reuters,http://www.businessinsider.com/r-brief-allstate-foundation-awards-12-mln-to-expand-welfare-programs-2017-2,negative,0.6602921485900879
16,2/1/2017 10:49:46 PM,The Allstate Corp Bottom Line Climbs 29% In Q4,RTTNews,/news/stocks/the-allstate-corp-bottom-line-climbs-29-in-q4-1001715326,negative,0.9265531301498413
17,2/1/2017 11:16:07 PM,BRIEF-Allstate announces Q4 earnings (ALL),Reuters,http://www.businessinsider.com/r-brief-allstate-announces-q4-earnings-2017-2,positive,0.9202190041542053
18,2/10/2017 7:48:09 PM,BRIEF-Allstate increases quarterly dividend by 12 pct to $0.37/shr (ALL),Reuters,http://www.businessinsider.com/r-brief-allstate-increases-quarterly-dividend-by-12-pct-to-037-shr-2017-2,negative,0.8528448343276978
19,2/23/2017 7:26:00 PM,Allstate Adds Amazon Alexa Capability,PR Newswire,/news/stocks/allstate-adds-amazon-alexa-capability-1001773046,positive,0.9325207471847534
20,2/27/2017 7:20:00 PM,Allstate to Present at Raymond James Institutional Investors Conference,PR Newswire,/news/stocks/allstate-to-present-at-raymond-james-institutional-investors-conference-1001787142,positive,0.945807933807373
21,3/13/2017 1:00:00 PM,"Allstate, Dick Vitale Help Fans with College Basketball Bracket Building ahead of the NCAA® Tournament through the Allstate Bracket Predictor Tool",PR Newswire,/news/stocks/allstate-dick-vitale-help-fans-with-college-basketball-bracket-building-ahead-of-the-ncaa-tournament-through-the-allstate-bracket-predictor-tool-1001828821,positive,0.9313695430755615
22,3/13/2017 6:18:00 PM,Allstate Announces Preferred Stock Dividends,PR Newswire,/news/stocks/allstate-announces-preferred-stock-dividends-1001830323,positive,0.9341661930084229
23,3/16/2017 8:23:00 PM,Allstate and Allstate Agencies Seek to Bring 128 Jobs to Colorado,PR Newswire,/news/stocks/allstate-and-allstate-agencies-seek-to-bring-128-jobs-to-colorado-1001843733,negative,0.7984722852706909
24,3/16/2017 8:35:00 PM,Allstate and Allstate Agencies Seek to Bring 71 Jobs to Iowa,PR Newswire,/news/stocks/allstate-and-allstate-agencies-seek-to-bring-71-jobs-to-iowa-1001843765,negative,0.8393108248710632
25,3/16/2017 8:37:00 PM,Allstate and Allstate Agencies Seek to Bring 116 Jobs to Missouri,PR Newswire,/news/stocks/allstate-and-allstate-agencies-seek-to-bring-116-jobs-to-missouri-1001843768,negative,0.7394492626190186
26,3/16/2017 8:56:00 PM,Allstate and Allstate Agencies Seek to Bring 60 Jobs to Kansas,PR Newswire,/news/stocks/allstate-and-allstate-agencies-seek-to-bring-60-jobs-to-kansas-1001843807,negative,0.77309250831604
27,3/28/2017 3:50:00 PM,Collin and Smith Top Allstate's Stormiest Counties List,PR Newswire,/news/stocks/collin-and-smith-top-allstate-s-stormiest-counties-list-1001874253,positive,0.5702201128005981
28,3/29/2017 12:35:00 PM,"Research Reports Initiation on Insurance Stocks -- Allstate, Old Republic, Travelers, and Chubb",PR Newswire,/news/stocks/research-reports-initiation-on-insurance-stocks-allstate-old-republic-travelers-and-chubb-1001877186,positive,0.9464184045791626
29,3/30/2017 12:10:00 PM,Five Nonprofits Receive National Award for Driving Positive Change in Underserved Communities from The Atlantic and Allstate,PR Newswire,/news/stocks/five-nonprofits-receive-national-award-for-driving-positive-change-in-underserved-communities-from-the-atlantic-and-allstate-1001881174,negative,0.9102637767791748
30,4/4/2017 6:55:00 PM,Allstate Launches Fifth Annual Reality Rides® Tour to Help Put the Brakes on Distracted Driving,PR Newswire,/news/stocks/allstate-launches-fifth-annual-reality-rides-tour-to-help-put-the-brakes-on-distracted-driving-1001895726,negative,0.5875584483146667
31,4/4/2017 7:48:00 PM,Allstate Launches Fifth Annual Reality Rides® Tour to Help Put the Brakes on Distracted Driving,PR Newswire,/news/stocks/allstate-launches-fifth-annual-reality-rides-tour-to-help-put-the-brakes-on-distracted-driving-1001895823,negative,0.5875584483146667
32,4/6/2017 3:34:00 PM,Allstate Mobilizes Drone Fleet for Storm Season,PR Newswire,/news/stocks/allstate-mobilizes-drone-fleet-for-storm-season-1001903166,positive,0.7323516607284546
33,4/6/2017 6:48:50 PM,BRIEF-Allstate says Allstate Insurance set to use drones for storm season (ALL),Reuters,http://www.businessinsider.com/r-brief-allstate-says-allstate-insurance-set-to-use-drones-for-storm-season-2017-4,positive,0.931220531463623
34,4/10/2017 5:20:54 AM,Fox to investigate sexual harassment claim against O'Reilly,Reuters,http://www.businessinsider.com/r-fox-to-investigate-sexual-harassment-claim-against-oreilly-2017-4,neutral,0.5310379862785339
35,4/12/2017 8:00:00 PM,Allstate to Discuss First Quarter 2017 Earnings With Investors,PR Newswire,/news/stocks/allstate-to-discuss-first-quarter-2017-earnings-with-investors-1001918580,positive,0.930112898349762
36,4/13/2017 1:00:59 AM,"O'Reilly's ratings stay strong despite sexual harassment claims (ALL, TROW)",Reuters,http://www.businessinsider.com/r-oreillys-ratings-stay-strong-despite-sexual-harassment-claims-2017-4,negative,0.4994889497756958
37,4/14/2017 5:58:00 PM,Blackstone and Canada Pension Plan Investment Board to Acquire Ascend Learning from Providence Equity Partners and Ontario Teachers' Pension Plan,PR Newswire,/news/stocks/blackstone-and-canada-pension-plan-investment-board-to-acquire-ascend-learning-from-providence-equity-partners-and-ontario-teachers-pension-plan-1001595147,positive,0.9048618674278259
38,4/18/2017 12:00:00 PM,"Guthy-Renker Ventures Invests In DERMAFLASH, The Inventor Of At-Home Dermaplaning",PR Newswire,/news/stocks/guthy-renker-ventures-invests-in-dermaflash-the-inventor-of-at-home-dermaplaning-570460,positive,0.8959202766418457
39,4/19/2017 6:31:06 PM,"Top-rated host Bill O'Reilly is out at Fox News -New York magazine (BMW, ALL, SAN, TROW)",Reuters,http://www.businessinsider.com/r-top-rated-host-bill-oreilly-is-out-at-fox-news--new-york-magazine-2017-4,positive,0.9273427724838257
40,4/19/2017 8:35:06 PM,"UPDATE 1-Top-rated host Bill O'Reilly is out at Fox News -New York magazine (BMW, ALL, SAN, TROW)",Reuters,http://www.businessinsider.com/r-update-1-top-rated-host-bill-oreilly-is-out-at-fox-news--new-york-magazine-2017-4,positive,0.9318996071815491
41,4/20/2017 2:30:00 PM,Allstate Announces March and First Quarter 2017 Catastrophe Loss Estimate,PR Newswire,/news/stocks/allstate-announces-march-and-first-quarter-2017-catastrophe-loss-estimate-1001934571,neutral,0.9341469407081604
42,4/20/2017 2:35:09 PM,BRIEF-Allstate's estimated catastrophe losses for March was $516 million (ALL),Reuters,http://www.businessinsider.com/r-brief-allstates-estimated-catastrophe-losses-for-march-was-516-million-2017-4,positive,0.4960976243019104
43,4/20/2017 2:39:57 PM,Allstate Estimates March Catastrophe Losses Of $335 Mln After-tax - Quick Facts ,RTTNews,/news/stocks/allstate-estimates-march-catastrophe-losses-of-335-mln-after-tax-quick-facts-1001934643,neutral,0.9540409445762634
44,4/26/2017 11:05:00 AM,Allstate/USA TODAY Small Business Barometer Uncovers Surging Optimism and Innovation on Main Street,PR Newswire,/news/stocks/allstate-usa-today-small-business-barometer-uncovers-surging-optimism-and-innovation-on-main-street-1001950226,negative,0.6783120632171631
45,4/26/2017 11:05:00 AM,Allstate/USA TODAY Small Business Barometer Uncovers Surging Optimism and Innovation on Main Street,PR Newswire,/news/stocks/allstate-usa-today-small-business-barometer-uncovers-surging-optimism-and-innovation-on-main-street-1001950224,negative,0.6783120632171631
46,5/2/2017 12:45:00 PM,"Research Reports Coverage on Insurance Stocks -- Hartford Financial Services, Radian, Allstate, and Old Republic",PR Newswire,/news/stocks/research-reports-coverage-on-insurance-stocks-hartford-financial-services-radian-allstate-and-old-republic-1001968740,positive,0.9429607391357422
47,5/2/2017 10:26:00 PM,The Allstate Corporation Announces Availability of First Quarter 2017 Results,PR Newswire,/news/stocks/the-allstate-corporation-announces-availability-of-first-quarter-2017-results-1001971429,positive,0.9428029656410217
48,5/2/2017 10:51:05 PM,The Allstate Corp Q1 Profit Advances 89%,RTTNews,/news/stocks/the-allstate-corp-q1-profit-advances-89-1001971521,positive,0.5705702304840088
49,5/2/2017 11:46:05 PM,BRIEF-Allstate Q1 earnings per share $1.79 (ALL),Reuters,http://www.businessinsider.com/r-brief-allstate-q1-earnings-per-share-179-2017-5,positive,0.8139821887016296
50,5/3/2017 2:19:00 AM,Allstate Starts 2017 With Strong Profitability,PR Newswire,/news/stocks/allstate-starts-2017-with-strong-profitability-1001971997,negative,0.941015899181366
51,5/4/2017 2:28:05 AM,"UPDATE 1-U.S. insurance profits hit by lower premiums, bad weather (MET, PRU, AIG, ALL, TRV)",Reuters,http://www.businessinsider.com/r-update-1-us-insurance-profits-hit-by-lower-premiums-bad-weather-2017-5,neutral,0.9256651401519775
52,5/4/2017 2:28:05 AM,"U.S. insurance profits hit by lower premiums, bad weather (MET, PRU, AIG, ALL, TRV)",Reuters,http://www.businessinsider.com/r-us-insurance-profits-hit-by-lower-premiums-bad-weather-2017-5,neutral,0.8933787941932678
