datetime,title,source,link,sentiment_class,sentiment_score
2/28/2017 10:00:00 PM,Schlage Expands Footprint in the Smart Home Space with Amazon Alexa Integration,PR Newswire,/news/stocks/schlage-expands-footprint-in-the-smart-home-space-with-amazon-alexa-integration-1001792029,positive,0.6262112259864807
6/29/2017 3:00:00 PM,Schlage Survey Finds Top Home Security Concern to be Second-Guessing That Door is Locked,PR Newswire,/news/stocks/schlage-survey-finds-top-home-security-concern-to-be-second-guessing-that-door-is-locked-1001811491,neutral,0.5596944689750671
8/15/2017 3:00:00 PM,Schlage Announces Android™ Phone Compatibility and New Companion Wi-Fi Adapter for Schlage Sense™ Smart Deadbolt,PR Newswire,/news/stocks/schlage-announces-android-phone-compatibility-and-new-companion-wi-fi-adapter-for-schlage-sense-smart-deadbolt-1002258694,positive,0.7347904443740845
8/15/2017 3:00:00 PM,Schlage Announces Android™ Phone Compatibility and New Companion Wi-Fi Adapter for Schlage Sense™ Smart Deadbolt,PR Newswire,/news/stocks/schlage-announces-android-phone-compatibility-and-new-companion-wi-fi-adapter-for-schlage-sense-smart-deadbolt-1002258692,positive,0.7347904443740845
10/5/2017 3:00:00 PM,"Schlage Announces Exclusive Residential Partnerships with PulteGroup, Smith Douglas Homes, Hanover Builders",PR Newswire,/news/stocks/schlage-announces-exclusive-residential-partnerships-with-pultegroup-smith-douglas-homes-hanover-builders-1001734775,positive,0.5954314470291138
10/31/2017 8:00:00 PM,Schlage Announces Amazon Alexa Integration for its Schlage Sense™ Smart Deadbolt,PR Newswire,/news/stocks/schlage-announces-amazon-alexa-integration-for-its-schlage-sense-smart-deadbolt-1006342765,neutral,0.7595617175102234
1/8/2018 4:20:00 PM,CES 2018: The Critically-Acclaimed Schlage Sense™ Smart Deadbolt Now Works with the Google Assistant,PR Newswire,/news/stocks/ces-2018-the-critically-acclaimed-schlage-sense-smart-deadbolt-now-works-with-the-google-assistant-1012669077,neutral,0.7826525568962097
1/9/2018 3:00:00 PM,Schlage Unveils its Next Major Innovation--Schlage Custom™ Door Hardware,PR Newswire,/news/stocks/schlage-unveils-its-next-major-innovation-schlage-custom-door-hardware-1012730435,positive,0.6662875413894653
3/6/2018 3:00:00 PM,Schlage Custom™ Door Hardware Now Available to Homeowners,PR Newswire,/news/stocks/schlage-custom-door-hardware-now-available-to-homeowners-1018134094,neutral,0.7976136207580566
4/20/2018 2:26:00 PM,BRIEF-Allegion PLC Says CEO D. D. Petratis' 2017 Total Compensation Was $7.8 Mln Vs $7.1 Mln,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/Ol5StEpA2Sk/brief-allegion-plc-says-ceo-d-d-petratis-2017-total-compensation-was-7-8-mln-vs-7-1-mln-idUSFWN1RX0NH,negative,0.9184131026268005
4/26/2018 11:57:32 AM,BRIEF-Allegion Reports First-Quarter 2018 Financial Results,Reuters,http://feeds.reuters.com/~r/reuters/companyNews/~3/WiIAIopaHDg/brief-allegion-reports-first-quarter-2018-financial-results-idUSFWN1S30PO,neutral,0.8842934966087341
5/14/2018 4:36:25 AM,Allegion To Acquire GWA Group's Door And Access Systems Business ,RTTNews,/news/stocks/allegion-to-acquire-gwa-group-s-door-and-access-systems-business-1024396237,neutral,0.9065325260162354
5/29/2018 4:30:00 PM,Schlage Gains New Google Home Capabilities,PR Newswire,/news/stocks/schlage-gains-new-google-home-capabilities-1025722394,positive,0.588856041431427
7/24/2018 3:02:12 PM,Here's what to expect from Allegion's earnings,Markets Insider Automation,/news/stocks/allegion-stock-price-q2-earnings-preview-1027394148,neutral,0.9385818243026733
10/23/2018 3:02:10 PM,Here's what to expect from Allegion's earnings,Markets Insider Automation,/news/stocks/allegion-stock-quarter-earnings-preview-q3-1027644304,neutral,0.9385818243026733
2/17/2019 3:01:21 PM,Allegion earnings preview: what to expect,Markets Insider Automation,/news/stocks/allegion-stock-q4-earnings-preview-1027958820,neutral,0.9133231043815613
4/23/2019 3:02:22 PM,Allegion is about to announce its earnings — here's what to expect,Markets Insider Automation,/news/stocks/allegion-q1-quarterly-earnings-preview-1028129960,neutral,0.9404540061950684
7/23/2019 3:02:02 PM,Here's what Wall Street expects from Allegion's earnings,Markets Insider Automation,/news/stocks/allegion-q2-quarterly-earnings-preview-stock-1028376351,neutral,0.926730215549469
2/17/2020 3:01:31 PM,Allegion earnings: here's what to expect,Markets Insider Automation,/news/stocks/allegion-q4-quarterly-earnings-preview-stock-1028910274,neutral,0.9387934803962708
