,datetime,title,source,link,sentiment_class,sentiment_score
0,4/13/2017 1:30:00 PM,Austin Police Department Secures 724 Axon Body Cameras and Unlimited Data Storage on Evidence.com,PR Newswire,/news/stocks/austin-police-department-secures-724-axon-body-cameras-and-unlimited-data-storage-on-evidence-com-560741,positive,0.9032841324806213
1,4/19/2017 1:30:00 PM,Axon's National Body Camera Offer Generates Significant Interest From Police Agencies,PR Newswire,/news/stocks/axon-s-national-body-camera-offer-generates-significant-interest-from-police-agencies-1001930262,negative,0.7695053815841675
2,4/26/2017 2:25:00 PM,Growing Need for Global Security and Cyber Defense Accelerating Rapid Development of Digital Defense & National Security Industries,PR Newswire,/news/stocks/growing-need-for-global-security-and-cyber-defense-accelerating-rapid-development-of-digital-defense-national-security-industries-1001951419,negative,0.6233356595039368
3,4/26/2017 2:25:00 PM,Growing Need for Global Security and Cyber Defense Accelerating Rapid Development of Digital Defense & National Security Industries,PR Newswire,/news/stocks/growing-need-for-global-security-and-cyber-defense-accelerating-rapid-development-of-digital-defense-national-security-industries-1001951421,negative,0.6233356595039368
4,5/1/2017 1:30:00 PM,Axon to Release First Quarter 2017 Earnings on May 9,PR Newswire,/news/stocks/axon-to-release-first-quarter-2017-earnings-on-may-9-1001965335,positive,0.9441713094711304
5,5/8/2017 1:30:00 PM,Alameda County Sheriff's Office Changes Body-Worn Video Platform; Moves to Axon Network,PR Newswire,/news/stocks/alameda-county-sheriff-s-office-changes-body-worn-video-platform-moves-to-axon-network-1001989015,positive,0.8790397047996521
6,5/8/2017 3:00:00 PM,Developments in the Defense and Protection Markets,PR Newswire,/news/stocks/developments-in-the-defense-and-protection-markets-1001989669,positive,0.8211832642555237
7,5/9/2017 10:01:00 PM,Axon Reports 2017 First Quarter Results,PR Newswire,/news/stocks/axon-reports-2017-first-quarter-results-1001995955,positive,0.8733694553375244
8,6/2/2017 1:00:00 PM,"Research Reports Initiation on Aerospace Products and Services Stocks -- United Technologies, Raytheon, Axon Enterprise, and American Outdoor Brands",PR Newswire,/news/stocks/research-reports-initiation-on-aerospace-products-and-services-stocks-united-technologies-raytheon-axon-enterprise-and-american-outdoor-brands-1002062942,positive,0.9459125399589539
9,6/7/2017 6:10:00 PM,"USPTO grants PhaZZer Electronics, Inc. a second reexamination request of all eighteen claims of Taser International, Inc.'s now Axon Enterprise Inc (NASDAQ: AAXN) US Patent No. 7,234,262",PR Newswire,/news/stocks/uspto-grants-phazzer-electronics-inc-a-second-reexamination-request-of-all-eighteen-claims-of-taser-international-inc-s-now-axon-enterprise-inc-nasdaq-aaxn-us-patent-no-7-234-262-1002075453,negative,0.5008442997932434
10,6/14/2017 2:00:00 PM,Fighting Terror: Innovative Companies Take Aim at Fresh Solutions for Global Defense,PR Newswire,/news/stocks/fighting-terror-innovative-companies-take-aim-at-fresh-solutions-for-global-defense-1002092504,negative,0.5131174921989441
11,6/14/2017 2:00:00 PM,Fighting Terror: Innovative Companies Take Aim at Fresh Solutions for Global Defense,PR Newswire,/news/stocks/fighting-terror-innovative-companies-take-aim-at-fresh-solutions-for-global-defense-1002092453,negative,0.5131174921989441
12,6/20/2017 1:30:00 PM,Axon Gives 'Accelerate' Attendees Exclusive First Look at New RMS Solution,PR Newswire,/news/stocks/axon-gives-accelerate-attendees-exclusive-first-look-at-new-rms-solution-1002107132,positive,0.852398157119751
13,6/21/2017 1:30:00 PM,Axon Announces Intent to Partner with Washington State University to Further Ground Breaking Research on Police-Community Interactions,PR Newswire,/news/stocks/axon-announces-intent-to-partner-with-washington-state-university-to-further-ground-breaking-research-on-police-community-interactions-1002111593,negative,0.8120318651199341
14,7/24/2017 1:30:00 PM,Axon Wins Patent Suit Shutting Down 3rd Consecutive CEW Infringer,PR Newswire,/news/stocks/axon-wins-patent-suit-shutting-down-3rd-consecutive-cew-infringer-512051,neutral,0.9396358132362366
15,8/4/2017 1:30:00 PM,Axon to Participate at Upcoming Investor Conference,PR Newswire,/news/stocks/axon-to-participate-at-upcoming-investor-conference-1002233669,positive,0.9210628867149353
16,8/8/2017 10:35:00 PM,Axon Reports 2017 Second Quarter Results,PR Newswire,/news/stocks/axon-reports-2017-second-quarter-results-1002242125,positive,0.8445137143135071
17,8/9/2017 1:30:00 PM,Former Uber Senior Tech Lead Mojtaba Solgi Joins Seattle Axon AI Team,PR Newswire,/news/stocks/former-uber-senior-tech-lead-mojtaba-solgi-joins-seattle-axon-ai-team-1002244049,positive,0.9036563038825989
18,8/29/2017 2:09:00 PM,ATS Armor LLC Enters the Soft Body Armor Market,PR Newswire,/news/stocks/ats-armor-llc-enters-the-soft-body-armor-market-1002291311,positive,0.9114466905593872
19,9/6/2017 3:15:00 PM,Aerospace and Defense Industry Projected to Grow,PR Newswire,/news/stocks/aerospace-and-defense-industry-projected-to-grow-1002345820,negative,0.891567587852478
20,9/7/2017 10:00:00 AM,"British Transport Police Deploys 2,840 Axon Body Cameras Backed By Evidence.com Cloud Platform",PR Newswire,/news/stocks/british-transport-police-deploys-2-840-axon-body-cameras-backed-by-evidence-com-cloud-platform-1002348503,positive,0.9347323775291443
21,9/8/2017 12:40:00 PM,"Stocks Under Scanner in the Aerospace Products & Services Space -- Axon Enterprise, Raytheon, TransDigm, and Triumph",PR Newswire,/news/stocks/stocks-under-scanner-in-the-aerospace-products-services-space-axon-enterprise-raytheon-transdigm-and-triumph-1002353185,positive,0.6298660039901733
22,9/22/2017 1:30:00 PM,TASER Deployments Expanded Across Nine Federal and State Law Enforcement Agencies,PR Newswire,/news/stocks/taser-deployments-expanded-across-nine-federal-and-state-law-enforcement-agencies-1002421811,negative,0.8910155296325684
23,10/2/2017 1:30:00 PM,Andrea James and Jim Zito Join Axon Finance Team,PR Newswire,/news/stocks/andrea-james-and-jim-zito-join-axon-finance-team-1002913981,positive,0.9435114860534668
24,10/3/2017 3:08:00 PM,ATS Armor LLC Receives Full Deployment Order from Miami-Dade Police Department for Type III Ballistic Shields,PR Newswire,/news/stocks/ats-armor-llc-receives-full-deployment-order-from-miami-dade-police-department-for-type-iii-ballistic-shields-1001726563,negative,0.9069249629974365
25,10/18/2017 1:30:00 PM,LAPD Selects Axon AI Research Team as Official Artificial Intelligence Partner,PR Newswire,/news/stocks/lapd-selects-axon-ai-research-team-as-official-artificial-intelligence-partner-1004760363,positive,0.9251870512962341
26,10/19/2017 1:30:00 PM,"Announcing Axon Citizen, A New Public Evidence Submission Portal For U.S. Law Enforcement",PR Newswire,/news/stocks/announcing-axon-citizen-a-new-public-evidence-submission-portal-for-u-s-law-enforcement-1004896796,positive,0.8472373485565186
27,10/20/2017 1:30:00 PM,Richland County Sheriff's Department and Rock Hill Police Department will be First Agencies to Deploy Axon's Signal Sidearm Technology,PR Newswire,/news/stocks/richland-county-sheriff-s-department-and-rock-hill-police-department-will-be-first-agencies-to-deploy-axon-s-signal-sidearm-technology-1005025785,positive,0.8277439475059509
28,10/23/2017 1:30:00 PM,Axon Calls for Speaker Proposals for 2018 Accelerate User Conference,PR Newswire,/news/stocks/axon-calls-for-speaker-proposals-for-2018-accelerate-user-conference-1005327080,positive,0.8573770523071289
29,10/23/2017 3:30:00 PM,"AAXN Investor Alert: Hagens Berman Alerts Axon Enterprise, Inc. Investors to Investigation into Potential Accounting Improprieties in Violation of Securities Laws",PR Newswire,/news/stocks/aaxn-investor-alert-hagens-berman-alerts-axon-enterprise-inc-investors-to-investigation-into-potential-accounting-improprieties-in-violation-of-securities-laws-1005336463,neutral,0.6726765036582947
30,10/23/2017 4:00:00 PM,"SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Announces Investigation of Axon Enterprise, Inc. (AAXN)",PR Newswire,/news/stocks/shareholder-alert-bronstein-gewirtz-grossman-llc-announces-investigation-of-axon-enterprise-inc-aaxn-1005338037,positive,0.5165221095085144
31,10/23/2017 9:30:00 PM,"87% of Police Officers Say Recruiting is a Challenge; Axon Launches ""I'm In"" Campaign to Offer Support",PR Newswire,/news/stocks/87-of-police-officers-say-recruiting-is-a-challenge-axon-launches-i-m-in-campaign-to-offer-support-1005363145,positive,0.5062833428382874
32,10/23/2017 9:46:00 PM,"AXON INVESTOR ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 Investing In Axon Enterprise, Inc. To Contact The Firm",PR Newswire,/news/stocks/axon-investor-alert-faruqi-faruqi-llp-encourages-investors-who-suffered-losses-exceeding-100-000-investing-in-axon-enterprise-inc-to-contact-the-firm-1005364721,positive,0.5735498666763306
33,10/24/2017 1:30:00 PM,Philadelphia Police Department Secures Agency-Wide Deployment on Axon Network,PR Newswire,/news/stocks/philadelphia-police-department-secures-agency-wide-deployment-on-axon-network-1005439886,negative,0.8613548874855042
34,10/24/2017 10:15:00 PM,"RM LAW Announces Investigation of Axon Enterprise, Inc.",PR Newswire,/news/stocks/rm-law-announces-investigation-of-axon-enterprise-inc-1005488153,neutral,0.7018660306930542
35,10/24/2017 10:51:00 PM,"Lifshitz & Miller LLP Announces Investigation of AmTrust Financial Services Inc., Axon Enterprise, Inc., Diana Containerships Inc., Kobe Steel, Ltd., NantKwest, Inc., Skechers U.S.A., Inc.",PR Newswire,/news/stocks/lifshitz-miller-llp-announces-investigation-of-amtrust-financial-services-inc-axon-enterprise-inc-diana-containerships-inc-kobe-steel-ltd-nantkwest-inc-skechers-u-s-a-inc-1005491954,positive,0.4924420714378357
36,10/27/2017 3:44:00 PM,IIROC Trade Resumption - ACB.WT,PR Newswire,/news/stocks/iiroc-trade-resumption-acb-wt-488033,positive,0.9454113245010376
37,10/30/2017 11:24:00 PM,"SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Axon Enterprise, Inc. - AAXN",PR Newswire,/news/stocks/shareholder-alert-pomerantz-law-firm-investigates-claims-on-behalf-of-investors-of-axon-enterprise-inc-aaxn-1006225981,positive,0.8377551436424255
38,10/31/2017 12:30:00 PM,Axon to Release Third Quarter 2017 Earnings on November 7,PR Newswire,/news/stocks/axon-to-release-third-quarter-2017-earnings-on-november-7-1006295874,positive,0.942669153213501
39,10/31/2017 3:59:00 PM,"Scott+Scott, Attorneys at Law, LLP is Investigating Derivative Claims on Behalf of Shareholders of Axon Enterprise, Inc. (AAXN)",PR Newswire,/news/stocks/scott-scott-attorneys-at-law-llp-is-investigating-derivative-claims-on-behalf-of-shareholders-of-axon-enterprise-inc-aaxn-1001812544,positive,0.8632878661155701
40,10/31/2017 11:43:00 PM,"ACT NOW: Monteverde & Associates PC Announces an Investigation of Axon Enterprise, Inc. - AAXN",PR Newswire,/news/stocks/act-now-monteverde-associates-pc-announces-an-investigation-of-axon-enterprise-inc-aaxn-1006367007,positive,0.7964203357696533
41,11/6/2017 4:00:00 PM,"New Public Evidence Submission Portal, Axon Citizen, Available Now in Canada",PR Newswire,/news/stocks/new-public-evidence-submission-portal-axon-citizen-available-now-in-canada-1007065755,positive,0.9055784940719604
42,11/7/2017 10:01:00 PM,Axon Reports Record Revenues over $90 Million in Third Quarter 2017,PR Newswire,/news/stocks/axon-reports-record-revenues-over-$90-million-in-third-quarter-2017-476500,negative,0.8972791433334351
43,11/9/2017 1:30:00 PM,First Two Major City Police Departments and One State and Provincial Police Agency to Deploy Axon Fleet In-Car Video System,PR Newswire,/news/stocks/first-two-major-city-police-departments-and-one-state-and-provincial-police-agency-to-deploy-axon-fleet-in-car-video-system-480455,positive,0.8286260366439819
44,11/10/2017 1:30:00 PM,"Axon to Host Investor and Analyst Meeting on November 16, 2017",PR Newswire,/news/stocks/axon-to-host-investor-and-analyst-meeting-on-november-16-2017-1007548863,positive,0.9450201988220215
45,11/10/2017 2:00:00 PM,Perpetual Energy Inc. Announces Increase to Credit Facility and Provides 2018 Guidance,PR Newswire,/news/stocks/perpetual-energy-inc-announces-increase-to-credit-facility-and-provides-2018-guidance-453396,negative,0.9242183566093445
46,11/14/2017 1:30:00 PM,Axon Case Study Reveals the Power of Police Body Camera Footage for Prosecuting Domestic Violence,PR Newswire,/news/stocks/axon-case-study-reveals-the-power-of-police-body-camera-footage-for-prosecuting-domestic-violence-1007989369,positive,0.8710677623748779
47,11/20/2017 1:00:00 PM,"In time for holidays, TASER Self-Defense launches subscription box",PR Newswire,/news/stocks/in-time-for-holidays-taser-self-defense-launches-subscription-box-1008788449,positive,0.9062705636024475
48,11/21/2017 9:00:00 AM,"New Public Evidence Submission Portal, Axon Citizen, Now Available in Multiple Countries",PR Newswire,/news/stocks/new-public-evidence-submission-portal-axon-citizen-now-available-in-multiple-countries-1008903820,positive,0.8102917671203613
49,11/21/2017 9:00:00 AM,Axon Launches Signal Sidearm at Milipol for International Markets,PR Newswire,/news/stocks/axon-launches-signal-sidearm-at-milipol-for-international-markets-1008903819,positive,0.8356475830078125
50,11/30/2017 1:30:00 PM,Axon to Participate at Upcoming Investor Conferences,PR Newswire,/news/stocks/axon-to-participate-at-upcoming-investor-conferences-1010050258,positive,0.8776676654815674
51,12/5/2017 1:30:00 PM,"Charlotte-Mecklenburg Police Department Purchases 1,743 TASER X2 Smart Weapons",PR Newswire,/news/stocks/charlotte-mecklenburg-police-department-purchases-1-743-taser-x2-smart-weapons-1010348503,positive,0.8894049525260925
52,12/7/2017 4:30:00 PM,"More Body-Worn Cameras, Less Use-of-Force: Study Reveals Compelling Correlation",PR Newswire,/news/stocks/more-body-worn-cameras-less-use-of-force-study-reveals-compelling-correlation-1010499543,negative,0.9242575764656067
53,12/21/2017 1:30:00 PM,Axon Promotes Key Leaders to Chief Revenue Officer and Chief Information Security Officer,PR Newswire,/news/stocks/axon-promotes-key-leaders-to-chief-revenue-officer-and-chief-information-security-officer-1002291623,positive,0.7379611730575562
54,1/23/2018 1:30:00 PM,Axon Announces Microsoft as Platinum Sponsor for Accelerate 2018 User Conference,PR Newswire,/news/stocks/axon-announces-microsoft-as-platinum-sponsor-for-accelerate-2018-user-conference-1013708479,negative,0.5215240716934204
55,1/25/2018 1:30:00 PM,Axon Announces World Class Speaker Line-Up for 2018 Accelerate User Conference,PR Newswire,/news/stocks/axon-announces-world-class-speaker-line-up-for-2018-accelerate-user-conference-1013987955,positive,0.7661144733428955
56,2/5/2018 10:00:00 AM,Axon Hires Team of World-Renowned Imaging and VR/AR Experts Led by Juha Alakarhu,PR Newswire,/news/stocks/axon-hires-team-of-world-renowned-imaging-and-vr-ar-experts-led-by-juha-alakarhu-1014964863,positive,0.7219005227088928
57,2/7/2018 3:35:00 PM,"Capriotti's Expands in Founding Market, Enters Two New States",PR Newswire,/news/stocks/capriotti-s-expands-in-founding-market-enters-two-new-states-1002067570,negative,0.5680181384086609
58,2/13/2018 1:30:00 PM,Axon to Release Fourth Quarter 2017 Earnings on February 27,PR Newswire,/news/stocks/axon-to-release-fourth-quarter-2017-earnings-on-february-27-1015628720,positive,0.9399511218070984
59,2/13/2018 5:27:00 PM,"Australia's Victoria Police to Deploy 11,000 Axon Body Cameras Backed by Evidence.com",PR Newswire,/news/stocks/australia-s-victoria-police-to-deploy-11-000-axon-body-cameras-backed-by-evidence-com-1015625939,positive,0.8930453658103943
60,2/14/2018 1:30:00 PM,Fort Worth Police Department Kicks Off Agency-Wide Field Trial of Axon Citizen,PR Newswire,/news/stocks/fort-worth-police-department-kicks-off-agency-wide-field-trial-of-axon-citizen-1015760826,neutral,0.7238732576370239
61,2/15/2018 1:30:00 PM,"Axon Announces Orders for 12,000 TASER Smart Weapons",PR Newswire,/news/stocks/axon-announces-orders-for-12-000-taser-smart-weapons-1015888692,positive,0.5530411601066589
62,2/27/2018 10:01:00 PM,Axon CEO Rick Smith Relinquishes Salary for Ten-Year Performance Plan,PR Newswire,/news/stocks/axon-ceo-rick-smith-relinquishes-salary-for-ten-year-performance-plan-1017344319,neutral,0.923703134059906
63,2/27/2018 10:01:00 PM,Axon Reports Record Revenue of $95 Million for Q4 2017 and $344 Million for Full Year 2017; Introduces 2018 Financial Guidance,PR Newswire,/news/stocks/axon-reports-record-revenue-of-95-million-for-q4-2017-and-344-million-for-full-year-2017-introduces-2018-financial-guidance-1017344321,positive,0.8709002733230591
64,3/1/2018 1:30:00 PM,"Virginia Beach Police Department (MCC) Purchases 1,060 Axon Body and Fleet In-Car Cameras",PR Newswire,/news/stocks/virginia-beach-police-department-mcc-purchases-1-060-axon-body-and-fleet-in-car-cameras-1017564567,positive,0.8134163022041321
65,3/1/2018 2:07:00 PM,ATS Armor Enters The OEM Market As A Ballistic Solution Provider,PR Newswire,/news/stocks/ats-armor-enters-the-oem-market-as-a-ballistic-solution-provider-1017568220,positive,0.829319417476654
66,3/2/2018 1:30:00 PM,Chicago Police Department Purchases 400 Axon Body-Worn Cameras; Now Fully Deployed,PR Newswire,/news/stocks/chicago-police-department-purchases-400-axon-body-worn-cameras-now-fully-deployed-1017693101,negative,0.6917011737823486
67,3/8/2018 2:01:00 PM,Daiya Serves Up New Plant-Based Comfort Foods at Natural Products Expo West,PR Newswire,/news/stocks/daiya-serves-up-new-plant-based-comfort-foods-at-natural-products-expo-west-1002152217,positive,0.7403314113616943
68,4/6/2018 1:30:00 PM,Federal District Court Rules in Favor of Axon in PhaZZer Infringement Suit,PR Newswire,/news/stocks/federal-district-court-rules-in-favor-of-axon-in-phazzer-infringement-suit-1020675847,positive,0.5748313665390015
69,4/6/2018 1:44:55 PM,Axon Reports Favorable Court Ruling In Pant Infringement Suit Against PhaZZer ,RTTNews,/news/stocks/axon-reports-favorable-court-ruling-in-pant-infringement-suit-against-phazzer-1020676567,negative,0.7653703689575195
70,4/10/2018 1:30:00 PM,Chicago Police Department Now Fully Deployed with Axon's TASER Smart Weapons,PR Newswire,/news/stocks/chicago-police-department-now-fully-deployed-with-axon-s-taser-smart-weapons-1021046106,positive,0.8369659185409546
71,4/12/2018 1:30:00 PM,Montgomery County Police Department Rolls Out Axon Fleet In-Car Cameras to 900 Patrol Vehicles,PR Newswire,/news/stocks/montgomery-county-police-department-rolls-out-axon-fleet-in-car-cameras-to-900-patrol-vehicles-1021287400,positive,0.8851958513259888
72,4/24/2018 10:00:00 AM,The UK's Kent and Essex Police Forces Join the Axon Network with Significant Axon Body Camera Orders,PR Newswire,/news/stocks/the-uk-s-kent-and-essex-police-forces-join-the-axon-network-with-significant-axon-body-camera-orders-1022090897,positive,0.5393415689468384
73,4/26/2018 5:30:00 PM,Axon Launches First Artificial Intelligence Ethics Board for Public Safety; Promotes Responsible Development of AI Technologies,PR Newswire,/news/stocks/axon-launches-first-artificial-intelligence-ethics-board-for-public-safety-promotes-responsible-development-of-ai-technologies-1022418773,positive,0.8350338339805603
74,4/30/2018 1:30:00 PM,Axon to Release First Quarter 2018 Earnings on May 8,PR Newswire,/news/stocks/axon-to-release-first-quarter-2018-earnings-on-may-8-1022883365,positive,0.9478316903114319
75,5/4/2018 1:30:00 PM,Axon Acquires VIEVU Camera Subsidiary from The Safariland Group and Announces Strategic Long-Term Holster Partnership,PR Newswire,/news/stocks/axon-acquires-vievu-camera-subsidiary-from-the-safariland-group-and-announces-strategic-long-term-holster-partnership-1023376896,positive,0.8315653800964355
76,5/4/2018 1:37:00 PM,"VIEVU, a Subsidiary of Safariland, to be Acquired by Axon Enterprise, Inc.",PR Newswire,/news/stocks/vievu-a-subsidiary-of-safariland-to-be-acquired-by-axon-enterprise-inc-1002363053,positive,0.9552132487297058
77,5/4/2018 1:37:00 PM,"VIEVU, a Subsidiary of Safariland, to be Acquired by Axon Enterprise, Inc.",PR Newswire,/news/stocks/vievu-a-subsidiary-of-safariland-to-be-acquired-by-axon-enterprise-inc-1023377661,positive,0.9552132487297058
78,5/4/2018 1:46:00 PM,"VIEVU, a Subsidiary of Safariland, to be Acquired by Axon Enterprise, Inc.",PR Newswire,/news/stocks/vievu-a-subsidiary-of-safariland-to-be-acquired-by-axon-enterprise-inc-1023378409,positive,0.9552132487297058
79,5/8/2018 10:01:00 PM,"Axon Reports Record Revenue of $101 million, GAAP EPS of $0.24",PR Newswire,/news/stocks/axon-reports-record-revenue-of-101-million-gaap-eps-of-0-24-1023789050,positive,0.8589167594909668
80,5/21/2018 1:30:00 PM,Axon Announces First CJIS-Compliant Artificial Intelligence Training Center,PR Newswire,/news/stocks/axon-announces-first-cjis-compliant-artificial-intelligence-training-center-1025064368,positive,0.7298363447189331
81,5/24/2018 1:30:00 PM,"Record Number of Attendees Expected at Axon Accelerate, the Third Annual Tech Conference for Public Safety",PR Newswire,/news/stocks/record-number-of-attendees-expected-at-axon-accelerate-the-third-annual-tech-conference-for-public-safety-1025200002,negative,0.6125185489654541
82,5/29/2018 1:30:00 PM,Axon to Participate at Upcoming Investor Conferences,PR Newswire,/news/stocks/axon-to-participate-at-upcoming-investor-conferences-1025705472,positive,0.8776676654815674
83,6/5/2018 6:00:00 PM,Axon Citizen for Communities Now Available For Field Trials,PR Newswire,/news/stocks/axon-citizen-for-communities-now-available-for-field-trials-1026583204,positive,0.8336833715438843
84,6/5/2018 6:15:00 PM,Axon and DJI Announce Drone Partnership to Strengthen Law Enforcement Tools for Public Safety,PR Newswire,/news/stocks/axon-and-dji-announce-drone-partnership-to-strengthen-law-enforcement-tools-for-public-safety-1026585195,negative,0.9155368208885193
85,6/5/2018 6:30:00 PM,Axon Announces Next Generation Axon Fleet 2 In-Car Video System,PR Newswire,/news/stocks/axon-announces-next-generation-axon-fleet-2-in-car-video-system-1026586202,positive,0.8563289046287537
86,6/5/2018 9:00:00 PM,Axon Announces 2018 RISE Award Winners; Las Vegas Metro PD Officers Recognized for Valor,PR Newswire,/news/stocks/axon-announces-2018-rise-award-winners-las-vegas-metro-pd-officers-recognized-for-valor-1026600916,negative,0.9115838408470154
87,6/6/2018 1:30:00 PM,"Axon Announces Partnership with Milestone Systems, the Global Leader in Video Management Software",PR Newswire,/news/stocks/axon-announces-partnership-with-milestone-systems-the-global-leader-in-video-management-software-1026696991,negative,0.8927928805351257
88,6/20/2018 10:00:00 AM,The UK's Cumbria Constabulary First to Deploy Axon Citizen for Officers,PR Newswire,/news/stocks/the-uk-s-cumbria-constabulary-first-to-deploy-axon-citizen-for-officers-1027240538,positive,0.8191776275634766
89,6/20/2018 10:00:00 AM,The UK's Cumbria Constabulary First to Deploy Axon Citizen for Officers,PR Newswire,/news/stocks/the-uk-s-cumbria-constabulary-first-to-deploy-axon-citizen-for-officers-1027240528,positive,0.8191776275634766
90,8/5/2018 3:01:59 PM,Here's what to expect from Axon Enterprise's earnings report,Markets Insider Automation,/news/stocks/axon_enterprise-quarter-earnings-preview-q2-1027431772,positive,0.9307413697242737
91,11/4/2018 3:01:58 PM,Axon Enterprise earnings: here's what to expect,Markets Insider Automation,/news/stocks/axon_enterprise-quarter-earnings-preview-q3-1027687847,positive,0.9347935318946838
