datetime,title,source,link,sentiment_class,sentiment_score
6/6/2005 10:32:00 PM,"BorgWarner Names Bernd Matthes President and General Manager, BorgWarner Transmission Systems; Mark Perlick Appointed Vice President, Technology",PR Newswire,/news/stocks/borgwarner-names-bernd-matthes-president-and-general-manager-borgwarner-transmission-systems;-mark-perlick-appointed-vice-president-technology-211707,neutral,0.9090745449066162
8/16/2007 2:57:00 PM,BorgWarner Turbo Powers New Hyundai Grand Starex,PR Newswire,/news/stocks/borgwarner-turbo-powers-new-hyundai-grand-starex-1028612762,neutral,0.6697012782096863
10/3/2016 6:10:26 PM,BRIEF-Borgwarner agrees to sell REMY light vehicle aftermarket business to torque capital (BWA),Reuters,/news/stocks/brief-borgwarner-agrees-to-sell-remy-light-vehicle-aftermarket-business-to-torque-capital-bwa-1001433215,neutral,0.8285059928894043
10/27/2016 3:40:18 PM,BRIEF-BorgWarner Q3 earnings per share $0.39 (BWA),Reuters,http://www.businessinsider.com/r-brief-borgwarner-q3-earnings-per-share-039-2016-10,neutral,0.7927184700965881
11/3/2016 8:36:22 PM,"UPDATE 2-American Axle's $1.6 bln Metaldyne buy to help grow beyond GM (AXL, MG, MPG, BWA)",Reuters,http://www.businessinsider.com/r-update-2-american-axles-16-bln-metaldyne-buy-to-help-grow-beyond-gm-2016-11,positive,0.8419944643974304
2/9/2017 12:38:23 PM,EARNINGS SUMMARY: Details of Borg Warner Inc. Q4 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-borg-warner-inc-q4-earnings-report-1001736882,neutral,0.9253372550010681
2/9/2017 12:42:09 PM,BRIEF-BorgWarner reports Q4 adj. earnings per share $0.85 (BWA),Reuters,http://www.businessinsider.com/r-brief-borgwarner-reports-q4-adj-earnings-per-share-085-2017-2,neutral,0.7841798663139343
2/17/2017 4:28:11 PM,"BRIEF-Borgwarner files for potential mixed shelf offering, size not disclosed (BWA)",Reuters,http://www.businessinsider.com/r-brief-borgwarner-files-for-potential-mixed-shelf-offering-size-not-disclosed-2017-2,neutral,0.9354825019836426
3/1/2017 3:26:00 PM,BorgWarner Plant Manager Skotti Fietsam Honored with Women in Manufacturing STEP Ahead Award,PR Newswire,/news/stocks/borgwarner-plant-manager-skotti-fietsam-honored-with-women-in-manufacturing-step-ahead-award-1001795175,positive,0.7306531071662903
3/2/2017 2:00:00 PM,BorgWarner Expands Product Leadership with Gasoline VTG Turbocharger for the Mass Market,PR Newswire,/news/stocks/borgwarner-expands-product-leadership-with-gasoline-vtg-turbocharger-for-the-mass-market-1001798976,positive,0.8584851622581482
3/17/2017 2:34:43 PM,BRIEF-Borgwarner CEO James Verrier's 2016 total compensation was $12.4 mln vs $17.4 mln in 2015 (BWA),Reuters,http://www.businessinsider.com/r-brief-borgwarner-ceo-james-verriers-2016-total-compensation-was-124-mln-vs-174-mln-in-2015-2017-3,negative,0.9244473576545715
3/23/2017 12:05:00 PM,"Research Reports on Auto Parts Equities -- Johnson Controls, Delphi Automotive, BorgWarner, and Gentex",PR Newswire,/news/stocks/research-reports-on-auto-parts-equities-johnson-controls-delphi-automotive-borgwarner-and-gentex-1001861484,neutral,0.9424120187759399
