,datetime,title,source,link,sentiment_class,sentiment_score
0,12/19/2016 3:00:03 PM,BRIEF-Boston Properties increases regular quarterly dividend by 15.4 pct (BXP),Reuters,http://www.businessinsider.com/r-brief-boston-properties-increases-regular-quarterly-dividend-by-154-pct-2016-12,negative,0.8113837838172913
1,2/1/2017 12:14:02 AM,Boston Properties Inc. Q4 Earnings Climb 20%,RTTNews,/news/stocks/boston-properties-inc-q4-earnings-climb-20-1001710984,negative,0.8996620178222656
2,2/1/2017 12:36:07 AM,BRIEF-BOSTON PROPERTIES Q4 FFO PER SHARE $1.54 (BXP),Reuters,http://www.businessinsider.com/r-brief-boston-properties-q4-ffo-per-share-154-2017-1,positive,0.924095094203949
3,3/8/2017 1:55:00 PM,"REIT Stocks on Investors' Radar -- Boston Properties, Alexandria Real Estate, Mack-Cali Realty, and Government Properties Income",PR Newswire,/news/stocks/reit-stocks-on-investors-radar-boston-properties-alexandria-real-estate-mack-cali-realty-and-government-properties-income-1001815446,positive,0.9213244915008545
4,4/7/2017 12:48:55 PM,BRIEF-Boston Properties CEO Owen D. Thomas's total compensation in 2016 was $10 mln vs $8.8 mln (BXP),Reuters,http://www.businessinsider.com/r-brief-boston-properties-ceo-owen-d-thomass-total-compensation-in-2016-was-10-mln-vs-88-mln-2017-4,neutral,0.9200485348701477
5,4/19/2017 1:10:00 PM,"How These REIT Stocks are Faring? -- Alexandria Real Estate, Liberty Property, DuPont Fabros, and Boston Properties",PR Newswire,/news/stocks/how-these-reit-stocks-are-faring-alexandria-real-estate-liberty-property-dupont-fabros-and-boston-properties-1001930182,positive,0.929792046546936
6,4/26/2017 12:11:55 AM,Boston Properties Inc. Profit Retreats 9% In Q1,RTTNews,/news/stocks/boston-properties-inc-profit-retreats-9-in-q1-1001948850,neutral,0.9727559089660645
7,6/2/2017 11:22:05 PM,"BRIEF-Boston Properties renewed its ""at market"" equity offering program (BXP)",Reuters,http://www.businessinsider.com/r-brief-boston-properties-renewed-its-at-market-equity-offering-program-2017-6,negative,0.6677590608596802
8,6/14/2017 1:00:00 PM,"How These REIT Stocks are Performing? -- Alexandria Real Estate Equities, Boston Properties, Columbia Property Trust, and DuPont Fabros Technology",PR Newswire,/news/stocks/how-these-reit-stocks-are-performing-alexandria-real-estate-equities-boston-properties-columbia-property-trust-and-dupont-fabros-technology-1002092182,positive,0.9411421418190002
9,8/1/2017 11:59:22 PM,Boston Properties Inc. Q2 Income Climbs 17%,RTTNews,/news/stocks/boston-properties-inc-q2-income-climbs-17-1002224233,negative,0.9335228204727173
10,8/2/2017 12:07:03 AM,BRIEF-Boston Properties reports Q2 FFO per share of $1.67 (BXP),Reuters,http://www.businessinsider.com/r-brief-boston-properties-reports-q2-ffo-per-share-of-167-2017-8,positive,0.8546178340911865
