,datetime,title,source,link,sentiment_class,sentiment_score
0,10/24/2016 10:28:21 PM,BRIEF-Cadence Q3 GAAP earnings per share $0.23 (CDNS),Reuters,http://www.businessinsider.com/r-brief-cadence-q3-gaap-earnings-per-share-023-2016-10,positive,0.8673359751701355
1,12/15/2016 5:34:05 PM,BRIEF-Cadence Design Systems says Sentons licensed Cadence Tensilica ConnX BB32EP DSP for new ultrasound technology (CDNS),Reuters,http://www.businessinsider.com/r-brief-cadence-design-systems-says-sentons-licensed-cadence-tensilica-connx-bb32ep-dsp-for-new-ultrasound-technology-2016-12,positive,0.5075997114181519
2,2/1/2017 11:00:11 PM,BRIEF-Cadence Design Systems Inc says entered into a $350 mln 5 year senior unsecured revolving credit facility (CDNS),Reuters,http://www.businessinsider.com/r-brief-cadence-design-systems-inc-says-entered-into-a-350-mln-5-year-senior-unsecured-revolving-credit-facility-2017-2,negative,0.5048386454582214
3,2/1/2017 11:02:04 PM,Cadence Design Systems Reports 0% Rise In Q4 Profit,RTTNews,/news/stocks/cadence-design-systems-reports-0-rise-in-q4-profit-1001715399,negative,0.9420263171195984
4,2/1/2017 11:16:07 PM,BRIEF-Cadence reports Q4 and fiscal year 2016 financial results (CDNS),Reuters,http://www.businessinsider.com/r-brief-cadence-reports-q4-and-fiscal-year-2016-financial-results-2017-2,positive,0.899914026260376
5,2/1/2017 11:39:39 PM,Cadence Design Systems Issues Business Outlook - Quick Facts ,RTTNews,/news/stocks/cadence-design-systems-issues-business-outlook-quick-facts-1001715496,positive,0.929442286491394
6,2/23/2017 4:16:12 PM,"UPDATE 1-Siemens set to win EU approval for $4.5 bln Mentor deal - sources (SIE, SNPS, CDNS, MENT)",Reuters,http://www.businessinsider.com/r-update-1-siemens-set-to-win-eu-approval-for-45-bln-mentor-deal---sources-2017-2,negative,0.8906449675559998
7,2/23/2017 4:45:00 PM,Waves Nx VR Audio Technology Now Available for Cadence Tensilica HiFi Audio DSPs,PR Newswire,/news/stocks/waves-nx-vr-audio-technology-now-available-for-cadence-tensilica-hifi-audio-dsps-1001778025,positive,0.8502296209335327
8,2/27/2017 1:20:00 PM,"Application Software Stocks on Investors' Radar -- Mobileye, Workday, Cadence Design Systems, and Splunk",PR Newswire,/news/stocks/application-software-stocks-on-investors-radar-mobileye-workday-cadence-design-systems-and-splunk-1001785600,positive,0.9370169639587402
9,2/27/2017 4:45:00 PM,Cadence Launches Protium S1 FPGA-Based Prototyping Platform for Early Software Development,PR Newswire,/news/stocks/cadence-launches-protium-s1-fpga-based-prototyping-platform-for-early-software-development-1001786645,positive,0.7773870825767517
