datetime,title,source,link,sentiment_class,sentiment_score
10/19/2016 12:20:24 PM,BRIEF-Centerpoint Energy says targets 4-6% eps growth through 2018 (CNP),Reuters,/news/stocks/brief-centerpoint-energy-says-targets-4-6percent-eps-growth-through-2018-cnp-1001463839,positive,0.804315447807312
10/27/2016 3:26:18 AM,BRIEF-Centerpoint Energy says increased size of board to 10 directors (CNP),Reuters,http://www.businessinsider.com/r-brief-centerpoint-energy-says-increased-size-of-board-to-10-directors-2016-10,positive,0.5471459627151489
10/28/2016 2:28:18 AM,BRIEF-Centerpoint Energy sets quarterly dividend of $0.2575 per share (CNP),Reuters,http://www.businessinsider.com/r-brief-centerpoint-energy-sets-quarterly-dividend-of-02575-per-share-2016-10,neutral,0.8605949282646179
11/4/2016 1:14:20 PM,BRIEF-Centerpoint energy reports Q3 EPS of $0.41 (CNP),Reuters,http://www.businessinsider.com/r-brief-centerpoint-energy-reports-q3-eps-of-041-2016-11,neutral,0.7447519898414612
11/22/2016 1:48:18 PM,BRIEF-CenterPoint Energy provides notice of redemption (CNP),Reuters,http://www.businessinsider.com/r-brief-centerpoint-energy-provides-notice-of-redemption-2016-11,neutral,0.9443145990371704
1/5/2017 11:26:03 PM,BRIEF-Centerpoint Energy increases quarterly dividend by 4 pct (CNP),Reuters,http://www.businessinsider.com/r-brief-centerpoint-energy-increases-quarterly-dividend-by-4-pct-2017-1,positive,0.8903566002845764
2/14/2017 4:32:11 PM,UPDATE 1-Tornado warning issued for Houston area; twister hits 30 miles away (CNP),Reuters,http://www.businessinsider.com/r-update-1-tornado-warning-issued-for-houston-area-twister-hits-30-miles-away-2017-2,negative,0.8058079481124878
2/28/2017 12:30:00 PM,CenterPoint Energy reports full year 2016 earnings of $1.00 per diluted share; $1.16 per diluted share on a guidance basis,PR Newswire,/news/stocks/centerpoint-energy-reports-full-year-2016-earnings-of-1-00-per-diluted-share-1-16-per-diluted-share-on-a-guidance-basis-1001789394,neutral,0.8486309051513672
2/28/2017 12:34:12 PM,CenterPoint Energy Inc Profit Drops 3% In Q4,RTTNews,/news/stocks/centerpoint-energy-inc-profit-drops-3-in-q4-1001789410,negative,0.9739630222320557
2/28/2017 12:45:46 PM,CenterPoint Energy Backs 2017 EPS View ,RTTNews,/news/stocks/centerpoint-energy-backs-2017-eps-view-1001789488,neutral,0.9080293774604797
