,datetime,title,source,link,sentiment_class,sentiment_score
0,10/27/2016 11:16:20 PM,BRIEF-Camden Property Trust announces Q3 2016 operating results (CPT),Reuters,http://www.businessinsider.com/r-brief-camden-property-trust-announces-q3-2016-operating-results-2016-10,positive,0.8433548808097839
1,2/7/2017 10:58:39 PM,Camden Property Trust Q4 Profit Drops 2%,RTTNews,/news/stocks/camden-property-trust-q4-profit-drops-2-1001730988,neutral,0.9716137647628784
2,2/7/2017 11:19:44 PM,Camden Property Trust Issues Earnings Guidance - Quick Facts ,RTTNews,/news/stocks/camden-property-trust-issues-earnings-guidance-quick-facts-1001731044,positive,0.9394989013671875
3,3/21/2017 12:45:00 PM,"How These REIT Stocks are Faring? -- Capstead, American Campus, Camden, and EdR",PR Newswire,/news/stocks/how-these-reit-stocks-are-faring-capstead-american-campus-camden-and-edr-1001853475,positive,0.9228196740150452
4,5/4/2017 11:33:24 PM,Camden Property Trust Reveals 10% Decline In Q1 Bottom Line,RTTNews,/news/stocks/camden-property-trust-reveals-10-decline-in-q1-bottom-line-1001981767,neutral,0.9751596450805664
5,5/5/2017 1:00:05 AM,BRIEF-Camden Property Trust qtrly earnings per share $0.39 (CPT),Reuters,http://www.businessinsider.com/r-brief-camden-property-trust-qtrly-earnings-per-share-039-2017-5,positive,0.785297691822052
6,5/12/2017 1:10:00 PM,"Research Reports Coverage on REIT Stocks -- Camden Property Trust, Independence Realty Trust, ARMOUR Residential REIT, and EdR",PR Newswire,/news/stocks/research-reports-coverage-on-reit-stocks-camden-property-trust-independence-realty-trust-armour-residential-reit-and-edr-1002007915,positive,0.9456719756126404
7,5/15/2017 6:40:05 PM,"BRIEF-Camden Property Trust files for potential mixed shelf offfering, size not disclosed (CPT)",Reuters,http://www.businessinsider.com/r-brief-camden-property-trust-files-for-potential-mixed-shelf-offfering-size-not-disclosed-2017-5,positive,0.7664452195167542
8,6/27/2017 1:05:00 PM,"Stock Performance Review on REIT Industry -- AvalonBay Communities, Capstead Mortgage, Camden Property Trust, and EdR",PR Newswire,/news/stocks/stock-performance-review-on-reit-industry-avalonbay-communities-capstead-mortgage-camden-property-trust-and-edr-1002126890,positive,0.9374986886978149
9,7/27/2017 11:25:11 PM,Camden Property Trust Q2 Earnings Decline 1%,RTTNews,/news/stocks/camden-property-trust-q2-earnings-decline-1-1002212695,neutral,0.9707505702972412
10,8/9/2017 12:30:00 PM,"Today's Research Report Coverage on REIT Stocks -- AvalonBay Communities, Capstead Mortgage, Camden Property Trust, and EdR",PR Newswire,/news/stocks/today-s-research-report-coverage-on-reit-stocks-avalonbay-communities-capstead-mortgage-camden-property-trust-and-edr-1002243809,positive,0.9499093890190125
11,8/28/2017 6:12:09 PM,BRIEF-Camden Property Trust provides update on impact from Hurricane Harvey (CPT),Reuters,http://www.businessinsider.com/r-brief-camden-property-trust-provides-update-on-impact-from-hurricane-harvey-2017-8,positive,0.9221943616867065
12,9/5/2017 11:07:15 PM,BRIEF-Camden Property Q3 to incur $2.5-$3 mln in costs due to Hurricane Harvey​ (CPT),Reuters,http://www.businessinsider.com/r-brief-camden-property-q3-to-incur-25-3-mln-in-costs-due-to-hurricane-harvey-2017-9,neutral,0.9640307426452637
13,9/12/2017 6:02:26 AM,Camden Property Trust Prices Public Offering Of 4.75 Mln Shares For $445.3 Mln ,RTTNews,/news/stocks/camden-property-trust-prices-public-offering-of-4-75-mln-shares-for-445-3-mln-1002359946,positive,0.9287174940109253
14,9/18/2017 10:32:07 PM,BRIEF-Camden Property Trust provides update on projected expenses related to Hurricane Irma (CPT),Reuters,http://www.businessinsider.com/r-brief-camden-property-trust-provides-update-on-projected-expenses-related-to-hurricane-irma-2017-9,positive,0.8524045944213867
15,9/26/2017 2:00:00 PM,Veritas Announces 2017 Americas Partner Award Winners,PR Newswire,/news/stocks/veritas-announces-2017-americas-partner-award-winners-510873,positive,0.7679868936538696
16,10/26/2017 10:53:19 PM,EARNINGS SUMMARY: Details of Camden Property Trust Q3 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-camden-property-trust-q3-earnings-report-1005747969,positive,0.9204683303833008
17,10/26/2017 11:41:53 PM,Camden Lowers 2017 Earnings Guidance - Quick Facts ,RTTNews,/news/stocks/camden-lowers-2017-earnings-guidance-quick-facts-1005752784,neutral,0.6185050010681152
18,2/1/2018 10:44:28 PM,EARNINGS SUMMARY: Details of Camden Property Trust Q4 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-camden-property-trust-q4-earnings-report-1014838181,positive,0.9172120690345764
19,5/3/2018 10:40:41 PM,Camden Property Trust Q1 adjusted earnings of $1.04 per share,RTTNews,/news/stocks/camden-property-trust-q1-adjusted-earnings-of-1-04-per-share-1023305711,positive,0.8798734545707703
20,6/19/2018 2:15:00 PM,IIROC Trading Resumption - BTR; MTO,PR Newswire,/news/stocks/iiroc-trading-resumption-btr;-mto-540069,positive,0.7405948042869568
21,7/31/2018 3:02:53 PM,Here's what Wall Street expects from Camden Property Trust's earnings,Markets Insider Automation,/news/stocks/camden_property_trust-q2-earnings-preview-stock-1027416569,positive,0.9312423467636108
22,10/23/2018 3:02:10 PM,Here's what Wall Street expects from Camden Property Trust's earnings report,Markets Insider Automation,/news/stocks/camden_property_trust-q3-earnings-preview-1027644529,positive,0.8981812000274658
23,1/29/2019 3:02:02 PM,Here's what Wall Street expects from Camden Property Trust's earnings,Markets Insider Automation,/news/stocks/camden_property_trust-stock-quarter-earnings-preview-q4-1027905089,positive,0.9312423467636108
24,1/31/2019 10:25:39 PM,Camden Property Trust Q4 adjusted earnings of $0.99 per share,RTTNews,/news/stocks/camden-property-trust-q4-adjusted-earnings-of-0-99-per-share-1027914718,positive,0.8373983502388
25,4/30/2019 3:02:46 PM,Here's what Wall Street expects from Camden Property Trust's earnings report,Markets Insider Automation,/news/stocks/camden_property_trust-stock-quarter-earnings-preview-q1-1028153713,positive,0.8981812000274658
26,5/8/2019 10:49:00 PM,Camden Property Trust -- Moody's announces completion of a periodic review of ratings of Camden Property Trust,Moodys,/news/bonds/camden-property-trust-moody-s-announces-completion-of-a-periodic-review-of-ratings-of-camden-property-trust-1028183760,positive,0.8734441995620728
27,7/17/2019 7:41:00 PM,Camden Property Trust -- Moody's affirms Camden's senior unsecured rating at A3; stable outlook,Moodys,/news/bonds/camden-property-trust-moody-s-affirms-camden-s-senior-unsecured-rating-at-a3-stable-outlook-1028362057,negative,0.9031665325164795
28,7/23/2019 3:02:02 PM,Camden Property Trust earnings: here's what Wall Street expects,Markets Insider Automation,/news/stocks/camden_property_trust-stock-price-q2-earnings-preview-1028376225,positive,0.9312499165534973
29,9/26/2019 7:15:39 PM,7 Rental REITs to Buy Regardless of a Recession,InvestorPlace,/news/stocks/7-rental-reits-to-buy-regardless-of-a-recession-1028558177,positive,0.8863661289215088
30,10/31/2019 9:23:38 PM,Camden Property Trust Q3 adjusted earnings of $1.09 per share,RTTNews,/news/stocks/camden-property-trust-q3-adjusted-earnings-of-1-09-per-share-1028649837,positive,0.8785614371299744
31,1/29/2020 3:02:11 PM,Camden Property Trust earnings preview: what to expect,Markets Insider Automation,/news/stocks/camden_property_trust-q4-earnings-preview-stock-1028855295,positive,0.8915725946426392
