,datetime,title,source,link,sentiment_class,sentiment_score
0,9/7/2005 7:07:00 PM,DuPont Names William Niebur to Lead Crop Genetics Research and Development,PR Newswire,/news/stocks/dupont-names-william-niebur-to-lead-crop-genetics-research-and-development-1024195022,positive,0.9353426098823547
1,7/10/2006 5:07:00 PM,Rohm and Haas Electronic Materials and Dow Corning Corporation Announce Collaboration in Spin-on Silicon Hardmask Technology,PR Newswire,/news/stocks/rohm-and-haas-electronic-materials-and-dow-corning-corporation-announce-collaboration-in-spin-on-silicon-hardmask-technology-1001174522,negative,0.6811650991439819
2,10/12/2007 12:39:00 PM,New MEGUM(TM) Adhesive Brings Cost Saving 'Mettle' Bonding Rubber to Metal,PR Newswire,/news/stocks/new-megum-tm-adhesive-brings-cost-saving-mettle-bonding-rubber-to-metal-1029588021,negative,0.7943316102027893
3,2/13/2008 2:15:00 PM,DuPont Launches Corian(R) Illumination Series,PR Newswire,/news/stocks/dupont-launches-corian-r-illumination-series-1030526162,positive,0.9317943453788757
4,3/28/2008 12:32:00 PM,Dow Publishes Its 2007 Report to Stockholders,PR Newswire,/news/stocks/dow-publishes-its-2007-report-to-stockholders-1029041129,positive,0.9349946975708008
5,5/16/2008 2:00:00 PM,Dow Corning Opens Solar Module & Assembly Application Center,PR Newswire,/news/stocks/dow-corning-opens-solar-module-&-assembly-application-center-581402,positive,0.933830201625824
6,12/12/2012 6:59:30 PM,"DuPont curtailing spending due to ""fiscal cliff""",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/WzJ_EufEiXA/us-dupont-spending-idUSBRE8BB1EF20121212,neutral,0.9561637043952942
7,2/21/2013 4:20:46 AM,Jury orders Dow Chemical to pay $400 million in price-fixing case,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/TM7qBJvmD-s/us-dowchemical-urethane-idUSBRE91K00C20130221,neutral,0.9345563650131226
8,3/14/2013 2:29:14 PM,Dow Chemical looking to raise $1.5 billion from asset sales,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/GeK4fkX3s_g/us-dowchemical-assetsales-idUSBRE92D0NY20130314,negative,0.7176179885864258
9,3/26/2013 5:13:06 PM,"Monsanto, DuPont settle lawsuits, set new $1.75 billion deal",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/KMOIMZMkWfM/story01.htm,positive,0.8056349158287048
10,4/23/2013 1:29:37 PM,"DuPont profit beats estimates on demand for agriculture chemicals, seeds",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/ECO8-wpEqoc/story01.htm,negative,0.903986394405365
11,4/25/2013 1:51:16 PM,Dow Chemical profit beats estimates as sales of farm products jump,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/CFALqy5sQNA/story01.htm,negative,0.7864819169044495
12,5/7/2013 3:43:47 PM,Dow Chemical receives $2.2 billion as damages from Kuwait co,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/671Yf__XguU/story01.htm,neutral,0.9255515933036804
13,5/16/2013 3:55:57 AM,Judge orders Dow Chemical to pay $1.2 billion in price-fixing case,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Xnan_bkdRXI/story01.htm,neutral,0.9429970979690552
14,6/13/2013 3:39:05 PM,DuPont says wet spring to hit operating profit,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/8ajcplu6LCM/story01.htm,neutral,0.5259184241294861
15,7/23/2013 12:21:19 PM,DuPont says may sell or spin off paint pigments business,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/yOXt_4Izc1o/story01.htm,positive,0.6113436222076416
16,7/25/2013 1:11:14 PM,Dow Chemical profit shoots up 72 percent,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/xhwcC-cDJnw/story01.htm,negative,0.9348282217979431
17,10/22/2013 12:31:30 PM,"DuPont revenue rises on demand for plastics, solar panel parts",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/X2pe05otghw/story01.htm,negative,0.9378659725189209
18,10/24/2013 1:19:55 PM,Dow Chemical says looking to raise $3-$4 billion from assets sales,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/zL3DG8o6dtg/story01.htm,negative,0.6220613718032837
19,10/24/2013 11:46:48 PM,"Bowing to Wall St., DuPont to spin off titanium dioxide unit",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/b_A57AYwBZk/story01.htm,positive,0.9110249876976013
20,11/8/2013 9:07:20 AM,"DuPont, with Deere & Co, to roll out precision farming program",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/8htMirkKxj4/story01.htm,negative,0.5119895339012146
21,12/2/2013 3:05:45 PM,Dow Chemical to exit century-old chlorine business,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/OW79MoRUWTE/story01.htm,positive,0.9116405248641968
22,3/3/2014 7:02:08 AM,Voltas gains on water treatment JV with Dow Chemical,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/-RlBVpMTISs/story01.htm,negative,0.9300771951675415
23,3/5/2014 7:26:56 PM,U.S. says businessman convicted in DuPont economic espionage case,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/fcBPqlDiYGc/story01.htm,neutral,0.7233522534370422
24,3/5/2014 9:43:31 PM,U.S. businessman convicted in DuPont economic espionage case,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/W_4-LAxBuP4/story01.htm,neutral,0.6734429597854614
25,4/3/2014 5:56:53 PM,US court voids $920 million DuPont award in Kevlar case,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/LWckEhqjeZs/story01.htm,neutral,0.9346040487289429
26,4/17/2014 12:18:18 PM,DuPont profit falls 57 percent after sale of performance coating unit,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/T1V3NRI9Sjs/story01.htm,neutral,0.969271183013916
27,4/23/2014 1:43:27 PM,"Dow Chemical profit rises 75% on strong plastics pricing, margins",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/9SG5vj-ARrg/story01.htm,negative,0.95000159740448
28,6/26/2014 10:30:04 PM,"DuPont cuts second-quarter, full-year operating profit forecast",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/tYFik65nNek/story01.htm,neutral,0.9664353728294373
29,6/27/2014 10:14:52 PM,Tech leads Wall Street higher but DuPont drags,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/gxU9e7UMbZY/story01.htm,neutral,0.8767073750495911
30,8/14/2014 12:03:34 AM,Carlyle taps banks for former DuPont unit IPO: sources,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/UkE4Rat3-JY/story01.htm,positive,0.9344039559364319
31,9/17/2014 4:06:24 PM,Wall St climbs ahead of Fed statement; DuPont jumps,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/WhElSmqEdhI/story01.htm,positive,0.6858417391777039
32,9/17/2014 4:13:05 PM,Wall St climbs ahead of Fed statement; DuPont jumps,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/uNs_hlBU6q0/story01.htm,positive,0.6858417391777039
33,9/17/2014 7:16:10 PM,Activist investor Peltz pushes DuPont to split itself,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/p-tftOTFhdU/story01.htm,neutral,0.517626941204071
34,10/22/2014 2:21:57 PM,Dow Chemical profit beats as plastics sales rise,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/CkLRsPmn1mk/story01.htm,negative,0.7045168876647949
35,10/22/2014 2:24:54 PM,"Boeing, Dow Chemical among biggest premarket movers",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/ALtWT83et1Y/story01.htm,positive,0.7521747350692749
36,10/28/2014 11:23:41 AM,DuPont profit jumps 52 percent as margins improve,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/kSgeEdIkhHc/story01.htm,negative,0.9461268186569214
37,11/12/2014 2:27:40 PM,"Dow Chemical to buy $5 billion more in shares, raises dividend",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/EtR79yqbvBE/story01.htm,negative,0.7191480994224548
38,11/21/2014 4:55:10 PM,"Dow Chemical, Loeb's Third Point settle board debate",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/3yj3XC1Kds8/story01.htm,positive,0.8820459246635437
39,11/24/2014 8:43:46 AM,"Dow Chemical CEO says not quitting Kuwait, but shifting strategy",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/3WHbc9dG0C0/story01.htm,positive,0.8420214056968689
40,1/9/2015 4:03:10 AM,Peltz escalates campaign to break up DuPont with board nominees,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/KuuitWn8yXw/story01.htm,neutral,0.6402620673179626
41,1/27/2015 12:26:43 PM,DuPont to buy back up to $4 billion in shares after unit spinoff,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/moyVifLmlGQ/story01.htm,positive,0.6385906934738159
42,1/29/2015 3:55:45 PM,Dow Chemical profit beats Street estimate as farm margins jump,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/XxgZN_MG6tY/story01.htm,negative,0.8311353325843811
43,2/4/2015 12:44:48 AM,DuPont meets with Trian's board nominees: sources,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Ce9m8TSJa9E/story01.htm,positive,0.9340459704399109
44,2/11/2015 7:43:49 PM,Peltz softens stance on splitting DuPont,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/AABAwhTpO9Y/story01.htm,neutral,0.4505288302898407
45,2/17/2015 6:59:11 PM,DuPont strikes back at Peltz as proxy war heats up,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/KoKZUepO5js/story01.htm,neutral,0.9250705242156982
46,3/4/2015 3:20:12 AM,DuPont rejects activist request to change how directors are elected,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Qk0PuFkZD6g/story01.htm,positive,0.6381514668464661
47,3/13/2015 9:33:42 PM,DuPont rejects four Peltz nominees,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/9mTkzEOuwqQ/story01.htm,positive,0.4867109954357147
48,3/16/2015 4:03:46 PM,Trian says DuPont shareholders back push for board seat,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/-KktvfoJ3Kc/story01.htm,positive,0.6516891717910767
49,3/23/2015 11:42:37 AM,DuPont to hold annual shareholder meeting on May 13,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/IIq-H4-7sr8/story01.htm,positive,0.9439148306846619
50,3/30/2015 7:06:56 AM,Exclusive: Fidelity moves to end DuPont proxy battle - sources,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/ICEnOIwx1nw/story01.htm,positive,0.8469270467758179
51,4/13/2015 9:12:24 PM,Trian complains about executive pay at DuPont,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/Z4YyCS5vu20/story01.htm,neutral,0.9600692391395569
52,4/21/2015 2:04:52 PM,DuPont says strong dollar to have bigger impact than expected,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/bD49NjtjBMA/story01.htm,negative,0.8657824993133545
53,4/22/2015 6:46:57 PM,"DuPont buys microbiome firm, seeks edge in emerging crop products",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/4e1BGQ0Hby8/story01.htm,negative,0.8364096283912659
54,4/28/2015 1:58:08 AM,DuPont open to last-minute settlement talks with activist: sources,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/m0AeCFZg6-U/story01.htm,positive,0.8867600560188293
55,5/13/2015 2:55:39 PM,Dupont expected to win proxy fight against Peltz: CNBC,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Z91wxYNLJdk/story01.htm,positive,0.877527117729187
56,6/4/2015 7:39:51 PM,Exclusive: SEC investigates allegations of misspending by Dow Chemical CEO: sources,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/OUMuNiLeaSk/story01.htm,positive,0.6381186842918396
57,6/5/2015 3:10:30 AM,Exclusive: SEC investigates allegations of misspending by Dow Chemical CEO - sources,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/zrj0hdilevg/story01.htm,positive,0.5583215355873108
58,7/23/2015 1:49:16 PM,Dow Chemical profit beats estimates as margins continue to expand,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/PjcYp8HdeqI/story01.htm,negative,0.9152331352233887
59,7/28/2015 5:12:33 PM,DuPont sees 'challenging' months ahead as farm sales weaken,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/8-f1yz-9UlQ/story01.htm,neutral,0.9153854846954346
60,9/14/2015 7:19:24 AM,DuPont to face first trial over C-8 exposure,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/9ulEUiTxeqE/story01.htm,negative,0.49851104617118835
61,9/23/2015 1:12:05 AM,OSHA releases documents filed in complaint against Dow Chemical,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/mmcaCpsAuZs/story01.htm,positive,0.8202337622642517
62,9/30/2015 11:30:09 PM,DuPont CEO Kullman: 'Crucial' to engage with all stakeholders,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/_SKSzxM6fPs/story01.htm,negative,0.7524588108062744
63,10/5/2015 10:28:18 PM,DuPont CEO Ellen Kullman to retire,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/YlCG7YEUbzI/story01.htm,positive,0.778559148311615
64,10/6/2015 2:30:23 AM,DuPont CEO Kullman steps down; veteran executive Breen named interim CEO,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/LhMe1Y4PobY/story01.htm,neutral,0.7164096832275391
65,10/7/2015 1:19:03 AM,DuPont CEO departure buys time to appease Peltz,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/BzVKsSF70Fg/story01.htm,neutral,0.8720003962516785
66,10/22/2015 12:56:51 PM,Dow Chemical profit surges 51.4 percent,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/rfD7BxzXbYQ/story01.htm,negative,0.8657023310661316
67,10/27/2015 12:16:36 PM,"DuPont sees sales falling on strong dollar, weak farm demand",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/lX-qdJFuK6s/story01.htm,neutral,0.9745277166366577
68,11/2/2015 4:09:09 PM,DuPont to consolidate some businesses within two units,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/aZ8NnOM1YQk/story01.htm,positive,0.9079081416130066
69,11/9/2015 12:54:51 PM,DuPont appoints Edward Breen permanent CEO,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/DJ1PGm0t2FM/story01.htm,positive,0.8884798288345337
70,12/9/2015 1:57:02 AM,"Dow Chemical, DuPont in advanced merger talks: WSJ",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Yr4QQEIl_M8/story01.htm,positive,0.9149644374847412
71,12/9/2015 7:17:12 AM,Dow Chemical and DuPont in merger talks - sources,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/7VHy4e73K4E/story01.htm,positive,0.9278530478477478
72,12/9/2015 2:40:48 PM,"Dow Chemical, DuPont in merger talks - sources",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/-d9l-GjVeWg/story01.htm,positive,0.9233015179634094
73,12/9/2015 7:09:20 PM,"Dow, DuPont soar on prospect of $130 billion chemicals merger",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/fxFgVxwFsjA/story01.htm,neutral,0.48111358284950256
74,12/10/2015 12:25:56 AM,"Any DuPont, Dow Chemical marriage could reignite European deals",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/aedOLZeJkXo/story01.htm,neutral,0.8633816838264465
75,12/10/2015 2:05:00 AM,"Dow, DuPont soar on prospect of $130 billion merger 'Christmas present'",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/cSKFzj0MZoM/story01.htm,neutral,0.5761554837226868
76,12/11/2015 12:55:08 PM,"Dow, DuPont to merge in deal valuing chemical giants at $130 billion",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/OtA47lbTRt0/story01.htm,positive,0.7317073941230774
77,12/11/2015 2:32:04 PM,Dow and DuPont to merge in deal to create $130 billion chemical giant,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/uLwrl2qLw5s/story01.htm,positive,0.7598455548286438
78,12/12/2015 1:56:12 AM,"Dow, DuPont set $130 billion megamerger, could spark more deals",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/nDbaiVi3F5I/story01.htm,neutral,0.6890581846237183
79,12/14/2015 1:51:12 AM,Third Point's Loeb calls for removal of Dow Chemical chief Liveris: WSJ,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/l7d8FEcHihI/story01.htm,neutral,0.6495717167854309
80,12/15/2015 12:29:27 PM,"Dow, DuPont eye big tax savings in rare merger of equals",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Gq24c86DA3c/story01.htm,negative,0.770399272441864
81,12/29/2015 7:19:28 PM,"DuPont to cut 1,700 jobs in Delaware",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/ooZmTuBNXfc/story01.htm,neutral,0.969072699546814
82,1/15/2016 6:28:17 PM,DuPont layoffs before merger a credit negative for Delaware: Moody's,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/iOTEqh3OwSE/story01.htm,neutral,0.9445058703422546
83,1/26/2016 12:35:52 PM,DuPont sales drop on strong dollar,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/epg_xn7LSL8/story01.htm,neutral,0.9630714058876038
84,1/29/2016 12:18:30 AM,DuPont faces 40 trials a year over cancer tied to Teflon chemical,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/jI3EF9ueYEI/story01.htm,neutral,0.5871320366859436
85,2/2/2016 5:19:44 PM,Dow Chemical CEO Liveris to step down by mid-2017,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Wzgnv0HUpx8/story01.htm,positive,0.6438336968421936
86,3/3/2016 4:13:09 PM,"Dow, DuPont CEOs to get $80 million in 'golden parachute' payouts",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/HDf_Q99GkRw/story01.htm,negative,0.7722143530845642
87,3/7/2016 10:36:00 AM,BASF shares fall after report it is weighing DuPont bid,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/HR166eTPBYs/story01.htm,neutral,0.9564365148544312
88,4/26/2016 6:47:33 AM,"DuPont raises full-year outlook, first-quarter results beat forecast",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/BfbKx2KoCM0/us-du-pont-results-idUSKCN0XN03Y,negative,0.9217064380645752
89,4/26/2016 3:35:44 PM,DuPont expects SEC review of Dow deal to end by June 30,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/sfbAH2xJQpk/us-dupont-results-idUSKCN0XN1M9,positive,0.829268217086792
