,datetime,title,source,link,sentiment_class,sentiment_score
0,4/13/2005 3:37:00 PM,"MORNING UPDATE: brokersXpress, LLC issues alerts for MSFT, TIVO, PBG, ",PR Newswire,/news/stocks/morning-update-brokersxpress-llc-issues-alerts-for-msft-tivo-pbg-1010866100,positive,0.9027669429779053
1,2/23/2006 3:02:00 PM,Deere & Company Announces Cash Tender Offer for Debt Securities; Seeks to Use Approximately $500 Million to Repurchase Outstanding Notes,PR Newswire,/news/stocks/deere-company-announces-cash-tender-offer-for-debt-securities-seeks-to-use-approximately-500-million-to-repurchase-outstanding-notes-1018080601,negative,0.5385600328445435
2,8/28/2007 3:17:00 PM,"Seven Summits Research Releases Comments on C, DE, XMSR, TOL, and GFI",PR Newswire,/news/stocks/seven-summits-research-releases-comments-on-c-de-xmsr-tol-and-gfi-276569,positive,0.9442508220672607
3,1/2/2008 2:31:00 PM,"Seven Summits Research Releases Alerts on MSFT, PBR, DE, FDX, and MELI",PR Newswire,/news/stocks/seven-summits-research-releases-alerts-on-msft-pbr-de-fdx-and-meli-1002273515,positive,0.9457293748855591
4,9/24/2016 1:00:22 AM,"U.S. business borrowing for equipment up 12 pct in Sept. - ELFA (BAC, BBT, CAT, CIT, DE, SIE, VOLV )",Reuters,http://www.businessinsider.com/r-us-business-borrowing-for-equipment-up-12-pct-in-sept---elfa-2016-10,negative,0.9437745809555054
5,10/7/2016 10:20:21 PM,"Disruptions to stores, ports, plants spread ahead of Hurricane Matthew (DE, BMW, 7267, NKE, LUV, UAL, DAL, BA, WMT, CAT, WBC, SPLS)",Reuters,/news/stocks/disruptions-to-stores-ports-plants-spread-ahead-of-hurricane-matthew-de-bmw-7267-nke-luv-ual-dal-ba-wmt-cat-wbc-spls-1001444345,neutral,0.9493728280067444
6,10/7/2016 11:50:22 PM,"UPDATE 1-Hurricane Matthew disrupts stores, plants and transport (DE, BMW, 7267, NKE, LUV, UAL, DAL, BA, WMT, CAT, WBC, SPLS, AMZN, GD, CMI)",Reuters,/news/stocks/update-1-hurricane-matthew-disrupts-stores-plants-and-transport-de-bmw-7267-nke-luv-ual-dal-ba-wmt-cat-wbc-spls-amzn-gd-cmi-1001444584,neutral,0.9355160593986511
7,10/13/2016 12:00:26 PM,"BRIEF-Deere reaches agreement to enable AG Leader to offer products sold by Precision Planting (DE, MON)",Reuters,/news/stocks/brief-deere-reaches-agreement-to-enable-ag-leader-to-offer-products-sold-by-precision-planting-de-mon-1001453081,negative,0.9165369272232056
8,10/14/2016 9:40:23 AM,"Deere responds to U.S. Justice Dept move to block acquisition (DE, MON)",Reuters,/news/stocks/deere-responds-to-u-s-justice-dept-move-to-block-acquisition-de-mon-1001455688,positive,0.6623226404190063
9,11/9/2016 10:36:20 PM,"UPDATE 1-Trump win boosts coal, hits renewable stocks (CAT, DE, PCAR, NAV, NSC, BRK., VWS, NDX1, TSLA, GAM, SIE, EDPR)",Reuters,http://www.businessinsider.com/r-update-1-trump-win-boosts-coal-hits-renewable-stocks-2016-11,negative,0.8717487454414368
10,11/23/2016 1:46:14 PM,Deere is surging after crushing earnings in a farming recession (DE),Business Insider,http://www.businessinsider.com/deere-earnings-beat-shares-rise-2016-11,neutral,0.8545371890068054
11,11/23/2016 2:44:20 PM,Deere posts lower quarterly earnings as sales remain sluggish (DE),Reuters,http://www.businessinsider.com/r-deere-posts-lower-quarterly-earnings-as-sales-remain-sluggish-2016-11,neutral,0.962062418460846
12,11/23/2016 2:50:18 PM,BRIEF-Deere sees FY 2017 sales down about 1 pct (DE),Reuters,http://www.businessinsider.com/r-brief-deere-sees-fy-2017-sales-down-about-1-pct-2016-11,neutral,0.9688891172409058
13,11/23/2016 2:58:20 PM,BRIEF-Deere & Co says sees FY 2017 net sales down about 1 pct (DE),Reuters,http://www.businessinsider.com/r-brief-deere--co-says-sees-fy-2017-net-sales-down-about-1-pct-2016-11,neutral,0.9711810350418091
14,11/23/2016 3:20:17 PM,UPDATE 1-Deere quarterly earnings beats estimates even as sales remain sluggish (DE),Reuters,http://www.businessinsider.com/r-update-1-deere-quarterly-earnings-beats-estimates-even-as-sales-remain-sluggish-2016-11,neutral,0.5657961964607239
15,12/7/2016 10:26:09 PM,BRIEF-Deere & Co announces quarterly dividend of $0.60 per share (DE),Reuters,http://www.businessinsider.com/r-brief-deere--co-announces-quarterly-dividend-of-060-per-share-2016-12,positive,0.7578176856040955
16,12/13/2016 7:06:05 AM,"Trump's tough trade talk makes U.S. firms fear China retribution (DE, GM, F, BA, CAT, AAPL, WMT, SBUX)",Reuters,http://www.businessinsider.com/r-trumps-tough-trade-talk-makes-us-firms-fear-china-retribution-2016-12,positive,0.7941871285438538
17,1/6/2017 5:40:03 PM,"US high-grade starts 2017 with third-largest week ever (BARC, LLOY, NAB, BNP, GLE, ACA, F, 3116, BRK., DE)",Reuters,http://www.businessinsider.com/r-us-high-grade-starts-2017-with-third-largest-week-ever-2017-1,positive,0.5814555287361145
18,1/11/2017 10:12:03 PM,"BRIEF-Deere & Co reports 14.9 pct passive stake in SiteOne Landscape Supply as of December 31, 2016 (DE)",Reuters,http://www.businessinsider.com/r-brief-deere--co-reports-149-pct-passive-stake-in-siteone-landscape-supply-as-of-december-31-2016-2017-1,positive,0.9499179124832153
19,1/31/2017 3:10:07 PM,"Global ag tech startup investments drop 30 pct in 2016 -study (DE, MON)",Reuters,http://www.businessinsider.com/r-global-ag-tech-startup-investments-drop-30-pct-in-2016--study-2017-1,neutral,0.9603741765022278
20,2/17/2017 12:54:12 PM,Deere And Co Earnings Decline 24% In Q1,RTTNews,/news/stocks/deere-and-co-earnings-decline-24-in-q1-1001760913,neutral,0.9733452796936035
21,2/17/2017 1:06:06 PM,Deere revenue rises 1.8 pct (DE),Reuters,http://www.businessinsider.com/r-deere-revenue-rises-18-pct-2017-2,negative,0.8967869877815247
