,datetime,title,source,link,sentiment_class,sentiment_score
0,12/5/2005 10:02:00 PM,Danaher Announces Appointment of Linda P. Hefner as Director,PR Newswire,/news/stocks/danaher-announces-appointment-of-linda-p-hefner-as-director-1027819615,positive,0.8316099643707275
1,11/7/2013 11:35:22 PM,"Danaher, Blackstone pursue joint bid for J&J unit: sources",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/jn0psSklpww/story01.htm,positive,0.9252896308898926
2,11/8/2013 12:03:12 AM,"EXCLUSIVE: Danaher, Blackstone pursue joint bid for J&J unit - sources",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/gk47mvY11Es/story01.htm,positive,0.932366132736206
3,9/15/2014 1:19:17 PM,Danaher to buy Nobel Biocare for $2.2 billion,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/PWFdGVFwf5k/story01.htm,positive,0.9026907682418823
4,9/15/2014 4:03:11 PM,Danaher to buy Nobel Biocare for $2.2 billion,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/sba0NJ5HNns/story01.htm,positive,0.9026907682418823
5,10/20/2016 1:36:20 PM,BRIEF-Danaher reports Q3 earnings per share $0.57 (DHR),Reuters,http://www.businessinsider.com/r-brief-danaher-reports-q3-earnings-per-share-057-2016-10,positive,0.8362010717391968
6,10/21/2016 2:58:22 PM,"U.S. RESEARCH ROUNDUP-Alkermes, Chesapeake Energy Corp, Latam Airlines (AXAS, ALKS, BHE, SAM, CHK, CNS, CLW, CPA, CCK, LFL, DHR, EWBC, GXP, FTI, JAKK, MXIM, MSFT, PFBC, SLG, SIVB, PKG, TCBI, UBSH,...",Reuters,http://www.businessinsider.com/r-us-research-roundup-alkermes-chesapeake-energy-corp-latam-airlines-2016-10,positive,0.934694766998291
7,10/24/2016 2:42:21 PM,"BRIEF-Cepheid receives required regulatory clearances in proposed acquisition by Danaher (CPHD, DHR)",Reuters,http://www.businessinsider.com/r-brief-cepheid-receives-required-regulatory-clearances-in-proposed-acquisition-by-danaher-2016-10,negative,0.604082465171814
8,10/25/2016 10:28:28 PM,BRIEF-Danaher enters new $3 bln 364-day revolving credit facility (DHR),Reuters,http://www.businessinsider.com/r-brief-danaher-enters-new-3-bln-364-day-revolving-credit-facility-2016-10,negative,0.7031104564666748
9,11/10/2016 11:50:18 PM,"BRIEF-Third Point ups stake in Alphabet & Facebook, cuts in Charter (ATVI, GD, WMB, DVN, DHR, CHTR)",Reuters,http://www.businessinsider.com/r-brief-third-point-ups-stake-in-alphabet--facebook-cuts-in-charter-2016-11,positive,0.5423732995986938
10,12/15/2016 12:36:12 PM,BRIEF-Danaher initiates 2017 outlook (DHR),Reuters,http://www.businessinsider.com/r-brief-danaher-initiates-2017-outlook-2016-12,positive,0.8946184515953064
11,1/25/2017 5:20:08 PM,"Siemens to pick banks for Healthineers listing - sources (SIE, GS, PHIA, GE, 6502, ABT, BAX, BSX, AMBU , XRAY, DHR, EOAN, GNMK, BAYN)",Reuters,http://www.businessinsider.com/r-siemens-to-pick-banks-for-healthineers-listing---sources-2017-1,positive,0.9233325123786926
12,1/25/2017 5:56:05 PM,"UPDATE 1-Siemens to pick banks for blockbuster Healthineers listing - sources (SIE, GS, PHIA, GE, 6502, ABT, BAX, BSX, AMBU , XRAY, DHR, EOAN, GNMK, BAYN)",Reuters,http://www.businessinsider.com/r-update-1-siemens-to-pick-banks-for-blockbuster-healthineers-listing---sources-2017-1,positive,0.8406310081481934
13,1/31/2017 12:56:06 PM,BRIEF-Danaher reports Q4 earnings per share $1.07 (DHR),Reuters,http://www.businessinsider.com/r-brief-danaher-reports-q4-earnings-per-share-107-2017-1,positive,0.8505081534385681
14,2/21/2017 11:16:12 PM,BRIEF-Danaher appoints Raymond Stevens to its board (DHR),Reuters,http://www.businessinsider.com/r-brief-danaher-appoints-raymond-stevens-to-its-board-2017-2,positive,0.9383519291877747
15,3/1/2017 3:25:00 PM,FinancialBuzz.com Innovation in the Sample Preparation Market,PR Newswire,/news/stocks/financialbuzz-com-innovation-in-the-sample-preparation-market-1001795174,positive,0.8679515719413757
16,3/6/2017 11:42:21 AM,"RPT-BRIEF-Danaher Corporation's Product Identification Platform to buy AVT (VSJ, DHR)",Reuters,http://www.businessinsider.com/r-rpt-brief-danaher-corporations-product-identification-platform-to-buy-avt-2017-3,positive,0.7321434020996094
17,3/17/2017 12:15:00 PM,"Machinery Stocks Under Scanner - General Electric, Honeywell, Danaher, and ABB Ltd",PR Newswire,/news/stocks/machinery-stocks-under-scanner-general-electric-honeywell-danaher-and-abb-ltd-1001845544,positive,0.9376858472824097
18,3/20/2017 9:15:00 PM,Danaher Schedules First Quarter 2017 Earnings Conference Call,PR Newswire,/news/stocks/danaher-schedules-first-quarter-2017-earnings-conference-call-1001851610,positive,0.8833522200584412
19,3/23/2017 2:20:00 PM,FinancialBuzz.com: The Growth of the Sample Preparation Market,PR Newswire,/news/stocks/financialbuzz-com-the-growth-of-the-sample-preparation-market-1001862296,positive,0.8471361994743347
20,3/31/2017 1:50:48 PM,BRIEF-Danaher CEO's total compensation was about $13 million (DHR),Reuters,http://www.businessinsider.com/r-brief-danaher-ceos-total-compensation-was-about-13-million-2017-3,positive,0.5305448770523071
21,4/20/2017 12:00:00 PM,Danaher Reports First Quarter 2017 Results,PR Newswire,/news/stocks/danaher-reports-first-quarter-2017-results-1001933856,positive,0.8903723955154419
22,4/20/2017 12:04:29 PM,EARNINGS SUMMARY: Details of Danaher Corp. Q1 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-danaher-corp-q1-earnings-report-1001933868,positive,0.9235838055610657
23,4/20/2017 12:19:40 PM,"Danaher Q1 Profit Down, Adj. EPS Tops View; Backs FY17 Adj. EPS Forecast ",RTTNews,/news/stocks/danaher-q1-profit-down-adj-eps-tops-view-backs-fy17-adj-eps-forecast-1001933941,neutral,0.9624859690666199
24,4/20/2017 1:11:04 PM,BRIEF-Danaher Q1 earnings per share $0.69 (DHR),Reuters,http://www.businessinsider.com/r-brief-danaher-q1-earnings-per-share-069-2017-4,positive,0.7145974040031433
25,4/24/2017 12:15:00 PM,"Machinery Stocks on Investors' Radar -- General Electric, Honeywell, Danaher, and ABB Ltd",PR Newswire,/news/stocks/machinery-stocks-on-investors-radar-general-electric-honeywell-danaher-and-abb-ltd-1001941430,positive,0.9462906122207642
26,5/9/2017 10:15:00 PM,Danaher Announces Quarterly Dividend,PR Newswire,/news/stocks/danaher-announces-quarterly-dividend-1001996043,positive,0.8302990794181824
27,5/31/2017 12:00:00 PM,"Machinery Stocks Under Scanner -- General Electric, ABB Ltd, Danaher, and Honeywell",PR Newswire,/news/stocks/machinery-stocks-under-scanner-general-electric-abb-ltd-danaher-and-honeywell-1002053776,positive,0.7234923839569092
28,6/8/2017 10:15:00 PM,Danaher to Present at Goldman Sachs Global Healthcare Conference,PR Newswire,/news/stocks/danaher-to-present-at-goldman-sachs-global-healthcare-conference-1002079851,positive,0.9190328121185303
29,6/20/2017 2:11:00 PM,Danaher Announces Pricing Of Euro-Denominated Senior Notes Offering,PR Newswire,/news/stocks/danaher-announces-pricing-of-euro-denominated-senior-notes-offering-1002107415,positive,0.880486249923706
30,6/20/2017 2:18:06 PM,BRIEF-Danaher announces pricing of euro-denominated senior notes offering (DHR),Reuters,http://www.businessinsider.com/r-brief-danaher-announces-pricing-of-euro-denominated-senior-notes-offering-2017-6,positive,0.813291072845459
31,6/21/2017 10:15:00 PM,Danaher Schedules Second Quarter 2017 Earnings Conference Call,PR Newswire,/news/stocks/danaher-schedules-second-quarter-2017-earnings-conference-call-1002113695,positive,0.875985324382782
32,7/20/2017 12:06:59 PM,Danaher Corp. Profit Climbs 11% In Q2,RTTNews,/news/stocks/danaher-corp-profit-climbs-11-in-q2-1002190273,negative,0.9371871948242188
33,7/20/2017 12:18:33 PM,Danaher Lifts 2017 Profit View ,RTTNews,/news/stocks/danaher-lifts-2017-profit-view-1002190312,negative,0.6653023958206177
34,7/20/2017 12:32:05 PM,BRIEF-Danaher reports Q2 earnings per share $0.79 (DHR),Reuters,http://www.businessinsider.com/r-brief-danaher-reports-q2-earnings-per-share-079-2017-7,positive,0.8083047270774841
35,8/14/2017 12:55:00 PM,"How These Machinery Stocks are Performing? -- General Electric, Honeywell Intl., ABB Ltd, and Danaher",PR Newswire,/news/stocks/how-these-machinery-stocks-are-performing-general-electric-honeywell-intl-abb-ltd-and-danaher-1002254903,positive,0.9337450861930847
36,9/1/2017 7:37:03 AM,Hearing-aid maker Sonova names Danaher's Kaldowski as new CEO (DHR),Reuters,http://www.businessinsider.com/r-hearing-aid-maker-sonova-names-danahers-kaldowski-as-new-ceo-2017-9,positive,0.9320929050445557
37,9/1/2017 10:12:03 AM,"UPDATE 1-Hearing-aid maker Sonova names Danaher's Kaldowski as new CEO (DHR, GN, WDH, SWTQ)",Reuters,http://www.businessinsider.com/r-update-1-hearing-aid-maker-sonova-names-danahers-kaldowski-as-new-ceo-2017-9,positive,0.930458664894104
38,9/6/2017 3:02:03 PM,"UPDATE 1-Fortive to buy radiation safety company Landauer for $770 mln (LDR, DHR)",Reuters,http://www.businessinsider.com/r-update-1-fortive-to-buy-radiation-safety-company-landauer-for-770-mln-2017-9,positive,0.91726154088974
39,9/12/2017 10:15:00 PM,Danaher Announces Quarterly Dividend,PR Newswire,/news/stocks/danaher-announces-quarterly-dividend-1002363642,positive,0.8302990794181824
40,9/18/2017 12:45:00 PM,"Stocks Under Scanner in the Machinery Space -- ABB Ltd, Danaher, General Electric, and Honeywell",PR Newswire,/news/stocks/stocks-under-scanner-in-the-machinery-space-abb-ltd-danaher-general-electric-and-honeywell-1002378120,positive,0.6777570247650146
41,9/18/2017 2:30:00 PM,Brooklyn Hospital Foundation to Honor St. George's University Founders Charles Modica and Patrick Adams,PR Newswire,/news/stocks/brooklyn-hospital-foundation-to-honor-st-george-s-university-founders-charles-modica-and-patrick-adams-1002014402,positive,0.806064248085022
42,9/20/2017 10:15:00 PM,Danaher Schedules Third Quarter 2017 Earnings Conference Call,PR Newswire,/news/stocks/danaher-schedules-third-quarter-2017-earnings-conference-call-1002389829,positive,0.8867972493171692
43,10/18/2017 6:07:03 PM,"Lofty Align Tech shares may rise more on U.S. tax cut, index inclusion (ALGN, MMM, DHR)",Reuters,http://www.businessinsider.com/r-lofty-align-tech-shares-may-rise-more-on-us-tax-cut-index-inclusion-2017-10,negative,0.9298801422119141
44,10/19/2017 12:00:00 PM,Danaher Reports Third Quarter 2017 Results,PR Newswire,/news/stocks/danaher-reports-third-quarter-2017-results-1004889500,positive,0.8649857640266418
45,10/19/2017 12:13:23 PM,Danaher Corp. Q3 Income Advances 16%,RTTNews,/news/stocks/danaher-corp-q3-income-advances-16-1004889553,positive,0.8229610919952393
46,10/19/2017 12:22:41 PM,Danaher Sees Q4 EPS In Line Or Below Market View; Lifts FY17 Adj. Earnings View ,RTTNews,/news/stocks/danaher-sees-q4-eps-in-line-or-below-market-view-lifts-fy17-adj-earnings-view-1004890425,negative,0.8120079636573792
47,10/19/2017 12:27:18 PM,BRIEF-Danaher Q3 adjusted non-GAAP earnings per share $1.00 (DHR),Reuters,http://www.businessinsider.com/r-brief-danaher-q3-adjusted-non-gaap-earnings-per-share-100-2017-10,positive,0.8444440364837646
48,10/19/2017 5:52:03 PM,"US STOCKS-Apple stalls Wall Street's record run (AAPL, AMZN, NFLX, DHR, VZ, T, BK, KEY, UAL, ADBE)",Reuters,http://www.businessinsider.com/r-us-stocks-apple-stalls-wall-streets-record-run-2017-10,negative,0.79963219165802
49,10/19/2017 7:22:03 PM,"US STOCKS-Apple drags down Wall Street from record highs (AAPL, AMZN, NFLX, BK, KEY, UAL, DHR, VZ, ADBE)",Reuters,http://www.businessinsider.com/r-us-stocks-apple-drags-down-wall-street-from-record-highs-2017-10,neutral,0.9321392178535461
50,10/30/2017 6:57:07 PM,BRIEF- IDBS says has been acquired by Danaher Corp (DHR),Reuters,http://www.businessinsider.com/r-brief--idbs-says-has-been-acquired-by-danaher-corp-2017-10,positive,0.9428665041923523
51,11/1/2017 9:15:00 PM,Danaher to Present at Baird Industrial Conference,PR Newswire,/news/stocks/danaher-to-present-at-baird-industrial-conference-1006495684,positive,0.9277504086494446
52,11/14/2017 11:00:00 PM,Chemtrade Logistics Income Fund Reports 2017 Third Quarter Results,PR Newswire,/news/stocks/chemtrade-logistics-income-fund-reports-2017-third-quarter-results-585715,positive,0.7651189565658569
53,11/14/2017 11:30:00 PM,Danaher to Webcast Investor and Analyst Meeting,PR Newswire,/news/stocks/danaher-to-webcast-investor-and-analyst-meeting-1008049584,positive,0.9424896836280823
54,11/27/2017 6:47:03 PM,"BRIEF-Quidel Says Confident In Validity Of Supply Agreement With Beckman Coulter To Sell BNP Assay Assets (QDEL, DHR)",Reuters,http://www.businessinsider.com/r-brief-quidel-says-confident-in-validity-of-supply-agreement-with-beckman-coulter-to-sell-bnp-assay-assets-2017-11,negative,0.9363566040992737
55,11/28/2017 2:00:00 PM,Danaher Announces Leadership Appointment,PR Newswire,/news/stocks/danaher-announces-leadership-appointment-1009785761,positive,0.7499340772628784
56,11/28/2017 2:07:04 PM,BRIEF-Danaher Announces Leadership Appointment (DHR),Reuters,http://www.businessinsider.com/r-brief-danaher-announces-leadership-appointment-2017-11,positive,0.9098052978515625
57,12/5/2017 10:15:00 PM,Danaher Announces Quarterly Dividend,PR Newswire,/news/stocks/danaher-announces-quarterly-dividend-1010368931,positive,0.8302990794181824
58,12/14/2017 12:00:00 PM,Danaher Initiates 2018 Outlook,PR Newswire,/news/stocks/danaher-initiates-2018-outlook-1011378947,positive,0.9296789169311523
59,12/14/2017 12:23:59 PM,Danaher Reports Earnings Growth In FY17; Initiates FY18 Outlook - Quick Facts ,RTTNews,/news/stocks/danaher-reports-earnings-growth-in-fy17-initiates-fy18-outlook-quick-facts-1011380930,negative,0.5743691325187683
60,12/14/2017 12:37:04 PM,BRIEF-Danaher Sees FY 2018 Adjusted Earnings Per Share $4.25 To $4.35 (DHR),Reuters,http://www.businessinsider.com/r-brief-danaher-sees-fy-2018-adjusted-earnings-per-share-425-to-435-2017-12,positive,0.7603193521499634
61,12/27/2017 10:15:00 PM,Danaher Schedules Fourth Quarter 2017 Earnings Conference Call,PR Newswire,/news/stocks/danaher-schedules-fourth-quarter-2017-earnings-conference-call-1001969466,positive,0.8792085647583008
62,1/9/2018 2:05:00 AM,Danaher CEO To Comment On Financial Performance,PR Newswire,/news/stocks/danaher-ceo-to-comment-on-financial-performance-1012694481,positive,0.8418435454368591
63,1/9/2018 2:09:26 AM,"Danaher Sees Q4 Adj. EPS, Revenue Growth To Be Above High-end Of Prior Range ",RTTNews,/news/stocks/danaher-sees-q4-adj-eps-revenue-growth-to-be-above-high-end-of-prior-range-1012694066,negative,0.9491707682609558
64,1/12/2018 7:43:00 PM,IDC Says GEP Is Leader In Cloud Procurement Software,PR Newswire,/news/stocks/idc-says-gep-is-leader-in-cloud-procurement-software-1002001106,negative,0.8658380508422852
65,1/30/2018 12:00:00 PM,Danaher Announces Transition Plan For Chief Financial Officer,PR Newswire,/news/stocks/danaher-announces-transition-plan-for-chief-financial-officer-1014543965,positive,0.91487056016922
66,1/30/2018 12:00:00 PM,Danaher Reports Fourth Quarter And Full Year 2017 Results,PR Newswire,/news/stocks/danaher-reports-fourth-quarter-and-full-year-2017-results-1014543966,positive,0.9160138964653015
67,1/30/2018 12:08:26 PM,Danaher Corp. Q4 Profit Climbs,RTTNews,/news/stocks/danaher-corp-q4-profit-climbs-1014544029,negative,0.8269228339195251
68,1/30/2018 12:18:58 PM,Danaher Says Matthew McGrew To Succeed Daniel Comas As CFO - Quick Facts ,RTTNews,/news/stocks/danaher-says-matthew-mcgrew-to-succeed-daniel-comas-as-cfo-quick-facts-1014544872,positive,0.9403006434440613
69,2/14/2018 10:15:00 PM,Danaher To Present At Barclays Industrial Select Conference,PR Newswire,/news/stocks/danaher-to-present-at-barclays-industrial-select-conference-1015808862,positive,0.9277978539466858
