,datetime,title,source,link,sentiment_class,sentiment_score
0,6/30/2015 6:01:22 PM,Emerson Electric to spin off network power business,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Ru8CP49rfXQ/story01.htm,positive,0.8846949934959412
1,7/22/2016 8:24:36 PM,Exclusive: Emerson Electric in bid for Pentair's valves business - sources,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/u5ydx23vk8c/us-pentair-m-a-emersonelectric-idUSKCN10223I,positive,0.9008111357688904
2,8/2/2016 1:38:46 PM,Emerson Electric to sell businesses for $5.2 billion,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/bmR6nYXj4-0/us-emerson-electric-divestiture-idUSKCN10D0ZR,positive,0.9278435707092285
3,10/3/2016 6:50:23 PM,BRIEF-Emerson announces agreement to acquire UK-based Permasense (EMR),Reuters,/news/stocks/brief-emerson-announces-agreement-to-acquire-uk-based-permasense-emr-1001433292,negative,0.6066850423812866
4,11/8/2016 6:20:20 PM,BRIEF-Emerson to acquire blending & transfer systems business of FMC Technologies (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-to-acquire-blending--transfer-systems-business-of-fmc-technologies-2016-11,positive,0.9281915426254272
5,11/10/2016 10:00:17 PM,"EU mergers and takeovers (Nov 10) (8058, 6594, EMR, 6701, NDA , FR)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-nov-10-2016-11,positive,0.9298924207687378
6,12/1/2016 1:46:05 PM,"EU mergers and takeovers (Dec 1) (6594, EMR, 6701, FR)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-dec-1-2016-12,positive,0.9262276887893677
7,12/6/2016 1:42:09 PM,"EU mergers and takeovers (Dec 6) (CS, NDA , EMR, 6594)",Reuters,http://www.businessinsider.com/r-eu-mergers-and-takeovers-dec-6-2016-12,positive,0.9358266592025757
8,12/9/2016 7:16:03 PM,BRIEF-Emerson electric's CEO D. N. Farr's fy 2016 total compensation $13.3 mln (EMR),Reuters,http://www.businessinsider.com/r-brief-emerson-electrics-ceo-d-n-farrs-fy-2016-total-compensation-133-mln-2016-12,positive,0.9295539259910583
9,12/14/2016 1:28:03 PM,"BRIEF-CCI approves acquisition of Emerson's motors, drives & electric power generation biz by Nidec Corp (6594, EMR)",Reuters,http://www.businessinsider.com/r-brief-cci-approves-acquisition-of-emersons-motors-drives--electric-power-generation-biz-by-nidec-corp-2016-12,positive,0.6290979385375977
