,datetime,title,source,link,sentiment_class,sentiment_score
0,2/2/2005 10:32:00 PM,EOG Resources Reports 2004 Net Income,PR Newswire,/news/stocks/eog-resources-reports-2004-net-income-1030611657,positive,0.9069080352783203
1,9/29/2016 1:10:34 PM,"Relief arrives for U.S. shale firms as OPEC folds in price battle (EOG, CVE, APC, APA)",Reuters,/news/stocks/relief-arrives-for-u-s-shale-firms-as-opec-folds-in-price-battle-eog-cve-apc-apa-1001425340,negative,0.8761394619941711
2,9/29/2016 2:30:22 PM,"RPT-Relief arrives for U.S. shale firms as OPEC folds in price battle (EOG, CVE, APC, APA)",Reuters,/news/stocks/rpt-relief-arrives-for-u-s-shale-firms-as-opec-folds-in-price-battle-eog-cve-apc-apa-1001426296,negative,0.8833707571029663
3,11/3/2016 10:18:22 PM,BRIEF-EOG Resources announces third quarter 2016 results (EOG),Reuters,http://www.businessinsider.com/r-brief-eog-resources-announces-third-quarter-2016-results-2016-11,positive,0.86690354347229
4,11/3/2016 10:18:22 PM,EOG Resources posts smaller quarterly loss (EOG),Reuters,http://www.businessinsider.com/r-eog-resources-posts-smaller-quarterly-loss-2016-11,neutral,0.9733688831329346
5,11/14/2016 12:44:18 PM,"U.S. shale firms go back to work buoyed by OPEC deal, Trump victory (OXY, BX, PXD, EOG, WFC, CVX, OAS, COP, APC, FTK, BAC)",Reuters,http://www.businessinsider.com/r-us-shale-firms-go-back-to-work-buoyed-by-opec-deal-trump-victory-2016-11,negative,0.7427402138710022
6,11/14/2016 1:36:20 PM,"RPT-U.S. shale firms go back to work buoyed by OPEC deal, Trump victory (OXY, BX, PXD, EOG, WFC, CVX, OAS, COP, APC, FTK, BAC)",Reuters,http://www.businessinsider.com/r-rpt-us-shale-firms-go-back-to-work-buoyed-by-opec-deal-trump-victory-2016-11,negative,0.8475797772407532
7,12/2/2016 4:46:03 PM,"BRIEF-Franklin Street Properties announces acquisition of Dominion towers (FSP, EOG)",Reuters,http://www.businessinsider.com/r-brief-franklin-street-properties-announces-acquisition-of-dominion-towers-2016-12,positive,0.9394216537475586
8,2/1/2017 1:08:07 PM,"RPT-INSIGHT-As oil recovers, U.S. firms descend on the Permian Basin in West Texas (OXY, PXD, EOG, HP, NBL, CVX, XOM, TXRH, APC, APA, SM, CXO, CF)",Reuters,http://www.businessinsider.com/r-rpt-insight-as-oil-recovers-us-firms-descend-on-the-permian-basin-in-west-texas-2017-2,positive,0.8477122783660889
9,2/1/2017 8:40:11 PM,"INSIGHT-As oil recovers, U.S. firms descend on the Permian Basin in West Texas (OXY, PXD, EOG, HP, NBL, CVX, XOM, TXRH, APC, APA, SM, CXO, CF)",Reuters,http://www.businessinsider.com/r-insight-as-oil-recovers-us-firms-descend-on-the-permian-basin-in-west-texas-2017-2,positive,0.739615261554718
10,2/27/2017 10:20:00 PM,EOG Resources Reports Fourth Quarter and Full Year 2016 Results and Announces 2017 Capital Program,PR Newswire,/news/stocks/eog-resources-reports-fourth-quarter-and-full-year-2016-results-and-announces-2017-capital-program-1001787521,positive,0.9185515642166138
11,2/27/2017 10:26:06 PM,EARNINGS SUMMARY: Details of EOG Resources Q4 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-eog-resources-q4-earnings-report-1001787549,positive,0.920297384262085
12,2/27/2017 11:08:22 PM,EOG Targets 18% Crude Oil Production Growth For 2017 - Quick Facts ,RTTNews,/news/stocks/eog-targets-18-crude-oil-production-growth-for-2017-quick-facts-1001787695,negative,0.8783782720565796
13,2/27/2017 11:10:13 PM,BRIEF-EOG Resources reports Q4 loss per share $0.25 (EOG),Reuters,http://www.businessinsider.com/r-brief-eog-resources-reports-q4-loss-per-share-025-2017-2,neutral,0.964610755443573
14,2/28/2017 2:00:00 PM,The Biggest Winner of the New U.S. Shale Boom,PR Newswire,/news/stocks/the-biggest-winner-of-the-new-u-s-shale-boom-1001790001,positive,0.5630917549133301
15,3/30/2017 7:06:47 AM,"North Dakota oil output set to rise as controversial pipeline opens (HES, ETP, OAS, WLL, CLR, EOG, XOM, MRO)",Reuters,http://www.businessinsider.com/r-north-dakota-oil-output-set-to-rise-as-controversial-pipeline-opens-2017-3,negative,0.9262104034423828
16,3/30/2017 1:10:50 PM,"RPT-North Dakota oil output set to rise as controversial pipeline opens (HES, ETP, OAS, WLL, CLR, EOG, XOM, MRO)",Reuters,http://www.businessinsider.com/r-rpt-north-dakota-oil-output-set-to-rise-as-controversial-pipeline-opens-2017-3,negative,0.9313281774520874
17,4/4/2017 10:26:00 PM,"EOG Resources Schedules Webcast of First Quarter 2017 Results Conference Call for May 9, 2017",PR Newswire,/news/stocks/eog-resources-schedules-webcast-of-first-quarter-2017-results-conference-call-for-may-9-2017-1001896197,positive,0.9205971360206604
18,4/12/2017 4:19:00 PM,AZEK® Decking Named #1 in Quality in 2017 BUILDER Brand Use Study,PR Newswire,/news/stocks/azek-decking-named-1-in-quality-in-2017-builder-brand-use-study-559466,negative,0.8929431438446045
19,4/19/2017 12:05:00 PM,"Research Reports on Oil and Gas Equities -- Laredo Petroleum, EOG Resources, Murphy Oil, and Kosmos Energy",PR Newswire,/news/stocks/research-reports-on-oil-and-gas-equities-laredo-petroleum-eog-resources-murphy-oil-and-kosmos-energy-1001929922,positive,0.9471928477287292
20,4/20/2017 11:03:09 PM,BRIEF-EOG Resources expects Q1 non-cash net gain related to derivative contracts (EOG),Reuters,http://www.businessinsider.com/r-brief-eog-resources-expects-q1-non-cash-net-gain-related-to-derivative-contracts-2017-4,negative,0.8893778920173645
21,4/26/2017 5:09:06 AM,Trump administration to review dozens of U.S. national monuments (EOG),Reuters,http://www.businessinsider.com/r-trump-administration-to-review-dozens-of-us-national-monuments-2017-4,positive,0.9006625413894653
22,4/26/2017 2:41:15 PM,Trump to order broad review of U.S. national monuments (EOG),Reuters,http://www.businessinsider.com/r-trump-to-order-broad-review-of-us-national-monuments-2017-4,positive,0.9158769845962524
23,4/26/2017 6:49:06 PM,UPDATE 1-Trump order aims to allow drilling at national monuments (EOG),Reuters,http://www.businessinsider.com/r-update-1-trump-order-aims-to-allow-drilling-at-national-monuments-2017-4,positive,0.7003217339515686
24,4/27/2017 10:19:00 PM,EOG Resources Declares Quarterly Dividend on Common Stock,PR Newswire,/news/stocks/eog-resources-declares-quarterly-dividend-on-common-stock-1001958847,neutral,0.8894434571266174
25,5/3/2017 12:18:05 AM,BRIEF- EOG Resources filed an amendment to its restated certificate of incorporation (EOG),Reuters,http://www.businessinsider.com/r-brief--eog-resources-filed-an-amendment-to-its-restated-certificate-of-incorporation-2017-5,positive,0.7927142381668091
26,5/4/2017 9:10:05 PM,"UPDATE 7-Oil dives under $50/bbl again on stubborn global glut (CVX, XOM, EOG)",Reuters,http://www.businessinsider.com/r-update-7-oil-dives-under-50-bbl-again-on-stubborn-global-glut-2017-5,neutral,0.8984977006912231
27,5/5/2017 10:50:07 AM,"BHP Billiton under pressure to sell shale, even as oil prices fall (BHP, BLT, COP, EOG, APC, MRO)",Reuters,http://www.businessinsider.com/r-bhp-billiton-under-pressure-to-sell-shale-even-as-oil-prices-fall-2017-5,neutral,0.47851133346557617
28,5/8/2017 10:20:00 PM,EOG Resources Announces First Quarter 2017 Results and Converts 1.4 BnBoe Net Resource Potential to Premium,PR Newswire,/news/stocks/eog-resources-announces-first-quarter-2017-results-and-converts-1-4-bnboe-net-resource-potential-to-premium-1001991152,negative,0.7651806473731995
29,5/8/2017 10:26:34 PM,EARNINGS SUMMARY: Details of EOG Resources Q1 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-eog-resources-q1-earnings-report-1001991180,positive,0.9223800301551819
30,5/8/2017 10:56:06 PM,BRIEF-EOG Resources Q1 adjusted non-GAAP earnings per share $0.15 (EOG),Reuters,http://www.businessinsider.com/r-brief-eog-resources-q1-adjusted-non-gaap-earnings-per-share-015-2017-5,positive,0.7227983474731445
31,5/10/2017 5:36:05 PM,"UPDATE 2-Bid to revoke Obama-era methane rules fails in U.S. Senate (DVN, WLL, EOG)",Reuters,http://www.businessinsider.com/r-update-2-bid-to-revoke-obama-era-methane-rules-fails-in-us-senate-2017-5,positive,0.7911695837974548
32,5/10/2017 10:19:00 PM,EOG Resources to Present at Upcoming Energy Conferences,PR Newswire,/news/stocks/eog-resources-to-present-at-upcoming-energy-conferences-1002000980,positive,0.9079419374465942
33,5/22/2017 1:38:03 PM,BRIEF-Carlyle and EOG Resources announce $400 mln drilling partnership (EOG),Reuters,http://www.businessinsider.com/r-brief-carlyle-and-eog-resources-announce-400-mln-drilling-partnership-2017-5,negative,0.5812231302261353
34,5/31/2017 3:10:03 PM,"BRIEF-Occidental Petroleum appoints Cedric Burgher CFO (OXY, EOG)",Reuters,http://www.businessinsider.com/r-brief-occidental-petroleum-appoints-cedric-burgher-cfo-2017-5,positive,0.937710702419281
35,5/31/2017 9:32:08 PM,"Canadian oil sector's Asian ambitions stumble on pipeline resistance (KMI, TRP, CVE, EOG, WLL)",Reuters,http://www.businessinsider.com/r-canadian-oil-sectors-asian-ambitions-stumble-on-pipeline-resistance-2017-5,neutral,0.9597792625427246
36,6/13/2017 7:04:08 AM,"U.S. shale firms more exposed to falling oil prices as hedges expire (HES, APA, APC, EOG, PXD)",Reuters,http://www.businessinsider.com/r-us-shale-firms-more-exposed-to-falling-oil-prices-as-hedges-expire-2017-6,neutral,0.6997848749160767
37,6/14/2017 11:06:00 PM,"EOG Resources Schedules Webcast of Second Quarter 2017 Results Conference Call for August 2, 2017",PR Newswire,/news/stocks/eog-resources-schedules-webcast-of-second-quarter-2017-results-conference-call-for-august-2-2017-1002094466,positive,0.9192673563957214
38,6/20/2017 10:19:00 PM,EOG Resources to Present at Upcoming Energy Conference,PR Newswire,/news/stocks/eog-resources-to-present-at-upcoming-energy-conference-1002109438,positive,0.9247090220451355
39,6/23/2017 7:18:05 AM,"Big Oil turns to big data to save big money on drilling (COP, SLB, GE, PD, OXY, EOG, HAL, APC)",Reuters,http://www.businessinsider.com/r-big-oil-turns-to-big-data-to-save-big-money-on-drilling-2017-6,positive,0.8608259558677673
40,7/3/2017 3:06:05 AM,"RPT-COLUMN-U.S. shale producers are drilling themselves into a hole: Kemp (CLR, PXD, EOG)",Reuters,http://www.businessinsider.com/r-rpt-column-us-shale-producers-are-drilling-themselves-into-a-hole-kemp-2017-7,positive,0.8015866875648499
41,7/7/2017 2:22:05 PM,"COLUMN-Renewed slide in oil price will test U.S. shale profits: Kemp (CLR, HES, PXD, EOG, RRC, NBL, SWN, OAS, MRO, APC, APA, WLL, DVN, CHK, CXO)",Reuters,http://www.businessinsider.com/r-column-renewed-slide-in-oil-price-will-test-us-shale-profits-kemp-2017-7,neutral,0.8144006133079529
42,7/7/2017 2:28:05 PM,"RPT-COLUMN-Renewed slide in oil price will test U.S. shale profits: Kemp (CLR, HES, PXD, EOG, RRC, NBL, SWN, OAS, MRO, APC, APA, WLL, DVN, CHK, CXO)",Reuters,http://www.businessinsider.com/r-rpt-column-renewed-slide-in-oil-price-will-test-us-shale-profits-kemp-2017-7,neutral,0.8702349662780762
43,7/8/2017 9:10:08 AM,"RPT-COLUMN-Renewed slide in oil price will test U.S. shale profits: Kemp (CLR, HES, PXD, EOG, RRC, NBL, SWN, OAS, MRO, APC, APA, WLL, DVN, CHK, CXO)",Reuters,http://www.businessinsider.com/r-rpt-column-renewed-slide-in-oil-price-will-test-us-shale-profits-kemp-2017-7,neutral,0.8702349662780762
44,7/19/2017 11:52:08 PM,BRIEF-EOG expects Q2 non-cash net gain of $9.4 mln on mark-to-market of its financial commodity derivative contracts (EOG),Reuters,http://www.businessinsider.com/r-brief-eog-expects-q2-non-cash-net-gain-of-94-mln-on-mark-to-market-of-its-financial-commodity-derivative-contracts-2017-7,negative,0.9459265470504761
45,8/1/2017 10:20:00 PM,EOG Resources Announces Second Quarter 2017 Results,PR Newswire,/news/stocks/eog-resources-announces-second-quarter-2017-results-1002223912,positive,0.8426892161369324
46,8/1/2017 10:26:38 PM,EARNINGS SUMMARY: Details of EOG Resources Q2 Earnings Report,RTTNews,/news/stocks/earnings-summary-details-of-eog-resources-q2-earnings-report-1002223930,positive,0.9213209748268127
47,8/1/2017 10:39:51 PM,EOG Increases 2017 Production Growth Targets - Quick Facts ,RTTNews,/news/stocks/eog-increases-2017-production-growth-targets-quick-facts-1002223962,negative,0.7387011051177979
48,8/1/2017 11:02:06 PM,"BRIEF-Douglas Emmett Q2 FFO per share $0.47 (DEI, EOG)",Reuters,http://www.businessinsider.com/r-brief-douglas-emmett-q2-ffo-per-share-047-2017-8,positive,0.9228843450546265
49,8/1/2017 11:12:04 PM,BRIEF-EOG Resources Q2 adjusted earnings per share $0.08 (EOG),Reuters,http://www.businessinsider.com/r-brief-eog-resources-q2-adjusted-earnings-per-share-008-2017-8,positive,0.7349613308906555
50,8/1/2017 11:17:04 PM,"UPDATE 1-EOG Resources profit disappoints, but sticks by capex (EOG)",Reuters,http://www.businessinsider.com/r-update-1-eog-resources-profit-disappoints-but-sticks-by-capex-2017-8,neutral,0.4469190835952759
51,8/2/2017 4:27:06 PM,BRIEF-EOG Resources says has depleted Bakken DUC inventory (EOG),Reuters,http://www.businessinsider.com/r-brief-eog-resources-says-has-depleted-bakken-duc-inventory-2017-8,neutral,0.9697580933570862
52,8/10/2017 3:02:03 AM,"RPT-COLUMN-U.S. shale breakeven price revealed around $50: Kemp (CLR, PXD, HES, EOG, RRC, NBL, SWN, OAS, APA, APC, CHK, CXO, DVN, MRO, WLL)",Reuters,http://www.businessinsider.com/r-rpt-column-us-shale-breakeven-price-revealed-around-50-kemp-2017-8,positive,0.9100530743598938
53,8/24/2017 10:52:08 PM,"EOG curtails Eagle Ford drilling, production ahead of Harvey (EOG)",Reuters,http://www.businessinsider.com/r-eog-curtails-eagle-ford-drilling-production-ahead-of-harvey-2017-8,neutral,0.671310544013977
54,8/25/2017 1:00:00 PM,"Pre-Market Technical Pulse on Independent Oil & Gas Stocks -- Cobalt Intl. Energy, Energen, EnLink Midstream Partners, and EOG Resources",PR Newswire,/news/stocks/pre-market-technical-pulse-on-independent-oil-gas-stocks-cobalt-intl-energy-energen-enlink-midstream-partners-and-eog-resources-1002285106,positive,0.9102854132652283
55,8/25/2017 7:07:03 PM,"U.S. drillers cut oil rigs ahead of Hurricane Harvey - Baker Hughes (GE, EOG, NBL, STL, BLT)",Reuters,http://www.businessinsider.com/r-us-drillers-cut-oil-rigs-ahead-of-hurricane-harvey---baker-hughes-2017-8,neutral,0.9663465619087219
56,8/29/2017 12:12:10 AM,EOG Resources resumes oil production in some areas of Eagle Ford -company (EOG),Reuters,http://www.businessinsider.com/r-eog-resources-resumes-oil-production-in-some-areas-of-eagle-ford--company-2017-8,positive,0.6403303146362305
57,8/30/2017 11:01:00 PM,EOG Resources to Present at Upcoming Energy Conferences,PR Newswire,/news/stocks/eog-resources-to-present-at-upcoming-energy-conferences-1002296222,positive,0.9079419374465942
58,9/1/2017 10:02:16 PM,"Harvey's wake tempers bullish outlook for U.S. oil output growth (XOM, RDSA, MRO, STL, COP, PXD, EOG, CVX, APA, COG, DVN, CHK)",Reuters,http://www.businessinsider.com/r-harveys-wake-tempers-bullish-outlook-for-us-oil-output-growth-2017-9,neutral,0.8864395618438721
59,9/4/2017 8:02:03 AM,"RPT-Harvey's wake tempers bullish outlook for U.S. oil output growth (XOM, RDSA, MRO, STL, COP, PXD, EOG, CVX, APA, COG, DVN, CHK)",Reuters,http://www.businessinsider.com/r-rpt-harveys-wake-tempers-bullish-outlook-for-us-oil-output-growth-2017-9,neutral,0.915772020816803
60,9/5/2017 1:52:03 PM,BRIEF-EOG Resources updates certain guidance items for Q3 to reflect impact of tropical storm Harvey ‍​ (EOG),Reuters,http://www.businessinsider.com/r-brief-eog-resources-updates-certain-guidance-items-for-q3-to-reflect-impact-of-tropical-storm-harvey--2017-9,positive,0.8605755567550659
61,9/5/2017 6:42:13 PM,"U.S. gasoline prices climb as refineries gradually restart (MPC, RDSA, EOG, VLO, PETR4)",Reuters,http://www.businessinsider.com/r-us-gasoline-prices-climb-as-refineries-gradually-restart-2017-9,negative,0.5274398922920227
62,9/5/2017 7:32:06 PM,"UPDATE 1-U.S. gasoline prices climb as refineries gradually restart (MPC, RDSA, EOG, VLO, PETR4)",Reuters,http://www.businessinsider.com/r-update-1-us-gasoline-prices-climb-as-refineries-gradually-restart-2017-9,negative,0.5939529538154602
63,9/14/2017 7:23:00 PM,Nobilis Health Announces the Acquisition of DeRosa Medical,PR Newswire,/news/stocks/nobilis-health-announces-the-acquisition-of-derosa-medical-1001673214,positive,0.9306552410125732
64,9/19/2017 10:37:13 PM,BRIEF-EOG Resources sets quarterly dividend of $0.1675 per share (EOG),Reuters,http://www.businessinsider.com/r-brief-eog-resources-sets-quarterly-dividend-of-01675-per-share-2017-9,positive,0.8871195912361145
65,9/20/2017 10:17:00 PM,EOG Resources Appoints C. Christopher Gaut to Board of Directors,PR Newswire,/news/stocks/eog-resources-appoints-c-christopher-gaut-to-board-of-directors-1002389833,positive,0.9199841022491455
66,9/21/2017 10:17:00 PM,"EOG Resources Schedules Webcast of Third Quarter 2017 Results Conference Call for November 3, 2017",PR Newswire,/news/stocks/eog-resources-schedules-webcast-of-third-quarter-2017-results-conference-call-for-november-3-2017-1002405986,positive,0.9190541505813599
