,datetime,title,source,link,sentiment_class,sentiment_score
0,6/21/2019 9:00:09 AM,Why Long-Term Investors Should Buy Disney Stock at Every Dip,InvestorPlace,/news/stocks/why-long-term-investors-buy-disney-stock-every-dip-1028299562,positive,0.9295616745948792
1,7/1/2019 5:48:47 PM,The Future of Disney Stock Still Just Comes Down to Streaming,InvestorPlace,/news/stocks/why-the-future-of-disney-stock-still-comes-down-to-streaming-lform-1028329322,positive,0.9131526947021484
2,7/1/2019 5:48:47 PM,The Future of Disney Stock Still Just Comes Down to Streaming,InvestorPlace,/news/stocks/why-the-future-of-disney-stock-still-comes-down-to-streaming-1028323069,positive,0.9131526947021484
3,8/5/2019 3:45:27 AM,Fox Corp. To Buy Credible Labs ,RTTNews,/news/stocks/fox-corp-to-buy-credible-labs-1028415045,positive,0.9441993832588196
4,8/7/2019 10:11:52 PM,"Twenty-First Century Fox, Inc. Q4 adjusted earnings of $0.62 per share",RTTNews,/news/stocks/twenty-first-century-fox-inc-q4-adjusted-earnings-of-0-62-per-share-1028428100,positive,0.7266944050788879
5,8/9/2019 12:59:39 PM,"3 Big Stock Charts for Friday: Kimco Realty, GM and Monster Beverage",InvestorPlace,/news/stocks/3-big-stock-charts-for-friday-kimco-realty-gm-and-monster-beverage-1028435586,positive,0.9176578521728516
6,8/20/2019 5:20:52 PM,The 10 Best Cheap Stocks to Buy Right Now,InvestorPlace,/news/stocks/the-10-best-cheap-stocks-to-buy-right-now-1028281709,positive,0.8663657307624817
7,9/24/2019 6:37:17 PM,Disney Stock May Exhibit Further Volatility and Price Weakness,InvestorPlace,/news/stocks/disney-stock-may-exhibit-further-volatility-and-price-weakness-1028550786,neutral,0.9240243434906006
8,10/6/2019 3:56:51 PM,DISH Reaches Multi-year Carriage Agreement With Fox ,RTTNews,/news/stocks/dish-reaches-multi-year-carriage-agreement-with-fox-1028578609,negative,0.8979464769363403
9,10/14/2019 12:46:52 PM,JPMorgan Issued a Warning About Disney Stock: Should Investors Be Concerned?,InvestorPlace,/news/stocks/jpmorgan-issued-a-warning-about-disney-stock-should-you-be-concerned-1028597945,positive,0.6720361113548279
10,10/15/2019 5:02:24 AM,Credible Labs Stockholders Approve Proposed Acquisition By Fox Corp ,RTTNews,/news/stocks/credible-labs-stockholders-approve-proposed-acquisition-by-fox-corp-1028597705,positive,0.8293007612228394
11,10/21/2019 5:56:59 PM,Fox Reaches Distribution Agreement With Charter ,RTTNews,/news/stocks/fox-reaches-distribution-agreement-with-charter-1028615878,negative,0.8522529602050781
12,10/28/2019 12:50:00 PM,"TEGNA, Fox Reach Multi-year Carriage Deal - Quick Facts ",RTTNews,/news/stocks/tegna-fox-reach-multi-year-carriage-deal-quick-facts-1028634774,positive,0.5227341055870056
13,11/5/2019 10:40:31 PM,Fox Agrees To Buy 3 TV Stations From Nexstar For $350 Mln ,RTTNews,/news/stocks/fox-agrees-to-buy-3-tv-stations-from-nexstar-for-350-mln-1028662085,positive,0.6526428461074829
14,11/6/2019 10:20:06 PM,"Twenty-First Century Fox, Inc. Q1 adjusted earnings of $0.83 per share",RTTNews,/news/stocks/twenty-first-century-fox-inc-q1-adjusted-earnings-of-0-83-per-share-1028666529,positive,0.7640325427055359
15,11/6/2019 11:00:09 PM,Fox Authorizes $2 Bln Share Buyback Plan ,RTTNews,/news/stocks/fox-authorizes-2-bln-share-buyback-plan-1028666720,positive,0.8412002325057983
16,11/19/2019 12:14:38 PM,"3 Big Stock Charts for Tuesday: Amazon, Fox, and Whirlpool",InvestorPlace,/news/stocks/3-big-stock-charts-for-tuesday-amazon-com-fox-and-whirlpool-1028700106,positive,0.9248820543289185
17,12/30/2019 9:29:11 PM,Stock Market Today: Nio Stock Doubles; NFL Ratings Climb,InvestorPlace,/news/stocks/stock-market-today-nio-stock-doubles-nfl-ratings-climb-1028788882,positive,0.935624897480011
18,1/28/2020 3:06:17 PM,What the Super Bowl Can Teach Us About TTD Stock,InvestorPlace,/news/stocks/what-the-super-bowl-can-teach-us-about-ttd-stock-1028851366,positive,0.9157705903053284
19,1/31/2020 9:28:26 PM,Stock Market Today: Amazon’s All-Time High; Super Bowl Dispute,InvestorPlace,/news/stocks/stock-market-today-amazons-all-time-high-super-bowl-dispute-1028864860,positive,0.541520357131958
20,2/3/2020 6:56:22 PM,4 Struggling Entertainment and Media Stocks to Sell Now,InvestorPlace,/news/stocks/4-entertainment-stocks-to-sell-now-1028869116,neutral,0.9368913173675537
21,2/3/2020 9:06:37 PM,"4 Top Stock Trades for Tuesday: AMZN, ROKU, YETI, ZM",InvestorPlace,/news/stocks/4-top-stock-trades-for-tuesday-amzn-roku-yeti-zm-1028869347,positive,0.9317643046379089
22,2/3/2020 9:28:03 PM,"Stock Market Today: U.S. Stocks Rip, Asian Equities Plummet",InvestorPlace,/news/stocks/stock-market-today-u-s-stocks-rip-asian-equities-plummet-1028869592,neutral,0.9525846242904663
23,2/4/2020 3:01:59 PM,Fox earnings: here's what Wall Street expects,Markets Insider Automation,/news/stocks/fox-stock-q2-earnings-preview-1028872066,positive,0.9352939128875732
24,2/4/2020 6:49:37 PM,"Disney’s Future Looks Bright, But Don’t Buy Shares Just Yet",InvestorPlace,/news/stocks/disneys-future-looks-bright-but-dont-buy-shares-just-yet-1028873483,positive,0.9127833843231201
25,2/5/2020 12:36:00 PM,Trade of the Day: It’s Showtime for ROKU Stock Investors Today,InvestorPlace,/news/stocks/trade-of-the-day-its-showtime-for-roku-stock-investors-today-1028876415,positive,0.9112545847892761
26,2/5/2020 10:16:36 PM,"Twenty-First Century Fox, Inc. Q2 adjusted earnings of $0.10 per share",RTTNews,/news/stocks/twenty-first-century-fox-inc-q2-adjusted-earnings-of-0-10-per-share-1028878484,positive,0.7289433479309082
27,2/5/2020 10:58:59 PM,Fox rises as affiliate fees power Q2 beat,Seeking Alpha,https://seekingalpha.com/news/3538958-fox-rises-affiliate-fees-power-q2-beat?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.8596771955490112
28,2/12/2020 2:47:09 PM,Why I’m All In on 5G Stocks Now,InvestorPlace,/news/stocks/why-im-all-in-on-5g-stocks-now-1028899163,positive,0.9202051162719727
29,2/14/2020 2:05:00 PM,5 Penny Stocks to Buy If You Can Risk It,InvestorPlace,/news/stocks/best-penny-stocks-buy-if-you-are-crazy-1028299553,positive,0.9140816926956177
30,2/14/2020 6:05:36 PM,"Third Point media moves: Adding ViacomCBS, selling Fox",Seeking Alpha,https://seekingalpha.com/news/3542318-third-point-media-moves-adding-viacomcbs-selling-fox?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.9023349285125732
31,2/21/2020 9:02:10 PM,Fox considers Tubi acquisition - WSJ,Seeking Alpha,https://seekingalpha.com/news/3544589-fox-considers-tubi-acquisition-wsj?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.9436785578727722
32,3/17/2020 8:47:49 PM,Fox was unloading 5% stake with Roku block,Seeking Alpha,https://seekingalpha.com/news/3552710-fox-was-unloading-5-stake-roku-block?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.9480968117713928
33,3/17/2020 9:04:52 PM,Fox using Roku proceeds to buy Tubi TV - WSJ (updated),Seeking Alpha,https://seekingalpha.com/news/3552723-fox-using-roku-proceeds-to-buy-tubi-tv-wsj-updated?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.934474766254425
34,3/18/2020 2:12:22 AM,Fox Corp. To Buy Streaming Service Tubi For $440 Mln In Cash ,RTTNews,/news/stocks/fox-corp-to-buy-streaming-service-tubi-for-440-mln-in-cash-1029006359,positive,0.8563703298568726
35,4/1/2020 9:16:55 PM,"Comcast, Fox renew distribution rights",Seeking Alpha,https://seekingalpha.com/news/3557572-comcast-fox-renew-distribution-rights?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.9454159736633301
36,4/6/2020 6:21:52 PM,Wells Fargo sees 19% downside for Fox,Seeking Alpha,https://seekingalpha.com/news/3558726-wells-fargo-sees-19-downside-for-fox?utm_source=markets.businessinsider.com&utm_medium=referral,neutral,0.9345571994781494
37,4/6/2020 7:29:00 PM,MoffettNathanson expects NFL TV costs to skyrocket,Seeking Alpha,https://seekingalpha.com/news/3558749-moffettnathanson-expects-nfl-tv-costs-to-skyrocket?utm_source=markets.businessinsider.com&utm_medium=referral,neutral,0.9505351781845093
38,4/7/2020 12:11:10 PM,Big league baseball mulls May start - ESPN,Seeking Alpha,https://seekingalpha.com/news/3558912-big-league-baseball-mulls-may-start-espn?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.8965925574302673
39,4/8/2020 2:05:55 PM,Fox rises as SocGen pulls Sell recommendation,Seeking Alpha,https://seekingalpha.com/news/3559341-fox-rises-socgen-pulls-sell-recommendation?utm_source=markets.businessinsider.com&utm_medium=referral,neutral,0.6213958859443665
40,5/1/2020 3:13:00 PM,NFL plans for full season,Seeking Alpha,https://seekingalpha.com/news/3567711-nfl-plans-for-full-season?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.8807287216186523
41,5/4/2020 5:32:15 PM,NFL brings global games home; reportedly set to announce fall,Seeking Alpha,https://seekingalpha.com/news/3568443-nfl-brings-global-games-home-reportedly-set-to-announce-fall?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.8861202597618103
