,datetime,title,source,link,sentiment_class,sentiment_score
0,12/10/2019 5:10:01 AM,McAfee Reportedly Considers Merger With NortonLifeLock ,RTTNews,/news/stocks/mcafee-reportedly-considers-merger-with-nortonlifelock-1028749248,positive,0.9315130114555359
1,1/30/2020 3:43:38 PM,7 Stocks to Buy for February Contrarians,InvestorPlace,/news/stocks/7-stocks-to-buy-for-february-contrarians-1028860909,positive,0.909265398979187
2,2/5/2020 3:02:20 PM,Symantec earnings preview: what Wall Street is expecting,Markets Insider Automation,/news/stocks/symantec_1-stock-q3-earnings-preview-1028877009,positive,0.9012789726257324
3,2/6/2020 10:24:22 PM,NortonLifeLock Inc. Q3 adjusted earnings of $0.25 per share,RTTNews,/news/stocks/nortonlifelock-inc-q3-adjusted-earnings-of-0-25-per-share-1028883225,positive,0.8798786401748657
4,2/7/2020 2:09:03 PM,"UBER, NLOK among premarket gainers",Seeking Alpha,https://seekingalpha.com/news/3539699-uber-nlok-among-premarket-gainers?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.6661413908004761
5,2/21/2020 4:00:04 PM,10 Dividend Stocks to Buy That Are Off to a Fast Start in 2020,InvestorPlace,/news/stocks/10-dividend-stocks-to-buy-that-are-off-to-a-fast-start-in-2020-1028928033,positive,0.5878508687019348
6,4/13/2020 2:55:36 PM,5 Stocks to Buy That Professors Graham and Dodd Would Love,InvestorPlace,/news/stocks/5-stocks-to-buy-graham-dodd-net-cash-1029086373,positive,0.8647501468658447
7,5/13/2020 3:02:14 PM,NortonLifeLock is about to announce its earnings — here's what Wall Street expects,Markets Insider Automation,/news/stocks/nortonlifelock-quarter-earnings-preview-q4-1029197419,positive,0.9372498393058777
8,5/13/2020 9:35:10 PM,NortonLifeLock Q4 2020 Earnings Preview,Seeking Alpha,https://seekingalpha.com/news/3573996-nortonlifelock-q4-2020-earnings-preview?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.8188754916191101
9,5/13/2020 9:35:59 PM,Notable earnings after Thursday's close,Seeking Alpha,https://seekingalpha.com/news/3574026-notable-earnings-after-thursdays-close?utm_source=markets.businessinsider.com&utm_medium=referral,negative,0.8900269269943237
10,5/14/2020 9:01:32 PM,NortonLifeLock Earnings: NLOK Stock Jumps 4% on Strong Q4 Beat,InvestorPlace,/news/stocks/nortonlifelock-earnings-jump-nlok-stock-up-1029204507,negative,0.9417685270309448
11,5/14/2020 10:22:32 PM,NortonLifeLock Inc. Q4 adjusted earnings Beat Estimates,RTTNews,/news/stocks/nortonlifelock-inc-q4-adjusted-earnings-beat-estimates-1029204259,negative,0.8627666234970093
12,5/18/2020 11:31:57 AM,NortonLifeLock buys back $625M in notes,Seeking Alpha,https://seekingalpha.com/news/3575439-nortonlifelock-buys-back-625m-in-notes?utm_source=markets.businessinsider.com&utm_medium=referral,positive,0.8522899150848389
