,datetime,title,source,link,sentiment_class,sentiment_score
0,10/12/2016 1:30:26 AM,BRIEF-International Flavors & Fragrances appoints Richard O'Leary executive vice president & CFO (IFF),Reuters,/news/stocks/brief-international-flavors-&-fragrances-appoints-richard-oleary-executive-vice-president-&-cfo-iff-1001450431,positive,0.9234346747398376
1,11/8/2016 12:16:17 AM,BRIEF-International Flavors & Fragrances sees FY 2016 sales up 4.0 - 5.0 pct (IFF),Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-sees-fy-2016-sales-up-40---50-pct-2016-11,negative,0.9533314108848572
2,12/6/2016 3:00:03 AM,BRIEF-International Flavors & Fragrances says amended and restated co's existing amended and restated credit agreement with Citibank (IFF),Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-says-amended-and-restated-cos-existing-amended-and-restated-credit-agreement-with-citibank-2016-12,positive,0.8611637949943542
3,2/15/2017 10:51:02 PM,International Flavors And Fragrances Inc Earnings Climb 16% In Q4,RTTNews,/news/stocks/international-flavors-and-fragrances-inc-earnings-climb-16-in-q4-1001755026,negative,0.9330191016197205
4,2/15/2017 11:06:11 PM,BRIEF-International Flavors & Fragrances posts qtrly earnings $1.00/shr (IFF),Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-posts-qtrly-earnings-100-shr-2017-2,positive,0.8425387144088745
5,3/17/2017 12:50:00 PM,"Specialty Chemicals Stocks Under Scanner -- Delta Technology, International Flavors & Fragrances, Kronos Worldwide, and Senomyx",PR Newswire,/news/stocks/specialty-chemicals-stocks-under-scanner-delta-technology-international-flavors-fragrances-kronos-worldwide-and-senomyx-1001845658,positive,0.8138485550880432
6,3/20/2017 10:00:46 PM,BRIEF-International Flavors & Fragrances CEO Andreas Fibig's FY 2016 total compensation was $6.2 mln vs $6.2 mln in FY 2015 (IFF),Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-ceo-andreas-fibigs-fy-2016-total-compensation-was-62-mln-vs-62-mln-in-fy-2015-2017-3,neutral,0.9162009954452515
7,4/27/2017 1:10:00 PM,"How These Specialty Chemicals Stocks are Faring? -- TerraVia, International Flavors & Fragrances, PolyOne, and Kronos Worldwide",PR Newswire,/news/stocks/how-these-specialty-chemicals-stocks-are-faring-terravia-international-flavors-fragrances-polyone-and-kronos-worldwide-1001956222,positive,0.8858202695846558
8,5/8/2017 10:06:03 PM,"BRIEF-International Flavors & Fragrances says Winder Investment PTE reports open market purchase of 40,000 shares of co's common stock (IFF)",Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-says-winder-investment-pte-reports-open-market-purchase-of-40000-shares-of-cos-common-stock-2017-5,positive,0.9201443195343018
9,5/8/2017 10:21:19 PM,International Flavors And Fragrances Inc Earnings Advance 4% In Q1,RTTNews,/news/stocks/international-flavors-and-fragrances-inc-earnings-advance-4-in-q1-1001991165,negative,0.939264714717865
10,5/8/2017 11:40:05 PM,BRIEF-INTERNATIONAL FLAVORS & FRAGRANCES QTRLY EARNINGS PER SHARE DILUTED $1.45 (IFF),Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-qtrly-earnings-per-share-diluted-145-2017-5,neutral,0.9226085543632507
11,5/15/2017 9:26:05 PM,BRIEF-International Flavors & Fragrances prices $500 mln senior notes due 2047 (IFF),Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-prices-500-mln-senior-notes-due-2047-2017-5,positive,0.9365060925483704
12,5/30/2017 5:06:07 PM,"Spanish fragrance maker Iberchem attracts private equity bids -sources (SY1, IFF)",Reuters,http://www.businessinsider.com/r-spanish-fragrance-maker-iberchem-attracts-private-equity-bids--sources-2017-5,positive,0.585107684135437
13,6/2/2017 12:40:00 PM,"Specialty Chemicals Stocks Under Scanner -- Kraton, RPM Intl., TerraVia, and International Flavors & Fragrances",PR Newswire,/news/stocks/specialty-chemicals-stocks-under-scanner-kraton-rpm-intl-terravia-and-international-flavors-fragrances-1002062880,positive,0.8462535738945007
14,6/23/2017 3:28:03 PM,BRIEF-International Flavors & Fragrances expects to record pre-tax charge of nearly $1 mln in Q2 of 2017 - SEC Filing (IFF),Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-expects-to-record-pre-tax-charge-of-nearly-1-mln-in-q2-of-2017---sec-filing-2017-6,neutral,0.4803343415260315
15,6/23/2017 3:39:00 PM,ZoomEssence® Settles Trade Secret Lawsuit For $56 Million,PR Newswire,/news/stocks/zoomessence-settles-trade-secret-lawsuit-for-56-million-1002119954,positive,0.8057830333709717
16,6/23/2017 4:08:06 PM,"BRIEF-IFF, ZoomEssence announce settlement of lawsuit (IFF)",Reuters,http://www.businessinsider.com/r-brief-iff-zoomessence-announce-settlement-of-lawsuit-2017-6,positive,0.8502801656723022
17,6/26/2017 6:28:18 PM,BRIEF-IFF LAUNCHES TASTEPOINT BY IFF TO SERVE MID-TIER CUSTOMERS IN NORTH AMERICA (IFF),Reuters,http://www.businessinsider.com/r-brief-iff-launches-tastepoint-by-iff-to-serve-mid-tier-customers-in-north-america-2017-6,positive,0.8081086277961731
18,8/1/2017 11:02:05 PM,BRIEF-IFF elects Stephen Williamson to board of directors (IFF),Reuters,http://www.businessinsider.com/r-brief-iff-elects-stephen-williamson-to-board-of-directors-2017-8,positive,0.9391147494316101
19,8/8/2017 10:17:36 PM,International Flavors And Fragrances Inc Q2 Income Climbs 1%,RTTNews,/news/stocks/international-flavors-and-fragrances-inc-q2-income-climbs-1-1002242024,negative,0.9406081438064575
20,8/8/2017 10:47:03 PM,BRIEF-IFF reports Q2 ‍earnings per share $1.38​ (IFF),Reuters,http://www.businessinsider.com/r-brief-iff-reports-q2-earnings-per-share-138-2017-8,positive,0.8559872508049011
21,8/10/2017 12:45:00 PM,"Pre-Market Technical Pulse on Specialty Chemicals Stocks -- Cabot, GCP Applied Technologies, W.R. Grace, and International Flavors & Fragrances",PR Newswire,/news/stocks/pre-market-technical-pulse-on-specialty-chemicals-stocks-cabot-gcp-applied-technologies-w-r-grace-and-international-flavors-fragrances-1002247982,positive,0.9128023386001587
22,11/1/2017 11:17:21 PM,BRIEF-IFF announces $300 million share repurchase authorization (IFF),Reuters,http://www.businessinsider.com/r-brief-iff-announces-300-million-share-repurchase-authorization-2017-11,positive,0.6123782992362976
23,11/2/2017 5:41:48 AM,International Flavors & Fragrances To Buy Back $300 Mln Shares ,RTTNews,/news/stocks/international-flavors-fragrances-to-buy-back-300-mln-shares-1006547427,positive,0.8891944289207458
24,11/6/2017 10:09:45 PM,International Flavors And Fragrances Inc Profit Rises 9% In Q3,RTTNews,/news/stocks/international-flavors-and-fragrances-inc-profit-rises-9-in-q3-1007082629,negative,0.9289913773536682
25,11/7/2017 12:37:04 AM,BRIEF-International Flavors & Fragrances qtrly EPS ‍$1.39​ (IFF),Reuters,http://www.businessinsider.com/r-brief-international-flavors--fragrances-qtrly-eps-139-2017-11,positive,0.9288042783737183
26,2/14/2018 10:23:41 PM,International Flavors And Fragrances Inc Reveals Gain In Q4 Profit,RTTNews,/news/stocks/international-flavors-and-fragrances-inc-reveals-gain-in-q4-profit-1015808874,negative,0.9344863295555115
27,5/7/2018 8:08:57 AM,IFF To Buy Israel's Frutarom For $7.1 Bln - Quick Facts ,RTTNews,/news/stocks/iff-to-buy-israel-s-frutarom-for-7-1-bln-quick-facts-1023626531,positive,0.8238696455955505
28,5/7/2018 8:18:50 AM,International Flavors & Fragrances Q1 Profit Rises ,RTTNews,/news/stocks/international-flavors-fragrances-q1-profit-rises-1023627118,negative,0.640137791633606
29,5/7/2018 8:26:36 AM,International Flavors And Fragrances Inc Q1 adjusted earnings Beat Estimates,RTTNews,/news/stocks/international-flavors-and-fragrances-inc-q1-adjusted-earnings-beat-estimates-1023627710,negative,0.8537293672561646
30,5/7/2018 7:27:00 PM,"International Flavors & Fragrances, Inc. -- Moody's places IFF's ratings on review for downgrade on deal announcement",Moodys,/news/bonds/international-flavors-fragrances-inc-moody-s-places-iff-s-ratings-on-review-for-downgrade-on-deal-announcement-1023670821,neutral,0.7873198986053467
31,8/5/2018 3:01:59 PM,International Flavors Fragrances earnings preview: what Wall Street is expecting,Markets Insider Automation,/news/stocks/international_flavorsfragrances-q2-earnings-preview-stock-1027431622,positive,0.9223823547363281
32,8/7/2018 9:04:31 AM,Frutarom Shareholders Approve Transaction With IFF - Quick Facts ,RTTNews,/news/stocks/frutarom-shareholders-approve-transaction-with-iff-quick-facts-1027436618,positive,0.626876950263977
33,8/7/2018 10:25:30 PM,International Flavors And Fragrances Inc Q2 adjusted earnings Beat Estimates,RTTNews,/news/stocks/international-flavors-and-fragrances-inc-q2-adjusted-earnings-beat-estimates-1027439975,negative,0.8248682022094727
34,9/6/2018 12:50:41 PM,"IFF Unveils Sales Growth, Adj. Cash EPS Growth Target Over 2019-2021 Period ",RTTNews,/news/stocks/iff-unveils-sales-growth-adj-cash-eps-growth-target-over-2019-2021-period-1027513126,negative,0.6752486228942871
35,9/13/2018 10:26:00 PM,"International Flavors & Fragrances, Inc. -- Moody's downgrades International Flavors & Fragrances, Inc. to Baa3; outlook stable",Moodys,/news/bonds/international-flavors-fragrances-inc-moody-s-downgrades-international-flavors-fragrances-inc-to-baa3-outlook-stable-1027533974,neutral,0.7075666785240173
36,9/14/2018 1:06:12 PM,IFF Receives Antitrust Clearance For Acquisition Of Frutarom - Quick Facts ,RTTNews,/news/stocks/iff-receives-antitrust-clearance-for-acquisition-of-frutarom-quick-facts-1027535428,negative,0.6606147885322571
37,11/3/2018 3:01:32 PM,Here's what Wall Street expects from International Flavors Fragrances's earnings,Markets Insider Automation,/news/stocks/international_flavorsfragrances-q3-earnings-preview-1027686737,positive,0.9224244356155396
38,11/5/2018 10:53:30 PM,International Flavors And Fragrances Inc Q3 adjusted earnings Inline With Estimates,RTTNews,/news/stocks/international-flavors-and-fragrances-inc-q3-adjusted-earnings-inline-with-estimates-1027693109,positive,0.7501847147941589
39,2/11/2019 3:02:34 PM,What Wall Street expects from International Flavors Fragrances's earnings,Markets Insider Automation,/news/stocks/international_flavorsfragrances-stock-price-q4-earnings-preview-1027941092,positive,0.9114072918891907
40,2/13/2019 10:47:35 PM,International Flavors And Fragrances Inc Q4 adjusted earnings Miss Estimates,RTTNews,/news/stocks/international-flavors-and-fragrances-inc-q4-adjusted-earnings-miss-estimates-1027951057,neutral,0.9574970602989197
41,5/4/2019 3:01:24 PM,International Flavors Fragrances earnings: here's what Wall Street expects,Markets Insider Automation,/news/stocks/international_flavorsfragrances-stock-price-q1-earnings-preview-1028167225,positive,0.9249827265739441
42,5/6/2019 10:55:58 PM,International Flavors And Fragrances Inc Q1 adjusted earnings of $1.24 per share,RTTNews,/news/stocks/international-flavors-and-fragrances-inc-q1-adjusted-earnings-of-1-24-per-share-1028173055,positive,0.7925118803977966
43,6/5/2019 2:06:45 PM,IFF To Be Organized Into Three Business Segments ,RTTNews,/news/stocks/iff-to-be-organized-into-three-business-segments-1028256206,positive,0.9529275894165039
44,8/3/2019 3:01:30 PM,International Flavors Fragrances earnings preview: what Wall Street is expecting,Markets Insider Automation,/news/stocks/international_flavorsfragrances-stock-quarter-earnings-preview-q2-1028413547,positive,0.9223823547363281
45,8/5/2019 10:29:00 PM,International Flavors And Fragrances Inc Q2 adjusted earnings of $1.30 per share,RTTNews,/news/stocks/international-flavors-and-fragrances-inc-q2-adjusted-earnings-of-1-30-per-share-1028418783,positive,0.8161467909812927
46,8/5/2019 10:47:50 PM,International Flavors & Fragrances Revises Outlook - Quick Facts ,RTTNews,/news/stocks/international-flavors-fragrances-revises-outlook-quick-facts-1028418874,positive,0.8932846784591675
47,10/2/2019 12:42:51 PM,"Neptune, IFF To Co-develop Hemp-derived CBD Products - Quick Facts ",RTTNews,/news/stocks/neptune-iff-to-co-develop-hemp-derived-cbd-products-quick-facts-1028570189,positive,0.6011027097702026
48,11/4/2019 11:06:11 PM,International Flavors And Fragrances Inc Q3 adjusted earnings of $1.53 per share,RTTNews,/news/stocks/international-flavors-and-fragrances-inc-q3-adjusted-earnings-of-1-53-per-share-1028657339,positive,0.8224548101425171
49,11/7/2019 10:39:00 PM,"International Flavors & Fragrances, Inc. -- Moody's announces completion of a periodic review of ratings of International Flavors & Fragrances, Inc.",Moodys,/news/bonds/international-flavors-fragrances-inc-moody-s-announces-completion-of-a-periodic-review-of-ratings-of-international-flavors-fragrances-inc-1028671453,positive,0.8296616077423096
50,11/11/2019 12:35:21 PM,"Neptune, IFF Agree To Co-develop Hemp-derived CBD Products - Quick Facts ",RTTNews,/news/stocks/neptune-iff-agree-to-co-develop-hemp-derived-cbd-products-quick-facts-1028676567,negative,0.8075722455978394
