,datetime,title,source,link,sentiment_class,sentiment_score
0,9/26/2016 7:40:24 AM,BRIEF-KLA-Tencor:CEO Richard Wallace's 2016 total compensation was $12.6 million versus $8.4 million (KLAC),Reuters,/news/stocks/brief-kla-tencor-ceo-richard-wallaces-2016-total-compensation-was-$12-6-million-versus-$8-4-million-klac-1001416541,neutral,0.8940335512161255
1,10/3/2016 1:40:25 PM,"BRIEF-Taiwan's TSMC orders equipment for T$563 mln (2330, TSM, KLAC)",Reuters,/news/stocks/brief-taiwans-tsmc-orders-equipment-for-t$563-mln-2330-tsm-klac-1001432336,positive,0.8818076252937317
2,10/5/2016 1:30:24 PM,"BRIEF-Taiwan's TSMC orders equipment for T$2.5 bln (2330, TSM, KLAC)",Reuters,/news/stocks/brief-taiwans-tsmc-orders-equipment-for-t$2-5-bln-2330-tsm-klac-1001437236,positive,0.8717222809791565
3,10/6/2016 12:00:24 PM,"BRIEF-Lam Research announces termination of merger with KLA-Tencor (KLAC, LRCX)",Reuters,/news/stocks/brief-lam-research-announces-termination-of-merger-with-kla-tencor-klac-lrcx-1001439472,positive,0.8735416531562805
4,10/6/2016 12:40:20 PM,BRIEF-KLA-Tencor increases quarterly dividend (KLAC),Reuters,/news/stocks/brief-kla-tencor-increases-quarterly-dividend-klac-1001439471,neutral,0.7227972745895386
5,10/6/2016 12:40:20 PM,"Chip equipment maker Lam Research ends deal for KLA-Tencor (KLAC, LRCX)",Reuters,/news/stocks/chip-equipment-maker-lam-research-ends-deal-for-kla-tencor-klac-lrcx-1001439465,positive,0.7992314696311951
6,10/6/2016 12:40:20 PM,"UPDATE 1-Chip equipment maker Lam Research ends deal for KLA-Tencor (KLAC, LRCX)",Reuters,/news/stocks/update-1-chip-equipment-maker-lam-research-ends-deal-for-kla-tencor-klac-lrcx-1001439480,positive,0.8567168116569519
7,10/8/2016 3:50:31 PM,BRIEF-KLA-Tencor says revenue and EPS for quarter ended Sept 30 would come within range it previously guided (KLAC),Reuters,/news/stocks/brief-kla-tencor-says-revenue-and-eps-for-quarter-ended-sept-30-would-come-within-range-it-previously-guided-klac-1001444776,positive,0.5706252455711365
8,10/12/2016 2:10:21 PM,"BRIEF-TSMC orders machinery equipment from Hermes Microvision, KLA-Tencor, Applied Materials (2330, TSM, 3658, KLAC, AMAT)",Reuters,/news/stocks/brief-tsmc-orders-machinery-equipment-from-hermes-microvision-kla-tencor-applied-materials-2330-tsm-3658-klac-amat-1001451273,positive,0.9281885623931885
9,10/18/2016 1:20:22 PM,"BRIEF-TSMC orders machinery equipment from Sumitomo Heavy Industries, Lasertec, KLA-Tencor (2330, TSM, 6302, KLAC)",Reuters,/news/stocks/brief-tsmc-orders-machinery-equipment-from-sumitomo-heavy-industries-lasertec-kla-tencor-2330-tsm-6302-klac-1001461486,positive,0.9054083228111267
10,10/20/2016 11:20:26 PM,BRIEF-KLA-Tencor Corp Q1 gaap earnings per share $1.13 (KLAC),Reuters,http://www.businessinsider.com/r-brief-kla-tencor-corp-q1-gaap-earnings-per-share-113-2016-10,positive,0.8869848847389221
11,10/25/2016 10:12:23 PM,"BRIEF-CyberOptics Q3 earnings per share $0.16 (CYBE, KLAC, NDSN)",Reuters,http://www.businessinsider.com/r-brief-cyberoptics-q3-earnings-per-share-016-2016-10,positive,0.8942567706108093
12,12/19/2016 8:22:05 AM,"BRIEF-Taiwan's TSMC orders equipment for T$3.95 bln (2330, TSM, 6196, NANO, NVMI, KLAC)",Reuters,http://www.businessinsider.com/r-brief-taiwans-tsmc-orders-equipment-for-t395-bln-2016-12,positive,0.9126336574554443
13,3/10/2017 7:26:22 AM,"BRIEF-UMC's unit orders machinery equipment for T$2.9 billion (2303, KLAC, ASML)",Reuters,http://www.businessinsider.com/r-brief-umcs-unit-orders-machinery-equipment-for-t29-billion-2017-3,positive,0.9354816675186157
14,3/10/2017 2:05:00 PM,"How These Semiconductor Stocks are Faring? -- Applied Materials, Oclaro, Lam Research, and KLA-Tencor",PR Newswire,/news/stocks/how-these-semiconductor-stocks-are-faring-applied-materials-oclaro-lam-research-and-kla-tencor-1001824016,positive,0.9241043329238892
15,4/5/2017 2:30:00 PM,Ultratech Receives Multiple Commitments For Laser Melt Anneal System Evaluation,PR Newswire,/news/stocks/ultratech-receives-multiple-commitments-for-laser-melt-anneal-system-evaluation-539700,negative,0.6350335478782654
16,4/13/2017 10:15:00 PM,KLA-Tencor Announces Live Webcast To Review Third Quarter Fiscal Year 2017 Results,PR Newswire,/news/stocks/kla-tencor-announces-live-webcast-to-review-third-quarter-fiscal-year-2017-results-1001922011,positive,0.9361818432807922
17,4/19/2017 7:43:03 PM,"Chip equipment stocks surge after strong Lam Research, ASML results",Reuters,http://www.businessinsider.com/r-chip-equipment-stocks-surge-after-strong-lam-research-asml-results-2017-4,negative,0.9312037825584412
18,4/20/2017 4:45:00 PM,Cadence Tensilica Vision P-Series DSPs are Industry's First Imaging/Vision DSPs Certified by Khronos as OpenVX 1.1 Conformant,PR Newswire,/news/stocks/cadence-tensilica-vision-p-series-dsps-are-industrys-first-imaging-vision-dsps-certified-by-khronos-as-openvx-1-1-conformant-584008,positive,0.5092388391494751
