,datetime,title,source,link,sentiment_class,sentiment_score
0,10/31/2007 12:09:00 PM,MasterCard Incorporated Reports Third-Quarter 2007 Financial Results,PR Newswire,/news/stocks/mastercard-incorporated-reports-third-quarter-2007-financial-results-1000159898,positive,0.7862208485603333
1,11/2/2011 10:31:20 PM,"Visa, MasterCard still fixing card fees - merchants",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/gUJKOW2iRz0/idINIndia-60283320111102,positive,0.8713076114654541
2,3/7/2012 1:04:33 PM,MasterCard sees controlled explosion in Asia plastic,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/2Mh-Mx05-zw/mastercard-asia-idINDEE82609M20120307,positive,0.5700415968894958
3,3/30/2012 9:29:28 PM,"MasterCard, Visa warn of possible security breach",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/NtsSrjGc-dg/mastercard-breach-idINDEE82T0CO20120330,neutral,0.8650986552238464
4,7/14/2012 3:18:34 AM,"Visa, MasterCard, banks in $7.25 bln retail settlement",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/KZDyU4-TtyU/creditcards-settlement-interchange-idINDEE86C0HY20120714,positive,0.9146902561187744
5,7/17/2012 11:50:00 PM,"Moody's: Credit card settlement is credit positive for Visa, MasterCard",Moodys,/news/bonds/moodys-credit-card-settlement-is-credit-positive-for-visa-mastercard-166436,negative,0.9398415088653564
6,1/31/2013 2:11:33 PM,MasterCard profit rises as card payments grow,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/Fx9M2iGNriI/us-mastercard-results-idUSBRE90U0O620130131,negative,0.8338142037391663
7,2/5/2013 2:50:57 PM,"MasterCard doubles dividend, to buy back $2 billion of shares",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/E_Rm8K5TReE/us-mastercard-sharebuyback-idUSBRE9140KS20130205,negative,0.5825333595275879
8,2/25/2013 3:29:48 PM,"MasterCard aims at mobile payment market with launch of ""digital wallet""",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/y6jJvfpVYEs/us-mastercard-payment-idUSBRE91O0MU20130225,positive,0.5352323055267334
9,4/9/2013 12:18:15 PM,EU antitrust regulators to investigate MasterCard card fees,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/o9ztoVaIFXs/story01.htm,positive,0.7883760333061218
10,4/9/2013 4:02:57 PM,MasterCard under EU fire over payment card fees,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/qd4reWR9v0g/story01.htm,neutral,0.8977400660514832
11,5/1/2013 7:25:28 PM,"MasterCard revenue falls short, CEO says Q2 looks ""dodgy""",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/01CIcQaPM6Q/story01.htm,neutral,0.9635090827941895
12,5/2/2013 1:33:32 AM,"Visa enjoys upbeat quarter, MasterCard lags",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/nWiLDfiaZKc/story01.htm,neutral,0.9428654313087463
13,5/23/2013 6:36:33 PM,"Large U.S. retailers sue Visa, MasterCard over card fees",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/GXZrnasWy8M/story01.htm,neutral,0.9564990997314453
14,5/24/2013 11:40:50 PM,"Visa, Mastercard ask U.S. court to declare card fees are lawful",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/8bBjRyfm5co/story01.htm,positive,0.768377959728241
15,5/25/2013 12:11:43 AM,"Visa, Mastercard ask U.S. court to declare card fees are lawful",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/hkisCPXhHkY/story01.htm,positive,0.768377959728241
