,datetime,title,source,link,sentiment_class,sentiment_score
0,10/26/2006 10:07:00 AM,Short and Long-Term Efficacy of Spinal Stabilisation System Investigated in Patients With Lower Back Pain,PR Newswire,/news/stocks/short-and-long-term-efficacy-of-spinal-stabilisation-system-investigated-in-patients-with-lower-back-pain-102552,negative,0.8750804662704468
1,6/14/2014 7:16:14 PM,Medtronic in talks to combine with Covidien in $45 billion deal: source,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/rrHBU3M-LWg/story01.htm,positive,0.8860859870910645
2,6/14/2014 8:02:12 PM,Medtronic in talks to combine with Covidien in $45 bln deal - source,Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/Sy0ni9P312w/story01.htm,positive,0.8035234212875366
3,6/16/2014 3:10:07 AM,"Medtronic to buy Covidien for $42.9 billion, rebase in Ireland",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/eigeuhvAoXU/story01.htm,positive,0.7127642035484314
4,6/16/2014 4:53:35 AM,"Medtronic to buy Covidien for $42.9 billion, rebase in Ireland",Reuters,http://feeds.reuters.com/~r/reuters/INbusinessNews/~3/UkVCtExVscM/story01.htm,positive,0.7127642035484314
5,6/16/2014 5:55:36 PM,Medtronic says still has room for more acquisitions,Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/gEHkFjQcyY4/story01.htm,negative,0.7872717976570129
6,11/22/2016 2:48:24 PM,"Medtronic lowers forecast as second-quarter revenue disappoints, shares skid",Reuters,http://feeds.reuters.com/~r/reuters/businessNews/~3/XtoQvymCSSk/us-medtronic-results-idUSKBN13H16S,neutral,0.9715273380279541
7,12/7/2016 6:22:01 PM,"Fitbit is buying Pebble - here's what that means for Pebble customers (MDT, AAPL)",Reuters,http://www.businessinsider.com/r-update-1-fitbit-buys-smartwatch-maker-pebbles-software-assets-2016-12,positive,0.9205064177513123
8,2/17/2017 2:40:11 PM,BRIEF-Medtronic announces Japanese regulatory approval for micra(tm) (MDT),Reuters,http://www.businessinsider.com/r-brief-medtronic-announces-japanese-regulatory-approval-for-micratm-2017-2,negative,0.6162965893745422
9,2/21/2017 1:06:14 PM,Medtronic posts 5 pct rise in quarterly revenue (MDT),Reuters,http://www.businessinsider.com/r-medtronic-posts-5-pct-rise-in-quarterly-revenue-2017-2,negative,0.9495198130607605
