,datetime,title,source,link,sentiment_class,sentiment_score
0,9/28/2005 2:12:00 PM,McCormick Reports Third Quarter Increase in Sales and Profits,PR Newswire,/news/stocks/mccormick-reports-third-quarter-increase-in-sales-and-profits-1029526297,negative,0.9504609704017639
1,9/28/2005 2:12:00 PM,McCormick Reports Third Quarter Increase in Sales and Profits,PR Newswire,/news/stocks/mccormick-reports-third-quarter-increase-in-sales-and-profits-1029526296,negative,0.9504609704017639
2,9/30/2016 3:40:22 PM,BRIEF-McCormick reports strong Q3 results (MKC),Reuters,/news/stocks/brief-mccormick-reports-strong-q3-results-mkc-1001429603,negative,0.9366364479064941
3,10/6/2016 7:20:21 AM,BRIEF-McCormick & Co says voluntary recall notice for taco seasoning mix (MKC),Reuters,/news/stocks/brief-mccormick-&-co-says-voluntary-recall-notice-for-taco-seasoning-mix-mkc-1001439384,positive,0.6363717317581177
4,11/29/2016 4:14:07 PM,BRIEF-McCormick announces acquisition of Enrico Giotti SpA (MKC),Reuters,http://www.businessinsider.com/r-brief-mccormick-announces-acquisition-of-enrico-giotti-spa-2016-11,positive,0.9337298274040222
5,11/30/2016 12:04:04 AM,BRIEF-McCormick & Co sets quarterly dividend of $0.47 per share (MKC),Reuters,http://www.businessinsider.com/r-brief-mccormick--co-sets-quarterly-dividend-of-047-per-share-2016-11,positive,0.8863187432289124
6,11/30/2016 10:26:07 PM,BRIEF-Lawrence Kurzius to succeed Alan Wilson as chairman of board (MKC),Reuters,http://www.businessinsider.com/r-brief-lawrence-kurzius-to-succeed-alan-wilson-as-chairman-of-board-2016-11,positive,0.9412114024162292
7,1/25/2017 1:00:12 PM,BRIEF-McCormick Q4 performance led to record 2016 financial results (MKC),Reuters,http://www.businessinsider.com/r-brief-mccormick-q4-performance-led-to-record-2016-financial-results-2017-1,negative,0.934705913066864
8,3/8/2017 1:30:00 PM,"Research Reports on Processed and Packaged Goods Equities -- Hostess Brands, McCormick, Treehouse Foods, and B&G Foods",PR Newswire,/news/stocks/research-reports-on-processed-and-packaged-goods-equities-hostess-brands-mccormick-treehouse-foods-and-b-g-foods-1001815305,positive,0.943091869354248
9,3/13/2017 10:00:00 PM,McCormick & Company's 2017 First Quarter Results Conference Call to be Available on the Web,PR Newswire,/news/stocks/mccormick-company-s-2017-first-quarter-results-conference-call-to-be-available-on-the-web-1001830916,positive,0.9495773315429688
10,3/23/2017 1:00:00 PM,McCormick & Company's 2017 Investor Day Presentation to be Available on the Web,PR Newswire,/news/stocks/mccormick-company-s-2017-investor-day-presentation-to-be-available-on-the-web-1001861773,positive,0.9484056234359741
11,3/28/2017 12:30:00 PM,McCormick Reports On First Quarter Results And Latest Financial Outlook,PR Newswire,/news/stocks/mccormick-reports-on-first-quarter-results-and-latest-financial-outlook-1001873116,positive,0.933228611946106
12,3/28/2017 12:37:51 PM,McCormick & Co. Q1 Income Climbs 1%,RTTNews,/news/stocks/mccormick-co-q1-income-climbs-1-1001873142,negative,0.9419582486152649
13,3/28/2017 12:50:20 PM,McCormick Updates FY17 Outlook On Higher Charges; Reaffirms Adj. EPS Guidance ,RTTNews,/news/stocks/mccormick-updates-fy17-outlook-on-higher-charges-reaffirms-adj-eps-guidance-1001873197,negative,0.49063393473625183
14,3/28/2017 1:06:49 PM,BRIEF-Mccormick reports Q1 earnings per share of $0.74 (MKC),Reuters,http://www.businessinsider.com/r-brief-mccormick-reports-q1-earnings-per-share-of-074-2017-3,positive,0.8887154459953308
15,3/29/2017 10:15:00 PM,McCormick Declares $0.47 Quarterly Dividend,PR Newswire,/news/stocks/mccormick-declares-0-47-quarterly-dividend-1001879527,positive,0.9291141033172607
16,4/4/2017 12:30:00 PM,McCormick Holds 2017 Investor Day,PR Newswire,/news/stocks/mccormick-holds-2017-investor-day-1001893710,positive,0.9280052781105042
17,4/4/2017 12:43:11 PM,McCormick Reaffirms FY19 Outlook - Quick Facts ,RTTNews,/news/stocks/mccormick-reaffirms-fy19-outlook-quick-facts-1001893765,positive,0.8832098841667175
18,4/4/2017 1:10:54 PM,BRIEF-Mccormick & Co expects to reach at least $5 bln in annual net sales by 2019 (MKC),Reuters,http://www.businessinsider.com/r-brief-mccormick--co-expects-to-reach-at-least-5-bln-in-annual-net-sales-by-2019-2017-4,negative,0.6911578178405762
19,4/10/2017 2:35:00 PM,Corporate Amnesia: How to Prevent It From Causing Your Next Catastrophic Mold and Moisture Building Failure,PR Newswire,/news/stocks/corporate-amnesia-how-to-prevent-it-from-causing-your-next-catastrophic-mold-and-moisture-building-failure-1001563570,positive,0.9094386100769043
20,4/12/2017 12:50:00 PM,"Research Reports Coverage on Processed & Packaged Goods Stocks -- Hostess Brands, McCormick, B&G Foods, and Treehouse",PR Newswire,/news/stocks/research-reports-coverage-on-processed-packaged-goods-stocks-hostess-brands-mccormick-b-g-foods-and-treehouse-1001916931,positive,0.9461386203765869
