,datetime,title,source,link,sentiment_class,sentiment_score
0,10/27/2016 2:16:18 PM,BRIEF-Old Dominion Freight Line Q3 earnings per share $1.03 (ODFL),Reuters,http://www.businessinsider.com/r-brief-old-dominion-freight-line-q3-earnings-per-share-103-2016-10,positive,0.8179516792297363
1,12/2/2016 8:10:03 PM,BRIEF-Old Dominion Freight Line says LTL tons per day was down 0.4 pct in November (ODFL),Reuters,http://www.businessinsider.com/r-brief-old-dominion-freight-line-says-ltl-tons-per-day-was-down-04-pct-in-november-2016-12,neutral,0.9727760553359985
2,2/2/2017 1:16:10 PM,Old Dominion Freight Line Reveals 5% Drop In Q4 Profit,RTTNews,/news/stocks/old-dominion-freight-line-reveals-5-drop-in-q4-profit-1001717440,neutral,0.9752194881439209
3,2/2/2017 1:28:07 PM,BRIEF-Old Dominion Freight Line reports EPS of $0.83 in Q4 (ODFL),Reuters,http://www.businessinsider.com/r-brief-old-dominion-freight-line-reports-eps-of-083-in-q4-2017-2,positive,0.707501232624054
4,2/2/2017 1:52:57 PM,Old Dominion Freight Line Board Initiates Quarterly Dividend - Quick Facts ,RTTNews,/news/stocks/old-dominion-freight-line-board-initiates-quarterly-dividend-quick-facts-1001717671,positive,0.9067285060882568
5,3/2/2017 10:36:20 PM,BRIEF-Old Dominion Freight Line provides update for Q1 2017 (ODFL),Reuters,http://www.businessinsider.com/r-brief-old-dominion-freight-line-provides-update-for-q1-2017-2017-3,positive,0.934173583984375
6,3/24/2017 1:10:00 PM,"Technical Reports on Trucking Equities -- YRC Worldwide, Heartland Express, Old Dominion Freight, and Celadon",PR Newswire,/news/stocks/technical-reports-on-trucking-equities-yrc-worldwide-heartland-express-old-dominion-freight-and-celadon-1001865654,positive,0.9391792416572571
7,4/6/2017 1:00:00 PM,Old Dominion Scores Major League Baseball Partnership,PR Newswire,/news/stocks/old-dominion-scores-major-league-baseball-partnership-1001902139,positive,0.9090499877929688
8,4/6/2017 1:14:50 PM,"BRIEF-Old Dominion Freight Line to be ""official freight carrier for MLB (ODFL)",Reuters,http://www.businessinsider.com/r-brief-old-dominion-freight-line-to-be-official-freight-carrier-for-mlb-2017-4,positive,0.7944088578224182
9,4/6/2017 5:00:00 PM,Old Dominion Freight Line's First Quarter 2017 Conference Call On The Internet,PR Newswire,/news/stocks/old-dominion-freight-line-s-first-quarter-2017-conference-call-on-the-internet-1001903516,positive,0.9432071447372437
10,4/25/2017 12:15:00 PM,"Research Reports Coverage on Trucking Stocks -- YRC Worldwide, Heartland Express, Celadon, and Old Dominion",PR Newswire,/news/stocks/research-reports-coverage-on-trucking-stocks-yrc-worldwide-heartland-express-celadon-and-old-dominion-1001945634,positive,0.9386404156684875
11,4/27/2017 1:31:11 PM,BRIEF-Old Dominion Freight Line Q1 earnings per share $0.80 (ODFL),Reuters,http://www.businessinsider.com/r-brief-old-dominion-freight-line-q1-earnings-per-share-080-2017-4,positive,0.815875232219696
12,4/27/2017 2:02:30 PM,"Old Dominion Freight Q1 Profit Rises, Results Beat View - Quick Facts ",RTTNews,/news/stocks/old-dominion-freight-q1-profit-rises-results-beat-view-quick-facts-1001956607,negative,0.942622184753418
13,4/27/2017 3:14:49 PM,Old Dominion Freight Line Reports 9% Gain In Q1 Profit,RTTNews,/news/stocks/old-dominion-freight-line-reports-9-gain-in-q1-profit-1001957189,negative,0.9384746551513672
14,6/1/2017 1:00:00 PM,"How These Trucking Stocks are Faring? -- Werner Enterprises, Heartland Express, Old Dominion Freight Line, and YRC Worldwide",PR Newswire,/news/stocks/how-these-trucking-stocks-are-faring-werner-enterprises-heartland-express-old-dominion-freight-line-and-yrc-worldwide-1002058438,positive,0.9247198104858398
15,6/5/2017 1:20:05 PM,BRIEF-Old Dominion Freight Line provides update for Q2 2017 (ODFL),Reuters,http://www.businessinsider.com/r-brief-old-dominion-freight-line-provides-update-for-q2-2017-2017-6,positive,0.9335589408874512
16,7/27/2017 1:46:38 PM,"Old Dominion Freight Line Q2 Profit Up 21%, Results Beat View - Quick Facts ",RTTNews,/news/stocks/old-dominion-freight-line-q2-profit-up-21-results-beat-view-quick-facts-1002210319,negative,0.9510141611099243
17,8/16/2017 8:00:00 PM,Old Dominion Freight Line Announces General Rate Increase,PR Newswire,/news/stocks/old-dominion-freight-line-announces-general-rate-increase-1002263155,negative,0.8337590098381042
18,8/18/2017 1:00:00 PM,"How These Trucking Stocks are Performing? -- J.B. Hunt Transport Services, Ryder System, Heartland Express, and Old Dominion Freight Line",PR Newswire,/news/stocks/how-these-trucking-stocks-are-performing-j-b-hunt-transport-services-ryder-system-heartland-express-and-old-dominion-freight-line-1002268345,positive,0.9317017197608948
19,9/1/2017 1:02:12 AM,"UPDATE 1-As Harvey gained fury, Home Depot raced to respond (HD, LOW, ODFL, WFT, WY, USG)",Reuters,http://www.businessinsider.com/r-update-1-as-harvey-gained-fury-home-depot-raced-to-respond-2017-8,positive,0.5409601926803589
