,datetime,title,source,link,sentiment_class,sentiment_score
0,2/1/2017 12:48:22 PM,ONEOK To Buy Remaining Stake In ONEOK Partners In $17.2 Bln Deal - Quick Facts ,RTTNews,/news/stocks/oneok-to-buy-remaining-stake-in-oneok-partners-in-17-2-bln-deal-quick-facts-1001712654,positive,0.9075230956077576
1,2/1/2017 1:00:07 PM,"Pipeline company Oneok to buy rest of Oneok Partners for $9.3 bln (OKE, OKS)",Reuters,http://www.businessinsider.com/r-pipeline-company-oneok-to-buy-rest-of-oneok-partners-for-93-bln-2017-2,positive,0.913046658039093
2,2/1/2017 1:08:07 PM,"BRIEF-Oneok sees 2017 maintenance capital expense of $140 mln to $160 mln (OKE, OKS)",Reuters,http://www.businessinsider.com/r-brief-oneok-sees-2017-maintenance-capital-expense-of-140-mln-to-160-mln-2017-2,neutral,0.877537727355957
3,2/1/2017 1:08:07 PM,"BRIEF-Oneok to buy rest of Oneok Partners for $9.3 bln (OKE, OKS)",Reuters,http://www.businessinsider.com/r-brief-oneok-to-buy-rest-of-oneok-partners-for-93-bln-2017-2,positive,0.9143945574760437
4,2/1/2017 11:56:07 PM,"BRIEF-Oneok says oneok partners must pay termination fee of up to $300 mln (OKE, OKS)",Reuters,http://www.businessinsider.com/r-brief-oneok-says-oneok-partners-must-pay-termination-fee-of-up-to-300-mln-2017-2,positive,0.5167530179023743
5,2/23/2017 10:15:00 PM,ONEOK Schedules 2017 Annual Meeting of Shareholders; Sets Record Date,PR Newswire,/news/stocks/oneok-schedules-2017-annual-meeting-of-shareholders-sets-record-date-1001779028,positive,0.9368461966514587
6,2/27/2017 10:15:00 PM,ONEOK Partners Announces Higher Fourth-quarter and Full-year 2016 Financial Results,PR Newswire,/news/stocks/oneok-partners-announces-higher-fourth-quarter-and-full-year-2016-financial-results-1001787508,negative,0.5545220971107483
7,2/27/2017 10:20:00 PM,ONEOK Announces Higher Fourth-quarter and Full-year 2016 Financial Results,PR Newswire,/news/stocks/oneok-announces-higher-fourth-quarter-and-full-year-2016-financial-results-1001787522,neutral,0.7944681644439697
8,2/27/2017 10:29:27 PM,ONEOK Inc. Q4 Profit Climbs 255%,RTTNews,/news/stocks/oneok-inc-q4-profit-climbs-255-1001787548,negative,0.9124936461448669
9,2/27/2017 10:36:07 PM,ONEOK Inc. Q4 Profit Rises 255%,RTTNews,/news/stocks/oneok-inc-q4-profit-rises-255-1001787590,negative,0.8770995140075684
10,2/27/2017 10:50:13 PM,"BRIEF-Oneok Inc qtrly EPS $0.43 (OKE, OKS)",Reuters,http://www.businessinsider.com/r-brief-oneok-inc-qtrly-eps-043-2017-2,positive,0.8530013561248779
11,2/27/2017 11:06:13 PM,"BRIEF-Oneok Partners announces fourth-quarter results (OKS, OKE)",Reuters,http://www.businessinsider.com/r-brief-oneok-partners-announces-fourth-quarter-results-2017-2,positive,0.8664845824241638
12,2/28/2017 2:10:00 PM,"Research Reports Coverage on Gas Utilities Stocks -- ONEOK, Clean Energy Fuels, Avangrid, and WGL Holdings",PR Newswire,/news/stocks/research-reports-coverage-on-gas-utilities-stocks-oneok-clean-energy-fuels-avangrid-and-wgl-holdings-1001790054,positive,0.9491491913795471
13,3/7/2017 10:15:00 PM,ONEOK and ONEOK Partners Announce Organizational Changes,PR Newswire,/news/stocks/oneok-and-oneok-partners-announce-organizational-changes-1001813143,positive,0.8924881815910339
14,4/4/2017 12:35:00 PM,"Technical Reports on Gas Utilities Equities -- ONEOK, Clean Energy Fuels, Avangrid, and WGL Holdings",PR Newswire,/news/stocks/technical-reports-on-gas-utilities-equities-oneok-clean-energy-fuels-avangrid-and-wgl-holdings-1001893745,positive,0.9462924599647522
15,4/4/2017 1:17:00 PM,At Home Kicks Off Habitat For Humanity Partnership With 'Home Is The Key' Campaign,PR Newswire,/news/stocks/at-home-kicks-off-habitat-for-humanity-partnership-with-home-is-the-key-campaign-530566,negative,0.7651451826095581
16,4/17/2017 10:15:00 PM,ONEOK and ONEOK Partners First-quarter 2017 Conference Call and Webcast Scheduled,PR Newswire,/news/stocks/oneok-and-oneok-partners-first-quarter-2017-conference-call-and-webcast-scheduled-1001924729,positive,0.9493982791900635
17,4/18/2017 10:15:00 PM,ONEOK Announces New $2.5 Billion Revolving Credit Facility,PR Newswire,/news/stocks/oneok-announces-new-2-5-billion-revolving-credit-facility-1001928474,negative,0.6574599146842957
18,4/18/2017 10:49:06 PM,BRIEF-Oneok reports new $2.5 bln revolving credit facility (OKE),Reuters,http://www.businessinsider.com/r-brief-oneok-reports-new-25-bln-revolving-credit-facility-2017-4,positive,0.6357024312019348
19,4/20/2017 10:15:00 PM,ONEOK Partners Declares Quarterly Distribution,PR Newswire,/news/stocks/oneok-partners-declares-quarterly-distribution-1001936182,neutral,0.8993048071861267
20,4/20/2017 10:20:00 PM,ONEOK Declares Quarterly Dividend,PR Newswire,/news/stocks/oneok-declares-quarterly-dividend-1001936212,positive,0.7082953453063965
21,4/20/2017 10:45:06 PM,"BRIEF-ONEOK declares quarterly dividend of 61.5 cents per share (OKE, OKS)",Reuters,http://www.businessinsider.com/r-brief-oneok-declares-quarterly-dividend-of-615-cents-per-share-2017-4,positive,0.7249962687492371
22,5/2/2017 10:15:00 PM,ONEOK Partners Announces Higher First-quarter 2017 Financial Results,PR Newswire,/news/stocks/oneok-partners-announces-higher-first-quarter-2017-financial-results-1001971373,negative,0.8581079840660095
23,5/2/2017 10:20:00 PM,ONEOK Announces Higher First-quarter 2017 Financial Results,PR Newswire,/news/stocks/oneok-announces-higher-first-quarter-2017-financial-results-1001971394,negative,0.7675195932388306
24,5/2/2017 10:58:42 PM,ONEOK Inc. Q1 Profit Climbs 5%,RTTNews,/news/stocks/oneok-inc-q1-profit-climbs-5-1001971534,negative,0.9338204264640808
25,5/2/2017 11:56:07 PM,BRIEF-Kevin Mccarthy resigns as a director of ONEOK (OKE),Reuters,http://www.businessinsider.com/r-brief-kevin-mccarthy-resigns-as-a-director-of-oneok-2017-5,neutral,0.6198866963386536
26,5/8/2017 10:15:00 PM,ONEOK and ONEOK Partners Announce Upcoming Investor Conferences,PR Newswire,/news/stocks/oneok-and-oneok-partners-announce-upcoming-investor-conferences-651692,positive,0.9375267624855042
27,5/9/2017 10:15:00 PM,ONEOK and ONEOK Partners Announce Meeting and Record Dates for Merger Transaction Special Meetings,PR Newswire,/news/stocks/oneok-and-oneok-partners-announce-meeting-and-record-dates-for-merger-transaction-special-meetings-1001996032,positive,0.9447057247161865
28,5/16/2017 10:15:00 PM,ONEOK and ONEOK Partners Announce Upcoming Investor Conferences,PR Newswire,/news/stocks/oneok-and-oneok-partners-announce-upcoming-investor-conferences-1002018673,positive,0.9375267624855042
